factor,cell_line,mean_dR2,n
ctcf,hct116,0.004784333333333333,12
ctcf,hek293t,0.007679571428571429,14
ctcf,hela,0.0009208333333333335,12
ctcf,hl60,-0.003773,12
ctcf,none,0.0009993333333333336,6
dnase,hct116,-0.0017443333333333332,12
dnase,hek293t,-0.00020814285714285696,14
dnase,hela,9.166666666666683e-05,12
dnase,hl60,-0.007660166666666666,12
dnase,none,-0.0021165,6
h3k4me3,hct116,-0.00042549999999999993,12
h3k4me3,hek293t,-0.016831714285714287,14
h3k4me3,hela,-0.002012,12
h3k4me3,hl60,0.0064733333333333335,12
h3k4me3,none,-0.0025381666666666664,6
rrbs,hct116,-0.004141333333333334,12
rrbs,hek293t,-0.005985142857142858,14
rrbs,hela,0.00043766666666666677,12
rrbs,hl60,-0.006993666666666668,12
rrbs,none,-0.0007493333333333333,6
