Feature,MLP_IG,IG_SNR
pos18_C,0.01601369,0.5815419
pos18_A,0.010222134,0.5430535
pos1_G,0.00869513,0.5934467
pos12_Dnase,0.008323025,2.0818334
pos20_T,0.0082224235,0.48487318
pos17_T,0.007819517,0.501128
pos14_Dnase,0.0075252745,1.8501984
pos20_G,0.007469977,0.53485143
pos15_H3K4me3,0.006578262,1.3393193
pos15_A,0.0065443027,0.58595496
pos1_C,0.006279447,0.55034053
pos19_T,0.006133144,0.50275964
pos21_G,0.005837248,0.5032849
pos13_Dnase,0.005753277,1.1851146
pos14_G,0.0057400153,0.5746243
pos17_H3K4me3,0.00570797,1.2958965
pos4_Dnase,0.00550287,1.3408521
pos10_A,0.005468657,0.54045504
pos19_A,0.005460969,0.515118
pos12_A,0.0052858186,0.56171185
pos14_T,0.0051683877,0.4990653
pos16_G,0.004954191,0.5541496
pos4_H3K4me3,0.0049248277,1.2643476
pos17_Dnase,0.004823086,1.1785452
pos6_Dnase,0.004718305,1.0947378
pos1_H3K4me3,0.004702476,1.0173124
pos21_H3K4me3,0.0046587694,1.1085767
pos18_Dnase,0.004643413,1.2184659
pos21_T,0.004560797,0.6511023
pos20_Dnase,0.004549441,1.0486366
pos23_G,0.0045290394,1.4729239
pos16_H3K4me3,0.0044111935,1.1062493
pos22_H3K4me3,0.0044042883,1.2103019
pos23_H3K4me3,0.0043789106,1.0321839
pos11_H3K4me3,0.004270907,1.1530551
pos19_C,0.0041531725,0.51116943
pos7_H3K4me3,0.004110854,1.2005159
pos13_H3K4me3,0.0040877075,1.1097984
pos16_Dnase,0.004062588,0.93085116
pos23_Dnase,0.004042764,1.0365771
pos22_Dnase,0.00396744,0.8104122
pos10_Dnase,0.003898245,0.83342075
pos3_Dnase,0.0038801352,0.8805329
pos6_G,0.0038158342,0.535044
pos16_C,0.0037360983,0.49634543
pos3_C,0.0036646896,0.55536014
pos2_H3K4me3,0.0036543794,0.9300625
pos19_Dnase,0.0036448636,0.8573345
pos18_H3K4me3,0.0036301329,0.9819924
pos8_Dnase,0.0036227587,0.8147078
pos20_H3K4me3,0.0035931093,0.85118115
pos4_A,0.003582038,0.52704656
pos15_Dnase,0.0035354097,0.89767915
pos18_T,0.0034424786,0.51808304
pos11_Dnase,0.003412724,1.1939844
pos11_C,0.0033367465,0.5246629
pos1_Dnase,0.0032753067,0.8303137
pos9_H3K4me3,0.003225013,0.82876533
pos20_C,0.0031515101,0.5156202
pos8_G,0.0031373315,0.54525423
pos5_H3K4me3,0.003136902,0.9016038
pos4_G,0.0031203593,0.5448787
pos2_Dnase,0.0030523436,0.85490847
pos8_H3K4me3,0.0030482856,1.0249095
pos6_H3K4me3,0.0029906833,0.7904532
pos19_H3K4me3,0.0029040563,1.0540653
pos18_G,0.0028868173,0.4570243
pos14_H3K4me3,0.0028315024,0.91472864
pos9_Dnase,0.0027477625,0.7939528
pos3_H3K4me3,0.0027285193,0.7595176
pos8_C,0.0026889103,0.54461455
pos19_G,0.0026774888,0.50293535
pos5_Dnase,0.0026766667,0.78925097
pos5_C,0.002656539,0.5013624
