Feature,XGB_Gain,XGB_Weight,XGB_Cover,TreeSHAP,SHAP_SNR
pos18_C,0.5611256957054138,49.0,4197.9794921875,0.020312724635004997,0.8696381419295988
pos13_CTCF,0.5163644552230835,2.0,2186.0,0.00038206574390642345,0.7713897526459733
pos9_CTCF,0.4779092073440552,9.0,1060.77783203125,0.0011494916398078203,0.6734531296845321
pos20_CTCF,0.4295743703842163,3.0,2902.0,0.0006809583283029497,0.8314609869789958
pos11_CTCF,0.2896261513233185,3.0,1547.6666259765625,0.0004690747591666877,0.6248391496527251
pos21_CTCF,0.2802632451057434,8.0,466.0,0.000572842312976718,0.6899448427347102
pos18_G,0.24794010818004608,23.0,1211.2608642578125,0.0010481454664841294,0.7705692800529997
pos20_G,0.247551828622818,45.0,1965.977783203125,0.00728585384786129,0.8092246607663524
pos18_A,0.24394242465496063,35.0,1205.028564453125,0.005005199927836657,0.8623730558668317
pos2_CTCF,0.2298741489648819,12.0,1758.4166259765625,0.0013440047623589635,0.7992977614740481
pos17_CTCF,0.22116312384605408,9.0,1351.5555419921875,0.0011255728313699365,0.8852450619043463
pos7_H3K4me3,0.21730384230613708,1.0,130.0,3.589230982470326e-05,0.20764947396299782
pos18_T,0.21191327273845673,17.0,733.8235473632812,0.00037898210575804114,1.1473307839220186
pos8_CTCF,0.20485304296016693,3.0,848.3333129882812,0.0002519621921237558,0.6910608219746679
pos17_T,0.2047991007566452,37.0,988.8648681640625,0.0014449432492256165,1.802544479122011
pos20_C,0.20410321652889252,38.0,1522.4210205078125,0.0037834173999726772,0.8315554212748694
pos19_A,0.19584861397743225,37.0,2305.567626953125,0.005656871013343334,0.8297602116754917
pos3_CTCF,0.19531208276748657,6.0,1803.3333740234375,0.0006350759067572653,0.779902004852988
pos22_H3K4me3,0.1876092255115509,1.0,212.0,4.518760397331789e-05,0.26415337586877197
pos19_T,0.1870512217283249,25.0,832.0800170898438,0.0009837619727477431,1.5123009248451489
pos12_H3K4me3,0.18303821980953217,3.0,1624.6666259765625,0.00037826213520020247,0.41035379387068305
pos1_CTCF,0.18142306804656982,19.0,755.5263061523438,0.0010505332611501217,0.6504227449888477
pos9_H3K4me3,0.18133395910263062,1.0,437.0,6.495764682767913e-05,0.34854777024086336
pos13_C,0.18001702427864075,26.0,1182.076904296875,0.002523043891415,0.7987489222010355
pos20_A,0.1761041283607483,34.0,813.8235473632812,0.0023270274978131056,0.7668734677470106
pos19_RRBS,0.1749873012304306,10.0,532.9000244140625,0.0001554005139041692,0.20497226687407857
pos16_C,0.17260950803756714,49.0,1310.7142333984375,0.005014592316001654,0.8223041226278986
