Feature,XGB_Gain,XGB_Weight,XGB_Cover,TreeSHAP,SHAP_SNR
pos18_C,0.9020565152168274,123.0,3851.951171875,0.02357419766485691,0.9050443293495055
pos20_G,0.43270862102508545,106.0,2294.009521484375,0.013040532357990742,0.8668882254891472
pos13_CTCF,0.41289931535720825,7.0,1589.2857666015625,0.0009552044793963432,0.7351893523946477
pos18_A,0.3547925651073456,90.0,2331.98876953125,0.00902579352259636,0.9308915217297783
pos10_CTCF,0.3101955056190491,5.0,835.7999877929688,0.0004088510468136519,0.5920867562816239
pos19_A,0.3043372333049774,105.0,2033.6094970703125,0.007354785222560167,0.7843226941484768
pos1_G,0.2914749085903168,116.0,1861.7327880859375,0.01006727758795023,0.8366149129832274
pos20_C,0.29031190276145935,101.0,1808.861328125,0.00462614418938756,0.8275154018020147
pos18_G,0.28714144229888916,80.0,1155.1624755859375,0.001780274324119091,0.7109623310475309
pos20_CTCF,0.2824203073978424,5.0,929.4000244140625,0.00038990232860669494,0.5666821107504317
pos16_G,0.26009324193000793,108.0,2506.935302734375,0.008670145645737648,0.8295726240092379
pos21_G,0.24483226239681244,108.0,2532.4814453125,0.009486342780292034,0.7164600389739259
pos18_T,0.2342912256717682,11.0,875.8181762695312,0.0010902208741754293,0.6004324298421266
pos14_G,0.22671695053577423,91.0,2233.252685546875,0.00656244857236743,0.8348439933300862
pos14_T,0.22624839842319489,94.0,2069.24462890625,0.006341674830764532,0.7534478097093572
pos15_A,0.22063733637332916,107.0,1811.3551025390625,0.006824008654803038,0.7849511971889133
pos17_T,0.21728260815143585,31.0,6775.54833984375,0.006869209464639425,0.5425676164327936
pos19_C,0.21274496614933014,81.0,1452.3580322265625,0.002840639092028141,0.7562356132590708
pos15_CTCF,0.20159876346588135,5.0,2373.199951171875,0.0005310096894390881,0.605820290298808
pos11_CTCF,0.1985401064157486,9.0,1023.2222290039062,0.0006674897740595043,0.6690318757234349
pos20_A,0.19549119472503662,89.0,1562.2135009765625,0.002293689176440239,0.8267205943374342
pos17_G,0.19380055367946625,114.0,1183.903564453125,0.0027394092176109552,0.7921603833795
pos12_A,0.18592999875545502,75.0,3036.05322265625,0.006028832867741585,0.836227747129288
pos6_CTCF,0.18455076217651367,4.0,921.5,0.0001375255233142525,0.5166852112014991
pos20_T,0.18311463296413422,37.0,4787.67578125,0.006209964863955975,0.5126204326041972
pos17_A,0.1823018491268158,80.0,1354.5250244140625,0.0016579505754634738,0.7565076917467589
pos19_G,0.18000009655952454,78.0,1580.705078125,0.0051660845056176186,0.8346116472683472
pos16_T,0.17981810867786407,77.0,1013.6753540039062,0.0010151122696697712,0.6411740644134107
pos13_C,0.17964410781860352,70.0,1332.5714111328125,0.0026676554698497057,0.7915726322205335
pos11_A,0.17838065326213837,98.0,1932.153076171875,0.005570912733674049,0.8037135925997163
pos2_T,0.17798225581645966,74.0,1872.851318359375,0.003971540834754705,0.7371905984047937
pos10_T,0.17689870297908783,71.0,1274.8873291015625,0.002548353048041463,0.7464169899835826
pos1_C,0.17523248493671417,85.0,2457.64697265625,0.005404188297688961,0.8446498994560534
pos15_C,0.1751486361026764,86.0,1304.1395263671875,0.002849094569683075,0.7752051286439525
pos7_A,0.17295457422733307,59.0,1240.0169677734375,0.0016517422627657652,0.7242986886776677
pos16_C,0.17287451028823853,96.0,1894.3958740234375,0.0036654388532042503,0.7910146660397321
pos10_A,0.17237544059753418,96.0,2433.697998046875,0.006207719910889864,0.7842213404764149
pos11_Dnase,0.17155976593494415,1.0,114.0,2.3398540633934317e-06,0.34104116460562167
pos6_T,0.17100529372692108,69.0,1936.478271484375,0.0034581944346427917,0.7867321129439215
pos4_A,0.1702207773923874,64.0,1351.234375,0.0020256834104657173,0.7188259106928194
pos21_A,0.1659582406282425,56.0,1017.2678833007812,0.001116100582294166,0.7279146210772377
pos4_G,0.16391530632972717,63.0,1335.5555419921875,0.0023517413064837456,0.8184314417890424
pos11_C,0.16203929483890533,59.0,1548.1016845703125,0.0029125623404979706,0.8080013665371275
pos3_C,0.16138692200183868,79.0,2219.31640625,0.004161830525845289,0.7938314223088967
pos16_A,0.15953025221824646,61.0,1042.5081787109375,0.0009514912380836904,0.6527038870756099
pos19_Dnase,0.15936365723609924,2.0,1329.5,1.0717008080973756e-05,0.5960865930581477
pos10_G,0.15892240405082703,59.0,858.677978515625,0.0008398315985687077,0.693901645261183
pos15_G,0.15789978206157684,71.0,1254.45068359375,0.002059211255982518,0.7348165179621675
pos2_C,0.15785902738571167,77.0,985.4805297851562,0.0009585012448951602,0.7063556503543506
pos4_T,0.15770526230335236,89.0,1371.415771484375,0.003104257397353649,0.7532537909492826
pos16_CTCF,0.15701188147068024,5.0,408.3999938964844,0.0001659955596551299,0.7000317058516696
pos8_CTCF,0.15663331747055054,17.0,3508.11767578125,0.0019832802936434746,0.7747170520101164
pos8_G,0.15586179494857788,66.0,1078.1212158203125,0.0021878457628190517,0.7919801097037351
pos12_T,0.15526387095451355,60.0,1196.9166259765625,0.0012377973180264235,0.6867607818414934
pos15_T,0.1544189304113388,77.0,1212.0909423828125,0.002488505793735385,0.7256249759416185
pos13_T,0.1531379073858261,54.0,1603.5555419921875,0.0016201732214540243,0.6877263912647228
pos17_CTCF,0.15261691808700562,5.0,2204.800048828125,0.000711438711732626,0.6582045451638093
pos4_C,0.15205737948417664,60.0,1500.3499755859375,0.0019544134847819805,0.7403729547428555
pos21_C,0.15189695358276367,68.0,1146.4117431640625,0.0014370582066476345,0.5918018408269717
pos13_A,0.15182529389858246,71.0,1351.408447265625,0.0013081663055345416,0.6871584097699689
pos9_A,0.15108762681484222,75.0,1457.8533935546875,0.0027657148893922567,0.7429776283876195
pos5_T,0.1501951813697815,65.0,781.7230834960938,0.0006191928987391293,0.6452579959987939
pos21_T,0.1485861986875534,72.0,1472.138916015625,0.0027718376368284225,0.8244500813690853
pos8_C,0.14744138717651367,65.0,1521.984619140625,0.0021267347037792206,0.7252817194177692
pos13_G,0.14650782942771912,72.0,773.3472290039062,0.0012026791227981448,0.7046202051335059
pos6_C,0.14529262483119965,75.0,1326.5067138671875,0.00216627586632967,0.7631229883904002
pos9_T,0.14483119547367096,59.0,993.5254516601562,0.0014520683325827122,0.7315936893723864
pos23_Dnase,0.14459091424942017,3.0,2491.333251953125,4.033654840895906e-05,1.2591985073853382
pos5_A,0.14429795742034912,53.0,1163.32080078125,0.0011309059336781502,0.6945927357140947
pos5_G,0.1438237577676773,64.0,1279.34375,0.0020521837286651134,0.7861307669139201
pos9_G,0.1427663117647171,64.0,1039.5625,0.000782201299443841,0.6545671661438953
pos2_G,0.1418488770723343,89.0,1119.1910400390625,0.0014364802045747638,0.7304862219865172
pos3_T,0.14121101796627045,84.0,1286.488037109375,0.0016158845974132419,0.7006840179934627
pos7_G,0.14010697603225708,49.0,1067.9796142578125,0.0006397206452675164,0.6975846866878648
pos3_A,0.14007140696048737,49.0,1350.938720703125,0.0008081261767074466,0.7051934652107757
pos2_A,0.139898419380188,45.0,1026.0888671875,0.0012576053850352764,0.7579829502474273
pos14_C,0.13974124193191528,67.0,1176.41796875,0.0013599677477031946,0.7366877898025541
pos6_A,0.13961724936962128,48.0,1465.6666259765625,0.0017791884019970894,0.763406697701674
pos14_Dnase,0.13912585377693176,1.0,2652.0,1.3486486750480253e-05,1.4912234822204655
pos1_A,0.13889756798744202,69.0,1061.797119140625,0.000799038854893297,0.6611899771964382
pos7_T,0.13836918771266937,58.0,1207.3792724609375,0.0009736162610352039,0.7063597371260708
pos2_CTCF,0.13723985850811005,3.0,912.6666870117188,0.00013441366900224239,0.6735690018403839
pos23_CTCF,0.13717925548553467,10.0,810.5,0.00024318342912010849,0.5866102740736093
pos6_G,0.13704822957515717,86.0,1687.7093505859375,0.004215633496642113,0.7677750704444736
pos17_C,0.1362181007862091,73.0,1046.643798828125,0.0011679489398375154,0.7365346426938228
pos10_C,0.13564787805080414,41.0,590.4146118164062,0.0004565178242046386,0.6800125415934428
pos8_A,0.13546931743621826,54.0,1472.77783203125,0.001516526797786355,0.7329340288281805
pos11_G,0.13459806144237518,66.0,890.0,0.0014227302744984627,0.7387373344507011
pos3_G,0.13412593305110931,61.0,1458.7213134765625,0.0018056170083582401,0.7639613107591643
pos1_Dnase,0.13373468816280365,22.0,960.1818237304688,4.8698500904720277e-05,0.6823571019610504
pos12_C,0.13192081451416016,62.0,838.1613159179688,0.0007314755348488688,0.7025934551581036
pos7_C,0.1317814439535141,66.0,953.227294921875,0.000894243479706347,0.6579061951882341
pos14_A,0.13013404607772827,58.0,1294.413818359375,0.00132992141880095,0.7011976030240513
pos1_T,0.12979525327682495,64.0,749.28125,0.0006618271581828594,0.6724592650405191
