Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.0011773872297219715,0.004257464008446653,-0.2765466078834908,0.782133219510472,0.9291168266229618
pos1_C,-0.016481939533726637,0.004166859263555868,-3.955482652817379,7.683700108973568e-05,0.0007322114221492459
pos1_G,0.023532282753740714,0.004263400597823515,5.519603943798772,3.471047604897137e-08,6.247885688814847e-07
pos1_CTCF,-0.11441911651043937,0.035819940432003754,-3.1942855049588594,0.0014055418637439754,0.009487407580271834
pos1_Dnase,-0.10069955938685196,0.1624750547715172,-0.6197847388232127,0.5354117543928214,0.8358373392811711
pos1_H3K4me3,0.03549831610147106,0.046210529051708416,0.7681867494256416,0.44239196336072273,0.7942697665141493
pos1_RRBS,0.007347923222293096,0.017846981645627508,0.41171797944294575,0.6805537917163349,0.8892171909089799
pos2_A,0.009814793210878718,0.004568205394379427,2.1485008583358627,0.03169473315459537,0.12836366927611126
pos2_C,0.01204104543676782,0.00451576100787629,2.666448781449261,0.007676415527378966,0.03768422167986038
pos2_G,0.012914464117410934,0.004459817737530029,2.8957380945713993,0.003789779298431828,0.01980465310793407
pos2_CTCF,0.09406178664638035,0.047019646790284246,2.000478375899168,0.045472018741987474,0.1601405877435211
pos2_Dnase,0.003404054052525189,0.17734084241458967,0.019194980728506682,0.9846858935112739,1.0
pos2_H3K4me3,0.02514701194579733,0.06204111194846478,0.40532819538576303,0.6852437976900592,0.8892171909089799
pos2_RRBS,-0.010024616085806994,0.01673393954537445,-0.5990589399839186,0.5491453406748779,0.8392598602767001
pos3_A,-0.006517625405576347,0.004158184368918397,-1.56742097687979,0.11704374221756142,0.342365303293035
pos3_C,-0.02136104439571654,0.004252410139848707,-5.023279432890385,5.155648306054417e-07,8.352150255808156e-06
pos3_G,0.0031455246950010452,0.004287177011025144,0.7337053466446191,0.46314324450135347,0.8066307800590241
pos3_CTCF,0.056458328937366346,0.04498167446731591,1.2551406679711197,0.2094531155999011,0.506438876525134
pos3_Dnase,0.2723701684483545,0.132642473780032,2.0534159284456672,0.04005474372387563,0.15090391821553145
pos3_H3K4me3,-0.037866525344344586,0.056396986692259156,-0.671428166028984,0.5019612464133498,0.8297726726424762
pos3_RRBS,-0.006618549337265643,0.017920291082564283,-0.36933269145975106,0.7118865375170644,0.8892171909089799
pos4_A,0.01567432200552365,0.004401243357523217,3.5613395425478847,0.00037045326088080976,0.0031586014875100623
pos4_C,0.005440958380295967,0.004292354719601688,1.267592903132867,0.20496894405738697,0.506438876525134
pos4_G,0.012721597570970153,0.004310212529229153,2.9515012275381487,0.0031686946397595506,0.017700983849691283
pos4_CTCF,-0.03239177390777442,0.04565175785239576,-0.7095405616691829,0.47800342522016237,0.8066307800590241
pos4_Dnase,-0.15719846710004007,0.15875746215014294,-0.9901800203342349,0.3221068970477301,0.6776794457367828
pos4_H3K4me3,0.046457784423615936,0.05517044923310585,0.8420773270727375,0.39976212182279824,0.7525244641850625
