iteration,train_rmse,validation_rmse
0,0.16324748094680785,0.16364507286937574
1,0.1626312237962781,0.163235851551131
2,0.16204122358180206,0.16282908948157676
3,0.1615087537069564,0.16246213333605428
4,0.16098002812049592,0.16205351590637856
5,0.16050982783426715,0.16175964724186684
6,0.16007896826796425,0.16150489351982225
7,0.15966264779632744,0.16118970460236146
8,0.15927622812926312,0.1610076937926253
9,0.1588662612865232,0.16074794895185063
10,0.1585244356752584,0.16048937099893137
11,0.1582136600519007,0.16030236229580064
12,0.15788322261836912,0.1601248363042952
13,0.15753397282980028,0.15995524709605172
14,0.15724878572530954,0.15977327608435637
15,0.15700188089559655,0.15965346430817245
16,0.15671718868871837,0.1594917269674373
17,0.15641594754976276,0.159333072481532
18,0.15615844018211564,0.15925479316727775
19,0.1558615329045754,0.1591271958048691
20,0.1555934083797855,0.1589733680388106
21,0.15530797951639158,0.15886753993769098
22,0.15507769047248451,0.15877947710363058
23,0.15482828666106993,0.158662729664339
24,0.15464785153570665,0.15862912806726423
25,0.15440600803100912,0.15859635444492431
26,0.15414245572629226,0.1584529472291705
27,0.15397728993760504,0.15840971303391493
28,0.15377361661131242,0.15832159969771695
29,0.15353458667236267,0.1582217071893447
30,0.15334345454598003,0.15819552378030557
31,0.15311704581564897,0.15811812016738616
32,0.1529018933636443,0.15805458348036774
33,0.1527359535744232,0.15799118667523324
34,0.15251074991275437,0.1579707159515087
35,0.1523288033864804,0.1579018250673544
36,0.15211038720496406,0.15782650002512186
37,0.15190524747922624,0.15779078108183198
38,0.151719344375753,0.1577891418551878
39,0.1515559545287244,0.15775969125965683
40,0.15140018440706848,0.1577720561114515
41,0.15120618506726424,0.15771310226058013
42,0.15103904340972008,0.15768735329666322
43,0.15092871420758608,0.15768867070616474
44,0.15074834956506253,0.15763308972765053
45,0.15055796693876128,0.1575426176528418
46,0.15038656968863562,0.15747272412992858
47,0.15018651628424529,0.1573853513626276
48,0.15005052594451843,0.15737464038600146
49,0.14988134635972325,0.15730976972329477
50,0.14970077330961232,0.15723279979761826
51,0.14952951959871724,0.15717320125398798
52,0.1493438255521404,0.15713073568829072
53,0.14917684762042596,0.15717400662412298
54,0.14906265801975724,0.15716249132411517
55,0.1488975707695651,0.15715632530373705
56,0.14877320779855066,0.15711047709103207
57,0.1486177597298828,0.15716457785920573
58,0.14848310273002732,0.15707424297934636
59,0.1483189229859283,0.15704612934763654
60,0.14816112746458016,0.15700204542053703
61,0.14804079422104974,0.15698686323028882
62,0.1478949492470418,0.15695482130108068
63,0.14775409554485516,0.15694769420637555
64,0.14761844499621743,0.1569505647210146
65,0.14749254873749454,0.1569587781601245
66,0.14737749226819044,0.15691533629960475
67,0.1472198176578904,0.1569204912996903
68,0.1471021929462654,0.15690775652625608
69,0.14697039176288082,0.156921621484512
70,0.14679882767016733,0.15690426882476347
71,0.14667161930731495,0.15691237650960968
72,0.1465672154621718,0.15690087679610512
73,0.14641952128535946,0.15691908325203527
74,0.14629979679800348,0.15694656919794392
75,0.14621171730462884,0.1569378680857874
76,0.1460789823450743,0.1569305660479886
77,0.1459346705621276,0.15693919961194416
78,0.14585392544173306,0.1569136070026111
79,0.1456867388882776,0.15686311875099263
80,0.14559424830763162,0.15683952987270935
81,0.1454716275495001,0.1568513779774514
82,0.1453459941903148,0.15684068772781137
83,0.14522522400887533,0.1568349450406264
84,0.14513359639937734,0.1568169058387119
85,0.14501026639176065,0.15678861463528626
86,0.14490622797092095,0.15675657584861966
87,0.1448282441675499,0.1567570670084745
88,0.14471778642709476,0.15677858503498115
89,0.14462818180463313,0.15674551995096203
90,0.14448391453304507,0.1567460825938086
91,0.14437437658861302,0.15673494081874456
