Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.0023086864838391496,0.008619479830822103,-0.26784522142317646,0.788854166928427,1.0
pos1_C,0.01577235786829346,0.008636908425228044,1.8261578208034566,0.06801914995313663,0.3486429308722334
pos1_G,0.006358572632198354,0.008382722529964127,0.7585331149241278,0.44824744123704496,0.8251827895500146
pos1_CTCF,-392307658466.6686,266490409905.00507,-1.4721267403450398,0.14119005651521377,0.3486429308722334
pos1_Dnase,-173685221027.3348,117982518941.69496,-1.472126740345044,0.14119005651521266,0.3486429308722334
pos1_H3K4me3,-27919056712.55007,18965117572.693687,-1.472126740345044,0.14119005651521266,0.3486429308722334
pos1_RRBS,-0.024457947575538874,0.04663962751915721,-0.5244027209585407,0.6000735929163752,0.9792101637440692
pos2_A,-0.002282490663512984,0.008687179397989976,-0.2627424344478373,0.7927840926972107,1.0
pos2_C,0.010479246784520056,0.00865536239241749,1.2107230534564764,0.22618649949508396,0.508263824323324
pos2_G,-0.00431197776631803,0.008585112048237552,-0.5022622584411395,0.6155545355231125,0.9792101637440692
pos2_CTCF,12894905940.17752,8759372129.301315,1.472126740345038,0.1411900565152142,0.3486429308722334
pos2_Dnase,6879585056.478469,4673228783.865455,1.4721267403450404,0.14119005651521332,0.3486429308722334
pos2_H3K4me3,-12567504380.75964,8536971740.49971,-1.4721267403450493,0.1411900565152111,0.3486429308722334
pos2_RRBS,-0.016668109427688434,0.048477843016384095,-0.3438294361004284,0.7310212866401189,1.0
pos3_A,0.0015708609379817746,0.008232492377611915,0.19081231611628297,0.8486976762803986,1.0
pos3_C,0.010175076532862204,0.008455760393025574,1.2033307544114833,0.2290324640469299,0.508263824323324
pos3_G,0.0084963358835053,0.00865934648611116,0.9811751841934823,0.3266597764162191,0.6489180390740802
pos3_CTCF,-1188982531.6190689,807663157.684639,-1.472126740345039,0.14119005651521377,0.3486429308722334
pos3_Dnase,8699192099.478807,5909268448.883587,1.4721267403450438,0.14119005651521266,0.3486429308722334
pos3_H3K4me3,2147002251.778188,1458435739.8976188,1.47212674034504,0.14119005651521377,0.3486429308722334
pos3_RRBS,-0.008278543161708483,0.05537925754420704,-0.14948815727802153,0.8811879387687762,1.0
pos4_A,0.009559540668025083,0.008829468268556812,1.0826858851815775,0.2791165957798125,0.5797036989273029
pos4_C,0.0057195270456993855,0.008692199857850746,0.6580068497313186,0.5106316309879566,0.8820799172666358
pos4_G,0.007418024086176263,0.008697562507031896,0.8528854009590459,0.3938548841278888,0.7506410732790352
pos4_CTCF,-2866966276.5165634,1947499626.183411,-1.4721267403450373,0.1411900565152142,0.3486429308722334
pos4_Dnase,5540203302.848863,3763401038.1132927,1.4721267403450404,0.14119005651521332,0.3486429308722334
pos4_H3K4me3,-1784380384.978771,1212110571.7844203,-1.472126740345048,0.14119005651521155,0.3486429308722334
pos4_RRBS,-0.027845771013452845,0.04654124314377083,-0.5983031206844713,0.5497252779214885,0.9287821570433059
pos5_A,0.014297623094376323,0.008558904105202714,1.6704969372989242,0.09502336675864931,0.3486429308722334
pos5_C,0.01414157318208388,0.00866853306091785,1.6313686621143866,0.10301609194967232,0.3486429308722334
pos5_G,0.015936050256995418,0.008706939170631305,1.8302700805293395,0.06740187338775683,0.3486429308722334
pos5_CTCF,-323026420.4620747,219428403.55332565,-1.4721267403450464,0.141190056515212,0.3486429308722334
pos5_Dnase,-855102586.7618175,580862070.7218438,-1.4721267403450389,0.141190056515214,0.3486429308722334
pos5_H3K4me3,2901002596.5267963,1970620135.4965158,1.4721267403450449,0.14119005651521221,0.3486429308722334
pos5_RRBS,-0.1251776788481132,0.06668661908256218,-1.8771033915085042,0.06069198330328196,0.3486429308722334
pos6_A,-0.01279166871252737,0.0085467056666317,-1.4966782771599332,0.13468097388599287,0.3486429308722334
pos6_C,-0.008846189263321138,0.008704863511689616,-1.0162352633607337,0.3096762730183982,0.6270944528622563
pos6_G,-0.0026648625392925156,0.008573866016886278,-0.310812244329927,0.75598523267364,1.0
pos6_CTCF,-502377794.4953562,341259879.82366574,-1.472126740345049,0.1411900565152111,0.3486429308722334
pos6_Dnase,-522261945.5710649,354766971.65942115,-1.4721267403450402,0.14119005651521377,0.3486429308722334
pos6_H3K4me3,-95745942.84746595,65039198.20451354,-1.4721267403450469,0.14119005651521177,0.3486429308722334
pos6_RRBS,-0.017830734814185824,0.06338436840756882,-0.2813112327558766,0.7785093166613124,1.0
pos7_A,-0.02048378735563821,0.008773166636169965,-2.334822556679564,0.019680039666454485,0.24524357122812512
pos7_C,-0.0040660014812067,0.008759123630512069,-0.4642018599946393,0.6425684435817949,0.9913913129547693
pos7_G,-0.0013263210476014565,0.00858924804017017,-0.1544164333593025,0.8773015391692613,1.0
pos7_CTCF,-121115863.9508703,82272715.13489564,-1.4721267403450442,0.14119005651521244,0.3486429308722334
pos7_Dnase,-111486969.16564089,75731909.56337802,-1.472126740345038,0.1411900565152142,0.3486429308722334
pos7_H3K4me3,237691340.60638425,161461193.586276,1.4721267403450418,0.1411900565152131,0.3486429308722334
pos7_RRBS,-0.009809876420889992,0.04439508348575843,-0.22096763088725618,0.8251467965269217,1.0
pos8_A,-0.004443392168282586,0.008809272610133185,-0.5043994396508303,0.6140525435708137,0.9792101637440692
