Feature,MLP_IG,IG_SNR
pos23_G,0.012923927,4.2805448
pos20_G,0.009669135,0.57474154
pos23_Dnase,0.009278665,2.98623
pos6_Dnase,0.0089086015,2.8063745
pos12_Dnase,0.008890362,3.3606856
pos8_Dnase,0.00850754,2.8650124
pos1_G,0.008418711,0.64103407
pos22_G,0.007686022,2.902309
pos19_G,0.0076496922,0.646998
pos18_C,0.007164073,0.69643176
pos1_Dnase,0.0070106518,2.4696999
pos10_Dnase,0.006297884,2.1834471
pos3_Dnase,0.0061316094,2.175426
pos20_Dnase,0.006035426,2.0675042
pos16_Dnase,0.0049024057,1.6485605
pos2_Dnase,0.0047356663,1.4546083
pos4_G,0.004726573,0.6894301
pos7_Dnase,0.004683758,1.4575025
pos17_G,0.004642498,0.621927
pos18_Dnase,0.0046073743,1.7589847
pos10_A,0.0044872807,0.5448041
pos8_C,0.0044391146,0.54044235
pos20_T,0.0043678754,0.5066021
pos15_Dnase,0.004317191,1.7487214
pos17_A,0.0043062875,0.53967243
pos3_G,0.0041457606,0.5996445
pos14_T,0.0038549118,0.5143081
pos11_A,0.003718644,0.54263455
pos11_Dnase,0.0037093353,1.4439328
pos12_A,0.003687974,0.6314216
pos20_A,0.0035876392,0.5653919
pos7_C,0.0035424351,0.6143858
pos17_T,0.0035039033,0.5089828
pos2_G,0.0034741126,0.6289567
pos17_Dnase,0.003287388,1.4267786
pos10_G,0.003174035,0.64908975
pos6_A,0.0031020902,0.5320844
pos16_A,0.003100533,0.49853855
pos21_C,0.0030601393,0.5552021
pos15_A,0.003049204,0.5451157
pos5_Dnase,0.002881402,0.97548306
pos1_T,0.0028732363,0.54409385
pos8_A,0.0027819776,0.5712978
pos19_Dnase,0.0027746921,0.9298474
pos21_A,0.0026529664,0.54564375
pos21_Dnase,0.0026527648,0.9468877
pos14_A,0.0025601136,0.5607151
pos19_T,0.0025015664,0.50620776
pos15_C,0.0024883363,0.6150144
pos11_G,0.0024404032,0.64199436
pos7_A,0.0024302285,0.46955293
pos4_Dnase,0.0023419142,0.90291756
pos6_C,0.002300109,0.60258025
pos12_T,0.0022920226,0.5164111
pos14_Dnase,0.002256151,0.8963962
pos9_G,0.0022327309,0.5181713
pos20_C,0.0022049998,0.5638721
pos9_Dnase,0.002200118,0.7849075
pos5_A,0.0021528949,0.5510238
pos15_T,0.0021320188,0.5378462
pos1_A,0.002119263,0.5022532
pos16_C,0.0020677855,0.583436
pos13_Dnase,0.002054257,0.78780663
pos14_C,0.002046605,0.55971676
pos13_A,0.0019543332,0.48535538
pos12_G,0.0019518038,0.46316275
pos21_G,0.0018952143,0.39199042
pos3_T,0.0018377174,0.52163213
pos14_G,0.0017755715,0.55334216
pos13_G,0.0017690555,0.60323197
pos22_Dnase,0.0017247102,0.8386881
pos18_T,0.0017153182,0.49812827
pos16_T,0.0016825026,0.4209561
pos8_G,0.0016643051,0.54250383
pos13_T,0.0015882263,0.42928272
pos15_G,0.0015843009,0.48423937
pos9_T,0.001544599,0.49707967
pos7_T,0.0015190924,0.47841245
pos9_A,0.0015135782,0.54512435
pos2_C,0.0014555553,0.4628175
pos19_C,0.0013676913,0.53494304
pos6_G,0.0013625821,0.4835165
pos13_C,0.0013333388,0.5283955
pos18_A,0.0013275099,0.4504007
pos5_C,0.0011973259,0.44027478
pos7_G,0.0011930862,0.52801424
pos21_T,0.0011771789,0.54750454
pos1_C,0.0010703395,0.48168126
pos8_T,0.0010563162,0.46449387
pos3_A,0.0010490781,0.45523363
pos12_C,0.0010447518,0.42602745
pos19_A,0.0010379984,0.43652442
pos2_T,0.0010264599,0.4793481
pos4_A,0.0010066836,0.4455463
pos10_C,0.0009711911,0.48142782
pos11_C,0.0009059389,0.41918412
pos4_C,0.0008587373,0.4387392
pos10_T,0.00085651816,0.3282602
pos16_G,0.0008200182,0.48190683
pos17_C,0.00075322355,0.4132216
pos9_C,0.00072197814,0.4486446
pos6_T,0.00070996926,0.39464536
pos5_G,0.000703846,0.4555299
pos4_T,0.00065611367,0.34656397
pos11_T,0.000628185,0.35554776
pos5_T,0.00056853564,0.37693313
pos3_C,0.0005562851,0.41434476
pos2_A,0.0005101305,0.39521965
pos18_G,0.00037404272,0.36247033
pos1_CTCF,0.0,0.0
pos2_CTCF,0.0,0.0
pos2_H3K4me3,0.0,0.0
pos1_RRBS,0.0,0.0
pos1_H3K4me3,0.0,0.0
pos4_CTCF,0.0,0.0
pos4_H3K4me3,0.0,0.0
pos2_RRBS,0.0,0.0
pos3_CTCF,0.0,0.0
pos3_H3K4me3,0.0,0.0
pos3_RRBS,0.0,0.0
pos7_RRBS,0.0,0.0
pos7_H3K4me3,0.0,0.0
pos7_CTCF,0.0,0.0
pos6_RRBS,0.0,0.0
pos6_H3K4me3,0.0,0.0
pos6_CTCF,0.0,0.0
pos5_H3K4me3,0.0,0.0
pos5_RRBS,0.0,0.0
pos4_RRBS,0.0,0.0
pos5_CTCF,0.0,0.0
pos15_CTCF,0.0,0.0
pos14_RRBS,0.0,0.0
pos14_H3K4me3,0.0,0.0
pos14_CTCF,0.0,0.0
pos13_H3K4me3,0.0,0.0
pos13_RRBS,0.0,0.0
pos9_RRBS,0.0,0.0
pos9_H3K4me3,0.0,0.0
pos10_CTCF,0.0,0.0
pos10_H3K4me3,0.0,0.0
pos8_H3K4me3,0.0,0.0
pos8_CTCF,0.0,0.0
pos9_CTCF,0.0,0.0
pos8_RRBS,0.0,0.0
pos12_RRBS,0.0,0.0
pos13_CTCF,0.0,0.0
pos12_CTCF,0.0,0.0
pos12_H3K4me3,0.0,0.0
pos10_RRBS,0.0,0.0
pos11_CTCF,0.0,0.0
pos11_H3K4me3,0.0,0.0
pos11_RRBS,0.0,0.0
pos15_RRBS,0.0,0.0
pos15_H3K4me3,0.0,0.0
pos19_CTCF,0.0,0.0
pos18_RRBS,0.0,0.0
pos19_RRBS,0.0,0.0
pos19_H3K4me3,0.0,0.0
pos17_H3K4me3,0.0,0.0
pos17_RRBS,0.0,0.0
pos16_RRBS,0.0,0.0
pos17_CTCF,0.0,0.0
pos16_CTCF,0.0,0.0
pos16_H3K4me3,0.0,0.0
pos18_H3K4me3,0.0,0.0
pos18_CTCF,0.0,0.0
pos20_CTCF,0.0,0.0
pos20_H3K4me3,0.0,0.0
pos21_RRBS,0.0,0.0
pos21_H3K4me3,0.0,0.0
pos21_CTCF,0.0,0.0
pos20_RRBS,0.0,0.0
pos22_T,0.0,0.0
pos22_CTCF,0.0,0.0
pos22_C,0.0,0.0
pos22_A,0.0,0.0
pos22_RRBS,0.0,0.0
pos22_H3K4me3,0.0,0.0
pos23_C,0.0,0.0
pos23_A,0.0,0.0
pos23_T,0.0,0.0
pos23_CTCF,0.0,0.0
pos23_H3K4me3,0.0,0.0
pos23_RRBS,0.0,0.0
