split_type,cell_line,model,environment_added,background,background_set,delta_r2_mean,delta_mae_mean,delta_rmse_mean,n_paired
all,hct116,cnn(3|3),ctcf,sequence,,1.1e-05,0.000538,-1e-06,1
all,hct116,cnn(3|3),ctcf,sequence_dnase,dnase,-0.009263,-0.001198,0.000812,1
all,hct116,cnn(3|3),ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.00427,-0.000252,-0.000374,1
all,hct116,cnn(3|3),ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",-0.000748,-4e-05,6.6e-05,1
all,hct116,cnn(3|3),ctcf,sequence_dnase_rrbs,"dnase,rrbs",0.004729,0.001719,-0.000415,1
all,hct116,cnn(3|3),ctcf,sequence_h3k4me3,h3k4me3,-0.006264,-0.001685,0.000549,1
all,hct116,cnn(3|3),ctcf,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",-0.001279,0.000996,0.000112,1
all,hct116,cnn(3|3),ctcf,sequence_rrbs,rrbs,-0.006805,-0.001168,0.000598,1
all,hct116,cnn(3|3),dnase,sequence,,-0.001449,0.001391,0.000127,1
all,hct116,cnn(3|3),dnase,sequence_ctcf,ctcf,-0.010723,-0.000345,0.00094,1
all,hct116,cnn(3|3),dnase,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.00469,0.0013,-0.000411,1
all,hct116,cnn(3|3),dnase,sequence_ctcf_h3k4me3_rrbs,"ctcf,h3k4me3,rrbs",0.003379,-0.000692,-0.000297,1
all,hct116,cnn(3|3),dnase,sequence_ctcf_rrbs,"ctcf,rrbs",0.004288,0.001387,-0.000377,1
all,hct116,cnn(3|3),dnase,sequence_h3k4me3,h3k4me3,-0.005844,-0.000133,0.000512,1
all,hct116,cnn(3|3),dnase,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.002847,0.000345,-0.00025,1
all,hct116,cnn(3|3),dnase,sequence_rrbs,rrbs,-0.007246,-0.0015,0.000637,1
all,hct116,cnn(3|3),h3k4me3,sequence,,-0.003387,0.001425,0.000298,1
all,hct116,cnn(3|3),h3k4me3,sequence_ctcf,ctcf,-0.009663,-0.000798,0.000847,1
all,hct116,cnn(3|3),h3k4me3,sequence_ctcf_dnase,"ctcf,dnase",0.00575,0.000846,-0.000503,1
all,hct116,cnn(3|3),h3k4me3,sequence_ctcf_dnase_rrbs,"ctcf,dnase,rrbs",-0.001044,-0.001053,9.2e-05,1
all,hct116,cnn(3|3),h3k4me3,sequence_ctcf_rrbs,"ctcf,rrbs",-0.000135,0.001027,1.2e-05,1
all,hct116,cnn(3|3),h3k4me3,sequence_dnase,dnase,-0.007783,-9.9e-05,0.000682,1
all,hct116,cnn(3|3),h3k4me3,sequence_dnase_rrbs,"dnase,rrbs",0.004433,0.000707,-0.000389,1
all,hct116,cnn(3|3),h3k4me3,sequence_rrbs,rrbs,-0.005661,-0.001138,0.000498,1
all,hct116,cnn(3|3),rrbs,sequence,,0.003102,0.001299,-0.000273,1
all,hct116,cnn(3|3),rrbs,sequence_ctcf,ctcf,-0.003714,-0.000407,0.000326,1
all,hct116,cnn(3|3),rrbs,sequence_ctcf_dnase,"ctcf,dnase",0.011297,0.001325,-0.000991,1
all,hct116,cnn(3|3),rrbs,sequence_ctcf_dnase_h3k4me3,"ctcf,dnase,h3k4me3",0.004503,-0.000574,-0.000395,1
all,hct116,cnn(3|3),rrbs,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.005814,0.001418,-0.000509,1
all,hct116,cnn(3|3),rrbs,sequence_dnase,dnase,-0.002695,-0.001592,0.000237,1
all,hct116,cnn(3|3),rrbs,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.009521,-0.000786,-0.000835,1
all,hct116,cnn(3|3),rrbs,sequence_h3k4me3,h3k4me3,0.000829,-0.001264,-7.3e-05,1
all,hct116,cnn(5|3),ctcf,sequence,,-0.016563,-0.000615,0.001475,1
all,hct116,cnn(5|3),ctcf,sequence_dnase,dnase,-0.008041,0.002247,0.000716,1
all,hct116,cnn(5|3),ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.009342,-0.002808,-0.000832,1
all,hct116,cnn(5|3),ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",-0.019605,0.001369,0.001745,1
all,hct116,cnn(5|3),ctcf,sequence_dnase_rrbs,"dnase,rrbs",0.006891,-0.000286,-0.000617,1
all,hct116,cnn(5|3),ctcf,sequence_h3k4me3,h3k4me3,-0.012866,0.00337,0.001146,1
all,hct116,cnn(5|3),ctcf,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.002346,-0.000641,-0.000209,1
all,hct116,cnn(5|3),ctcf,sequence_rrbs,rrbs,-0.013898,0.002268,0.001238,1
all,hct116,cnn(5|3),dnase,sequence,,-0.004659,-0.000959,0.000416,1
all,hct116,cnn(5|3),dnase,sequence_ctcf,ctcf,0.003863,0.001903,-0.000343,1
all,hct116,cnn(5|3),dnase,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.010358,-0.003709,-0.000922,1
all,hct116,cnn(5|3),dnase,sequence_ctcf_h3k4me3_rrbs,"ctcf,h3k4me3,rrbs",-0.010312,0.002134,0.000916,1
all,hct116,cnn(5|3),dnase,sequence_ctcf_rrbs,"ctcf,rrbs",0.021098,-0.000251,-0.001883,1
all,hct116,cnn(5|3),dnase,sequence_h3k4me3,h3k4me3,-0.01185,0.002468,0.001056,1
all,hct116,cnn(5|3),dnase,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.011639,0.000123,-0.001038,1
all,hct116,cnn(5|3),dnase,sequence_rrbs,rrbs,0.00031,0.002303,-2.8e-05,1
all,hct116,cnn(5|3),h3k4me3,sequence,,-0.001458,-0.000667,0.00013,1
all,hct116,cnn(5|3),h3k4me3,sequence_ctcf,ctcf,0.002238,0.003317,-0.000199,1
all,hct116,cnn(5|3),h3k4me3,sequence_ctcf_dnase,"ctcf,dnase",0.008733,-0.002295,-0.000778,1
all,hct116,cnn(5|3),h3k4me3,sequence_ctcf_dnase_rrbs,"ctcf,dnase,rrbs",-0.025898,0.000728,0.002309,1
all,hct116,cnn(5|3),h3k4me3,sequence_ctcf_rrbs,"ctcf,rrbs",0.005513,-0.001658,-0.00049,1
all,hct116,cnn(5|3),h3k4me3,sequence_dnase,dnase,-0.008649,0.00276,0.00077,1
all,hct116,cnn(5|3),h3k4me3,sequence_dnase_rrbs,"dnase,rrbs",0.000598,-0.000928,-5.3e-05,1
all,hct116,cnn(5|3),h3k4me3,sequence_rrbs,rrbs,-0.010731,0.001252,0.000957,1
all,hct116,cnn(5|3),rrbs,sequence,,-0.000992,-0.00213,8.9e-05,1
all,hct116,cnn(5|3),rrbs,sequence_ctcf,ctcf,0.001673,0.000754,-0.000148,1
all,hct116,cnn(5|3),rrbs,sequence_ctcf_dnase,"ctcf,dnase",0.018908,-0.0014,-0.001689,1
all,hct116,cnn(5|3),rrbs,sequence_ctcf_dnase_h3k4me3,"ctcf,dnase,h3k4me3",-0.015723,0.001622,0.001398,1
all,hct116,cnn(5|3),rrbs,sequence_ctcf_h3k4me3,"ctcf,h3k4me3",0.004947,-0.004221,-0.00044,1
all,hct116,cnn(5|3),rrbs,sequence_dnase,dnase,0.003977,0.001133,-0.000355,1
all,hct116,cnn(5|3),rrbs,sequence_dnase_h3k4me3,"dnase,h3k4me3",0.013224,-0.002554,-0.001179,1
all,hct116,cnn(5|3),rrbs,sequence_h3k4me3,h3k4me3,-0.010265,-0.00021,0.000915,1
all,hct116,cnn(7|3),ctcf,sequence,,-0.031289,0.000685,0.002826,1
all,hct116,cnn(7|3),ctcf,sequence_dnase,dnase,-0.008867,0.002213,0.000794,1
all,hct116,cnn(7|3),ctcf,sequence_dnase_h3k4me3,"dnase,h3k4me3",-0.006841,0.004582,0.000611,1
all,hct116,cnn(7|3),ctcf,sequence_dnase_h3k4me3_rrbs,"dnase,h3k4me3,rrbs",0.01282,-0.001201,-0.001151,1
all,hct116,cnn(7|3),ctcf,sequence_dnase_rrbs,"dnase,rrbs",-0.004274,-0.004026,0.000383,1
all,hct116,cnn(7|3),ctcf,sequence_h3k4me3,h3k4me3,0.007766,0.002464,-0.000696,1
all,hct116,cnn(7|3),ctcf,sequence_h3k4me3_rrbs,"h3k4me3,rrbs",0.004503,0.000124,-0.000403,1
all,hct116,cnn(7|3),ctcf,sequence_rrbs,rrbs,-0.031283,0.005311,0.002811,1
