motif_id,comparison_type,group,n_supporting,n_total,supporting_members,shared_with,similarity,status,reason
motif_cnn33_hela_sequence_cnn_ig_001,cnn_kernel_variant,sequence|cnn_ig,21,3,cnn33;cnn53;cnn73,cnn33:motif_cnn33_hct116_sequence_cnn_ig_072;cnn33:motif_cnn33_hct116_sequence_cnn_ig_074;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_205;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_208;cnn33:motif_cnn33_hl60_sequence_cnn_ig_248;cnn53:motif_cnn53_hct116_sequence_cnn_ig_076;cnn53:motif_cnn53_hct116_sequence_cnn_ig_078;cnn53:motif_cnn53_hek293t_sequence_cnn_ig_209;cnn53:motif_cnn53_hela_sequence_cnn_ig_003;cnn53:motif_cnn53_hela_sequence_cnn_ig_010;cnn53:motif_cnn53_hl60_sequence_cnn_ig_251;cnn53:motif_cnn53_hl60_sequence_cnn_ig_254;cnn73:motif_cnn73_hct116_sequence_cnn_ig_080;cnn73:motif_cnn73_hct116_sequence_cnn_ig_082;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_212;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_214;cnn73:motif_cnn73_hela_sequence_cnn_ig_005;cnn73:motif_cnn73_hela_sequence_cnn_ig_007;cnn73:motif_cnn73_hl60_sequence_cnn_ig_256;cnn73:motif_cnn73_hl60_sequence_cnn_ig_258,1.0,ok,
motif_cnn53_hela_sequence_cnn_ig_003,cnn_kernel_variant,sequence|cnn_ig,21,3,cnn33;cnn53;cnn73,cnn33:motif_cnn33_hct116_sequence_cnn_ig_072;cnn33:motif_cnn33_hct116_sequence_cnn_ig_074;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_205;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_208;cnn33:motif_cnn33_hela_sequence_cnn_ig_001;cnn33:motif_cnn33_hl60_sequence_cnn_ig_248;cnn53:motif_cnn53_hct116_sequence_cnn_ig_076;cnn53:motif_cnn53_hct116_sequence_cnn_ig_078;cnn53:motif_cnn53_hek293t_sequence_cnn_ig_209;cnn53:motif_cnn53_hela_sequence_cnn_ig_010;cnn53:motif_cnn53_hl60_sequence_cnn_ig_251;cnn53:motif_cnn53_hl60_sequence_cnn_ig_254;cnn73:motif_cnn73_hct116_sequence_cnn_ig_080;cnn73:motif_cnn73_hct116_sequence_cnn_ig_082;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_212;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_214;cnn73:motif_cnn73_hela_sequence_cnn_ig_005;cnn73:motif_cnn73_hela_sequence_cnn_ig_007;cnn73:motif_cnn73_hl60_sequence_cnn_ig_256;cnn73:motif_cnn73_hl60_sequence_cnn_ig_258,1.0,ok,
motif_cnn73_hela_sequence_cnn_ig_005,cnn_kernel_variant,sequence|cnn_ig,21,3,cnn33;cnn53;cnn73,cnn33:motif_cnn33_hct116_sequence_cnn_ig_072;cnn33:motif_cnn33_hct116_sequence_cnn_ig_074;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_205;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_208;cnn33:motif_cnn33_hela_sequence_cnn_ig_001;cnn33:motif_cnn33_hl60_sequence_cnn_ig_248;cnn53:motif_cnn53_hct116_sequence_cnn_ig_076;cnn53:motif_cnn53_hct116_sequence_cnn_ig_078;cnn53:motif_cnn53_hek293t_sequence_cnn_ig_209;cnn53:motif_cnn53_hela_sequence_cnn_ig_003;cnn53:motif_cnn53_hela_sequence_cnn_ig_010;cnn53:motif_cnn53_hl60_sequence_cnn_ig_251;cnn53:motif_cnn53_hl60_sequence_cnn_ig_254;cnn73:motif_cnn73_hct116_sequence_cnn_ig_080;cnn73:motif_cnn73_hct116_sequence_cnn_ig_082;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_212;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_214;cnn73:motif_cnn73_hela_sequence_cnn_ig_007;cnn73:motif_cnn73_hl60_sequence_cnn_ig_256;cnn73:motif_cnn73_hl60_sequence_cnn_ig_258,1.0,ok,
motif_cnn73_hela_sequence_cnn_ig_007,cnn_kernel_variant,sequence|cnn_ig,21,3,cnn33;cnn53;cnn73,cnn33:motif_cnn33_hct116_sequence_cnn_ig_072;cnn33:motif_cnn33_hct116_sequence_cnn_ig_074;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_205;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_208;cnn33:motif_cnn33_hela_sequence_cnn_ig_001;cnn33:motif_cnn33_hl60_sequence_cnn_ig_248;cnn53:motif_cnn53_hct116_sequence_cnn_ig_076;cnn53:motif_cnn53_hct116_sequence_cnn_ig_078;cnn53:motif_cnn53_hek293t_sequence_cnn_ig_209;cnn53:motif_cnn53_hela_sequence_cnn_ig_003;cnn53:motif_cnn53_hela_sequence_cnn_ig_010;cnn53:motif_cnn53_hl60_sequence_cnn_ig_251;cnn53:motif_cnn53_hl60_sequence_cnn_ig_254;cnn73:motif_cnn73_hct116_sequence_cnn_ig_080;cnn73:motif_cnn73_hct116_sequence_cnn_ig_082;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_212;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_214;cnn73:motif_cnn73_hela_sequence_cnn_ig_005;cnn73:motif_cnn73_hl60_sequence_cnn_ig_256;cnn73:motif_cnn73_hl60_sequence_cnn_ig_258,1.0,ok,
motif_cnn53_hela_sequence_cnn_ig_010,cnn_kernel_variant,sequence|cnn_ig,21,3,cnn33;cnn53;cnn73,cnn33:motif_cnn33_hct116_sequence_cnn_ig_072;cnn33:motif_cnn33_hct116_sequence_cnn_ig_074;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_205;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_208;cnn33:motif_cnn33_hela_sequence_cnn_ig_001;cnn33:motif_cnn33_hl60_sequence_cnn_ig_248;cnn53:motif_cnn53_hct116_sequence_cnn_ig_076;cnn53:motif_cnn53_hct116_sequence_cnn_ig_078;cnn53:motif_cnn53_hek293t_sequence_cnn_ig_209;cnn53:motif_cnn53_hela_sequence_cnn_ig_003;cnn53:motif_cnn53_hl60_sequence_cnn_ig_251;cnn53:motif_cnn53_hl60_sequence_cnn_ig_254;cnn73:motif_cnn73_hct116_sequence_cnn_ig_080;cnn73:motif_cnn73_hct116_sequence_cnn_ig_082;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_212;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_214;cnn73:motif_cnn73_hela_sequence_cnn_ig_005;cnn73:motif_cnn73_hela_sequence_cnn_ig_007;cnn73:motif_cnn73_hl60_sequence_cnn_ig_256;cnn73:motif_cnn73_hl60_sequence_cnn_ig_258,1.0,ok,
motif_cnn33_hela_sequence_cnn_ig_012,cnn_kernel_variant,sequence|cnn_ig,23,3,cnn33;cnn53;cnn73,cnn33:motif_cnn33_hct116_sequence_cnn_ig_095;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_225;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_228;cnn33:motif_cnn33_hela_sequence_cnn_ig_013;cnn33:motif_cnn33_hl60_sequence_cnn_ig_311;cnn33:motif_cnn33_hl60_sequence_cnn_ig_314;cnn53:motif_cnn53_hct116_sequence_cnn_ig_098;cnn53:motif_cnn53_hct116_sequence_cnn_ig_100;cnn53:motif_cnn53_hek293t_sequence_cnn_ig_230;cnn53:motif_cnn53_hek293t_sequence_cnn_ig_252;cnn53:motif_cnn53_hela_sequence_cnn_ig_015;cnn53:motif_cnn53_hela_sequence_cnn_ig_024;cnn53:motif_cnn53_hl60_sequence_cnn_ig_316;cnn53:motif_cnn53_hl60_sequence_cnn_ig_344;cnn73:motif_cnn73_hct116_sequence_cnn_ig_102;cnn73:motif_cnn73_hct116_sequence_cnn_ig_104;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_234;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_236;cnn73:motif_cnn73_hela_sequence_cnn_ig_018;cnn73:motif_cnn73_hela_sequence_cnn_ig_020;cnn73:motif_cnn73_hl60_sequence_cnn_ig_318;cnn73:motif_cnn73_hl60_sequence_cnn_ig_320,1.0,ok,
motif_cnn33_hela_sequence_cnn_ig_013,cnn_kernel_variant,sequence|cnn_ig,23,3,cnn33;cnn53;cnn73,cnn33:motif_cnn33_hct116_sequence_cnn_ig_095;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_225;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_228;cnn33:motif_cnn33_hela_sequence_cnn_ig_012;cnn33:motif_cnn33_hl60_sequence_cnn_ig_311;cnn33:motif_cnn33_hl60_sequence_cnn_ig_314;cnn53:motif_cnn53_hct116_sequence_cnn_ig_098;cnn53:motif_cnn53_hct116_sequence_cnn_ig_100;cnn53:motif_cnn53_hek293t_sequence_cnn_ig_230;cnn53:motif_cnn53_hek293t_sequence_cnn_ig_252;cnn53:motif_cnn53_hela_sequence_cnn_ig_015;cnn53:motif_cnn53_hela_sequence_cnn_ig_024;cnn53:motif_cnn53_hl60_sequence_cnn_ig_316;cnn53:motif_cnn53_hl60_sequence_cnn_ig_344;cnn73:motif_cnn73_hct116_sequence_cnn_ig_102;cnn73:motif_cnn73_hct116_sequence_cnn_ig_104;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_234;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_236;cnn73:motif_cnn73_hela_sequence_cnn_ig_018;cnn73:motif_cnn73_hela_sequence_cnn_ig_020;cnn73:motif_cnn73_hl60_sequence_cnn_ig_318;cnn73:motif_cnn73_hl60_sequence_cnn_ig_320,1.0,ok,
motif_cnn53_hela_sequence_cnn_ig_015,cnn_kernel_variant,sequence|cnn_ig,23,3,cnn33;cnn53;cnn73,cnn33:motif_cnn33_hct116_sequence_cnn_ig_095;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_225;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_228;cnn33:motif_cnn33_hela_sequence_cnn_ig_012;cnn33:motif_cnn33_hela_sequence_cnn_ig_013;cnn33:motif_cnn33_hl60_sequence_cnn_ig_311;cnn33:motif_cnn33_hl60_sequence_cnn_ig_314;cnn53:motif_cnn53_hct116_sequence_cnn_ig_098;cnn53:motif_cnn53_hct116_sequence_cnn_ig_100;cnn53:motif_cnn53_hek293t_sequence_cnn_ig_230;cnn53:motif_cnn53_hek293t_sequence_cnn_ig_252;cnn53:motif_cnn53_hela_sequence_cnn_ig_024;cnn53:motif_cnn53_hl60_sequence_cnn_ig_316;cnn53:motif_cnn53_hl60_sequence_cnn_ig_344;cnn73:motif_cnn73_hct116_sequence_cnn_ig_102;cnn73:motif_cnn73_hct116_sequence_cnn_ig_104;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_234;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_236;cnn73:motif_cnn73_hela_sequence_cnn_ig_018;cnn73:motif_cnn73_hela_sequence_cnn_ig_020;cnn73:motif_cnn73_hl60_sequence_cnn_ig_318;cnn73:motif_cnn73_hl60_sequence_cnn_ig_320,1.0,ok,
motif_cnn73_hela_sequence_cnn_ig_018,cnn_kernel_variant,sequence|cnn_ig,23,3,cnn33;cnn53;cnn73,cnn33:motif_cnn33_hct116_sequence_cnn_ig_095;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_225;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_228;cnn33:motif_cnn33_hela_sequence_cnn_ig_012;cnn33:motif_cnn33_hela_sequence_cnn_ig_013;cnn33:motif_cnn33_hl60_sequence_cnn_ig_311;cnn33:motif_cnn33_hl60_sequence_cnn_ig_314;cnn53:motif_cnn53_hct116_sequence_cnn_ig_098;cnn53:motif_cnn53_hct116_sequence_cnn_ig_100;cnn53:motif_cnn53_hek293t_sequence_cnn_ig_230;cnn53:motif_cnn53_hek293t_sequence_cnn_ig_252;cnn53:motif_cnn53_hela_sequence_cnn_ig_015;cnn53:motif_cnn53_hela_sequence_cnn_ig_024;cnn53:motif_cnn53_hl60_sequence_cnn_ig_316;cnn53:motif_cnn53_hl60_sequence_cnn_ig_344;cnn73:motif_cnn73_hct116_sequence_cnn_ig_102;cnn73:motif_cnn73_hct116_sequence_cnn_ig_104;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_234;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_236;cnn73:motif_cnn73_hela_sequence_cnn_ig_020;cnn73:motif_cnn73_hl60_sequence_cnn_ig_318;cnn73:motif_cnn73_hl60_sequence_cnn_ig_320,1.0,ok,
motif_cnn73_hela_sequence_cnn_ig_020,cnn_kernel_variant,sequence|cnn_ig,23,3,cnn33;cnn53;cnn73,cnn33:motif_cnn33_hct116_sequence_cnn_ig_095;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_225;cnn33:motif_cnn33_hek293t_sequence_cnn_ig_228;cnn33:motif_cnn33_hela_sequence_cnn_ig_012;cnn33:motif_cnn33_hela_sequence_cnn_ig_013;cnn33:motif_cnn33_hl60_sequence_cnn_ig_311;cnn33:motif_cnn33_hl60_sequence_cnn_ig_314;cnn53:motif_cnn53_hct116_sequence_cnn_ig_098;cnn53:motif_cnn53_hct116_sequence_cnn_ig_100;cnn53:motif_cnn53_hek293t_sequence_cnn_ig_230;cnn53:motif_cnn53_hek293t_sequence_cnn_ig_252;cnn53:motif_cnn53_hela_sequence_cnn_ig_015;cnn53:motif_cnn53_hela_sequence_cnn_ig_024;cnn53:motif_cnn53_hl60_sequence_cnn_ig_316;cnn53:motif_cnn53_hl60_sequence_cnn_ig_344;cnn73:motif_cnn73_hct116_sequence_cnn_ig_102;cnn73:motif_cnn73_hct116_sequence_cnn_ig_104;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_234;cnn73:motif_cnn73_hek293t_sequence_cnn_ig_236;cnn73:motif_cnn73_hela_sequence_cnn_ig_018;cnn73:motif_cnn73_hl60_sequence_cnn_ig_318;cnn73:motif_cnn73_hl60_sequence_cnn_ig_320,1.0,ok,
