run_name,model,split_type,cell_line,seed,kernel,environment,n_train,n_valid,n_test,excluded_heldout_seqs,audit_train_test_seq_overlap,audit_train_test_revcomp_overlap,split_digest,R2,Pearson,MAE,device_resolved,env_stack_id,env_cvd,torch_cuda_build,data_fingerprint,code_fingerprint
all_cnn_all_heldout_hct116_kernel_3,cnn,all,hct116,42,3,all,7003,1240,4239,4266,0,0,a08287ce23c0a882,0.0456607802735568,0.2154374959207592,0.12211966672902852,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_all_heldout_hct116_kernel_5,cnn,all,hct116,42,5,all,7003,1240,4239,4266,0,0,a08287ce23c0a882,0.0501566711239918,0.2258862060878685,0.12168379049558538,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_all_heldout_hct116_kernel_7,cnn,all,hct116,42,7,all,7003,1240,4239,4266,0,0,a08287ce23c0a882,0.06286179789479374,0.2557439087563862,0.12016255887696564,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_all_heldout_hek293t_kernel_3,cnn,all,hek293t,42,3,all,12270,2144,2333,0,0,0,4112243ccd34930a,0.06425563666848033,0.25378310634538154,0.13498152620382797,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_all_heldout_hek293t_kernel_5,cnn,all,hek293t,42,5,all,12270,2144,2333,0,0,0,4112243ccd34930a,0.10316345483739664,0.3293267579456945,0.132258548723936,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_all_heldout_hek293t_kernel_7,cnn,all,hek293t,42,7,all,12270,2144,2333,0,0,0,4112243ccd34930a,0.11230722257820014,0.3521389796720672,0.12772759718335244,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_all_heldout_hela_kernel_3,cnn,all,hela,42,3,all,3707,655,8101,4285,0,0,63c43a369c73b943,0.05544056174143874,0.24058344730205417,0.09358048996681931,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_all_heldout_hela_kernel_5,cnn,all,hela,42,5,all,3707,655,8101,4285,0,0,63c43a369c73b943,0.03810008614662719,0.2164056432921303,0.09233095254891246,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_all_heldout_hela_kernel_7,cnn,all,hela,42,7,all,3707,655,8101,4285,0,0,63c43a369c73b943,0.046378492006569294,0.22072898218030837,0.09409936750947519,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_all_heldout_hl60_kernel_3,cnn,all,hl60,42,3,all,12313,2186,2076,173,0,0,75ea831d98c66240,0.06279714289650595,0.2513600205051712,0.13388311861433116,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_all_heldout_hl60_kernel_5,cnn,all,hl60,42,5,all,12313,2186,2076,173,0,0,75ea831d98c66240,0.08534484659273955,0.29683516450576974,0.1310310437715095,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_all_heldout_hl60_kernel_7,cnn,all,hl60,42,7,all,12313,2186,2076,173,0,0,75ea831d98c66240,0.09335816487318027,0.3092052945802828,0.1308021649485241,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_h3k4me3_heldout_hct116_kernel_3,cnn,all,hct116,42,3,sequence_ctcf_dnase_h3k4me3,7003,1240,4239,4266,0,0,a08287ce23c0a882,0.04643876071542685,0.21658554596094026,0.12248209213468081,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_h3k4me3_heldout_hct116_kernel_5,cnn,all,hct116,42,5,sequence_ctcf_dnase_h3k4me3,7003,1240,4239,4266,0,0,a08287ce23c0a882,0.052452136351153866,0.22999028699048432,0.12182801869057584,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_h3k4me3_heldout_hct116_kernel_7,cnn,all,hct116,42,7,sequence_ctcf_dnase_h3k4me3,7003,1240,4239,4266,0,0,a08287ce23c0a882,0.048067902320134914,0.236888403797191,0.12300399769869287,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_h3k4me3_heldout_hek293t_kernel_3,cnn,all,hek293t,42,3,sequence_ctcf_dnase_h3k4me3,12270,2144,2333,0,0,0,4112243ccd34930a,0.06274974863804028,0.25896969440088197,0.13270580164908777,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_h3k4me3_heldout_hek293t_kernel_5,cnn,all,hek293t,42,5,sequence_ctcf_dnase_h3k4me3,12270,2144,2333,0,0,0,4112243ccd34930a,0.11681758869709347,0.3489093869530772,0.12917295315443214,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_h3k4me3_heldout_hek293t_kernel_7,cnn,all,hek293t,42,7,sequence_ctcf_dnase_h3k4me3,12270,2144,2333,0,0,0,4112243ccd34930a,0.11362275041865633,0.3377121009104847,0.13020662755873524,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_h3k4me3_heldout_hela_kernel_3,cnn,all,hela,42,3,sequence_ctcf_dnase_h3k4me3,3707,655,8101,4285,0,0,63c43a369c73b943,0.058047261142868956,0.24303055989391115,0.09365704405683142,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_h3k4me3_heldout_hela_kernel_5,cnn,all,hela,42,5,sequence_ctcf_dnase_h3k4me3,3707,655,8101,4285,0,0,63c43a369c73b943,0.04830648144527783,0.2243922089773153,0.09281398292545599,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_h3k4me3_heldout_hela_kernel_7,cnn,all,hela,42,7,sequence_ctcf_dnase_h3k4me3,3707,655,8101,4285,0,0,63c43a369c73b943,0.028971915529811043,0.18922000976164016,0.09449609591135087,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_h3k4me3_heldout_hl60_kernel_3,cnn,all,hl60,42,3,sequence_ctcf_dnase_h3k4me3,12313,2186,2076,173,0,0,75ea831d98c66240,0.06050901592956315,0.25289518362759916,0.13256782733525124,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_h3k4me3_heldout_hl60_kernel_5,cnn,all,hl60,42,5,sequence_ctcf_dnase_h3k4me3,12313,2186,2076,173,0,0,75ea831d98c66240,0.0855917238537921,0.3107927133970063,0.13146416915044673,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_h3k4me3_heldout_hl60_kernel_7,cnn,all,hl60,42,7,sequence_ctcf_dnase_h3k4me3,12313,2186,2076,173,0,0,75ea831d98c66240,0.09753426756462635,0.31722451931232337,0.12946630031239387,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_heldout_hct116_kernel_3,cnn,all,hct116,42,3,sequence_ctcf_dnase,7003,1240,4239,4266,0,0,a08287ce23c0a882,0.04068507699186086,0.21707162256962464,0.12146232517186417,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_heldout_hct116_kernel_5,cnn,all,hct116,42,5,sequence_ctcf_dnase,7003,1240,4239,4266,0,0,a08287ce23c0a882,0.054603150892235885,0.23706472679468654,0.12255385992438307,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_heldout_hct116_kernel_7,cnn,all,hct116,42,7,sequence_ctcf_dnase,7003,1240,4239,4266,0,0,a08287ce23c0a882,0.04645829048435446,0.22429549454558065,0.12405423122719156,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_heldout_hek293t_kernel_3,cnn,all,hek293t,42,3,sequence_ctcf_dnase,12270,2144,2333,0,0,0,4112243ccd34930a,0.06780887154559212,0.2656769522604904,0.1322991934967872,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_heldout_hek293t_kernel_5,cnn,all,hek293t,42,5,sequence_ctcf_dnase,12270,2144,2333,0,0,0,4112243ccd34930a,0.10442165496577194,0.3242596922761594,0.13020239093759248,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_heldout_hek293t_kernel_7,cnn,all,hek293t,42,7,sequence_ctcf_dnase,12270,2144,2333,0,0,0,4112243ccd34930a,0.10922548592627024,0.3305924649188696,0.13187506043909503,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_heldout_hela_kernel_3,cnn,all,hela,42,3,sequence_ctcf_dnase,3707,655,8101,4285,0,0,63c43a369c73b943,0.042150551593101104,0.20596853700750356,0.0946737999935414,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_heldout_hela_kernel_5,cnn,all,hela,42,5,sequence_ctcf_dnase,3707,655,8101,4285,0,0,63c43a369c73b943,0.04256840800256423,0.21625710134635978,0.09282642726054173,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_heldout_hela_kernel_7,cnn,all,hela,42,7,sequence_ctcf_dnase,3707,655,8101,4285,0,0,63c43a369c73b943,0.030876467810321828,0.1983539704696165,0.09335720932950045,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_heldout_hl60_kernel_3,cnn,all,hl60,42,3,sequence_ctcf_dnase,12313,2186,2076,173,0,0,75ea831d98c66240,0.0664605437395428,0.2598563715130957,0.13394058545372275,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_heldout_hl60_kernel_5,cnn,all,hl60,42,5,sequence_ctcf_dnase,12313,2186,2076,173,0,0,75ea831d98c66240,0.08094351678797262,0.29422702164006553,0.13201482413904972,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_heldout_hl60_kernel_7,cnn,all,hl60,42,7,sequence_ctcf_dnase,12313,2186,2076,173,0,0,75ea831d98c66240,0.09894408921788633,0.3169576237256771,0.12987476979102855,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_rrbs_heldout_hct116_kernel_3,cnn,all,hct116,42,3,sequence_ctcf_dnase_rrbs,7003,1240,4239,4266,0,0,a08287ce23c0a882,0.04161155772165481,0.2054122612564911,0.12375685723729417,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_rrbs_heldout_hct116_kernel_5,cnn,all,hct116,42,5,sequence_ctcf_dnase_rrbs,7003,1240,4239,4266,0,0,a08287ce23c0a882,0.050612457655443865,0.22649146943736503,0.12333638504318398,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_rrbs_heldout_hct116_kernel_7,cnn,all,hct116,42,7,sequence_ctcf_dnase_rrbs,7003,1240,4239,4266,0,0,a08287ce23c0a882,0.04552422683043145,0.24012471723187248,0.11900686956632267,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_rrbs_heldout_hek293t_kernel_3,cnn,all,hek293t,42,3,sequence_ctcf_dnase_rrbs,12270,2144,2333,0,0,0,4112243ccd34930a,0.065165694782085,0.26086597386602217,0.13427988405340724,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_rrbs_heldout_hek293t_kernel_5,cnn,all,hek293t,42,5,sequence_ctcf_dnase_rrbs,12270,2144,2333,0,0,0,4112243ccd34930a,0.10304348514412143,0.3365275552499026,0.1298106440177679,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_rrbs_heldout_hek293t_kernel_7,cnn,all,hek293t,42,7,sequence_ctcf_dnase_rrbs,12270,2144,2333,0,0,0,4112243ccd34930a,0.12178804102716045,0.3536159527487097,0.12929307727380776,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_rrbs_heldout_hela_kernel_3,cnn,all,hela,42,3,sequence_ctcf_dnase_rrbs,3707,655,8101,4285,0,0,63c43a369c73b943,0.04633013182273793,0.21718900734461938,0.09450711799316279,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_rrbs_heldout_hela_kernel_5,cnn,all,hela,42,5,sequence_ctcf_dnase_rrbs,3707,655,8101,4285,0,0,63c43a369c73b943,0.045057998398195576,0.2183349266254714,0.09418539587152368,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_rrbs_heldout_hela_kernel_7,cnn,all,hela,42,7,sequence_ctcf_dnase_rrbs,3707,655,8101,4285,0,0,63c43a369c73b943,0.028893646019948704,0.18371335868778943,0.09423457436718559,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
all_cnn_sequence_ctcf_dnase_rrbs_heldout_hl60_kernel_3,cnn,all,hl60,42,3,sequence_ctcf_dnase_rrbs,12313,2186,2076,173,0,0,75ea831d98c66240,0.0630083025894077,0.2530122464299606,0.13352052771148917,cuda,625cc71596d7d94d,7,12.4,ecac199fa27ea80d,2661d5bdd1cd9c2a
