Feature,MLP_IG,IG_SNR
pos20_G,0.00986733,0.5702908
pos18_H3K4me3,0.009762174,2.0320764
pos5_H3K4me3,0.0093492335,2.1124864
pos22_H3K4me3,0.009320796,2.0112324
pos23_G,0.00898846,2.4476976
pos1_G,0.007906915,0.63095015
pos19_G,0.007753142,0.64546573
pos15_H3K4me3,0.007573013,1.8882556
pos17_H3K4me3,0.006574967,1.7307044
pos12_Dnase,0.006130224,2.4150095
pos18_Dnase,0.0060400045,2.031023
pos10_Dnase,0.0060267486,1.7160592
pos18_C,0.0059159985,0.6923485
pos12_H3K4me3,0.005858147,1.7323185
pos8_Dnase,0.0055830353,1.7612382
pos15_Dnase,0.0054869945,2.049604
pos3_CTCF,0.005206782,0.793127
pos23_Dnase,0.005082104,1.6714805
pos9_H3K4me3,0.0050362796,1.5431827
pos4_H3K4me3,0.0048569725,1.7928115
pos22_CTCF,0.0047245063,0.7313606
pos6_Dnase,0.004661159,2.035178
pos4_G,0.0045516607,0.6666129
pos14_T,0.0043120435,0.51552004
pos7_Dnase,0.004308456,1.4416898
pos17_G,0.0041858465,0.62873775
pos8_C,0.004091983,0.5229323
pos11_H3K4me3,0.0040568896,1.20833
pos14_CTCF,0.0040455456,0.76376265
pos20_T,0.0039655804,0.505353
pos21_H3K4me3,0.0039604045,1.4777572
pos6_A,0.0039177067,0.5265365
pos7_H3K4me3,0.0039085867,1.5130537
pos8_H3K4me3,0.0038767767,1.4320385
pos3_Dnase,0.0038620967,1.31778
pos9_Dnase,0.003815241,1.3269736
pos17_A,0.0037669272,0.532257
pos2_Dnase,0.0037507652,1.1522303
pos17_T,0.0037083256,0.50063527
pos2_H3K4me3,0.00367262,1.3861076
pos10_A,0.0036715346,0.54611665
pos22_G,0.0034492302,0.95955354
pos2_G,0.0034026317,0.6201618
pos12_CTCF,0.0032623685,0.75656396
pos10_G,0.0031986183,0.61364263
pos15_A,0.0031766088,0.5392498
pos17_Dnase,0.0031242971,1.0794908
pos3_H3K4me3,0.0030324785,1.232199
pos1_H3K4me3,0.0030282682,1.0809296
pos20_C,0.0030261732,0.5702942
pos21_Dnase,0.0029805114,1.135869
pos16_C,0.0029639527,0.5970351
pos21_C,0.0029003415,0.5534962
pos3_G,0.002854682,0.58224285
pos11_A,0.0028514052,0.5201733
pos16_A,0.0028300632,0.50244313
pos19_Dnase,0.00277241,1.0464783
pos6_C,0.0027354301,0.6025761
pos16_H3K4me3,0.002717242,0.82614577
