Feature,Position,Channel,Transformer_Attention,Attention_Entropy,Attention_SNR
A_pos_20,20,A,0.17091181874275208,3.224635362625122,1.699384093284607
C_pos_20,20,C,0.17091181874275208,3.224635362625122,1.699384093284607
G_pos_20,20,G,0.17091181874275208,3.224635362625122,1.699384093284607
T_pos_20,20,T,0.17091181874275208,3.224635362625122,1.699384093284607
CTCF_pos_20,20,CTCF,0.17091181874275208,3.224635362625122,1.699384093284607
Dnase_pos_20,20,Dnase,0.17091181874275208,3.224635362625122,1.699384093284607
H3K4me3_pos_20,20,H3K4me3,0.17091181874275208,3.224635362625122,1.699384093284607
RRBS_pos_20,20,RRBS,0.17091181874275208,3.224635362625122,1.699384093284607
A_pos_14,14,A,0.1621840000152588,3.224635362625122,2.378410577774048
C_pos_14,14,C,0.1621840000152588,3.224635362625122,2.378410577774048
G_pos_14,14,G,0.1621840000152588,3.224635362625122,2.378410577774048
T_pos_14,14,T,0.1621840000152588,3.224635362625122,2.378410577774048
CTCF_pos_14,14,CTCF,0.1621840000152588,3.224635362625122,2.378410577774048
Dnase_pos_14,14,Dnase,0.1621840000152588,3.224635362625122,2.378410577774048
H3K4me3_pos_14,14,H3K4me3,0.1621840000152588,3.224635362625122,2.378410577774048
RRBS_pos_14,14,RRBS,0.1621840000152588,3.224635362625122,2.378410577774048
A_pos_13,13,A,0.13433103263378143,3.224635362625122,1.77860689163208
C_pos_13,13,C,0.13433103263378143,3.224635362625122,1.77860689163208
G_pos_13,13,G,0.13433103263378143,3.224635362625122,1.77860689163208
T_pos_13,13,T,0.13433103263378143,3.224635362625122,1.77860689163208
CTCF_pos_13,13,CTCF,0.13433103263378143,3.224635362625122,1.77860689163208
Dnase_pos_13,13,Dnase,0.13433103263378143,3.224635362625122,1.77860689163208
H3K4me3_pos_13,13,H3K4me3,0.13433103263378143,3.224635362625122,1.77860689163208
RRBS_pos_13,13,RRBS,0.13433103263378143,3.224635362625122,1.77860689163208
A_pos_19,19,A,0.13080058991909027,3.224635362625122,1.5010476112365723
C_pos_19,19,C,0.13080058991909027,3.224635362625122,1.5010476112365723
G_pos_19,19,G,0.13080058991909027,3.224635362625122,1.5010476112365723
T_pos_19,19,T,0.13080058991909027,3.224635362625122,1.5010476112365723
CTCF_pos_19,19,CTCF,0.13080058991909027,3.224635362625122,1.5010476112365723
Dnase_pos_19,19,Dnase,0.13080058991909027,3.224635362625122,1.5010476112365723
H3K4me3_pos_19,19,H3K4me3,0.13080058991909027,3.224635362625122,1.5010476112365723
RRBS_pos_19,19,RRBS,0.13080058991909027,3.224635362625122,1.5010476112365723
A_pos_18,18,A,0.1081160455942154,3.224635362625122,1.533287525177002
C_pos_18,18,C,0.1081160455942154,3.224635362625122,1.533287525177002
G_pos_18,18,G,0.1081160455942154,3.224635362625122,1.533287525177002
T_pos_18,18,T,0.1081160455942154,3.224635362625122,1.533287525177002
CTCF_pos_18,18,CTCF,0.1081160455942154,3.224635362625122,1.533287525177002
Dnase_pos_18,18,Dnase,0.1081160455942154,3.224635362625122,1.533287525177002
H3K4me3_pos_18,18,H3K4me3,0.1081160455942154,3.224635362625122,1.533287525177002
RRBS_pos_18,18,RRBS,0.1081160455942154,3.224635362625122,1.533287525177002
A_pos_17,17,A,0.06466633081436157,3.224635362625122,1.1782586574554443
C_pos_17,17,C,0.06466633081436157,3.224635362625122,1.1782586574554443
G_pos_17,17,G,0.06466633081436157,3.224635362625122,1.1782586574554443
T_pos_17,17,T,0.06466633081436157,3.224635362625122,1.1782586574554443
CTCF_pos_17,17,CTCF,0.06466633081436157,3.224635362625122,1.1782586574554443
Dnase_pos_17,17,Dnase,0.06466633081436157,3.224635362625122,1.1782586574554443
H3K4me3_pos_17,17,H3K4me3,0.06466633081436157,3.224635362625122,1.1782586574554443
RRBS_pos_17,17,RRBS,0.06466633081436157,3.224635362625122,1.1782586574554443
A_pos_0,0,A,0.04537895321846008,3.224635362625122,1.085636854171753
C_pos_0,0,C,0.04537895321846008,3.224635362625122,1.085636854171753
G_pos_0,0,G,0.04537895321846008,3.224635362625122,1.085636854171753
T_pos_0,0,T,0.04537895321846008,3.224635362625122,1.085636854171753
CTCF_pos_0,0,CTCF,0.04537895321846008,3.224635362625122,1.085636854171753
Dnase_pos_0,0,Dnase,0.04537895321846008,3.224635362625122,1.085636854171753
H3K4me3_pos_0,0,H3K4me3,0.04537895321846008,3.224635362625122,1.085636854171753
RRBS_pos_0,0,RRBS,0.04537895321846008,3.224635362625122,1.085636854171753
RRBS_pos_15,15,RRBS,0.024747075513005257,3.224635362625122,0.9910258650779724
H3K4me3_pos_15,15,H3K4me3,0.024747075513005257,3.224635362625122,0.9910258650779724
Dnase_pos_15,15,Dnase,0.024747075513005257,3.224635362625122,0.9910258650779724
CTCF_pos_15,15,CTCF,0.024747075513005257,3.224635362625122,0.9910258650779724
T_pos_15,15,T,0.024747075513005257,3.224635362625122,0.9910258650779724
G_pos_15,15,G,0.024747075513005257,3.224635362625122,0.9910258650779724
C_pos_15,15,C,0.024747075513005257,3.224635362625122,0.9910258650779724
A_pos_15,15,A,0.024747075513005257,3.224635362625122,0.9910258650779724
RRBS_pos_16,16,RRBS,0.024522723630070686,3.224635362625122,0.6976454854011536
H3K4me3_pos_16,16,H3K4me3,0.024522723630070686,3.224635362625122,0.6976454854011536
Dnase_pos_16,16,Dnase,0.024522723630070686,3.224635362625122,0.6976454854011536
CTCF_pos_16,16,CTCF,0.024522723630070686,3.224635362625122,0.6976454854011536
T_pos_16,16,T,0.024522723630070686,3.224635362625122,0.6976454854011536
G_pos_16,16,G,0.024522723630070686,3.224635362625122,0.6976454854011536
C_pos_16,16,C,0.024522723630070686,3.224635362625122,0.6976454854011536
A_pos_16,16,A,0.024522723630070686,3.224635362625122,0.6976454854011536
A_pos_12,12,A,0.02253110706806183,3.224635362625122,0.7653511166572571
C_pos_12,12,C,0.02253110706806183,3.224635362625122,0.7653511166572571
G_pos_12,12,G,0.02253110706806183,3.224635362625122,0.7653511166572571
T_pos_12,12,T,0.02253110706806183,3.224635362625122,0.7653511166572571
CTCF_pos_12,12,CTCF,0.02253110706806183,3.224635362625122,0.7653511166572571
Dnase_pos_12,12,Dnase,0.02253110706806183,3.224635362625122,0.7653511166572571
H3K4me3_pos_12,12,H3K4me3,0.02253110706806183,3.224635362625122,0.7653511166572571
RRBS_pos_12,12,RRBS,0.02253110706806183,3.224635362625122,0.7653511166572571
RRBS_pos_1,1,RRBS,0.01743904873728752,3.224635362625122,0.8525136709213257
H3K4me3_pos_1,1,H3K4me3,0.01743904873728752,3.224635362625122,0.8525136709213257
Dnase_pos_1,1,Dnase,0.01743904873728752,3.224635362625122,0.8525136709213257
CTCF_pos_1,1,CTCF,0.01743904873728752,3.224635362625122,0.8525136709213257
T_pos_1,1,T,0.01743904873728752,3.224635362625122,0.8525136709213257
G_pos_1,1,G,0.01743904873728752,3.224635362625122,0.8525136709213257
C_pos_1,1,C,0.01743904873728752,3.224635362625122,0.8525136709213257
A_pos_1,1,A,0.01743904873728752,3.224635362625122,0.8525136709213257
RRBS_pos_2,2,RRBS,0.013349651359021664,3.224635362625122,0.679095983505249
