Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
C_pos_17,17,C,0.004838887602090836,0.04864118993282318,1.7002909183502197
G_pos_19,19,G,0.006535790394991636,0.026824038475751877,1.339085578918457
A_pos_17,17,A,0.008592139929533005,0.02668890915811062,1.3448314666748047
C_pos_18,18,C,0.0029233715031296015,0.022938961163163185,1.149435043334961
G_pos_0,0,G,0.005456415470689535,0.022040145471692085,1.48936927318573
T_pos_18,18,T,0.0010059778578579426,0.020723719149827957,1.2011463642120361
C_pos_16,16,C,0.0024966674391180277,0.01928846910595894,1.1145206689834595
T_pos_19,19,T,0.0009627417312003672,0.019144194200634956,1.1341849565505981
C_pos_15,15,C,0.002133072353899479,0.018883978947997093,1.1264362335205078
C_pos_0,0,C,0.0024251078721135855,0.018633663654327393,1.3873201608657837
G_pos_21,21,G,0.007845456711947918,0.01858106441795826,1.210382342338562
C_pos_19,19,C,0.004051635041832924,0.017942141741514206,1.2459206581115723
C_pos_5,5,C,0.00201436853967607,0.017691567540168762,1.1757075786590576
G_pos_18,18,G,0.004065158776938915,0.017658093944191933,1.2294825315475464
G_pos_17,17,G,0.0018169961404055357,0.017410892993211746,1.1146328449249268
A_pos_18,18,A,0.00513271102681756,0.017288969829678535,1.1981135606765747
C_pos_20,20,C,0.0014033358311280608,0.01720811426639557,1.2436044216156006
G_pos_15,15,G,0.002073378534987569,0.016996225342154503,1.2103826999664307
C_pos_6,6,C,0.0022960761561989784,0.01694607362151146,1.1422032117843628
C_pos_9,9,C,0.0022459104657173157,0.016670871526002884,1.180856466293335
C_pos_4,4,C,0.001964111579582095,0.01645379327237606,1.1382923126220703
G_pos_22,22,G,0.009579312056303024,0.016059042885899544,1.2488607168197632
C_pos_8,8,C,0.0019440348260104656,0.016011293977499008,1.121159553527832
A_pos_20,20,A,0.004088705871254206,0.015981575474143028,1.2281395196914673
T_pos_21,21,T,0.0,0.015963057056069374,1.1784144639968872
G_pos_16,16,G,0.0032521961256861687,0.015922216698527336,1.1890032291412354
G_pos_5,5,G,0.003219298319891095,0.0157909095287323,1.2172478437423706
C_pos_11,11,C,0.0019081877544522285,0.015788236632943153,1.1951919794082642
C_pos_10,10,C,0.0019194316118955612,0.015683714300394058,1.150609016418457
C_pos_7,7,C,0.0019431505352258682,0.015683650970458984,1.1695770025253296
C_pos_22,22,C,0.0,0.015623174607753754,1.1739877462387085
T_pos_20,20,T,0.005699549801647663,0.015484793111681938,1.2476274967193604
G_pos_2,2,G,0.004580013453960419,0.015360480174422264,1.1903340816497803
C_pos_14,14,C,0.001998668070882559,0.015349169261753559,1.1403201818466187
G_pos_1,1,G,0.004414825700223446,0.0152756841853261,1.1397935152053833
T_pos_15,15,T,0.003184112487360835,0.015125150792300701,1.1462947130203247
G_pos_6,6,G,0.0028952097054570913,0.015076981857419014,1.143282175064087
T_pos_16,16,T,0.0007259983685798943,0.015026818960905075,1.192710280418396
G_pos_3,3,G,0.003565952181816101,0.015003195032477379,1.1750746965408325
G_pos_7,7,G,0.002919574500992894,0.014966444112360477,1.1483662128448486
C_pos_13,13,C,0.0019119997741654515,0.014956770464777946,1.1316559314727783
G_pos_9,9,G,0.0030308475252240896,0.014904402196407318,1.1374250650405884
C_pos_1,1,C,0.0030362848192453384,0.014890327118337154,1.2137300968170166
G_pos_8,8,G,0.0025134470779448748,0.014747153036296368,1.1689037084579468
C_pos_12,12,C,0.002003407571464777,0.014711116440594196,1.1423938274383545
T_pos_14,14,T,0.0033449511975049973,0.014672892168164253,1.1994071006774902
G_pos_10,10,G,0.0030936182010918856,0.014626209624111652,1.1304690837860107
A_pos_16,16,A,0.0038204826414585114,0.014577182941138744,1.1746833324432373
T_pos_13,13,T,0.0029360544867813587,0.014500642195343971,1.1647754907608032
A_pos_14,14,A,0.002889223163947463,0.014486106112599373,1.1896648406982422
T_pos_1,1,T,0.0026602845173329115,0.014479010365903378,1.1549324989318848
G_pos_14,14,G,0.0018697845516726375,0.014464268460869789,1.1796581745147705
A_pos_19,19,A,0.002478620270267129,0.014417372643947601,1.0913574695587158
G_pos_12,12,G,0.0029622113797813654,0.014378076419234276,1.1559991836547852
T_pos_7,7,T,0.0031849343795329332,0.01426386646926403,1.1686561107635498
T_pos_12,12,T,0.002821550937369466,0.014196747913956642,1.1260385513305664
G_pos_4,4,G,0.003094787709414959,0.014194471761584282,1.1717432737350464
A_pos_15,15,A,0.0027185974176973104,0.014115380123257637,1.154035210609436
T_pos_17,17,T,0.000989399035461247,0.0140778087079525,1.2096771001815796
C_pos_2,2,C,0.00155581661965698,0.014068658463656902,1.1684908866882324
T_pos_9,9,T,0.003162754001095891,0.014064901508390903,1.195415735244751
T_pos_4,4,T,0.0033911014907062054,0.014033345505595207,1.1642240285873413
G_pos_11,11,G,0.002596050500869751,0.01401538122445345,1.1346421241760254
T_pos_8,8,T,0.00376910506747663,0.014003641903400421,1.1854363679885864
T_pos_10,10,T,0.0029151015914976597,0.014002206735312939,1.179714560508728
A_pos_6,6,A,0.0024441382847726345,0.013958767056465149,1.1518921852111816
A_pos_21,21,A,0.0,0.013904946856200695,1.098576307296753
G_pos_13,13,G,0.00262979487888515,0.013887288980185986,1.1365340948104858
A_pos_11,11,A,0.0028287998866289854,0.013857312500476837,1.1965793371200562
A_pos_9,9,A,0.0025323536247015,0.01379481889307499,1.1955766677856445
T_pos_6,6,T,0.002934188349172473,0.013788855634629726,1.1913177967071533
A_pos_7,7,A,0.0027553646359592676,0.013780373148620129,1.2084683179855347
T_pos_5,5,T,0.0031469198875129223,0.013568658381700516,1.1559525728225708
T_pos_11,11,T,0.003470869269222021,0.013535184785723686,1.153733253479004
A_pos_12,12,A,0.0026900863740593195,0.013522384688258171,1.214155673980713
T_pos_2,2,T,0.0017636894481256604,0.013515986502170563,1.2009843587875366
A_pos_13,13,A,0.0025680391117930412,0.013391694985330105,1.1759874820709229
T_pos_3,3,T,0.002698862925171852,0.013329826295375824,1.1447619199752808
A_pos_8,8,A,0.0026352028362452984,0.013254613615572453,1.1811795234680176
A_pos_5,5,A,0.0026882982347160578,0.013247786089777946,1.2308878898620605
A_pos_10,10,A,0.002458487404510379,0.013152330182492733,1.220999836921692
A_pos_3,3,A,0.0022835973650217056,0.013081024400889874,1.2490763664245605
C_pos_21,21,C,0.0,0.012928669340908527,1.1835023164749146
A_pos_1,1,A,0.0029287398792803288,0.012876791879534721,1.188706636428833
C_pos_3,3,C,0.0016697575338184834,0.012815139256417751,1.146749496459961
A_pos_4,4,A,0.0027158588636666536,0.012702034786343575,1.181732177734375
G_pos_20,20,G,0.001249409862793982,0.012680931948125362,1.1909745931625366
A_pos_2,2,A,0.0027788972947746515,0.01173118595033884,1.2257722616195679
A_pos_22,22,A,0.0,0.01065320149064064,1.159610390663147
T_pos_0,0,T,0.0019339609425514936,0.009383540600538254,1.190409541130066
Dnase_pos_11,11,Dnase,0.0010794494301080704,0.009329469874501228,1.8756200075149536
Dnase_pos_12,12,Dnase,0.0010794545523822308,0.009314757771790028,1.8769869804382324
Dnase_pos_15,15,Dnase,0.0010788359213620424,0.009306788444519043,1.8807095289230347
Dnase_pos_16,16,Dnase,0.0010831651743501425,0.00929765310138464,1.878589153289795
Dnase_pos_7,7,Dnase,0.0010567017598077655,0.009286468848586082,1.87348473072052
Dnase_pos_10,10,Dnase,0.001063998555764556,0.009286301210522652,1.8714394569396973
Dnase_pos_13,13,Dnase,0.0010779559379443526,0.009284170344471931,1.8799259662628174
Dnase_pos_8,8,Dnase,0.001058831810951233,0.009283878840506077,1.8751236200332642
Dnase_pos_6,6,Dnase,0.0010573335457593203,0.00928284041583538,1.8752720355987549
Dnase_pos_5,5,Dnase,0.0010556225897744298,0.009280049242079258,1.878888487815857
Dnase_pos_17,17,Dnase,0.001093157334253192,0.009279442951083183,1.8769629001617432
Dnase_pos_14,14,Dnase,0.0010702864965423942,0.009276086464524269,1.878131628036499
Dnase_pos_4,4,Dnase,0.0010539967333897948,0.009275391697883606,1.8761944770812988
Dnase_pos_18,18,Dnase,0.0011010993039235473,0.00926189310848713,1.8669546842575073
Dnase_pos_9,9,Dnase,0.0010607334552332759,0.009254910983145237,1.8634835481643677
Dnase_pos_19,19,Dnase,0.0014534146757796407,0.008734271861612797,1.9268344640731812
Dnase_pos_3,3,Dnase,0.0009999109897762537,0.008702510967850685,1.9128168821334839
A_pos_0,0,A,0.003215935779735446,0.008127446286380291,1.151591181755066
Dnase_pos_20,20,Dnase,0.0015344577841460705,0.007718814071267843,2.1233444213867188
T_pos_22,22,T,0.0,0.007379730232059956,1.0911680459976196
Dnase_pos_2,2,Dnase,0.0007499886560253799,0.007276597432792187,2.3064582347869873
RRBS_pos_0,0,RRBS,7.485179139621323e-06,0.004758304916322231,3.111085891723633
Dnase_pos_1,1,Dnase,0.000832179153803736,0.003367082681506872,2.126767158508301
RRBS_pos_1,1,RRBS,2.5829733203863725e-05,0.0031844296026974916,2.2052717208862305
Dnase_pos_0,0,Dnase,0.001069002551957965,0.003140453016385436,2.7753796577453613
Dnase_pos_22,22,Dnase,0.001858956296928227,0.0026627301704138517,2.14327335357666
RRBS_pos_19,19,RRBS,4.9338977987645194e-05,0.0024083845783025026,1.4061068296432495
RRBS_pos_16,16,RRBS,7.768346404191107e-05,0.002342855092138052,1.4506196975708008
RRBS_pos_15,15,RRBS,7.649499457329512e-05,0.0023320214822888374,1.4538103342056274
RRBS_pos_17,17,RRBS,5.458750092657283e-05,0.002331566298380494,1.4482858180999756
RRBS_pos_12,12,RRBS,7.152599573601037e-05,0.0023275953717529774,1.4608036279678345
RRBS_pos_11,11,RRBS,7.746324990876019e-05,0.0023272880353033543,1.4736863374710083
RRBS_pos_10,10,RRBS,4.388142406241968e-05,0.0023269332014024258,1.4511699676513672
RRBS_pos_13,13,RRBS,3.570317494450137e-05,0.002320248866453767,1.4654206037521362
RRBS_pos_8,8,RRBS,3.9107606426114216e-05,0.002317533129826188,1.4862022399902344
RRBS_pos_14,14,RRBS,4.3130206904606894e-05,0.0023173897061496973,1.4869816303253174
RRBS_pos_18,18,RRBS,6.303269765339792e-05,0.002311903750523925,1.420291781425476
RRBS_pos_9,9,RRBS,3.595648377086036e-05,0.0023091535549610853,1.485550880432129
RRBS_pos_4,4,RRBS,4.2744413804030046e-05,0.0023074473720043898,1.503813624382019
RRBS_pos_6,6,RRBS,3.4359512937953696e-05,0.002306788694113493,1.4885181188583374
RRBS_pos_5,5,RRBS,4.3539639591472223e-05,0.0023057865910232067,1.490230917930603
RRBS_pos_7,7,RRBS,3.9195972931338474e-05,0.002300496678799391,1.4908989667892456
RRBS_pos_3,3,RRBS,4.0844322938937694e-05,0.0021731737069785595,1.6677590608596802
RRBS_pos_21,21,RRBS,9.886300540529191e-05,0.0018405746668577194,1.3869000673294067
Dnase_pos_21,21,Dnase,0.0019903997890651226,0.0018283019308000803,1.6852844953536987
RRBS_pos_20,20,RRBS,0.00013304092863108963,0.0015362869016826153,1.34589421749115
RRBS_pos_22,22,RRBS,0.0,0.0015291396994143724,1.3980581760406494
RRBS_pos_2,2,RRBS,3.328586171846837e-05,0.0013512420700863004,1.0562108755111694
