Feature,MLP_IG,IG_SNR
pos18_C,0.011213489,0.5879867
pos5_H3K4me3,0.0072178906,1.6792617
pos9_Dnase,0.0061450666,2.1331203
pos15_Dnase,0.0053005805,1.5096093
pos7_H3K4me3,0.0051837494,1.3915528
pos1_G,0.0050895005,0.6148207
pos23_G,0.0049993694,1.5191498
pos6_Dnase,0.0048370957,1.0897928
pos20_G,0.0047471235,0.53004324
pos18_A,0.004686886,0.48610678
pos17_H3K4me3,0.00454616,1.2482725
pos7_Dnase,0.0042918343,1.5387468
pos21_Dnase,0.0042262967,0.9709496
pos16_Dnase,0.0041544423,1.3382533
pos22_H3K4me3,0.0041127214,1.2761918
pos18_T,0.004084269,0.3908964
pos14_T,0.004022256,0.4595916
pos16_G,0.0036419088,0.53907996
pos16_C,0.0035058903,0.52960485
pos4_H3K4me3,0.0034973784,1.1945462
pos20_Dnase,0.0034344145,1.1849674
pos3_H3K4me3,0.0033768637,1.084729
pos14_G,0.0033719474,0.51657313
pos17_Dnase,0.0031269367,0.8742434
pos4_Dnase,0.0031067727,0.93327886
pos18_G,0.003088031,0.47067013
pos12_H3K4me3,0.0030615607,0.8460303
pos16_T,0.002979257,0.44293657
pos11_Dnase,0.0028946153,0.9763805
pos12_Dnase,0.002827307,0.8229781
pos3_Dnase,0.0028011838,0.83765745
pos20_C,0.0027707012,0.5124954
pos17_T,0.002746227,0.35917485
pos8_Dnase,0.0027437373,0.8026541
pos19_C,0.0027208056,0.5660123
pos22_G,0.002710973,0.8175606
pos10_A,0.0026561543,0.4443759
pos14_Dnase,0.0026490842,1.0516891
pos22_Dnase,0.0026388897,0.77854455
pos5_Dnase,0.0026302102,1.067947
pos2_T,0.0026070091,0.42247584
pos2_H3K4me3,0.0025933408,0.68047464
pos23_H3K4me3,0.0025671336,0.7503993
pos1_C,0.0025567997,0.4651132
pos13_Dnase,0.0025451905,0.8309946
pos2_Dnase,0.0025204977,0.75647634
pos1_Dnase,0.0025084221,0.972344
pos14_C,0.00249824,0.43879074
pos8_H3K4me3,0.0024899119,1.067297
pos8_C,0.0024730267,0.53716034
pos19_H3K4me3,0.002443665,0.8865524
pos23_Dnase,0.0023761785,0.77064663
pos15_A,0.0023730043,0.4797262
pos18_Dnase,0.0023304909,0.80096245
pos7_C,0.0023066632,0.43763784
pos1_H3K4me3,0.0022676953,0.69884485
pos15_C,0.0022525857,0.48937657
pos10_Dnase,0.0021793793,0.7385517
pos11_H3K4me3,0.0021784483,0.7498039
pos16_H3K4me3,0.002166083,0.83806896
pos18_H3K4me3,0.0021545724,1.0317359
pos19_T,0.002140108,0.36211032
pos14_H3K4me3,0.0021252215,0.8663825
pos21_T,0.0020208484,0.4341419
pos19_Dnase,0.0020180906,0.7911763
pos21_H3K4me3,0.0020174156,0.66222674
pos2_C,0.001959173,0.41454437
pos13_H3K4me3,0.0019080921,0.817067
pos11_A,0.0019065487,0.43035203
pos4_C,0.0018793731,0.40852544
pos9_H3K4me3,0.0018724548,0.74016875
pos6_C,0.0018716797,0.5435774
pos12_A,0.0018663793,0.48706022
pos10_H3K4me3,0.0018212597,0.723462
pos2_A,0.001749056,0.35004506
pos21_G,0.0017378926,0.33044052
pos7_T,0.0017364655,0.42832842
pos6_G,0.0017154572,0.41991904
pos6_H3K4me3,0.001689425,0.71394247
pos14_CTCF,0.0016868614,0.6866697
pos8_G,0.0016632441,0.4975325
pos3_CTCF,0.0016528217,0.7126695
pos10_T,0.0016509575,0.32728162
pos19_G,0.0016463913,0.44848496
pos19_A,0.001610698,0.4266132
pos20_H3K4me3,0.0015747262,0.7396099
pos5_G,0.0015736468,0.5204193
pos21_A,0.001559731,0.4588252
pos8_T,0.0015530441,0.4308737
pos4_G,0.0015454834,0.4823959
pos15_H3K4me3,0.0015303747,0.7891336
pos4_A,0.0014922002,0.46886674
pos5_A,0.0014850077,0.38126266
pos4_T,0.0014707429,0.43029618
pos6_T,0.001402885,0.43554693
pos2_CTCF,0.0013989145,0.6572006
pos11_CTCF,0.0013945902,0.5987318
pos15_T,0.0013747608,0.43555582
pos9_G,0.0013718703,0.43555257
pos10_G,0.001370204,0.51453286
pos9_C,0.0013468137,0.3678498
pos3_A,0.0013404877,0.4309846
pos7_G,0.0013034614,0.41047785
pos2_G,0.0013023203,0.46754757
pos17_C,0.0012866141,0.41356966
pos12_C,0.0012834235,0.40709126
pos17_G,0.0012793535,0.49943846
pos13_CTCF,0.0012406303,0.6182396
pos13_G,0.0012384569,0.36652005
pos7_CTCF,0.0011931015,0.57974684
pos11_G,0.0011795574,0.3227233
pos20_T,0.0011758362,0.33965755
pos13_C,0.0011665164,0.40528515
pos16_A,0.0011655474,0.34691474
pos3_T,0.0011577186,0.38902465
pos18_CTCF,0.001157623,0.5976415
pos15_G,0.0011420831,0.35644847
pos10_C,0.0011227597,0.43299878
pos9_A,0.0011220953,0.35361427
pos5_C,0.0010957605,0.4132548
pos8_A,0.0010672994,0.37344843
pos9_CTCF,0.0010596146,0.54142183
pos13_A,0.0010464685,0.3610857
pos20_CTCF,0.0010387832,0.5573504
pos17_CTCF,0.0010385317,0.5607793
pos3_G,0.0010339995,0.41224253
pos23_CTCF,0.0010223088,0.49798444
pos20_A,0.0009842264,0.40209052
pos1_A,0.0009759425,0.36063012
pos14_A,0.0009633691,0.3745705
pos6_A,0.0009626228,0.3096399
pos9_T,0.0009398351,0.3885452
pos11_T,0.0009303638,0.37985945
pos11_C,0.0009288679,0.3638679
pos15_CTCF,0.0009241177,0.5546292
pos6_CTCF,0.0008962256,0.58223516
pos21_CTCF,0.0008893598,0.5055918
pos13_T,0.0008802593,0.32701978
pos5_T,0.0008737365,0.35462376
pos12_T,0.0008503101,0.3192265
pos3_C,0.0008212762,0.38255388
pos12_G,0.0007916962,0.32578003
pos21_C,0.000787717,0.29929462
pos5_CTCF,0.0007353288,0.51028246
pos17_A,0.00072333333,0.34011474
pos16_CTCF,0.0007061376,0.49125487
pos19_CTCF,0.0006937791,0.5067103
pos1_CTCF,0.00065886177,0.39556527
pos8_CTCF,0.00063846307,0.47213683
pos1_T,0.000612633,0.2962354
pos4_CTCF,0.0005970819,0.52268356
pos10_CTCF,0.0005936125,0.48701805
pos22_CTCF,0.0005849733,0.47297117
pos12_CTCF,0.0005833032,0.51015246
pos7_A,0.00050464756,0.31185815
pos4_RRBS,0.0,0.0
pos2_RRBS,0.0,0.0
pos1_RRBS,0.0,0.0
pos3_RRBS,0.0,0.0
pos5_RRBS,0.0,0.0
pos7_RRBS,0.0,0.0
pos6_RRBS,0.0,0.0
pos12_RRBS,0.0,0.0
pos13_RRBS,0.0,0.0
pos9_RRBS,0.0,0.0
pos8_RRBS,0.0,0.0
pos10_RRBS,0.0,0.0
pos11_RRBS,0.0,0.0
pos15_RRBS,0.0,0.0
pos14_RRBS,0.0,0.0
pos16_RRBS,0.0,0.0
pos17_RRBS,0.0,0.0
pos19_RRBS,0.0,0.0
pos18_RRBS,0.0,0.0
pos21_RRBS,0.0,0.0
pos20_RRBS,0.0,0.0
pos22_RRBS,0.0,0.0
pos22_A,0.0,0.0
pos22_C,0.0,0.0
pos22_T,0.0,0.0
pos23_T,0.0,0.0
pos23_C,0.0,0.0
pos23_A,0.0,0.0
pos23_RRBS,0.0,0.0
