Feature,Position,Channel,Transformer_Attention,Attention_Entropy,Attention_SNR
A_pos_0,0,A,0.13422076404094696,3.9173367023468018,1.9025418758392334
C_pos_0,0,C,0.13422076404094696,3.9173367023468018,1.9025418758392334
G_pos_0,0,G,0.13422076404094696,3.9173367023468018,1.9025418758392334
T_pos_0,0,T,0.13422076404094696,3.9173367023468018,1.9025418758392334
CTCF_pos_0,0,CTCF,0.13422076404094696,3.9173367023468018,1.9025418758392334
Dnase_pos_0,0,Dnase,0.13422076404094696,3.9173367023468018,1.9025418758392334
H3K4me3_pos_0,0,H3K4me3,0.13422076404094696,3.9173367023468018,1.9025418758392334
RRBS_pos_0,0,RRBS,0.13422076404094696,3.9173367023468018,1.9025418758392334
A_pos_5,5,A,0.12413852661848068,3.9173367023468018,1.6897931098937988
C_pos_5,5,C,0.12413852661848068,3.9173367023468018,1.6897931098937988
G_pos_5,5,G,0.12413852661848068,3.9173367023468018,1.6897931098937988
T_pos_5,5,T,0.12413852661848068,3.9173367023468018,1.6897931098937988
CTCF_pos_5,5,CTCF,0.12413852661848068,3.9173367023468018,1.6897931098937988
Dnase_pos_5,5,Dnase,0.12413852661848068,3.9173367023468018,1.6897931098937988
H3K4me3_pos_5,5,H3K4me3,0.12413852661848068,3.9173367023468018,1.6897931098937988
RRBS_pos_5,5,RRBS,0.12413852661848068,3.9173367023468018,1.6897931098937988
A_pos_6,6,A,0.10592807829380035,3.9173367023468018,1.624069333076477
C_pos_6,6,C,0.10592807829380035,3.9173367023468018,1.624069333076477
G_pos_6,6,G,0.10592807829380035,3.9173367023468018,1.624069333076477
T_pos_6,6,T,0.10592807829380035,3.9173367023468018,1.624069333076477
CTCF_pos_6,6,CTCF,0.10592807829380035,3.9173367023468018,1.624069333076477
Dnase_pos_6,6,Dnase,0.10592807829380035,3.9173367023468018,1.624069333076477
H3K4me3_pos_6,6,H3K4me3,0.10592807829380035,3.9173367023468018,1.624069333076477
RRBS_pos_6,6,RRBS,0.10592807829380035,3.9173367023468018,1.624069333076477
A_pos_4,4,A,0.099232017993927,3.9173367023468018,1.2367513179779053
C_pos_4,4,C,0.099232017993927,3.9173367023468018,1.2367513179779053
G_pos_4,4,G,0.099232017993927,3.9173367023468018,1.2367513179779053
T_pos_4,4,T,0.099232017993927,3.9173367023468018,1.2367513179779053
CTCF_pos_4,4,CTCF,0.099232017993927,3.9173367023468018,1.2367513179779053
Dnase_pos_4,4,Dnase,0.099232017993927,3.9173367023468018,1.2367513179779053
H3K4me3_pos_4,4,H3K4me3,0.099232017993927,3.9173367023468018,1.2367513179779053
RRBS_pos_4,4,RRBS,0.099232017993927,3.9173367023468018,1.2367513179779053
A_pos_3,3,A,0.07569645345211029,3.9173367023468018,1.0599274635314941
C_pos_3,3,C,0.07569645345211029,3.9173367023468018,1.0599274635314941
G_pos_3,3,G,0.07569645345211029,3.9173367023468018,1.0599274635314941
T_pos_3,3,T,0.07569645345211029,3.9173367023468018,1.0599274635314941
CTCF_pos_3,3,CTCF,0.07569645345211029,3.9173367023468018,1.0599274635314941
Dnase_pos_3,3,Dnase,0.07569645345211029,3.9173367023468018,1.0599274635314941
H3K4me3_pos_3,3,H3K4me3,0.07569645345211029,3.9173367023468018,1.0599274635314941
RRBS_pos_3,3,RRBS,0.07569645345211029,3.9173367023468018,1.0599274635314941
RRBS_pos_1,1,RRBS,0.04291852191090584,3.9173367023468018,1.635656714439392
H3K4me3_pos_1,1,H3K4me3,0.04291852191090584,3.9173367023468018,1.635656714439392
Dnase_pos_1,1,Dnase,0.04291852191090584,3.9173367023468018,1.635656714439392
CTCF_pos_1,1,CTCF,0.04291852191090584,3.9173367023468018,1.635656714439392
T_pos_1,1,T,0.04291852191090584,3.9173367023468018,1.635656714439392
G_pos_1,1,G,0.04291852191090584,3.9173367023468018,1.635656714439392
C_pos_1,1,C,0.04291852191090584,3.9173367023468018,1.635656714439392
A_pos_1,1,A,0.04291852191090584,3.9173367023468018,1.635656714439392
RRBS_pos_2,2,RRBS,0.040701575577259064,3.9173367023468018,1.0932854413986206
H3K4me3_pos_2,2,H3K4me3,0.040701575577259064,3.9173367023468018,1.0932854413986206
Dnase_pos_2,2,Dnase,0.040701575577259064,3.9173367023468018,1.0932854413986206
CTCF_pos_2,2,CTCF,0.040701575577259064,3.9173367023468018,1.0932854413986206
T_pos_2,2,T,0.040701575577259064,3.9173367023468018,1.0932854413986206
G_pos_2,2,G,0.040701575577259064,3.9173367023468018,1.0932854413986206
C_pos_2,2,C,0.040701575577259064,3.9173367023468018,1.0932854413986206
A_pos_2,2,A,0.040701575577259064,3.9173367023468018,1.0932854413986206
A_pos_7,7,A,0.0333489291369915,3.9173367023468018,1.469521164894104
C_pos_7,7,C,0.0333489291369915,3.9173367023468018,1.469521164894104
G_pos_7,7,G,0.0333489291369915,3.9173367023468018,1.469521164894104
T_pos_7,7,T,0.0333489291369915,3.9173367023468018,1.469521164894104
CTCF_pos_7,7,CTCF,0.0333489291369915,3.9173367023468018,1.469521164894104
Dnase_pos_7,7,Dnase,0.0333489291369915,3.9173367023468018,1.469521164894104
H3K4me3_pos_7,7,H3K4me3,0.0333489291369915,3.9173367023468018,1.469521164894104
RRBS_pos_7,7,RRBS,0.0333489291369915,3.9173367023468018,1.469521164894104
RRBS_pos_18,18,RRBS,0.03329327702522278,3.9173367023468018,3.762258768081665
H3K4me3_pos_18,18,H3K4me3,0.03329327702522278,3.9173367023468018,3.762258768081665
Dnase_pos_18,18,Dnase,0.03329327702522278,3.9173367023468018,3.762258768081665
CTCF_pos_18,18,CTCF,0.03329327702522278,3.9173367023468018,3.762258768081665
T_pos_18,18,T,0.03329327702522278,3.9173367023468018,3.762258768081665
G_pos_18,18,G,0.03329327702522278,3.9173367023468018,3.762258768081665
C_pos_18,18,C,0.03329327702522278,3.9173367023468018,3.762258768081665
A_pos_18,18,A,0.03329327702522278,3.9173367023468018,3.762258768081665
RRBS_pos_17,17,RRBS,0.027090618386864662,3.9173367023468018,4.4495038986206055
H3K4me3_pos_17,17,H3K4me3,0.027090618386864662,3.9173367023468018,4.4495038986206055
Dnase_pos_17,17,Dnase,0.027090618386864662,3.9173367023468018,4.4495038986206055
CTCF_pos_17,17,CTCF,0.027090618386864662,3.9173367023468018,4.4495038986206055
T_pos_17,17,T,0.027090618386864662,3.9173367023468018,4.4495038986206055
