Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
G_pos_19,19,G,0.002033616416156292,0.016018416732549667,1.2955647706985474
C_pos_17,17,C,0.0009249381255358458,0.015611893497407436,1.0824294090270996
C_pos_18,18,C,0.0009134512511081994,0.01532104890793562,1.0939301252365112
C_pos_22,22,C,0.0,0.015099047683179379,1.3298553228378296
G_pos_0,0,G,0.0016011802945286036,0.015009754337370396,1.2767032384872437
C_pos_21,21,C,0.0,0.014701823703944683,1.1854803562164307
C_pos_0,0,C,0.0011194698745384812,0.01355902012437582,1.290601372718811
G_pos_20,20,G,0.0009662130032666028,0.013223039917647839,1.375476598739624
A_pos_1,1,A,0.0008834439795464277,0.01291317492723465,1.123042345046997
C_pos_19,19,C,0.0013937070034444332,0.012578426860272884,1.017278790473938
G_pos_2,2,G,0.0014489390887320042,0.012493396177887917,1.293555498123169
T_pos_20,20,T,0.0015281792730093002,0.012379233725368977,1.1958647966384888
A_pos_17,17,A,0.00101659691426903,0.012273482047021389,1.0751612186431885
A_pos_9,9,A,0.0006671088049188256,0.011563482694327831,1.0792392492294312
A_pos_11,11,A,0.00077056820737198,0.01151216123253107,1.0427663326263428
C_pos_12,12,C,0.0007352257380262017,0.011377604678273201,1.0326182842254639
A_pos_7,7,A,0.0007023404468782246,0.011345036327838898,1.0884591341018677
A_pos_10,10,A,0.0007263812585733831,0.011294489726424217,1.0472108125686646
T_pos_1,1,T,0.00045322885853238404,0.011268189176917076,1.0730819702148438
A_pos_12,12,A,0.0006226971163414419,0.011239609681069851,1.0625942945480347
C_pos_6,6,C,0.0008153872331604362,0.011223015375435352,0.9959459900856018
C_pos_20,20,C,0.0007919223280623555,0.011212869547307491,0.8948253989219666
A_pos_18,18,A,0.0007890051929280162,0.011195818893611431,1.0689784288406372
C_pos_15,15,C,0.0006163925281725824,0.011195571161806583,1.0197198390960693
A_pos_5,5,A,0.0007478174520656466,0.011187735944986343,1.0492358207702637
C_pos_14,14,C,0.0006192146684043109,0.011156515218317509,1.010648250579834
C_pos_13,13,C,0.0007503210217691958,0.01113002747297287,1.0092800855636597
A_pos_13,13,A,0.000723913311958313,0.011107749305665493,1.0571686029434204
G_pos_21,21,G,0.0035100714303553104,0.011101811192929745,0.9910333156585693
A_pos_14,14,A,0.0006970937247388065,0.011075392365455627,1.0872256755828857
A_pos_6,6,A,0.0006383098661899567,0.011074788868427277,1.0837510824203491
G_pos_18,18,G,0.001407233765348792,0.01104387640953064,1.1054407358169556
C_pos_4,4,C,0.0007195344660431147,0.010985348373651505,1.0633769035339355
A_pos_3,3,A,0.0006104691419750452,0.010965109802782536,1.0696611404418945
G_pos_1,1,G,0.0017148019978776574,0.010924259200692177,1.1915957927703857
C_pos_16,16,C,0.0007805883651599288,0.010904025286436081,0.9743082523345947
T_pos_15,15,T,0.0006603505462408066,0.010885082185268402,0.9632927179336548
A_pos_8,8,A,0.0006037600105628371,0.010828185826539993,1.0732380151748657
G_pos_6,6,G,0.0013208762975409627,0.01077161356806755,1.1119056940078735
C_pos_7,7,C,0.0006737489020451903,0.010746585205197334,1.0265177488327026
A_pos_4,4,A,0.0006359955877996981,0.01072549819946289,1.0536954402923584
C_pos_5,5,C,0.0006712146569043398,0.010706214234232903,1.0256202220916748
G_pos_4,4,G,0.001359971589408815,0.010686291381716728,1.1166640520095825
C_pos_10,10,C,0.0007604688289575279,0.010675677098333836,1.043473720550537
G_pos_7,7,G,0.0014445800334215164,0.01067369244992733,1.0812937021255493
C_pos_11,11,C,0.0007176771759986877,0.010661463253200054,1.0569700002670288
A_pos_16,16,A,0.0008088242029771209,0.010649100877344608,0.9961898922920227
A_pos_15,15,A,0.000626845343504101,0.010637392289936543,0.9886548519134521
G_pos_11,11,G,0.001128005445934832,0.010590810328722,1.087528109550476
G_pos_5,5,G,0.0010999877704307437,0.010556240566074848,1.1015065908432007
G_pos_9,9,G,0.0012698355130851269,0.010550545528531075,1.0950323343276978
C_pos_8,8,C,0.0006934672710485756,0.01053993497043848,1.0292994976043701
C_pos_9,9,C,0.0006783837452530861,0.010515119880437851,0.9899593591690063
G_pos_16,16,G,0.001572450972162187,0.010483702644705772,1.0841745138168335
G_pos_10,10,G,0.001269515254534781,0.010482121258974075,1.1115797758102417
G_pos_12,12,G,0.001427111099474132,0.010454893112182617,1.0905261039733887
G_pos_8,8,G,0.0011247018119320273,0.010400871746242046,1.0860320329666138
C_pos_2,2,C,0.0006132921553216875,0.01033196970820427,1.0027132034301758
C_pos_3,3,C,0.0006775320507586002,0.010282712057232857,1.035465955734253
G_pos_15,15,G,0.0012071303790435195,0.010276702232658863,1.0633283853530884
G_pos_3,3,G,0.0014876299537718296,0.010250294581055641,1.1991618871688843
T_pos_2,2,T,0.0006132821436040103,0.01012750156223774,1.023717999458313
A_pos_2,2,A,0.0006550181424245238,0.010100385174155235,1.0956072807312012
T_pos_18,18,T,0.0001089505894924514,0.01003315206617117,1.0764007568359375
T_pos_4,4,T,0.0005335996393114328,0.010025128722190857,1.0027481317520142
G_pos_13,13,G,0.0012101344764232635,0.010004982352256775,1.1081056594848633
A_pos_19,19,A,0.0007416957523673773,0.009985408745706081,1.0876691341400146
T_pos_16,16,T,8.587775664636865e-05,0.009977265261113644,1.0222724676132202
G_pos_17,17,G,0.0009218074264936149,0.009967664256691933,1.0647616386413574
G_pos_14,14,G,0.0011004748521372676,0.009938273578882217,1.105332851409912
T_pos_14,14,T,0.0006407505716197193,0.009881865233182907,0.9905932545661926
T_pos_11,11,T,0.0006179086631163955,0.009766798466444016,1.0242959260940552
T_pos_3,3,T,0.0005466188304126263,0.0097627779468894,1.01161527633667
T_pos_12,12,T,0.0005154842510819435,0.009625199250876904,1.0113333463668823
T_pos_13,13,T,0.00053170055616647,0.009587183594703674,0.9950010776519775
T_pos_10,10,T,0.0004942995146848261,0.009508215822279453,1.0313670635223389
T_pos_19,19,T,0.00013223968562670052,0.00945664756000042,1.062330961227417
T_pos_17,17,T,0.00013034799485467374,0.009455404244363308,1.0390623807907104
T_pos_9,9,T,0.0004914092714898288,0.009409945458173752,1.0454778671264648
T_pos_8,8,T,0.0006557067972607911,0.009407597593963146,1.0126545429229736
T_pos_7,7,T,0.00048550538485869765,0.009299775585532188,1.0173537731170654
T_pos_6,6,T,0.0004919457132928073,0.009263263083994389,1.0050994157791138
T_pos_5,5,T,0.0005733148427680135,0.009263254702091217,0.9967412352561951
A_pos_20,20,A,0.0009658202179707587,0.009002504870295525,1.1306179761886597
A_pos_22,22,A,0.0,0.008871722035109997,1.1632208824157715
C_pos_1,1,C,0.0005520773702301085,0.008749637752771378,0.9923021793365479
T_pos_0,0,T,0.0006857933476567268,0.008360570296645164,1.0233855247497559
A_pos_21,21,A,0.0,0.008351161144673824,0.8604707717895508
G_pos_22,22,G,0.0021335517521947622,0.008139225654304028,1.1929901838302612
A_pos_0,0,A,0.00037728995084762573,0.007428023032844067,0.9574957489967346
T_pos_21,21,T,0.0,0.007395485881716013,1.135788083076477
T_pos_22,22,T,0.0,0.0061215427704155445,1.0079755783081055
RRBS_pos_21,21,RRBS,4.747406273963861e-05,0.0054255286231637,1.5367629528045654
CTCF_pos_2,2,CTCF,0.0013633044436573982,0.00471774535253644,1.5280789136886597
CTCF_pos_22,22,CTCF,0.0015382854035124183,0.0046902792528271675,1.6676431894302368
CTCF_pos_18,18,CTCF,0.001141720567829907,0.004214069806039333,1.4647290706634521
CTCF_pos_15,15,CTCF,0.0011497249361127615,0.004175916779786348,1.4763613939285278
CTCF_pos_13,13,CTCF,0.001144927809946239,0.004174807108938694,1.4703598022460938
CTCF_pos_5,5,CTCF,0.0011429408332332969,0.0041724625043570995,1.4785362482070923
CTCF_pos_17,17,CTCF,0.001131761004216969,0.004156758543103933,1.4887150526046753
CTCF_pos_14,14,CTCF,0.0011470912722870708,0.0041559613309800625,1.491523265838623
CTCF_pos_4,4,CTCF,0.001145306508988142,0.0041536688804626465,1.4775668382644653
CTCF_pos_7,7,CTCF,0.0011477224761620164,0.00415345374494791,1.4626193046569824
CTCF_pos_6,6,CTCF,0.0011365752434358,0.004139367025345564,1.4595305919647217
CTCF_pos_11,11,CTCF,0.001146927708759904,0.004136995878070593,1.4449247121810913
CTCF_pos_9,9,CTCF,0.00115169957280159,0.004135374445468187,1.4738895893096924
CTCF_pos_16,16,CTCF,0.0011420914670452476,0.004133257083594799,1.4865095615386963
CTCF_pos_12,12,CTCF,0.001143247471190989,0.00413122633472085,1.474151372909546
CTCF_pos_10,10,CTCF,0.001149851130321622,0.00412118062376976,1.4590539932250977
CTCF_pos_8,8,CTCF,0.0011404876131564379,0.004116005264222622,1.4692137241363525
CTCF_pos_20,20,CTCF,0.0012318697990849614,0.004006771836429834,1.3771247863769531
CTCF_pos_19,19,CTCF,0.001059149974025786,0.0035475806798785925,1.3618913888931274
CTCF_pos_3,3,CTCF,0.0008995964890345931,0.0035146719310432673,1.4108163118362427
RRBS_pos_20,20,RRBS,4.28872081101872e-05,0.0031933917198330164,0.9357125163078308
CTCF_pos_21,21,CTCF,0.00098217255435884,0.002702348632737994,1.6630600690841675
RRBS_pos_0,0,RRBS,8.362372682313435e-06,0.002546460134908557,1.5702301263809204
RRBS_pos_19,19,RRBS,2.1320269297575578e-05,0.0023155370727181435,0.9652040004730225
RRBS_pos_2,2,RRBS,1.5867724869167432e-05,0.0019990792497992516,1.0968509912490845
RRBS_pos_1,1,RRBS,1.475183671573177e-05,0.0019034341676160693,1.1119129657745361
RRBS_pos_18,18,RRBS,2.4526241759303957e-05,0.0018837471725419164,0.9415592551231384
RRBS_pos_17,17,RRBS,2.974993003590498e-05,0.0018389106262475252,0.9787155985832214
RRBS_pos_4,4,RRBS,1.162180706160143e-05,0.0018385783769190311,0.9993662238121033
RRBS_pos_12,12,RRBS,2.0197583580738865e-05,0.0018305148696526885,0.9755686521530151
RRBS_pos_16,16,RRBS,1.78561604116112e-05,0.001825569779612124,1.024728775024414
RRBS_pos_14,14,RRBS,1.0159875273529906e-05,0.0018151903059333563,1.0798496007919312
RRBS_pos_6,6,RRBS,1.7304728316958062e-05,0.001814990653656423,1.0341596603393555
RRBS_pos_10,10,RRBS,1.2218823940202128e-05,0.0018059829017147422,0.9328794479370117
RRBS_pos_11,11,RRBS,9.164200491795782e-06,0.001805954845622182,1.1125588417053223
RRBS_pos_8,8,RRBS,1.026866175379837e-05,0.0017921156249940395,1.031401515007019
RRBS_pos_5,5,RRBS,2.534056329750456e-05,0.0017852290766313672,1.0822821855545044
RRBS_pos_9,9,RRBS,1.346496992482571e-05,0.0017850560834631324,1.1097432374954224
RRBS_pos_7,7,RRBS,1.9406610590522178e-05,0.0017805168172344565,1.0802111625671387
RRBS_pos_15,15,RRBS,2.0423991372808814e-05,0.0017798213521018624,1.0972011089324951
RRBS_pos_13,13,RRBS,2.6745065042632632e-05,0.0017742511117830873,1.154518961906433
RRBS_pos_3,3,RRBS,1.838685420807451e-05,0.0016689192270860076,1.064632534980774
CTCF_pos_0,0,CTCF,0.00032247306080535054,0.0010747609194368124,1.3742408752441406
CTCF_pos_1,1,CTCF,0.0004190209729131311,0.000995427486486733,0.9231744408607483
RRBS_pos_22,22,RRBS,0.0,0.0009224646491929889,1.1210354566574097
