Feature,MLP_IG,IG_SNR
pos18_C,0.017594734,0.589182
pos20_G,0.013542055,0.59047395
pos18_A,0.012838228,0.6872197
pos20_C,0.01005903,0.59480786
pos20_Dnase,0.009606603,2.0457947
pos9_H3K4me3,0.008078375,1.5047206
pos9_Dnase,0.007878612,1.9005212
pos14_H3K4me3,0.0074944217,1.5197423
pos17_H3K4me3,0.007361174,1.3738145
pos1_G,0.0073601087,0.5424667
pos19_G,0.006613114,0.5844079
pos7_Dnase,0.0065478296,1.7181263
pos5_Dnase,0.0065292246,1.4420059
pos23_G,0.006469827,1.267724
pos17_Dnase,0.006320619,1.5809768
pos15_H3K4me3,0.0061248075,1.1157485
pos23_Dnase,0.0058013857,1.2917084
pos4_H3K4me3,0.0057143136,1.4281346
pos13_H3K4me3,0.0057114935,1.2209005
pos14_G,0.0055763065,0.5405246
pos2_Dnase,0.0054078316,1.2786994
pos13_Dnase,0.0054034023,1.2684232
pos6_H3K4me3,0.0051851496,1.3604951
pos22_Dnase,0.005108084,0.932141
pos1_Dnase,0.0049340003,1.0494546
pos14_Dnase,0.00479667,0.8692664
pos19_A,0.004717467,0.5371794
pos22_H3K4me3,0.004686096,1.0705409
pos1_H3K4me3,0.004627966,0.9438371
pos16_Dnase,0.0045988597,0.8585782
pos18_G,0.0045517334,0.49204496
pos10_A,0.0044830963,0.46402162
pos18_Dnase,0.004455382,0.8149576
pos11_A,0.004422587,0.47333837
pos2_H3K4me3,0.0043173498,0.8420845
pos10_Dnase,0.0042949626,0.7789149
pos12_H3K4me3,0.0042913584,0.9548018
pos21_G,0.004253189,0.42283794
pos21_Dnase,0.0042375345,0.8045173
pos1_C,0.004073655,0.4825256
pos21_T,0.004059059,0.5142264
pos3_Dnase,0.0039843163,0.854826
pos11_C,0.0039777504,0.5128692
pos6_T,0.0039261095,0.5064285
pos19_H3K4me3,0.0038264191,0.7325957
pos4_Dnase,0.003669103,0.8099101
pos6_G,0.003668451,0.49939537
pos3_H3K4me3,0.0036117986,0.8176476
pos17_G,0.0035657566,0.49092087
pos21_H3K4me3,0.0035538953,0.7852752
pos16_C,0.0035229155,0.43619752
pos6_Dnase,0.0035215085,0.8757665
pos8_Dnase,0.0034994213,0.7911106
pos7_H3K4me3,0.0034732865,0.7630561
pos8_H3K4me3,0.003472809,0.76446
pos16_H3K4me3,0.003362413,0.7561524
pos22_G,0.0033479896,0.7827592
pos13_C,0.0033276798,0.4900264
pos14_T,0.0033089183,0.42692298
pos15_Dnase,0.0032999567,0.7654098
pos12_Dnase,0.0032681988,0.8459732
pos19_Dnase,0.003261068,0.76834774
pos16_G,0.0032477668,0.47423464
pos11_H3K4me3,0.0031648148,0.81443787
pos10_H3K4me3,0.003163951,0.80105555
pos10_T,0.003123281,0.46726748
pos17_A,0.0031195665,0.44979006
pos23_H3K4me3,0.003118914,0.7614104
pos21_A,0.0030826514,0.5819244
pos11_Dnase,0.0030398837,0.77853656
pos15_A,0.0030330457,0.46290874
pos2_C,0.002978006,0.44316328
pos4_G,0.0029205633,0.44748142
pos20_H3K4me3,0.0029139337,0.83512366
pos11_G,0.002825581,0.4631863
pos5_H3K4me3,0.002810912,0.87017894
pos12_G,0.0028036477,0.42757493
pos3_C,0.0027913186,0.46143103
pos19_C,0.0027557584,0.45709053
pos18_H3K4me3,0.0026625132,0.76139516
pos9_A,0.002648363,0.43398115
pos12_A,0.0024990353,0.45223054
pos15_C,0.0024558413,0.46064982
pos1_A,0.002403555,0.44686964
pos15_T,0.0023712849,0.43316647
pos10_G,0.0023048318,0.45512533
pos5_G,0.002248755,0.47965252
pos20_A,0.0022355241,0.43941954
pos16_T,0.002221848,0.4026755
pos8_T,0.0021927527,0.4246979
pos4_C,0.0021909415,0.42008427
pos17_C,0.0021229289,0.44803023
pos4_T,0.0020874976,0.43963426
pos6_C,0.0020465164,0.40237558
pos14_C,0.0020020278,0.40631136
pos7_G,0.0018788935,0.420648
pos4_A,0.0018561358,0.40701786
pos16_A,0.0017987519,0.38126817
pos5_C,0.0017564269,0.40619537
pos3_T,0.001753961,0.37469724
pos3_G,0.001736359,0.4065124
pos15_G,0.0017051735,0.36560673
pos13_T,0.0016687519,0.411677
pos12_T,0.0016291148,0.43245497
pos7_C,0.0016286764,0.41126278
pos7_A,0.0016057217,0.3701134
pos5_A,0.0016044814,0.38256788
pos2_A,0.0016001173,0.4227208
pos2_G,0.00150996,0.4409125
pos1_T,0.0015011264,0.39399996
pos13_A,0.0014598682,0.36824015
pos13_G,0.0014236534,0.402602
pos7_T,0.0014185854,0.38947433
pos3_A,0.0014170421,0.39435884
pos10_C,0.0013626744,0.4043309
pos9_C,0.0013336961,0.39223447
pos9_T,0.0013179865,0.3800378
pos6_A,0.0013054655,0.42798227
pos12_C,0.001287264,0.40229404
pos14_A,0.0012612506,0.39510304
pos9_G,0.0012596628,0.36028916
pos5_T,0.0012134505,0.4038703
pos8_C,0.0011952083,0.44408938
pos11_T,0.0011551491,0.36353284
pos8_A,0.0011544352,0.3934421
pos2_T,0.0010990085,0.32995692
pos21_C,0.001077652,0.27117494
pos19_T,0.0010212973,0.21308357
pos8_G,0.001016952,0.3969653
pos17_T,0.0009320598,0.19031805
pos20_T,0.00066200504,0.1843105
pos18_T,0.0006074597,0.1923075
pos17_RRBS,0.00032325127,0.095197424
pos16_RRBS,0.00031900383,0.09356376
pos21_RRBS,0.00029697345,0.10801481
pos18_RRBS,0.00024905906,0.09384242
pos19_RRBS,0.00018412132,0.09125233
pos22_RRBS,0.00018076082,0.12111603
pos7_RRBS,0.0001660606,0.07545014
pos15_RRBS,0.00012921244,0.0752303
pos20_RRBS,0.00012598568,0.07902489
pos8_RRBS,0.000104202314,0.067142524
pos1_RRBS,7.706646e-05,0.07768686
pos2_RRBS,7.680722e-05,0.07098697
pos12_RRBS,7.614749e-05,0.07787969
pos13_RRBS,6.7632194e-05,0.07229342
pos10_RRBS,6.338681e-05,0.07635241
pos9_RRBS,5.4340308e-05,0.07715418
pos11_RRBS,4.7449033e-05,0.069005445
pos14_RRBS,4.58466e-05,0.073604405
pos3_RRBS,3.8810034e-05,0.059726294
pos4_RRBS,3.5576057e-05,0.061903592
pos6_RRBS,2.9546234e-05,0.06461668
pos5_RRBS,1.9941337e-05,0.0371859
pos4_CTCF,0.0,0.0
pos6_CTCF,0.0,0.0
pos2_CTCF,0.0,0.0
pos1_CTCF,0.0,0.0
pos3_CTCF,0.0,0.0
pos5_CTCF,0.0,0.0
pos7_CTCF,0.0,0.0
pos14_CTCF,0.0,0.0
pos12_CTCF,0.0,0.0
