Feature,MLP_IG,IG_SNR
pos18_C,0.018201951,0.6868535
pos14_CTCF,0.0144390445,2.8948753
pos10_CTCF,0.011794241,2.1736138
pos15_CTCF,0.011541023,1.9970928
pos3_CTCF,0.010688507,1.9849011
pos7_CTCF,0.01030043,2.3417726
pos18_A,0.009995153,0.710239
pos22_CTCF,0.009617933,2.065572
pos20_CTCF,0.008986959,1.8363055
pos16_C,0.008832952,0.54184103
pos20_G,0.008732927,0.61212975
pos23_CTCF,0.008654977,1.7275796
pos1_G,0.0076309172,0.5194593
pos12_CTCF,0.0076210373,1.568517
pos19_C,0.0073475325,0.5973424
pos16_G,0.006470133,0.5923626
pos9_CTCF,0.006351201,1.4174415
pos14_T,0.0060691386,0.52419037
pos21_CTCF,0.0059764865,0.8232096
pos4_CTCF,0.0059024775,1.0710007
pos13_CTCF,0.0056779394,0.9920506
pos15_A,0.005665544,0.54609853
pos16_T,0.005496585,0.5262019
pos1_C,0.005459505,0.56348467
pos14_G,0.0052314205,0.5539428
pos22_G,0.005153286,0.91353697
pos19_A,0.00512472,0.58562607
pos23_G,0.0049310434,0.8720486
pos10_A,0.0048676007,0.48742035
pos21_G,0.004818978,0.4489146
pos12_A,0.004812862,0.5259746
pos18_CTCF,0.004683203,1.0430074
pos6_CTCF,0.004540497,1.0357393
pos17_G,0.004538273,0.6128227
pos5_C,0.0044498057,0.5212113
pos19_CTCF,0.004372602,0.7851318
pos11_A,0.0043463153,0.52577066
pos1_CTCF,0.004282223,0.7877932
pos2_G,0.0041409037,0.50996363
pos5_CTCF,0.0041245273,0.8054386
pos8_CTCF,0.004023195,0.8669508
pos11_CTCF,0.0040080203,0.81060266
pos16_CTCF,0.0039825574,0.80352813
pos8_G,0.0038941156,0.55260754
pos17_CTCF,0.0038910536,0.8176711
pos2_A,0.0037565995,0.51910526
pos19_G,0.0036467128,0.53774357
pos21_A,0.003595969,0.56645256
pos20_C,0.003509391,0.54801905
pos21_T,0.0034313672,0.5181142
pos4_G,0.003400343,0.50984985
pos3_C,0.003332555,0.51492506
pos2_CTCF,0.0033085141,0.8122659
pos6_G,0.0031691976,0.46507826
pos17_A,0.0031511455,0.55605257
pos20_A,0.0031336225,0.4878405
pos6_C,0.0031169665,0.47813937
pos18_G,0.00305103,0.40572557
pos14_A,0.002904527,0.49238178
pos13_C,0.002747633,0.47250694
pos15_G,0.002609978,0.43760762
pos17_C,0.002609593,0.52039105
pos7_A,0.002604481,0.42814854
pos10_C,0.0024582997,0.52757293
pos15_C,0.002383546,0.4940722
pos7_C,0.0023599807,0.4836719
pos8_C,0.0023510486,0.4758574
pos5_T,0.002335095,0.44619876
pos6_A,0.0021228553,0.50631034
pos21_C,0.0021004635,0.35968146
pos13_G,0.001969275,0.40557918
pos12_G,0.0019513587,0.4035176
pos2_T,0.0019162861,0.3827948
pos1_T,0.0018993885,0.43543398
pos3_T,0.0018860969,0.44953576
pos9_A,0.0018852182,0.42731073
pos10_G,0.0018657912,0.44076833
pos14_C,0.0018407593,0.42755103
pos9_T,0.0018302232,0.4491339
pos3_G,0.0018241429,0.46508527
pos11_G,0.001794401,0.44232544
pos16_A,0.0017227734,0.39758366
pos12_C,0.0017214139,0.4082062
pos7_G,0.0016715364,0.45041826
pos2_C,0.0016630201,0.4597261
pos11_C,0.0016270686,0.433071
pos4_T,0.0016079262,0.42155212
pos5_G,0.0015794542,0.43198183
pos1_A,0.0015339823,0.38470432
pos4_A,0.0015105151,0.3766052
pos10_T,0.0014298861,0.38392633
pos4_C,0.0014102629,0.42885113
pos7_T,0.0013588183,0.40475658
pos15_T,0.0013246295,0.40369877
pos8_T,0.0013200986,0.37106434
pos9_G,0.0012548516,0.41395006
pos12_T,0.0012397876,0.40200773
pos9_C,0.0012150471,0.40264523
pos6_T,0.0012018624,0.36731678
pos13_T,0.0011300686,0.37566948
pos13_A,0.0011298397,0.3807585
pos3_A,0.0010945728,0.39343265
pos8_A,0.0010755878,0.38003823
pos11_T,0.0010513186,0.36226806
pos5_A,0.0010464102,0.37762675
pos1_RRBS,0.0,0.0
pos2_Dnase,0.0,0.0
pos2_H3K4me3,0.0,0.0
pos1_Dnase,0.0,0.0
pos1_H3K4me3,0.0,0.0
pos5_H3K4me3,0.0,0.0
pos5_RRBS,0.0,0.0
pos4_RRBS,0.0,0.0
pos5_Dnase,0.0,0.0
pos4_Dnase,0.0,0.0
pos4_H3K4me3,0.0,0.0
pos2_RRBS,0.0,0.0
pos3_Dnase,0.0,0.0
pos3_H3K4me3,0.0,0.0
pos3_RRBS,0.0,0.0
pos7_RRBS,0.0,0.0
pos7_H3K4me3,0.0,0.0
pos7_Dnase,0.0,0.0
pos6_RRBS,0.0,0.0
pos6_H3K4me3,0.0,0.0
pos6_Dnase,0.0,0.0
pos13_H3K4me3,0.0,0.0
pos13_RRBS,0.0,0.0
pos15_RRBS,0.0,0.0
pos15_H3K4me3,0.0,0.0
pos15_Dnase,0.0,0.0
pos14_RRBS,0.0,0.0
pos14_H3K4me3,0.0,0.0
pos14_Dnase,0.0,0.0
pos11_H3K4me3,0.0,0.0
pos11_RRBS,0.0,0.0
pos9_RRBS,0.0,0.0
pos9_H3K4me3,0.0,0.0
pos10_Dnase,0.0,0.0
pos10_H3K4me3,0.0,0.0
pos8_H3K4me3,0.0,0.0
pos8_Dnase,0.0,0.0
pos9_Dnase,0.0,0.0
pos8_RRBS,0.0,0.0
pos12_RRBS,0.0,0.0
pos13_Dnase,0.0,0.0
pos12_Dnase,0.0,0.0
pos12_H3K4me3,0.0,0.0
pos10_RRBS,0.0,0.0
pos11_Dnase,0.0,0.0
pos17_Dnase,0.0,0.0
pos17_RRBS,0.0,0.0
pos19_RRBS,0.0,0.0
pos19_H3K4me3,0.0,0.0
pos19_Dnase,0.0,0.0
pos19_T,0.0,0.0
pos18_T,0.0,0.0
pos18_Dnase,0.0,0.0
pos18_H3K4me3,0.0,0.0
pos18_RRBS,0.0,0.0
pos17_T,0.0,0.0
pos16_RRBS,0.0,0.0
pos16_Dnase,0.0,0.0
pos16_H3K4me3,0.0,0.0
pos17_H3K4me3,0.0,0.0
pos20_H3K4me3,0.0,0.0
pos20_Dnase,0.0,0.0
pos20_T,0.0,0.0
pos21_RRBS,0.0,0.0
pos21_H3K4me3,0.0,0.0
pos21_Dnase,0.0,0.0
pos20_RRBS,0.0,0.0
pos22_T,0.0,0.0
pos22_Dnase,0.0,0.0
pos22_C,0.0,0.0
pos22_A,0.0,0.0
pos22_RRBS,0.0,0.0
pos22_H3K4me3,0.0,0.0
pos23_C,0.0,0.0
pos23_A,0.0,0.0
pos23_T,0.0,0.0
pos23_Dnase,0.0,0.0
pos23_H3K4me3,0.0,0.0
pos23_RRBS,0.0,0.0
