Feature,Position,Channel,Transformer_Attention,Attention_Entropy,Attention_SNR
A_pos_18,18,A,0.1462593376636505,3.6477482318878174,1.3033838272094727
C_pos_18,18,C,0.1462593376636505,3.6477482318878174,1.3033838272094727
G_pos_18,18,G,0.1462593376636505,3.6477482318878174,1.3033838272094727
T_pos_18,18,T,0.1462593376636505,3.6477482318878174,1.3033838272094727
CTCF_pos_18,18,CTCF,0.1462593376636505,3.6477482318878174,1.3033838272094727
Dnase_pos_18,18,Dnase,0.1462593376636505,3.6477482318878174,1.3033838272094727
H3K4me3_pos_18,18,H3K4me3,0.1462593376636505,3.6477482318878174,1.3033838272094727
RRBS_pos_18,18,RRBS,0.1462593376636505,3.6477482318878174,1.3033838272094727
A_pos_0,0,A,0.13307397067546844,3.6477482318878174,1.185565710067749
C_pos_0,0,C,0.13307397067546844,3.6477482318878174,1.185565710067749
G_pos_0,0,G,0.13307397067546844,3.6477482318878174,1.185565710067749
T_pos_0,0,T,0.13307397067546844,3.6477482318878174,1.185565710067749
CTCF_pos_0,0,CTCF,0.13307397067546844,3.6477482318878174,1.185565710067749
Dnase_pos_0,0,Dnase,0.13307397067546844,3.6477482318878174,1.185565710067749
H3K4me3_pos_0,0,H3K4me3,0.13307397067546844,3.6477482318878174,1.185565710067749
RRBS_pos_0,0,RRBS,0.13307397067546844,3.6477482318878174,1.185565710067749
RRBS_pos_19,19,RRBS,0.09933890402317047,3.6477482318878174,1.1565150022506714
H3K4me3_pos_19,19,H3K4me3,0.09933890402317047,3.6477482318878174,1.1565150022506714
Dnase_pos_19,19,Dnase,0.09933890402317047,3.6477482318878174,1.1565150022506714
CTCF_pos_19,19,CTCF,0.09933890402317047,3.6477482318878174,1.1565150022506714
T_pos_19,19,T,0.09933890402317047,3.6477482318878174,1.1565150022506714
G_pos_19,19,G,0.09933890402317047,3.6477482318878174,1.1565150022506714
C_pos_19,19,C,0.09933890402317047,3.6477482318878174,1.1565150022506714
A_pos_19,19,A,0.09933890402317047,3.6477482318878174,1.1565150022506714
A_pos_5,5,A,0.09369068592786789,3.6477482318878174,2.8113465309143066
C_pos_5,5,C,0.09369068592786789,3.6477482318878174,2.8113465309143066
G_pos_5,5,G,0.09369068592786789,3.6477482318878174,2.8113465309143066
T_pos_5,5,T,0.09369068592786789,3.6477482318878174,2.8113465309143066
CTCF_pos_5,5,CTCF,0.09369068592786789,3.6477482318878174,2.8113465309143066
Dnase_pos_5,5,Dnase,0.09369068592786789,3.6477482318878174,2.8113465309143066
H3K4me3_pos_5,5,H3K4me3,0.09369068592786789,3.6477482318878174,2.8113465309143066
RRBS_pos_5,5,RRBS,0.09369068592786789,3.6477482318878174,2.8113465309143066
A_pos_6,6,A,0.08356548845767975,3.6477482318878174,2.436471700668335
C_pos_6,6,C,0.08356548845767975,3.6477482318878174,2.436471700668335
G_pos_6,6,G,0.08356548845767975,3.6477482318878174,2.436471700668335
T_pos_6,6,T,0.08356548845767975,3.6477482318878174,2.436471700668335
CTCF_pos_6,6,CTCF,0.08356548845767975,3.6477482318878174,2.436471700668335
Dnase_pos_6,6,Dnase,0.08356548845767975,3.6477482318878174,2.436471700668335
H3K4me3_pos_6,6,H3K4me3,0.08356548845767975,3.6477482318878174,2.436471700668335
RRBS_pos_6,6,RRBS,0.08356548845767975,3.6477482318878174,2.436471700668335
A_pos_17,17,A,0.07318319380283356,3.6477482318878174,1.1823745965957642
C_pos_17,17,C,0.07318319380283356,3.6477482318878174,1.1823745965957642
G_pos_17,17,G,0.07318319380283356,3.6477482318878174,1.1823745965957642
