Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
T_pos_20,20,T,0.014790220186114311,0.030193360522389412,1.804540753364563
T_pos_19,19,T,0.009066345170140266,0.028525371104478836,1.7218897342681885
T_pos_18,18,T,0.007862028665840626,0.023158347234129906,1.531010627746582
A_pos_20,20,A,0.010909441858530045,0.022615663707256317,1.5277146100997925
C_pos_0,0,C,0.01128168310970068,0.02134687453508377,1.9728301763534546
T_pos_17,17,T,0.007709722500294447,0.019502179697155952,1.3821407556533813
T_pos_1,1,T,0.006903475616127253,0.01921096257865429,1.415202021598816
T_pos_11,11,T,0.007298603188246489,0.01909288763999939,1.437469244003296
T_pos_9,9,T,0.006717267911881208,0.018724385648965836,1.3891212940216064
T_pos_5,5,T,0.007026305887848139,0.018704788759350777,1.4174492359161377
T_pos_6,6,T,0.006602026987820864,0.018629983067512512,1.407091498374939
T_pos_13,13,T,0.0064284601248800755,0.01862255297601223,1.4087843894958496
T_pos_3,3,T,0.006579527165740728,0.01858820952475071,1.3889610767364502
T_pos_7,7,T,0.006524959113448858,0.01854412816464901,1.3769383430480957
T_pos_4,4,T,0.006870475597679615,0.018505403771996498,1.3896018266677856
T_pos_16,16,T,0.006342432461678982,0.018497491255402565,1.4104132652282715
T_pos_12,12,T,0.0068848589435219765,0.018467983230948448,1.3778716325759888
T_pos_2,2,T,0.007231481373310089,0.018236879259347916,1.3747777938842773
T_pos_14,14,T,0.007536639925092459,0.018213067203760147,1.3671321868896484
T_pos_10,10,T,0.0067543406039476395,0.018175043165683746,1.42170250415802
T_pos_15,15,T,0.006398877128958702,0.018121913075447083,1.3781026601791382
C_pos_19,19,C,0.013138302601873875,0.018041057512164116,1.1546828746795654
T_pos_8,8,T,0.00727289030328393,0.01803618296980858,1.3646029233932495
C_pos_21,21,C,0.0,0.017255282029509544,1.3920891284942627
A_pos_17,17,A,0.007077876478433609,0.01699656806886196,1.275976300239563
A_pos_18,18,A,0.0068991226144135,0.01691344380378723,1.2627160549163818
A_pos_2,2,A,0.006747689563781023,0.01553715392947197,1.2159647941589355
T_pos_21,21,T,0.0,0.014833537861704826,1.3244726657867432
A_pos_19,19,A,0.006861931644380093,0.014696509577333927,1.2005693912506104
G_pos_22,22,G,0.0097090695053339,0.014528725296258926,1.5783034563064575
C_pos_22,22,C,0.0,0.014503007754683495,1.5764808654785156
C_pos_2,2,C,0.010211491957306862,0.013792228884994984,1.0826719999313354
A_pos_21,21,A,0.0,0.0136365732178092,1.4247084856033325
T_pos_0,0,T,0.006160704419016838,0.013282200321555138,1.3352175951004028
A_pos_12,12,A,0.004864342976361513,0.013038275763392448,1.1904577016830444
A_pos_14,14,A,0.006016451865434647,0.01299946941435337,1.193436622619629
A_pos_8,8,A,0.005771836265921593,0.012976639904081821,1.205780267715454
A_pos_0,0,A,0.005384589079767466,0.012972957454621792,1.174218773841858
A_pos_3,3,A,0.005158246494829655,0.01297154650092125,1.1566675901412964
A_pos_5,5,A,0.005159068387001753,0.012945837341248989,1.1792839765548706
A_pos_6,6,A,0.00521983252838254,0.012788171879947186,1.1667805910110474
A_pos_13,13,A,0.0055193123407661915,0.012700540944933891,1.1684417724609375
A_pos_16,16,A,0.0052907876670360565,0.012649325653910637,1.1688566207885742
A_pos_11,11,A,0.005870158318430185,0.012597456574440002,1.1574724912643433
A_pos_4,4,A,0.005057837814092636,0.012558609247207642,1.1584327220916748
C_pos_20,20,C,0.005646242760121822,0.012484932318329811,0.9723299145698547
A_pos_15,15,A,0.005003907717764378,0.012484054081141949,1.1463991403579712
A_pos_7,7,A,0.005359802860766649,0.012437020428478718,1.149505376815796
A_pos_10,10,A,0.005032979417592287,0.012423013336956501,1.1756339073181152
G_pos_21,21,G,0.007807206362485886,0.012263484299182892,1.3549988269805908
A_pos_9,9,A,0.0051682330667972565,0.012260290794074535,1.1440293788909912
C_pos_18,18,C,0.008568160235881805,0.011625228449702263,1.0746567249298096
C_pos_17,17,C,0.007833559066057205,0.011236491613090038,1.0861443281173706
G_pos_17,17,G,0.0022985567338764668,0.010863369330763817,1.1625257730484009
G_pos_18,18,G,0.0027435324154794216,0.010700918734073639,1.1349315643310547
C_pos_10,10,C,0.008509463630616665,0.010543998330831528,1.05155611038208
C_pos_16,16,C,0.007835368625819683,0.01054212637245655,1.0672894716262817
C_pos_11,11,C,0.00791418831795454,0.010526238940656185,1.0628132820129395
C_pos_7,7,C,0.008335016667842865,0.010509473271667957,1.0710861682891846
C_pos_8,8,C,0.0076223756186664104,0.010496530681848526,1.0730077028274536
C_pos_9,9,C,0.007655670866370201,0.010491618886590004,1.0594565868377686
C_pos_15,15,C,0.007371485698968172,0.010457932949066162,1.0807079076766968
C_pos_6,6,C,0.008079970255494118,0.010416828095912933,1.0714051723480225
C_pos_5,5,C,0.007738151121884584,0.010408052243292332,1.0723744630813599
C_pos_4,4,C,0.008116810582578182,0.010300780646502972,1.0494415760040283
C_pos_12,12,C,0.0083067137748003,0.010281802155077457,1.0654206275939941
C_pos_14,14,C,0.006617712322622538,0.010249332524836063,1.082748532295227
C_pos_13,13,C,0.007912842556834221,0.010167314670979977,1.0697448253631592
C_pos_3,3,C,0.00821777805685997,0.01015534345060587,1.0313267707824707
G_pos_19,19,G,0.0015161302872002125,0.010048968717455864,1.176952838897705
A_pos_1,1,A,0.0023122646380215883,0.009609460830688477,1.2088901996612549
G_pos_9,9,G,0.0021633042488247156,0.009282579645514488,1.1520854234695435
G_pos_15,15,G,0.0022282549180090427,0.009228972718119621,1.1157078742980957
G_pos_8,8,G,0.0018603643402457237,0.009212676435709,1.1230894327163696
G_pos_10,10,G,0.0021317885257303715,0.009202511049807072,1.1601405143737793
G_pos_6,6,G,0.0020936885848641396,0.009154627099633217,1.1506284475326538
G_pos_5,5,G,0.0018730328883975744,0.00913351122289896,1.161421298980713
G_pos_11,11,G,0.0019230720354244113,0.009093936532735825,1.1529278755187988
G_pos_13,13,G,0.002077508717775345,0.00909165944904089,1.1468822956085205
G_pos_7,7,G,0.0019815333653241396,0.009079765528440475,1.150195837020874
G_pos_4,4,G,0.001999365631490946,0.00906980037689209,1.145554542541504
G_pos_14,14,G,0.0018916568951681256,0.008978353813290596,1.144214391708374
G_pos_12,12,G,0.0021625447552651167,0.0089431656524539,1.1499762535095215
G_pos_0,0,G,0.0041337148286402225,0.008869616314768791,1.4112807512283325
G_pos_16,16,G,0.0019642754923552275,0.00869209785014391,1.1475164890289307
C_pos_1,1,C,0.005501938052475452,0.008460388518869877,1.0239332914352417
G_pos_2,2,G,0.00179937737993896,0.00814485177397728,1.1595501899719238
G_pos_20,20,G,0.0011485295835882425,0.00775489304214716,1.210288405418396
A_pos_22,22,A,0.0,0.007254171650856733,1.2723439931869507
G_pos_3,3,G,0.0014566374011337757,0.007190037984400988,1.1184117794036865
T_pos_22,22,T,0.0,0.006268834229558706,1.471585750579834
G_pos_1,1,G,0.0013575738994404674,0.006226865109056234,1.096366286277771
H3K4me3_pos_2,2,H3K4me3,0.0021370467729866505,0.003056628629565239,1.6587270498275757
H3K4me3_pos_20,20,H3K4me3,0.0027193212881684303,0.0030274002347141504,1.7049914598464966
H3K4me3_pos_3,3,H3K4me3,0.0018388325115665793,0.0027561835013329983,1.7130674123764038
H3K4me3_pos_19,19,H3K4me3,0.0019860819447785616,0.0027558356523513794,1.702999472618103
H3K4me3_pos_18,18,H3K4me3,0.0018326129065826535,0.002607061294838786,1.6582139730453491
H3K4me3_pos_17,17,H3K4me3,0.001833706395700574,0.0026039935182780027,1.6571228504180908
H3K4me3_pos_4,4,H3K4me3,0.0018359350506216288,0.002599978819489479,1.6676867008209229
H3K4me3_pos_16,16,H3K4me3,0.0018340673996135592,0.002598898019641638,1.6544513702392578
H3K4me3_pos_15,15,H3K4me3,0.0018365629948675632,0.002597987186163664,1.6540563106536865
H3K4me3_pos_14,14,H3K4me3,0.00183650862891227,0.0025956572499126196,1.6522284746170044
H3K4me3_pos_13,13,H3K4me3,0.001837140298448503,0.0025956344325095415,1.6532866954803467
H3K4me3_pos_5,5,H3K4me3,0.0018383449641987681,0.0025953170843422413,1.6632894277572632
H3K4me3_pos_6,6,H3K4me3,0.0018406969029456377,0.0025913941208273172,1.6580851078033447
H3K4me3_pos_12,12,H3K4me3,0.0018373987404629588,0.00258959480561316,1.645216703414917
H3K4me3_pos_11,11,H3K4me3,0.0018408840987831354,0.002588585950434208,1.6466679573059082
H3K4me3_pos_7,7,H3K4me3,0.0018408140167593956,0.002587741706520319,1.6533290147781372
H3K4me3_pos_8,8,H3K4me3,0.0018383110873401165,0.0025873593986034393,1.6547170877456665
H3K4me3_pos_10,10,H3K4me3,0.0018428460462018847,0.0025820396840572357,1.643936038017273
H3K4me3_pos_9,9,H3K4me3,0.0018417631508782506,0.0025810168590396643,1.6451002359390259
H3K4me3_pos_21,21,H3K4me3,0.0023591036442667246,0.002047938061878085,1.7021503448486328
H3K4me3_pos_0,0,H3K4me3,0.004946511704474688,0.001890802988782525,1.2401337623596191
H3K4me3_pos_1,1,H3K4me3,0.0016887934179976583,0.0011794834863394499,0.8543669581413269
H3K4me3_pos_22,22,H3K4me3,0.0010712016373872757,0.0010371401440352201,0.9325751662254333
