Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.0013225625404627394,0.008689695189752041,-0.1521989565321541,0.8790501760342966,1.0
pos1_C,0.010861064305906235,0.008659249791979226,1.2542731260583886,0.20993521415994243,0.4525979394230814
pos1_G,0.006970296962842125,0.008384992150024513,0.8312824673093759,0.40594438232978014,0.6710509177288202
pos1_CTCF,-0.015519495371397657,0.06825310964099957,-0.2273815135021352,0.8201576124911183,0.9631512490922326
pos1_Dnase,-66725304368.26491,30766890317.349308,-2.1687373562949523,0.03025696277607337,0.09426207634084396
pos1_H3K4me3,-0.05744935554508121,0.0921536440532615,-0.6234083973052389,0.5331095281463769,0.8095583886705727
pos1_RRBS,-1177767468.9363565,543065975.9318345,-2.1687373562953423,0.030256962776043617,0.09426207634084396
pos2_A,-0.0019861151953914262,0.008749801194586538,-0.22698975110659964,0.8204621751526426,0.9631512490922326
pos2_C,0.008984970750383995,0.008748094665735963,1.0270774487130112,0.3045470887376056,0.5606435042669559
pos2_G,-0.007281360238182906,0.008642209272348362,-0.8425345890986888,0.3996210754892924,0.6674083941161378
pos2_CTCF,-0.10018001528355767,0.10827061403157318,-0.9252742877614403,0.35496983349819566,0.6389457002967522
pos2_Dnase,-115969683280.32748,53473364556.434746,-2.16873735629512,0.030256962776060492,0.09426207634084396
pos2_H3K4me3,0.085960481154159,0.12447388953019073,0.6905904642218926,0.48992817229174324,0.7781212148162981
pos2_RRBS,-296801767.40095305,136854638.73225874,-2.168737356295343,0.030256962776043617,0.09426207634084396
pos3_A,-0.0001286734484070366,0.008299923368226717,-0.015502968244214975,0.9876329470016028,1.0
pos3_C,0.007316980979859995,0.008511201714220283,0.8596883525430943,0.39009615375535,0.6582872594621532
pos3_G,0.004545740454339106,0.008717204773682981,0.5214676690930309,0.6021168410962763,0.8632117544920067
pos3_CTCF,0.2014276903362845,0.107831228496996,1.8679903136028533,0.06195532703254014,0.17922791034413396
pos3_Dnase,-116625736497.19652,53775869244.22671,-2.168737356295124,0.03025696277606027,0.09426207634084396
pos3_H3K4me3,-0.06219225865270202,0.09651916290952338,-0.6443514093776461,0.5194446165780024,0.8091348835157345
pos3_RRBS,88720603.71521929,40908874.21553554,2.1687373562953436,0.030256962776043617,0.09426207634084396
pos4_A,0.010846919297830956,0.00897948742171624,1.207966422626582,0.22724771711633962,0.4544954342326792
pos4_C,0.003872113756262185,0.008738491281607651,0.44311010121530026,0.6577490310933127,0.9022135533419234
pos4_G,0.0061899507697530075,0.008717000942521695,0.7101009636879022,0.47775023855694876,0.7662924618438188
pos4_CTCF,-0.0295046214819109,0.08342346341366416,-0.35367293893816276,0.7236329565769104,0.9238795275313865
pos4_Dnase,-116649917493.64613,53787019048.22658,-2.1687373562951193,0.030256962776060714,0.09426207634084396
pos4_H3K4me3,0.08436807954721881,0.07625213920164634,1.1064355758480444,0.26871276659232923,0.5121349198583216
pos4_RRBS,-243642502.593446,112343019.26243299,-2.1687373562953454,0.030256962776043395,0.09426207634084396
pos5_A,0.01556855067706234,0.008650650209858191,1.7996971671933495,0.07210632016350971,0.2014004114911823
pos5_C,0.007653300295092836,0.008738583277650303,0.8758056142426228,0.38127382230836826,0.6501722022521649
pos5_G,0.014438954063605096,0.008751093935358409,1.64995989875793,0.09915734015787203,0.26510605119751784
pos5_CTCF,-0.009756378315841951,0.06929266661332675,-0.1407995794170454,0.8880468947444975,1.0
pos5_Dnase,19077515413.55434,8796600177.593948,2.168737356296718,0.030256962775939034,0.09426207634084396
pos5_H3K4me3,-0.07023745105973299,0.091579576823168,-0.766955400933499,0.4432269028356912,0.7180275825938197
pos5_RRBS,-73355144.40240394,33823894.89878562,-2.168737356295345,0.030256962776043395,0.09426207634084396
pos6_A,-0.014083560291524553,0.008652437387262825,-1.6276986080542848,0.10379564822923792,0.26510605119751784
pos6_C,-0.01001491473970083,0.008725867446090673,-1.147727123013732,0.25126148146558536,0.4845757142550575
pos6_G,-0.004051808029022998,0.008597793228460408,-0.47126139479729595,0.6375215761798168,0.8903318563890544
pos6_CTCF,-0.12003465391772257,0.08669587947791732,-1.3845485464888456,0.16639336207316724,0.37965809374440973
pos6_Dnase,18817867342.39284,8676877026.052437,2.1687373562967354,0.03025696277593748,0.09426207634084396
pos6_H3K4me3,-0.07464239585429697,0.09435611338352969,-0.7910711153489092,0.4290256656511904,0.7020419983383115
pos6_RRBS,-97445227.6463761,44931779.02041247,-2.1687373562953476,0.030256962776043173,0.09426207634084396
pos7_A,-0.021525741597707822,0.008832952928176053,-2.436981355243421,0.014924286052345748,0.09426207634084396
pos7_C,-0.005438851868898905,0.008758553710314913,-0.6209760251277092,0.5347083184429091,0.8095583886705727
pos7_G,-2.0494275316104035e-05,0.008570940752701692,-0.002391134871588504,0.9980924653693086,1.0
pos7_CTCF,0.11048196701393206,0.08578496508409998,1.2878942936634663,0.19797840939039713,0.4393493468663608
pos7_Dnase,18849312761.559853,8691376439.305817,2.168737356296738,0.03025696277593748,0.09426207634084396
pos7_H3K4me3,0.027612232865778054,0.07826262891461958,0.3528150440218607,0.7242759259042351,0.9238795275313865
pos7_RRBS,87069289.56450187,40147456.91162636,2.168737356295346,0.030256962776043395,0.09426207634084396
pos8_A,-0.0018100527123015408,0.008900397555697074,-0.2033676249824302,0.838874869744552,0.9776815028677514
pos8_C,-0.0034403031470382744,0.00892228655570755,-0.38558536823024664,0.6998576197535646,0.9238795275313865
pos8_G,-0.00458994434434197,0.008987829546071401,-0.5106844005901563,0.6096460775765611,0.8663391628719552
