Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.006970156357285001,0.005886468904662034,-1.1840980510004386,0.23645264326728466,0.569355282850891
pos1_C,-0.005237367196774535,0.005826534685554493,-0.8988820078183593,0.3687757966580436,0.702843283042389
pos1_G,0.008307947385931668,0.0055325331539904645,1.5016534297565616,0.1332745833926421,0.37224969844151756
pos1_CTCF,-0.05725882448864931,0.0419570889226458,-1.3646996481146383,0.17243299810851798,0.4364710264621861
pos1_Dnase,-245458954207.02704,38996283977.73091,-6.294419087398123,3.4579250574040543e-10,1.3337710935701352e-09
pos1_H3K4me3,0.025943089160143193,0.052975891148423854,0.48971501182411076,0.6243654997606105,0.8876705098247892
pos1_RRBS,-178359843.92269456,28336188.20833827,-6.294419087398989,3.4579250574040543e-10,1.3337710935701352e-09
pos2_A,-0.0028345023063842956,0.005715148013809594,-0.4959630615926739,0.6199508333255914,0.8876705098247892
pos2_C,0.00649391661348321,0.005757784448091056,1.1278498999100623,0.2594586856820853,0.6004615297213973
pos2_G,0.003660645490893343,0.0055557799811291305,0.6588895714602022,0.5100089396930256,0.827194350701333
pos2_CTCF,0.050939231817900804,0.055241862233762394,0.9221128643771185,0.35653167192841595,0.687596795861945
pos2_Dnase,245458954207.09552,38996283977.730965,6.29441908739987,3.4579250574040543e-10,1.3337710935701352e-09
pos2_H3K4me3,0.02107828430257206,0.07939593333037533,0.2654831729839735,0.7906525143097218,0.9532585305968799
pos2_RRBS,342627501.4098681,54433538.131546624,6.294419087398995,3.4579250574040543e-10,1.3337710935701352e-09
pos3_A,-0.006454285425929682,0.00556393093642829,-1.160022563125657,0.24611675962055002,0.5778393486743347
pos3_C,-0.005898963573732702,0.005745567355724354,-1.0266981846197518,0.30463177542161635,0.6326967643372031
pos3_G,0.001390922171565765,0.005690711826682511,0.24441971653599348,0.8069197411465694,0.9541678690930238
pos3_CTCF,0.025436924784467185,0.0520500850664025,0.48870092627161366,0.6250832990349147,0.8876705098247892
pos3_Dnase,-127660119915.75041,20281477630.12779,-6.294419087399898,3.4579250574040543e-10,1.3337710935701352e-09
pos3_H3K4me3,-0.018595666094809577,0.07134511362314634,-0.26064386403579326,0.7943821088307332,0.9532585305968799
pos3_RRBS,-1662164698.483485,264069594.89097705,-6.294419087398991,3.4579250574040543e-10,1.3337710935701352e-09
pos4_A,0.012749443776335663,0.005934248798870863,2.1484511702242006,0.03174462999788874,0.11179630564473861
pos4_C,0.0005866095639938359,0.005840451081936235,0.10043908522890363,0.9200013495458019,1.0
pos4_G,0.00973933351509316,0.005743293621590474,1.69577496063941,0.09001521303726379,0.2751408398497497
