Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
T_pos_20,20,T,0.018423888832330704,0.03650623932480812,1.7272950410842896
G_pos_22,22,G,0.01975630596280098,0.03291281685233116,1.4679577350616455
C_pos_19,19,C,0.03628760948777199,0.031247232109308243,1.2111241817474365
C_pos_0,0,C,0.019258780404925346,0.031099386513233185,1.715129017829895
T_pos_1,1,T,0.008928017690777779,0.030877573415637016,1.5927786827087402
A_pos_17,17,A,0.028362246230244637,0.03040514700114727,1.4044781923294067
A_pos_18,18,A,0.024980181828141212,0.02963888831436634,1.3035550117492676
A_pos_20,20,A,0.02675885148346424,0.029498044401407242,1.5627779960632324
T_pos_19,19,T,0.0,0.027345871552824974,1.327139139175415
T_pos_3,3,T,0.01155462209135294,0.024663539603352547,1.386618971824646
C_pos_22,22,C,0.0,0.02458694577217102,1.1660351753234863
A_pos_19,19,A,0.02489941380918026,0.023867756128311157,1.2220906019210815
C_pos_2,2,C,0.020092489197850227,0.023795196786522865,1.21510910987854
G_pos_21,21,G,0.010857692919671535,0.023658916354179382,1.0948717594146729
T_pos_5,5,T,0.010778408497571945,0.02347656339406967,1.336142659187317
T_pos_11,11,T,0.011604593135416508,0.02338465489447117,1.3640201091766357
C_pos_21,21,C,0.0,0.022961704060435295,1.1654893159866333
T_pos_7,7,T,0.009340140968561172,0.022935451939702034,1.3110735416412354
T_pos_12,12,T,0.010163472965359688,0.02270900458097458,1.315002202987671
T_pos_8,8,T,0.012731234543025494,0.02266542986035347,1.2995659112930298
T_pos_14,14,T,0.010387961752712727,0.02233521081507206,1.266545057296753
T_pos_6,6,T,0.010422374121844769,0.022303659468889236,1.3131688833236694
T_pos_9,9,T,0.010084105655550957,0.022261833772063255,1.2834843397140503
T_pos_13,13,T,0.010200856253504753,0.02225194312632084,1.2953208684921265
CTCF_pos_6,6,CTCF,0.004358474165201187,0.022142337635159492,1.8611876964569092
CTCF_pos_5,5,CTCF,0.004362841136753559,0.02213691920042038,1.853691577911377
CTCF_pos_7,7,CTCF,0.004368412774056196,0.02212226577103138,1.8556084632873535
T_pos_4,4,T,0.009944397024810314,0.02211160771548748,1.3262028694152832
CTCF_pos_4,4,CTCF,0.004363878630101681,0.022097911685705185,1.8524430990219116
CTCF_pos_12,12,CTCF,0.004351032432168722,0.02209456078708172,1.847904086112976
CTCF_pos_8,8,CTCF,0.0043595535680651665,0.022092215716838837,1.8497111797332764
CTCF_pos_11,11,CTCF,0.004362781066447496,0.02209039032459259,1.8457233905792236
CTCF_pos_14,14,CTCF,0.004350959789007902,0.022077912464737892,1.855070948600769
CTCF_pos_13,13,CTCF,0.004350794479250908,0.02207636460661888,1.8497246503829956
CTCF_pos_9,9,CTCF,0.004366097506135702,0.022073928266763687,1.8437955379486084
CTCF_pos_15,15,CTCF,0.004334186669439077,0.02202991582453251,1.84876549243927
CTCF_pos_10,10,CTCF,0.0043580131605267525,0.022029906511306763,1.8357232809066772
T_pos_10,10,T,0.008963155560195446,0.021984178572893143,1.2698960304260254
CTCF_pos_18,18,CTCF,0.004340070765465498,0.0219388660043478,1.839308738708496
CTCF_pos_16,16,CTCF,0.004321643151342869,0.02193508855998516,1.8371739387512207
CTCF_pos_17,17,CTCF,0.004332487005740404,0.021905289962887764,1.8315690755844116
G_pos_18,18,G,0.006564612500369549,0.020466426387429237,1.1267046928405762
T_pos_18,18,T,0.0,0.020045019686222076,1.1857208013534546
C_pos_18,18,C,0.025767741724848747,0.019811447709798813,1.1129059791564941
C_pos_20,20,C,0.012900463305413723,0.019806072115898132,1.1158099174499512
