Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
G_pos_19,19,G,0.008719285950064659,0.02571549452841282,2.2729361057281494
T_pos_19,19,T,0.0027579183224588633,0.023247119039297104,2.2762022018432617
T_pos_18,18,T,0.002784907352179289,0.01987362653017044,2.148143768310547
C_pos_17,17,C,0.0025429786182940006,0.01529558002948761,1.3898420333862305
G_pos_0,0,G,0.0065221404656767845,0.013722861185669899,2.0270254611968994
G_pos_21,21,G,0.006481940392404795,0.01260290201753378,1.5390324592590332
T_pos_17,17,T,0.002420680830255151,0.012563439086079597,1.6243499517440796
G_pos_18,18,G,0.007345548830926418,0.012412210926413536,1.413872241973877
T_pos_16,16,T,0.0018959436565637589,0.01208933163434267,1.4835107326507568
C_pos_6,6,C,0.001968946075066924,0.011719109490513802,1.3277366161346436
C_pos_10,10,C,0.0016469982219859958,0.011521914042532444,1.4078978300094604
C_pos_19,19,C,0.0028210117015987635,0.011507743038237095,1.3928277492523193
G_pos_22,22,G,0.006526413839310408,0.011446718126535416,1.3837546110153198
C_pos_15,15,C,0.0019031265983358026,0.01116628386080265,1.3293483257293701
C_pos_16,16,C,0.0019350970396772027,0.011108108796179295,1.2880170345306396
C_pos_14,14,C,0.0020520086400210857,0.0110385213047266,1.3484280109405518
C_pos_7,7,C,0.0014932150952517986,0.010739509016275406,1.2586381435394287
C_pos_9,9,C,0.0018979784799739718,0.010607823729515076,1.378288745880127
C_pos_11,11,C,0.0019374183611944318,0.01057638879865408,1.2957316637039185
C_pos_12,12,C,0.0018917843699455261,0.010573402978479862,1.3570966720581055
C_pos_8,8,C,0.001969008706510067,0.010357018560171127,1.2432351112365723
C_pos_18,18,C,0.0021793432533740997,0.010271071456372738,1.4031143188476562
C_pos_13,13,C,0.0017182329902425408,0.010198359377682209,1.2999082803726196
T_pos_9,9,T,0.0010830445680767298,0.010181927122175694,1.3128694295883179
C_pos_5,5,C,0.0019086101092398167,0.01004059799015522,1.336390733718872
T_pos_6,6,T,0.0015234141610562801,0.00990959070622921,1.4037632942199707
T_pos_20,20,T,0.0015194423031061888,0.009903495199978352,1.4561575651168823
A_pos_19,19,A,0.001169335562735796,0.009902065619826317,1.3372275829315186
T_pos_11,11,T,0.00138539494946599,0.009797612205147743,1.3198131322860718
C_pos_20,20,C,0.0013931242283433676,0.009755783714354038,1.4297627210617065
C_pos_21,21,C,0.0,0.00959494523704052,1.571033239364624
T_pos_12,12,T,0.0012220076750963926,0.009591002948582172,1.3150793313980103
G_pos_17,17,G,0.0039392998442053795,0.009531849063932896,1.402912974357605
A_pos_8,8,A,0.0015381075209006667,0.009514876641333103,1.3283882141113281
T_pos_10,10,T,0.001522638718597591,0.009485261514782906,1.3027759790420532
T_pos_15,15,T,0.0010035269660875201,0.009418033994734287,1.3132785558700562
A_pos_11,11,A,0.0015932470560073853,0.009396876208484173,1.367754578590393
T_pos_5,5,T,0.0015575401484966278,0.009380125440657139,1.3171974420547485
A_pos_20,20,A,0.0015109922969713807,0.009373249486088753,1.380710482597351
G_pos_8,8,G,0.003656258573755622,0.009338431991636753,1.4797968864440918
A_pos_16,16,A,0.0010069366544485092,0.009313495829701424,1.3584352731704712
G_pos_5,5,G,0.0041853454895317554,0.00922435987740755,1.3852957487106323
G_pos_16,16,G,0.004584259353578091,0.00922376662492752,1.3816564083099365
G_pos_3,3,G,0.0065160333178937435,0.009175282903015614,1.3356328010559082
A_pos_7,7,A,0.0015972366090863943,0.009140720590949059,1.2524677515029907
A_pos_13,13,A,0.00123343535233289,0.009103604592382908,1.3169807195663452
C_pos_4,4,C,0.0013126407284289598,0.009061751887202263,1.2797455787658691
T_pos_7,7,T,0.0016032453859224916,0.009055519476532936,1.2881807088851929
A_pos_15,15,A,0.0011203616159036756,0.00897660106420517,1.2737492322921753
T_pos_8,8,T,0.0013691778294742107,0.008973495103418827,1.2188780307769775
T_pos_13,13,T,0.0015107245417311788,0.008926346898078918,1.2666540145874023
G_pos_15,15,G,0.0034887760411947966,0.008919233456254005,1.3037102222442627
G_pos_1,1,G,0.005962678696960211,0.008875333704054356,1.496699333190918
A_pos_12,12,A,0.001236498006619513,0.008852996863424778,1.2396808862686157
G_pos_2,2,G,0.00543173449113965,0.008804519660770893,1.2343895435333252
G_pos_14,14,G,0.0024977861903607845,0.008783160708844662,1.3609172105789185
C_pos_3,3,C,0.0019695356022566557,0.008759088814258575,1.3392608165740967
A_pos_14,14,A,0.0010950409341603518,0.008717886172235012,1.2862166166305542
G_pos_12,12,G,0.00432440172880888,0.008645858615636826,1.3651930093765259
G_pos_11,11,G,0.0027716730255633593,0.008641096763312817,1.3223594427108765
G_pos_4,4,G,0.005623765755444765,0.008619902655482292,1.3762222528457642
T_pos_4,4,T,0.0011035304050892591,0.008555063046514988,1.3293015956878662
T_pos_21,21,T,0.0,0.008469750173389912,1.4377593994140625
G_pos_10,10,G,0.004611864686012268,0.008455993607640266,1.3657606840133667
G_pos_6,6,G,0.004658568184822798,0.00842047855257988,1.2894104719161987
T_pos_14,14,T,0.001472245086915791,0.008373518474400043,1.3087799549102783
A_pos_18,18,A,0.000923476240132004,0.008369704708456993,1.3577053546905518
G_pos_9,9,G,0.004372080322355032,0.008187943138182163,1.3087856769561768
A_pos_9,9,A,0.0011658042203634977,0.00808428693562746,1.2610317468643188
G_pos_13,13,G,0.0040113190189003944,0.008054075762629509,1.3675276041030884
T_pos_3,3,T,0.000657334690913558,0.008039833977818489,1.3966656923294067
A_pos_5,5,A,0.0012515096459537745,0.007995180785655975,1.3763984441757202
A_pos_17,17,A,0.001151142525486648,0.007888425141572952,1.2638121843338013
A_pos_6,6,A,0.0009324016864411533,0.00785118155181408,1.2428905963897705
C_pos_22,22,C,0.0,0.007833871990442276,1.4095125198364258
CTCF_pos_3,3,CTCF,0.00024235133605543524,0.007802209816873074,2.2205536365509033
CTCF_pos_19,19,CTCF,0.0004236249078530818,0.007780048530548811,2.190716028213501
A_pos_10,10,A,0.0011740942718461156,0.007709676865488291,1.248238205909729
CTCF_pos_5,5,CTCF,0.0001569415908306837,0.007687739096581936,2.2973198890686035
CTCF_pos_2,2,CTCF,0.000400952179916203,0.007685722317546606,2.133361339569092
CTCF_pos_4,4,CTCF,0.0001807777298381552,0.00768047571182251,2.306283950805664
CTCF_pos_6,6,CTCF,0.00015300737868528813,0.007676584646105766,2.3001744747161865
CTCF_pos_7,7,CTCF,0.0001710199285298586,0.0076473248191177845,2.290814161300659
CTCF_pos_13,13,CTCF,0.000176211804500781,0.0076448796316981316,2.250251531600952
CTCF_pos_8,8,CTCF,0.00017242545436602086,0.007640228606760502,2.2873055934906006
CTCF_pos_12,12,CTCF,0.00017055452917702496,0.007635666057467461,2.2550368309020996
CTCF_pos_11,11,CTCF,0.00016931920254137367,0.007633815985172987,2.2630536556243896
CTCF_pos_10,10,CTCF,0.0001516731717856601,0.007620838936418295,2.2684805393218994
CTCF_pos_18,18,CTCF,0.00016007912927307189,0.0076164910569787025,2.2250137329101562
CTCF_pos_9,9,CTCF,0.0001802452898118645,0.00761241652071476,2.2552030086517334
CTCF_pos_14,14,CTCF,0.00019164719560649246,0.00757372984662652,2.214700698852539
CTCF_pos_17,17,CTCF,0.0001748392969602719,0.007564648054540157,2.201042413711548
CTCF_pos_15,15,CTCF,0.00020027311984449625,0.007529281545430422,2.1931488513946533
CTCF_pos_16,16,CTCF,0.000173442269442603,0.007522948086261749,2.174672842025757
A_pos_22,22,A,0.0,0.007418693043291569,1.4007744789123535
A_pos_21,21,A,0.0,0.007386051584035158,1.4472076892852783
G_pos_20,20,G,0.0015389514155685902,0.007294651120901108,1.2775330543518066
G_pos_7,7,G,0.0037801486905664206,0.007286489009857178,1.2689099311828613
CTCF_pos_20,20,CTCF,0.0005698655731976032,0.007284277584403753,1.6848676204681396
A_pos_0,0,A,0.001480042701587081,0.007208519149571657,1.4982974529266357
A_pos_4,4,A,0.0011322011705487967,0.007049642503261566,1.2485042810440063
C_pos_2,2,C,0.001246917643584311,0.006887380033731461,1.319102168083191
A_pos_3,3,A,0.0007841833285056055,0.006858588196337223,1.36052405834198
A_pos_1,1,A,0.0011375145986676216,0.006530139595270157,1.3628066778182983
A_pos_2,2,A,0.0009758782689459622,0.006521136499941349,1.4022161960601807
C_pos_0,0,C,0.0011425422271713614,0.006240108050405979,1.493888020515442
C_pos_1,1,C,0.0008499269606545568,0.006118139252066612,1.3653720617294312
T_pos_2,2,T,0.000997822149656713,0.006116683129221201,1.2897565364837646
T_pos_22,22,T,0.0,0.005268872249871492,1.3599470853805542
T_pos_1,1,T,0.0008564829477109015,0.005018056835979223,1.2418626546859741
T_pos_0,0,T,0.0007632517954334617,0.0047329142689704895,1.286130428314209
CTCF_pos_21,21,CTCF,0.0017997974064201117,0.0038642287254333496,1.5833494663238525
CTCF_pos_1,1,CTCF,0.0004997933865524828,0.0034702245611697435,2.1371028423309326
CTCF_pos_0,0,CTCF,0.0002095089148497209,0.003027608385309577,1.0407702922821045
CTCF_pos_22,22,CTCF,0.0008022603578865528,0.00299383164383471,1.4824841022491455
