Feature,MLP_IG,IG_SNR
pos23_G,0.016356843,6.4385343
pos22_G,0.010626185,3.9612403
pos12_G,0.005962954,0.6251678
pos16_G,0.0051142853,0.67613244
pos8_C,0.0050108847,0.5770761
pos21_T,0.0050057294,0.7267593
pos21_A,0.00464051,0.6333657
pos8_T,0.0045828884,0.64878935
pos11_T,0.0042708153,0.54560006
pos20_C,0.0041874405,0.6231501
pos20_T,0.0041097696,0.5155696
pos18_T,0.003908809,0.58104783
pos11_C,0.0038984257,0.53471786
pos20_A,0.0038052972,0.5632167
pos9_T,0.0036993662,0.559908
pos14_C,0.0036560174,0.5572783
pos1_G,0.003627077,0.5835818
pos15_G,0.0035319435,0.5975051
pos6_T,0.003439889,0.60106295
pos7_C,0.003314215,0.5558096
pos5_C,0.003227398,0.6017089
pos1_T,0.0031765064,0.5798622
pos16_C,0.0031740272,0.4977577
pos17_T,0.0031225423,0.50747854
pos14_G,0.0031193611,0.5973787
pos2_T,0.0030807212,0.63371545
pos8_G,0.0029507673,0.5022118
pos13_C,0.0029378508,0.58210325
pos9_G,0.0027834377,0.58640903
pos4_C,0.0027684048,0.5065654
pos3_C,0.0027666637,0.59255856
pos4_G,0.0027288774,0.5821714
pos1_C,0.0026986708,0.5478392
pos10_G,0.0026946377,0.55434865
pos11_A,0.0025826958,0.561129
pos10_C,0.0024503812,0.6004128
pos10_A,0.0023921982,0.53515965
pos8_A,0.0023044667,0.5189864
pos12_T,0.0022850342,0.53087807
pos4_A,0.0022420203,0.5357709
pos10_T,0.0022331323,0.5017813
pos14_T,0.0022041237,0.5344446
pos3_G,0.0021205493,0.54054403
pos17_C,0.001999168,0.5379583
pos11_G,0.0019844028,0.544014
pos18_C,0.0019090518,0.51747847
pos19_A,0.0018961274,0.50472736
pos5_A,0.0018626781,0.49788538
pos17_G,0.0018423515,0.54285043
pos13_A,0.0018145768,0.51819825
pos5_G,0.0018025462,0.5490121
pos2_C,0.0018014748,0.52767575
pos9_C,0.0017893539,0.53380895
pos18_G,0.0017857574,0.5370351
pos7_T,0.0017607779,0.50194585
pos4_T,0.0017585136,0.52010363
pos19_G,0.0016832615,0.5559302
pos19_T,0.0016537377,0.48826468
pos15_T,0.0016166846,0.51709205
pos2_G,0.0014769057,0.49336976
pos16_T,0.0014717354,0.47270536
pos18_A,0.0014612146,0.47621742
pos6_A,0.001384325,0.5144861
pos3_T,0.001358422,0.45120433
pos12_C,0.0013145478,0.4768329
pos7_G,0.0012754267,0.5221195
pos1_A,0.0011906915,0.46583006
pos21_G,0.0009322335,0.4476281
pos3_A,0.0009277455,0.45026997
pos19_C,0.0008871494,0.41526845
pos12_A,0.0008640652,0.44544756
pos13_G,0.00083741697,0.45978165
pos6_C,0.0008307881,0.44170874
pos14_A,0.0008170646,0.4413966
pos5_T,0.0006978175,0.3852532
pos16_A,0.00069736096,0.43714184
pos15_A,0.0006631047,0.39598233
pos15_C,0.00066080404,0.38076702
pos17_A,0.00064945256,0.42875704
pos6_G,0.00064662396,0.40915656
pos13_T,0.0006004977,0.3808343
pos2_A,0.0005710054,0.38471377
pos7_A,0.0005446706,0.4366604
pos9_A,0.00048029525,0.36330703
pos21_C,0.00046727876,0.3076753
pos20_G,0.00046230727,0.40683514
pos21_RRBS,0.00028941108,0.12958318
pos3_RRBS,0.00016304564,0.12990929
pos9_RRBS,0.00010201442,0.102592535
pos22_RRBS,5.5492397e-05,0.09367034
pos12_RRBS,4.370991e-05,0.05314952
pos11_RRBS,4.3424647e-05,0.053149227
pos7_RRBS,2.3536495e-05,0.053149495
pos6_RRBS,1.9523772e-05,0.05371521
pos17_RRBS,1.49196485e-05,0.053149555
pos2_RRBS,1.4804497e-05,0.05314952
pos13_RRBS,1.40138045e-05,0.08880581
pos4_RRBS,1.3387613e-05,0.053149085
pos18_RRBS,1.038972e-05,0.05314921
pos8_RRBS,2.4312437e-06,0.053149395
pos16_RRBS,3.4612682e-07,0.05314973
pos6_Dnase,0.0,0.0
pos5_H3K4me3,0.0,0.0
pos6_CTCF,0.0,0.0
pos1_RRBS,0.0,0.0
pos1_H3K4me3,0.0,0.0
pos2_CTCF,0.0,0.0
pos2_Dnase,0.0,0.0
pos2_H3K4me3,0.0,0.0
pos1_CTCF,0.0,0.0
pos1_Dnase,0.0,0.0
pos5_RRBS,0.0,0.0
pos5_CTCF,0.0,0.0
pos4_H3K4me3,0.0,0.0
pos4_CTCF,0.0,0.0
pos4_Dnase,0.0,0.0
pos5_Dnase,0.0,0.0
pos3_CTCF,0.0,0.0
pos3_Dnase,0.0,0.0
pos3_H3K4me3,0.0,0.0
pos7_H3K4me3,0.0,0.0
pos7_Dnase,0.0,0.0
pos7_CTCF,0.0,0.0
pos6_H3K4me3,0.0,0.0
pos15_RRBS,0.0,0.0
pos15_H3K4me3,0.0,0.0
pos15_Dnase,0.0,0.0
pos14_RRBS,0.0,0.0
pos12_H3K4me3,0.0,0.0
pos13_CTCF,0.0,0.0
pos12_CTCF,0.0,0.0
pos15_CTCF,0.0,0.0
pos14_CTCF,0.0,0.0
pos14_Dnase,0.0,0.0
pos14_H3K4me3,0.0,0.0
pos11_H3K4me3,0.0,0.0
pos9_H3K4me3,0.0,0.0
pos10_H3K4me3,0.0,0.0
pos10_Dnase,0.0,0.0
pos9_Dnase,0.0,0.0
pos8_Dnase,0.0,0.0
pos8_CTCF,0.0,0.0
pos9_CTCF,0.0,0.0
pos8_H3K4me3,0.0,0.0
pos10_RRBS,0.0,0.0
pos11_CTCF,0.0,0.0
pos10_CTCF,0.0,0.0
pos12_Dnase,0.0,0.0
pos13_Dnase,0.0,0.0
pos13_H3K4me3,0.0,0.0
pos11_Dnase,0.0,0.0
pos17_Dnase,0.0,0.0
pos19_RRBS,0.0,0.0
pos19_H3K4me3,0.0,0.0
pos19_Dnase,0.0,0.0
pos19_CTCF,0.0,0.0
pos18_Dnase,0.0,0.0
pos18_CTCF,0.0,0.0
pos18_H3K4me3,0.0,0.0
pos17_H3K4me3,0.0,0.0
pos16_H3K4me3,0.0,0.0
pos17_CTCF,0.0,0.0
