Feature,Position,Channel,Transformer_Attention,Attention_Entropy,Attention_SNR
A_pos_18,18,A,0.12945963442325592,3.325242280960083,0.8965346813201904
C_pos_18,18,C,0.12945963442325592,3.325242280960083,0.8965346813201904
G_pos_18,18,G,0.12945963442325592,3.325242280960083,0.8965346813201904
T_pos_18,18,T,0.12945963442325592,3.325242280960083,0.8965346813201904
CTCF_pos_18,18,CTCF,0.12945963442325592,3.325242280960083,0.8965346813201904
Dnase_pos_18,18,Dnase,0.12945963442325592,3.325242280960083,0.8965346813201904
H3K4me3_pos_18,18,H3K4me3,0.12945963442325592,3.325242280960083,0.8965346813201904
RRBS_pos_18,18,RRBS,0.12945963442325592,3.325242280960083,0.8965346813201904
RRBS_pos_19,19,RRBS,0.12545229494571686,3.325242280960083,1.011325478553772
H3K4me3_pos_19,19,H3K4me3,0.12545229494571686,3.325242280960083,1.011325478553772
Dnase_pos_19,19,Dnase,0.12545229494571686,3.325242280960083,1.011325478553772
CTCF_pos_19,19,CTCF,0.12545229494571686,3.325242280960083,1.011325478553772
T_pos_19,19,T,0.12545229494571686,3.325242280960083,1.011325478553772
G_pos_19,19,G,0.12545229494571686,3.325242280960083,1.011325478553772
C_pos_19,19,C,0.12545229494571686,3.325242280960083,1.011325478553772
A_pos_19,19,A,0.12545229494571686,3.325242280960083,1.011325478553772
A_pos_17,17,A,0.12269537895917892,3.325242280960083,0.808989405632019
C_pos_17,17,C,0.12269537895917892,3.325242280960083,0.808989405632019
G_pos_17,17,G,0.12269537895917892,3.325242280960083,0.808989405632019
T_pos_17,17,T,0.12269537895917892,3.325242280960083,0.808989405632019
CTCF_pos_17,17,CTCF,0.12269537895917892,3.325242280960083,0.808989405632019
Dnase_pos_17,17,Dnase,0.12269537895917892,3.325242280960083,0.808989405632019
H3K4me3_pos_17,17,H3K4me3,0.12269537895917892,3.325242280960083,0.808989405632019
RRBS_pos_17,17,RRBS,0.12269537895917892,3.325242280960083,0.808989405632019
A_pos_16,16,A,0.06354115158319473,3.325242280960083,0.6660386919975281
C_pos_16,16,C,0.06354115158319473,3.325242280960083,0.6660386919975281
G_pos_16,16,G,0.06354115158319473,3.325242280960083,0.6660386919975281
T_pos_16,16,T,0.06354115158319473,3.325242280960083,0.6660386919975281
CTCF_pos_16,16,CTCF,0.06354115158319473,3.325242280960083,0.6660386919975281
Dnase_pos_16,16,Dnase,0.06354115158319473,3.325242280960083,0.6660386919975281
H3K4me3_pos_16,16,H3K4me3,0.06354115158319473,3.325242280960083,0.6660386919975281
RRBS_pos_16,16,RRBS,0.06354115158319473,3.325242280960083,0.6660386919975281
A_pos_9,9,A,0.04985421895980835,3.325242280960083,1.0186350345611572
C_pos_9,9,C,0.04985421895980835,3.325242280960083,1.0186350345611572
G_pos_9,9,G,0.04985421895980835,3.325242280960083,1.0186350345611572
T_pos_9,9,T,0.04985421895980835,3.325242280960083,1.0186350345611572
CTCF_pos_9,9,CTCF,0.04985421895980835,3.325242280960083,1.0186350345611572
Dnase_pos_9,9,Dnase,0.04985421895980835,3.325242280960083,1.0186350345611572
H3K4me3_pos_9,9,H3K4me3,0.04985421895980835,3.325242280960083,1.0186350345611572
RRBS_pos_9,9,RRBS,0.04985421895980835,3.325242280960083,1.0186350345611572
RRBS_pos_15,15,RRBS,0.04854743182659149,3.325242280960083,0.7807027101516724
H3K4me3_pos_15,15,H3K4me3,0.04854743182659149,3.325242280960083,0.7807027101516724
Dnase_pos_15,15,Dnase,0.04854743182659149,3.325242280960083,0.7807027101516724
CTCF_pos_15,15,CTCF,0.04854743182659149,3.325242280960083,0.7807027101516724
T_pos_15,15,T,0.04854743182659149,3.325242280960083,0.7807027101516724
G_pos_15,15,G,0.04854743182659149,3.325242280960083,0.7807027101516724
C_pos_15,15,C,0.04854743182659149,3.325242280960083,0.7807027101516724
A_pos_15,15,A,0.04854743182659149,3.325242280960083,0.7807027101516724
RRBS_pos_3,3,RRBS,0.04781263694167137,3.325242280960083,1.0228691101074219
H3K4me3_pos_3,3,H3K4me3,0.04781263694167137,3.325242280960083,1.0228691101074219
Dnase_pos_3,3,Dnase,0.04781263694167137,3.325242280960083,1.0228691101074219
CTCF_pos_3,3,CTCF,0.04781263694167137,3.325242280960083,1.0228691101074219
T_pos_3,3,T,0.04781263694167137,3.325242280960083,1.0228691101074219
G_pos_3,3,G,0.04781263694167137,3.325242280960083,1.0228691101074219
C_pos_3,3,C,0.04781263694167137,3.325242280960083,1.0228691101074219
A_pos_3,3,A,0.04781263694167137,3.325242280960083,1.0228691101074219
RRBS_pos_20,20,RRBS,0.04687247425317764,3.325242280960083,0.607970654964447
H3K4me3_pos_20,20,H3K4me3,0.04687247425317764,3.325242280960083,0.607970654964447
Dnase_pos_20,20,Dnase,0.04687247425317764,3.325242280960083,0.607970654964447
CTCF_pos_20,20,CTCF,0.04687247425317764,3.325242280960083,0.607970654964447
T_pos_20,20,T,0.04687247425317764,3.325242280960083,0.607970654964447
G_pos_20,20,G,0.04687247425317764,3.325242280960083,0.607970654964447
C_pos_20,20,C,0.04687247425317764,3.325242280960083,0.607970654964447
A_pos_20,20,A,0.04687247425317764,3.325242280960083,0.607970654964447
RRBS_pos_2,2,RRBS,0.04191164672374725,3.325242280960083,0.9526832699775696
H3K4me3_pos_2,2,H3K4me3,0.04191164672374725,3.325242280960083,0.9526832699775696
Dnase_pos_2,2,Dnase,0.04191164672374725,3.325242280960083,0.9526832699775696
CTCF_pos_2,2,CTCF,0.04191164672374725,3.325242280960083,0.9526832699775696
T_pos_2,2,T,0.04191164672374725,3.325242280960083,0.9526832699775696
G_pos_2,2,G,0.04191164672374725,3.325242280960083,0.9526832699775696
C_pos_2,2,C,0.04191164672374725,3.325242280960083,0.9526832699775696
A_pos_2,2,A,0.04191164672374725,3.325242280960083,0.9526832699775696
A_pos_4,4,A,0.03677740320563316,3.325242280960083,1.0379964113235474
C_pos_4,4,C,0.03677740320563316,3.325242280960083,1.0379964113235474
G_pos_4,4,G,0.03677740320563316,3.325242280960083,1.0379964113235474
T_pos_4,4,T,0.03677740320563316,3.325242280960083,1.0379964113235474
CTCF_pos_4,4,CTCF,0.03677740320563316,3.325242280960083,1.0379964113235474
Dnase_pos_4,4,Dnase,0.03677740320563316,3.325242280960083,1.0379964113235474
H3K4me3_pos_4,4,H3K4me3,0.03677740320563316,3.325242280960083,1.0379964113235474
RRBS_pos_4,4,RRBS,0.03677740320563316,3.325242280960083,1.0379964113235474
RRBS_pos_10,10,RRBS,0.0366772823035717,3.325242280960083,0.9099571704864502
H3K4me3_pos_10,10,H3K4me3,0.0366772823035717,3.325242280960083,0.9099571704864502
Dnase_pos_10,10,Dnase,0.0366772823035717,3.325242280960083,0.9099571704864502
CTCF_pos_10,10,CTCF,0.0366772823035717,3.325242280960083,0.9099571704864502
T_pos_10,10,T,0.0366772823035717,3.325242280960083,0.9099571704864502
G_pos_10,10,G,0.0366772823035717,3.325242280960083,0.9099571704864502
C_pos_10,10,C,0.0366772823035717,3.325242280960083,0.9099571704864502
A_pos_10,10,A,0.0366772823035717,3.325242280960083,0.9099571704864502
A_pos_14,14,A,0.03582330048084259,3.325242280960083,0.6723379492759705
C_pos_14,14,C,0.03582330048084259,3.325242280960083,0.6723379492759705
G_pos_14,14,G,0.03582330048084259,3.325242280960083,0.6723379492759705
T_pos_14,14,T,0.03582330048084259,3.325242280960083,0.6723379492759705
CTCF_pos_14,14,CTCF,0.03582330048084259,3.325242280960083,0.6723379492759705
Dnase_pos_14,14,Dnase,0.03582330048084259,3.325242280960083,0.6723379492759705
H3K4me3_pos_14,14,H3K4me3,0.03582330048084259,3.325242280960083,0.6723379492759705
RRBS_pos_14,14,RRBS,0.03582330048084259,3.325242280960083,0.6723379492759705
RRBS_pos_0,0,RRBS,0.03271176666021347,3.325242280960083,0.7734137773513794
H3K4me3_pos_0,0,H3K4me3,0.03271176666021347,3.325242280960083,0.7734137773513794
Dnase_pos_0,0,Dnase,0.03271176666021347,3.325242280960083,0.7734137773513794
CTCF_pos_0,0,CTCF,0.03271176666021347,3.325242280960083,0.7734137773513794
T_pos_0,0,T,0.03271176666021347,3.325242280960083,0.7734137773513794
G_pos_0,0,G,0.03271176666021347,3.325242280960083,0.7734137773513794
C_pos_0,0,C,0.03271176666021347,3.325242280960083,0.7734137773513794
A_pos_0,0,A,0.03271176666021347,3.325242280960083,0.7734137773513794
A_pos_13,13,A,0.02551114559173584,3.325242280960083,0.5250527262687683
C_pos_13,13,C,0.02551114559173584,3.325242280960083,0.5250527262687683
G_pos_13,13,G,0.02551114559173584,3.325242280960083,0.5250527262687683
T_pos_13,13,T,0.02551114559173584,3.325242280960083,0.5250527262687683
CTCF_pos_13,13,CTCF,0.02551114559173584,3.325242280960083,0.5250527262687683
Dnase_pos_13,13,Dnase,0.02551114559173584,3.325242280960083,0.5250527262687683
H3K4me3_pos_13,13,H3K4me3,0.02551114559173584,3.325242280960083,0.5250527262687683
RRBS_pos_13,13,RRBS,0.02551114559173584,3.325242280960083,0.5250527262687683
RRBS_pos_5,5,RRBS,0.023598454892635345,3.325242280960083,0.9592313766479492
H3K4me3_pos_5,5,H3K4me3,0.023598454892635345,3.325242280960083,0.9592313766479492
Dnase_pos_5,5,Dnase,0.023598454892635345,3.325242280960083,0.9592313766479492
CTCF_pos_5,5,CTCF,0.023598454892635345,3.325242280960083,0.9592313766479492
T_pos_5,5,T,0.023598454892635345,3.325242280960083,0.9592313766479492
G_pos_5,5,G,0.023598454892635345,3.325242280960083,0.9592313766479492
C_pos_5,5,C,0.023598454892635345,3.325242280960083,0.9592313766479492
A_pos_5,5,A,0.023598454892635345,3.325242280960083,0.9592313766479492
RRBS_pos_1,1,RRBS,0.023060664534568787,3.325242280960083,0.7055239677429199
H3K4me3_pos_1,1,H3K4me3,0.023060664534568787,3.325242280960083,0.7055239677429199
Dnase_pos_1,1,Dnase,0.023060664534568787,3.325242280960083,0.7055239677429199
CTCF_pos_1,1,CTCF,0.023060664534568787,3.325242280960083,0.7055239677429199
T_pos_1,1,T,0.023060664534568787,3.325242280960083,0.7055239677429199
G_pos_1,1,G,0.023060664534568787,3.325242280960083,0.7055239677429199
C_pos_1,1,C,0.023060664534568787,3.325242280960083,0.7055239677429199
A_pos_1,1,A,0.023060664534568787,3.325242280960083,0.7055239677429199
A_pos_8,8,A,0.022790664806962013,3.325242280960083,0.7559553384780884
C_pos_8,8,C,0.022790664806962013,3.325242280960083,0.7559553384780884
G_pos_8,8,G,0.022790664806962013,3.325242280960083,0.7559553384780884
T_pos_8,8,T,0.022790664806962013,3.325242280960083,0.7559553384780884
CTCF_pos_8,8,CTCF,0.022790664806962013,3.325242280960083,0.7559553384780884
Dnase_pos_8,8,Dnase,0.022790664806962013,3.325242280960083,0.7559553384780884
H3K4me3_pos_8,8,H3K4me3,0.022790664806962013,3.325242280960083,0.7559553384780884
RRBS_pos_8,8,RRBS,0.022790664806962013,3.325242280960083,0.7559553384780884
A_pos_11,11,A,0.021435275673866272,3.325242280960083,0.8133421540260315
C_pos_11,11,C,0.021435275673866272,3.325242280960083,0.8133421540260315
G_pos_11,11,G,0.021435275673866272,3.325242280960083,0.8133421540260315
T_pos_11,11,T,0.021435275673866272,3.325242280960083,0.8133421540260315
CTCF_pos_11,11,CTCF,0.021435275673866272,3.325242280960083,0.8133421540260315
Dnase_pos_11,11,Dnase,0.021435275673866272,3.325242280960083,0.8133421540260315
H3K4me3_pos_11,11,H3K4me3,0.021435275673866272,3.325242280960083,0.8133421540260315
RRBS_pos_11,11,RRBS,0.021435275673866272,3.325242280960083,0.8133421540260315
A_pos_12,12,A,0.016007443889975548,3.325242280960083,0.5648488998413086
C_pos_12,12,C,0.016007443889975548,3.325242280960083,0.5648488998413086
G_pos_12,12,G,0.016007443889975548,3.325242280960083,0.5648488998413086
T_pos_12,12,T,0.016007443889975548,3.325242280960083,0.5648488998413086
CTCF_pos_12,12,CTCF,0.016007443889975548,3.325242280960083,0.5648488998413086
Dnase_pos_12,12,Dnase,0.016007443889975548,3.325242280960083,0.5648488998413086
H3K4me3_pos_12,12,H3K4me3,0.016007443889975548,3.325242280960083,0.5648488998413086
RRBS_pos_12,12,RRBS,0.016007443889975548,3.325242280960083,0.5648488998413086
RRBS_pos_22,22,RRBS,0.015381346456706524,3.325242280960083,1.06532883644104
H3K4me3_pos_22,22,H3K4me3,0.015381346456706524,3.325242280960083,1.06532883644104
Dnase_pos_22,22,Dnase,0.015381346456706524,3.325242280960083,1.06532883644104
CTCF_pos_22,22,CTCF,0.015381346456706524,3.325242280960083,1.06532883644104
T_pos_22,22,T,0.015381346456706524,3.325242280960083,1.06532883644104
G_pos_22,22,G,0.015381346456706524,3.325242280960083,1.06532883644104
C_pos_22,22,C,0.015381346456706524,3.325242280960083,1.06532883644104
A_pos_22,22,A,0.015381346456706524,3.325242280960083,1.06532883644104
RRBS_pos_6,6,RRBS,0.01403824519366026,3.325242280960083,0.6875735521316528
H3K4me3_pos_6,6,H3K4me3,0.01403824519366026,3.325242280960083,0.6875735521316528
Dnase_pos_6,6,Dnase,0.01403824519366026,3.325242280960083,0.6875735521316528
CTCF_pos_6,6,CTCF,0.01403824519366026,3.325242280960083,0.6875735521316528
T_pos_6,6,T,0.01403824519366026,3.325242280960083,0.6875735521316528
G_pos_6,6,G,0.01403824519366026,3.325242280960083,0.6875735521316528
C_pos_6,6,C,0.01403824519366026,3.325242280960083,0.6875735521316528
A_pos_6,6,A,0.01403824519366026,3.325242280960083,0.6875735521316528
A_pos_7,7,A,0.011691226623952389,3.325242280960083,0.5835166573524475
C_pos_7,7,C,0.011691226623952389,3.325242280960083,0.5835166573524475
G_pos_7,7,G,0.011691226623952389,3.325242280960083,0.5835166573524475
T_pos_7,7,T,0.011691226623952389,3.325242280960083,0.5835166573524475
CTCF_pos_7,7,CTCF,0.011691226623952389,3.325242280960083,0.5835166573524475
Dnase_pos_7,7,Dnase,0.011691226623952389,3.325242280960083,0.5835166573524475
H3K4me3_pos_7,7,H3K4me3,0.011691226623952389,3.325242280960083,0.5835166573524475
RRBS_pos_7,7,RRBS,0.011691226623952389,3.325242280960083,0.5835166573524475
RRBS_pos_21,21,RRBS,0.008348834700882435,3.325242280960083,1.3327245712280273
H3K4me3_pos_21,21,H3K4me3,0.008348834700882435,3.325242280960083,1.3327245712280273
Dnase_pos_21,21,Dnase,0.008348834700882435,3.325242280960083,1.3327245712280273
CTCF_pos_21,21,CTCF,0.008348834700882435,3.325242280960083,1.3327245712280273
T_pos_21,21,T,0.008348834700882435,3.325242280960083,1.3327245712280273
G_pos_21,21,G,0.008348834700882435,3.325242280960083,1.3327245712280273
C_pos_21,21,C,0.008348834700882435,3.325242280960083,1.3327245712280273
A_pos_21,21,A,0.008348834700882435,3.325242280960083,1.3327245712280273
