Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
T_pos_19,19,T,0.001849652617238462,0.01387789472937584,1.4432544708251953
Dnase_pos_19,19,Dnase,0.0008733216091059148,0.012704542838037014,2.0720841884613037
Dnase_pos_3,3,Dnase,0.0006954745622351766,0.01270454190671444,2.0720839500427246
T_pos_18,18,T,0.0016148682916536927,0.011602416634559631,1.5025798082351685
G_pos_19,19,G,0.0012494759866967797,0.01141670998185873,1.3748295307159424
T_pos_20,20,T,0.0029776336159557104,0.011227032169699669,1.400325894355774
Dnase_pos_13,13,Dnase,0.000663300568703562,0.010973786935210228,1.817310094833374
Dnase_pos_15,15,Dnase,0.000663300568703562,0.010973785072565079,1.8173092603683472
Dnase_pos_17,17,Dnase,0.000663300568703562,0.010973785072565079,1.8173092603683472
Dnase_pos_5,5,Dnase,0.000663300568703562,0.010973785072565079,1.8173097372055054
Dnase_pos_6,6,Dnase,0.000663300568703562,0.010973784141242504,1.8173096179962158
Dnase_pos_7,7,Dnase,0.000663300568703562,0.010973784141242504,1.8173096179962158
Dnase_pos_8,8,Dnase,0.000663300568703562,0.01097378320991993,1.8173093795776367
Dnase_pos_4,4,Dnase,0.000663300568703562,0.01097378320991993,1.817309021949768
Dnase_pos_12,12,Dnase,0.000663300568703562,0.01097378320991993,1.817309021949768
Dnase_pos_11,11,Dnase,0.000663300568703562,0.01097378320991993,1.8173091411590576
Dnase_pos_10,10,Dnase,0.000663300568703562,0.01097378320991993,1.817309021949768
Dnase_pos_18,18,Dnase,0.000663300568703562,0.01097378320991993,1.8173091411590576
Dnase_pos_16,16,Dnase,0.000663300568703562,0.01097378320991993,1.8173089027404785
Dnase_pos_14,14,Dnase,0.000663300568703562,0.01097378320991993,1.8173091411590576
Dnase_pos_9,9,Dnase,0.000663300568703562,0.010973782278597355,1.8173092603683472
C_pos_19,19,C,0.0029929690062999725,0.010731500573456287,1.5620958805084229
T_pos_17,17,T,0.001610692124813795,0.010489034466445446,1.4610127210617065
C_pos_21,21,C,0.0,0.01044625137001276,1.4422978162765503
T_pos_14,14,T,0.001567260711453855,0.010294854640960693,1.463891625404358
G_pos_22,22,G,0.0015370799228549004,0.010255374014377594,1.8491941690444946
T_pos_8,8,T,0.0013841214822605252,0.010227429680526257,1.4722912311553955
Dnase_pos_2,2,Dnase,0.0007590277236886322,0.010223397985100746,2.2684104442596436
T_pos_5,5,T,0.001431164680980146,0.010071961209177971,1.3610364198684692
T_pos_12,12,T,0.0010542162926867604,0.010017188265919685,1.5025317668914795
T_pos_6,6,T,0.0012530111707746983,0.01001148670911789,1.5415767431259155
A_pos_0,0,A,0.001380995730869472,0.009993276558816433,1.9758915901184082
T_pos_9,9,T,0.001010359963402152,0.00996154360473156,1.4053707122802734
T_pos_13,13,T,0.0012941326713189483,0.00990535318851471,1.4127000570297241
T_pos_15,15,T,0.0010707295732572675,0.009895627386868,1.434973120689392
T_pos_11,11,T,0.0013530001742765307,0.009826219640672207,1.3717753887176514
G_pos_0,0,G,0.0016945189563557506,0.009707510471343994,1.6191209554672241
T_pos_7,7,T,0.0014732644194737077,0.009667118079960346,1.3453381061553955
T_pos_4,4,T,0.0011531877098605037,0.009640355594456196,1.4130914211273193
T_pos_3,3,T,0.0009038398857228458,0.009632990695536137,1.4110870361328125
T_pos_10,10,T,0.0012971489923074841,0.009619928896427155,1.3494428396224976
C_pos_0,0,C,0.0018142249900847673,0.00942311342805624,1.9894158840179443
T_pos_16,16,T,0.0013357935240492225,0.00938872154802084,1.3224432468414307
A_pos_22,22,A,0.0,0.00927200261503458,1.4095696210861206
G_pos_18,18,G,0.0014775546733289957,0.009229308925569057,1.327332615852356
T_pos_2,2,T,0.001419580657966435,0.009085324592888355,1.3750827312469482
Dnase_pos_20,20,Dnase,0.0007327262428589165,0.008566964417696,1.7771906852722168
Dnase_pos_21,21,Dnase,0.0007748400093987584,0.0083182817324996,2.299633741378784
G_pos_9,9,G,0.0013140379451215267,0.008262106217443943,1.349506139755249
G_pos_1,1,G,0.0014361346838995814,0.008080245926976204,1.2091530561447144
G_pos_12,12,G,0.0013528018025681376,0.008070729672908783,1.3053898811340332
C_pos_20,20,C,0.002439158968627453,0.0078064859844744205,1.567680835723877
G_pos_21,21,G,0.0019310560310259461,0.007732520345598459,1.2919999361038208
T_pos_1,1,T,0.0014283806085586548,0.007631546352058649,1.3544890880584717
G_pos_13,13,G,0.0010823216289281845,0.007563318125903606,1.2190691232681274
Dnase_pos_1,1,Dnase,0.0017607236513867974,0.007481609471142292,2.0607194900512695
G_pos_3,3,G,0.0012935803970322013,0.007398469373583794,1.273992896080017
G_pos_10,10,G,0.001233742106705904,0.007354024797677994,1.2607570886611938
C_pos_2,2,C,0.0018645920790731907,0.007349290885031223,1.2830275297164917
G_pos_4,4,G,0.0012029387289658189,0.00733130844309926,1.2403135299682617
G_pos_17,17,G,0.0007579324301332235,0.0073165083304047585,1.2116200923919678
G_pos_5,5,G,0.0008379081264138222,0.0072202254086732864,1.290313482284546
G_pos_15,15,G,0.0012677825288847089,0.0071873292326927185,1.2234034538269043
G_pos_7,7,G,0.001071224920451641,0.007186924573034048,1.2554570436477661
C_pos_22,22,C,0.0,0.007177949883043766,1.4284816980361938
G_pos_14,14,G,0.0006651981384493411,0.007174844387918711,1.270605206489563
A_pos_12,12,A,0.0007682576542720199,0.0071204355917871,1.2875510454177856
G_pos_6,6,G,0.0012475941330194473,0.007037403527647257,1.2899662256240845
G_pos_8,8,G,0.0007959584472700953,0.006916138809174299,1.2643569707870483
A_pos_10,10,A,0.0008975153905339539,0.006891666911542416,1.301687240600586
Dnase_pos_22,22,Dnase,0.0004897036124020815,0.0068791876547038555,4.979589939117432
C_pos_18,18,C,0.0021719331853091717,0.006878886371850967,1.3178232908248901
A_pos_13,13,A,0.0009656673646531999,0.0067994617857038975,1.233393907546997
A_pos_18,18,A,0.0007697787368670106,0.006785436533391476,1.2099148035049438
A_pos_17,17,A,0.0009254897013306618,0.006774209439754486,1.1503148078918457
G_pos_16,16,G,0.0010113399475812912,0.006759368348866701,1.1722831726074219
A_pos_9,9,A,0.0007453548023477197,0.006724647246301174,1.144537329673767
G_pos_2,2,G,0.0010489108972251415,0.0066932677291333675,1.277629017829895
A_pos_8,8,A,0.001067171455360949,0.006630623247474432,1.1323158740997314
G_pos_11,11,G,0.0006959064630791545,0.006583047099411488,1.220245361328125
C_pos_9,9,C,0.001799474353902042,0.006545778829604387,1.2180778980255127
A_pos_11,11,A,0.0012038253480568528,0.006543527822941542,1.244795560836792
A_pos_7,7,A,0.0010008304379880428,0.006530626676976681,1.2542064189910889
A_pos_3,3,A,0.0007378977607004344,0.006522407755255699,1.1538761854171753
A_pos_2,2,A,0.0010434883879497647,0.006379312369972467,1.1369096040725708
A_pos_15,15,A,0.0008233435219153762,0.006370311137288809,1.1925162076950073
A_pos_6,6,A,0.0006679945508949459,0.006314896512776613,1.283191204071045
A_pos_14,14,A,0.0008121241698972881,0.00629166467115283,1.274609088897705
G_pos_20,20,G,0.00031221823883242905,0.006291150115430355,1.5983599424362183
C_pos_8,8,C,0.0017818516353145242,0.006259459536522627,1.2904328107833862
A_pos_4,4,A,0.0008595330873504281,0.006239216774702072,1.1353808641433716
C_pos_3,3,C,0.0020661908201873302,0.006214102730154991,1.308739185333252
C_pos_12,12,C,0.0018836307572200894,0.006177503615617752,1.2645617723464966
C_pos_7,7,C,0.001624577329494059,0.006139530800282955,1.2927175760269165
C_pos_17,17,C,0.0021517740096896887,0.00612616678699851,1.3700982332229614
C_pos_16,16,C,0.0018357617082074285,0.0061051188968122005,1.4020029306411743
A_pos_5,5,A,0.0008773987065069377,0.0061038825660943985,1.2041616439819336
C_pos_11,11,C,0.0019170823507010937,0.006076908204704523,1.3725570440292358
A_pos_19,19,A,0.0012046543415635824,0.006035528611391783,1.3467082977294922
C_pos_4,4,C,0.001422714558430016,0.006014361046254635,1.313186526298523
C_pos_14,14,C,0.001954031176865101,0.006014339160174131,1.261900544166565
C_pos_10,10,C,0.0014938246458768845,0.006013429258018732,1.300063967704773
A_pos_16,16,A,0.0008142715669237077,0.0060020918026566505,1.2047077417373657
C_pos_6,6,C,0.0018446382600814104,0.005959016736596823,1.3905484676361084
C_pos_5,5,C,0.001910635270178318,0.005916019901633263,1.3251482248306274
C_pos_15,15,C,0.0017918770899996161,0.005905004683881998,1.338759183883667
C_pos_13,13,C,0.0016771471127867699,0.005802405998110771,1.3570117950439453
A_pos_20,20,A,0.0010915437014773488,0.0057456917129457,1.2414294481277466
A_pos_1,1,A,0.000785981013905257,0.005518896039575338,1.193095326423645
T_pos_0,0,T,0.001170375500805676,0.005103196017444134,1.3889254331588745
