Feature,Position,Channel,Transformer_Attention,Attention_Entropy,Attention_SNR
A_pos_0,0,A,0.13219542801380157,4.245298862457275,2.0010409355163574
C_pos_0,0,C,0.13219542801380157,4.245298862457275,2.0010409355163574
G_pos_0,0,G,0.13219542801380157,4.245298862457275,2.0010409355163574
T_pos_0,0,T,0.13219542801380157,4.245298862457275,2.0010409355163574
CTCF_pos_0,0,CTCF,0.13219542801380157,4.245298862457275,2.0010409355163574
Dnase_pos_0,0,Dnase,0.13219542801380157,4.245298862457275,2.0010409355163574
H3K4me3_pos_0,0,H3K4me3,0.13219542801380157,4.245298862457275,2.0010409355163574
RRBS_pos_0,0,RRBS,0.13219542801380157,4.245298862457275,2.0010409355163574
A_pos_5,5,A,0.06737230718135834,4.245298862457275,2.4428417682647705
C_pos_5,5,C,0.06737230718135834,4.245298862457275,2.4428417682647705
G_pos_5,5,G,0.06737230718135834,4.245298862457275,2.4428417682647705
T_pos_5,5,T,0.06737230718135834,4.245298862457275,2.4428417682647705
CTCF_pos_5,5,CTCF,0.06737230718135834,4.245298862457275,2.4428417682647705
Dnase_pos_5,5,Dnase,0.06737230718135834,4.245298862457275,2.4428417682647705
H3K4me3_pos_5,5,H3K4me3,0.06737230718135834,4.245298862457275,2.4428417682647705
RRBS_pos_5,5,RRBS,0.06737230718135834,4.245298862457275,2.4428417682647705
A_pos_4,4,A,0.061816394329071045,4.245298862457275,2.590585470199585
C_pos_4,4,C,0.061816394329071045,4.245298862457275,2.590585470199585
G_pos_4,4,G,0.061816394329071045,4.245298862457275,2.590585470199585
T_pos_4,4,T,0.061816394329071045,4.245298862457275,2.590585470199585
CTCF_pos_4,4,CTCF,0.061816394329071045,4.245298862457275,2.590585470199585
Dnase_pos_4,4,Dnase,0.061816394329071045,4.245298862457275,2.590585470199585
H3K4me3_pos_4,4,H3K4me3,0.061816394329071045,4.245298862457275,2.590585470199585
RRBS_pos_4,4,RRBS,0.061816394329071045,4.245298862457275,2.590585470199585
A_pos_18,18,A,0.05587241053581238,4.245298862457275,1.756683588027954
C_pos_18,18,C,0.05587241053581238,4.245298862457275,1.756683588027954
G_pos_18,18,G,0.05587241053581238,4.245298862457275,1.756683588027954
T_pos_18,18,T,0.05587241053581238,4.245298862457275,1.756683588027954
CTCF_pos_18,18,CTCF,0.05587241053581238,4.245298862457275,1.756683588027954
Dnase_pos_18,18,Dnase,0.05587241053581238,4.245298862457275,1.756683588027954
H3K4me3_pos_18,18,H3K4me3,0.05587241053581238,4.245298862457275,1.756683588027954
RRBS_pos_18,18,RRBS,0.05587241053581238,4.245298862457275,1.756683588027954
A_pos_6,6,A,0.05357377976179123,4.245298862457275,2.1413180828094482
C_pos_6,6,C,0.05357377976179123,4.245298862457275,2.1413180828094482
G_pos_6,6,G,0.05357377976179123,4.245298862457275,2.1413180828094482
T_pos_6,6,T,0.05357377976179123,4.245298862457275,2.1413180828094482
CTCF_pos_6,6,CTCF,0.05357377976179123,4.245298862457275,2.1413180828094482
Dnase_pos_6,6,Dnase,0.05357377976179123,4.245298862457275,2.1413180828094482
H3K4me3_pos_6,6,H3K4me3,0.05357377976179123,4.245298862457275,2.1413180828094482
RRBS_pos_6,6,RRBS,0.05357377976179123,4.245298862457275,2.1413180828094482
A_pos_3,3,A,0.052850618958473206,4.245298862457275,2.67814302444458
C_pos_3,3,C,0.052850618958473206,4.245298862457275,2.67814302444458
G_pos_3,3,G,0.052850618958473206,4.245298862457275,2.67814302444458
T_pos_3,3,T,0.052850618958473206,4.245298862457275,2.67814302444458
CTCF_pos_3,3,CTCF,0.052850618958473206,4.245298862457275,2.67814302444458
Dnase_pos_3,3,Dnase,0.052850618958473206,4.245298862457275,2.67814302444458
H3K4me3_pos_3,3,H3K4me3,0.052850618958473206,4.245298862457275,2.67814302444458
RRBS_pos_3,3,RRBS,0.052850618958473206,4.245298862457275,2.67814302444458
A_pos_17,17,A,0.05154355987906456,4.245298862457275,1.5535351037979126
C_pos_17,17,C,0.05154355987906456,4.245298862457275,1.5535351037979126
G_pos_17,17,G,0.05154355987906456,4.245298862457275,1.5535351037979126
T_pos_17,17,T,0.05154355987906456,4.245298862457275,1.5535351037979126
CTCF_pos_17,17,CTCF,0.05154355987906456,4.245298862457275,1.5535351037979126
Dnase_pos_17,17,Dnase,0.05154355987906456,4.245298862457275,1.5535351037979126
H3K4me3_pos_17,17,H3K4me3,0.05154355987906456,4.245298862457275,1.5535351037979126
RRBS_pos_17,17,RRBS,0.05154355987906456,4.245298862457275,1.5535351037979126
A_pos_1,1,A,0.05080579221248627,4.245298862457275,2.130239725112915
C_pos_1,1,C,0.05080579221248627,4.245298862457275,2.130239725112915
G_pos_1,1,G,0.05080579221248627,4.245298862457275,2.130239725112915
T_pos_1,1,T,0.05080579221248627,4.245298862457275,2.130239725112915
CTCF_pos_1,1,CTCF,0.05080579221248627,4.245298862457275,2.130239725112915
Dnase_pos_1,1,Dnase,0.05080579221248627,4.245298862457275,2.130239725112915
H3K4me3_pos_1,1,H3K4me3,0.05080579221248627,4.245298862457275,2.130239725112915
RRBS_pos_1,1,RRBS,0.05080579221248627,4.245298862457275,2.130239725112915
A_pos_2,2,A,0.0435403510928154,4.245298862457275,2.392902374267578
C_pos_2,2,C,0.0435403510928154,4.245298862457275,2.392902374267578
G_pos_2,2,G,0.0435403510928154,4.245298862457275,2.392902374267578
T_pos_2,2,T,0.0435403510928154,4.245298862457275,2.392902374267578
CTCF_pos_2,2,CTCF,0.0435403510928154,4.245298862457275,2.392902374267578
Dnase_pos_2,2,Dnase,0.0435403510928154,4.245298862457275,2.392902374267578
H3K4me3_pos_2,2,H3K4me3,0.0435403510928154,4.245298862457275,2.392902374267578
RRBS_pos_2,2,RRBS,0.0435403510928154,4.245298862457275,2.392902374267578
A_pos_19,19,A,0.04019462317228317,4.245298862457275,1.8352882862091064
C_pos_19,19,C,0.04019462317228317,4.245298862457275,1.8352882862091064
G_pos_19,19,G,0.04019462317228317,4.245298862457275,1.8352882862091064
T_pos_19,19,T,0.04019462317228317,4.245298862457275,1.8352882862091064
CTCF_pos_19,19,CTCF,0.04019462317228317,4.245298862457275,1.8352882862091064
Dnase_pos_19,19,Dnase,0.04019462317228317,4.245298862457275,1.8352882862091064
H3K4me3_pos_19,19,H3K4me3,0.04019462317228317,4.245298862457275,1.8352882862091064
RRBS_pos_19,19,RRBS,0.04019462317228317,4.245298862457275,1.8352882862091064
RRBS_pos_16,16,RRBS,0.03653634339570999,4.245298862457275,1.9339869022369385
H3K4me3_pos_16,16,H3K4me3,0.03653634339570999,4.245298862457275,1.9339869022369385
Dnase_pos_16,16,Dnase,0.03653634339570999,4.245298862457275,1.9339869022369385
CTCF_pos_16,16,CTCF,0.03653634339570999,4.245298862457275,1.9339869022369385
T_pos_16,16,T,0.03653634339570999,4.245298862457275,1.9339869022369385
G_pos_16,16,G,0.03653634339570999,4.245298862457275,1.9339869022369385
C_pos_16,16,C,0.03653634339570999,4.245298862457275,1.9339869022369385
A_pos_16,16,A,0.03653634339570999,4.245298862457275,1.9339869022369385
RRBS_pos_22,22,RRBS,0.035419218242168427,4.245298862457275,6.100370407104492
H3K4me3_pos_22,22,H3K4me3,0.035419218242168427,4.245298862457275,6.100370407104492
Dnase_pos_22,22,Dnase,0.035419218242168427,4.245298862457275,6.100370407104492
CTCF_pos_22,22,CTCF,0.035419218242168427,4.245298862457275,6.100370407104492
T_pos_22,22,T,0.035419218242168427,4.245298862457275,6.100370407104492
G_pos_22,22,G,0.035419218242168427,4.245298862457275,6.100370407104492
C_pos_22,22,C,0.035419218242168427,4.245298862457275,6.100370407104492
A_pos_22,22,A,0.035419218242168427,4.245298862457275,6.100370407104492
A_pos_20,20,A,0.03463659808039665,4.245298862457275,2.0391685962677
C_pos_20,20,C,0.03463659808039665,4.245298862457275,2.0391685962677
G_pos_20,20,G,0.03463659808039665,4.245298862457275,2.0391685962677
T_pos_20,20,T,0.03463659808039665,4.245298862457275,2.0391685962677
CTCF_pos_20,20,CTCF,0.03463659808039665,4.245298862457275,2.0391685962677
Dnase_pos_20,20,Dnase,0.03463659808039665,4.245298862457275,2.0391685962677
H3K4me3_pos_20,20,H3K4me3,0.03463659808039665,4.245298862457275,2.0391685962677
RRBS_pos_20,20,RRBS,0.03463659808039665,4.245298862457275,2.0391685962677
A_pos_21,21,A,0.033408280462026596,4.245298862457275,8.163119316101074
C_pos_21,21,C,0.033408280462026596,4.245298862457275,8.163119316101074
G_pos_21,21,G,0.033408280462026596,4.245298862457275,8.163119316101074
T_pos_21,21,T,0.033408280462026596,4.245298862457275,8.163119316101074
CTCF_pos_21,21,CTCF,0.033408280462026596,4.245298862457275,8.163119316101074
Dnase_pos_21,21,Dnase,0.033408280462026596,4.245298862457275,8.163119316101074
H3K4me3_pos_21,21,H3K4me3,0.033408280462026596,4.245298862457275,8.163119316101074
RRBS_pos_21,21,RRBS,0.033408280462026596,4.245298862457275,8.163119316101074
A_pos_7,7,A,0.03333521634340286,4.245298862457275,2.5913989543914795
C_pos_7,7,C,0.03333521634340286,4.245298862457275,2.5913989543914795
G_pos_7,7,G,0.03333521634340286,4.245298862457275,2.5913989543914795
T_pos_7,7,T,0.03333521634340286,4.245298862457275,2.5913989543914795
CTCF_pos_7,7,CTCF,0.03333521634340286,4.245298862457275,2.5913989543914795
Dnase_pos_7,7,Dnase,0.03333521634340286,4.245298862457275,2.5913989543914795
H3K4me3_pos_7,7,H3K4me3,0.03333521634340286,4.245298862457275,2.5913989543914795
RRBS_pos_7,7,RRBS,0.03333521634340286,4.245298862457275,2.5913989543914795
RRBS_pos_10,10,RRBS,0.029319467023015022,4.245298862457275,2.921475887298584
H3K4me3_pos_10,10,H3K4me3,0.029319467023015022,4.245298862457275,2.921475887298584
Dnase_pos_10,10,Dnase,0.029319467023015022,4.245298862457275,2.921475887298584
CTCF_pos_10,10,CTCF,0.029319467023015022,4.245298862457275,2.921475887298584
T_pos_10,10,T,0.029319467023015022,4.245298862457275,2.921475887298584
G_pos_10,10,G,0.029319467023015022,4.245298862457275,2.921475887298584
C_pos_10,10,C,0.029319467023015022,4.245298862457275,2.921475887298584
A_pos_10,10,A,0.029319467023015022,4.245298862457275,2.921475887298584
RRBS_pos_15,15,RRBS,0.029280690476298332,4.245298862457275,3.4827842712402344
H3K4me3_pos_15,15,H3K4me3,0.029280690476298332,4.245298862457275,3.4827842712402344
Dnase_pos_15,15,Dnase,0.029280690476298332,4.245298862457275,3.4827842712402344
CTCF_pos_15,15,CTCF,0.029280690476298332,4.245298862457275,3.4827842712402344
T_pos_15,15,T,0.029280690476298332,4.245298862457275,3.4827842712402344
G_pos_15,15,G,0.029280690476298332,4.245298862457275,3.4827842712402344
C_pos_15,15,C,0.029280690476298332,4.245298862457275,3.4827842712402344
A_pos_15,15,A,0.029280690476298332,4.245298862457275,3.4827842712402344
A_pos_9,9,A,0.028671331703662872,4.245298862457275,3.1353440284729004
C_pos_9,9,C,0.028671331703662872,4.245298862457275,3.1353440284729004
G_pos_9,9,G,0.028671331703662872,4.245298862457275,3.1353440284729004
T_pos_9,9,T,0.028671331703662872,4.245298862457275,3.1353440284729004
CTCF_pos_9,9,CTCF,0.028671331703662872,4.245298862457275,3.1353440284729004
Dnase_pos_9,9,Dnase,0.028671331703662872,4.245298862457275,3.1353440284729004
H3K4me3_pos_9,9,H3K4me3,0.028671331703662872,4.245298862457275,3.1353440284729004
RRBS_pos_9,9,RRBS,0.028671331703662872,4.245298862457275,3.1353440284729004
A_pos_14,14,A,0.028088850900530815,4.245298862457275,3.2439663410186768
C_pos_14,14,C,0.028088850900530815,4.245298862457275,3.2439663410186768
G_pos_14,14,G,0.028088850900530815,4.245298862457275,3.2439663410186768
T_pos_14,14,T,0.028088850900530815,4.245298862457275,3.2439663410186768
CTCF_pos_14,14,CTCF,0.028088850900530815,4.245298862457275,3.2439663410186768
Dnase_pos_14,14,Dnase,0.028088850900530815,4.245298862457275,3.2439663410186768
H3K4me3_pos_14,14,H3K4me3,0.028088850900530815,4.245298862457275,3.2439663410186768
RRBS_pos_14,14,RRBS,0.028088850900530815,4.245298862457275,3.2439663410186768
RRBS_pos_8,8,RRBS,0.026753541082143784,4.245298862457275,2.9292688369750977
H3K4me3_pos_8,8,H3K4me3,0.026753541082143784,4.245298862457275,2.9292688369750977
Dnase_pos_8,8,Dnase,0.026753541082143784,4.245298862457275,2.9292688369750977
CTCF_pos_8,8,CTCF,0.026753541082143784,4.245298862457275,2.9292688369750977
T_pos_8,8,T,0.026753541082143784,4.245298862457275,2.9292688369750977
G_pos_8,8,G,0.026753541082143784,4.245298862457275,2.9292688369750977
C_pos_8,8,C,0.026753541082143784,4.245298862457275,2.9292688369750977
A_pos_8,8,A,0.026753541082143784,4.245298862457275,2.9292688369750977
RRBS_pos_11,11,RRBS,0.02600921131670475,4.245298862457275,2.8038341999053955
H3K4me3_pos_11,11,H3K4me3,0.02600921131670475,4.245298862457275,2.8038341999053955
Dnase_pos_11,11,Dnase,0.02600921131670475,4.245298862457275,2.8038341999053955
CTCF_pos_11,11,CTCF,0.02600921131670475,4.245298862457275,2.8038341999053955
