Feature,Position,Channel,Transformer_Attention,Attention_Entropy,Attention_SNR
A_pos_18,18,A,0.20730121433734894,3.252729654312134,2.109259843826294
C_pos_18,18,C,0.20730121433734894,3.252729654312134,2.109259843826294
G_pos_18,18,G,0.20730121433734894,3.252729654312134,2.109259843826294
T_pos_18,18,T,0.20730121433734894,3.252729654312134,2.109259843826294
CTCF_pos_18,18,CTCF,0.20730121433734894,3.252729654312134,2.109259843826294
Dnase_pos_18,18,Dnase,0.20730121433734894,3.252729654312134,2.109259843826294
H3K4me3_pos_18,18,H3K4me3,0.20730121433734894,3.252729654312134,2.109259843826294
RRBS_pos_18,18,RRBS,0.20730121433734894,3.252729654312134,2.109259843826294
RRBS_pos_19,19,RRBS,0.1734723299741745,3.252729654312134,1.860045313835144
H3K4me3_pos_19,19,H3K4me3,0.1734723299741745,3.252729654312134,1.860045313835144
Dnase_pos_19,19,Dnase,0.1734723299741745,3.252729654312134,1.860045313835144
CTCF_pos_19,19,CTCF,0.1734723299741745,3.252729654312134,1.860045313835144
T_pos_19,19,T,0.1734723299741745,3.252729654312134,1.860045313835144
G_pos_19,19,G,0.1734723299741745,3.252729654312134,1.860045313835144
C_pos_19,19,C,0.1734723299741745,3.252729654312134,1.860045313835144
A_pos_19,19,A,0.1734723299741745,3.252729654312134,1.860045313835144
RRBS_pos_20,20,RRBS,0.14422734081745148,3.252729654312134,1.668576717376709
H3K4me3_pos_20,20,H3K4me3,0.14422734081745148,3.252729654312134,1.668576717376709
Dnase_pos_20,20,Dnase,0.14422734081745148,3.252729654312134,1.668576717376709
CTCF_pos_20,20,CTCF,0.14422734081745148,3.252729654312134,1.668576717376709
T_pos_20,20,T,0.14422734081745148,3.252729654312134,1.668576717376709
G_pos_20,20,G,0.14422734081745148,3.252729654312134,1.668576717376709
C_pos_20,20,C,0.14422734081745148,3.252729654312134,1.668576717376709
A_pos_20,20,A,0.14422734081745148,3.252729654312134,1.668576717376709
A_pos_17,17,A,0.08020228147506714,3.252729654312134,1.0777325630187988
C_pos_17,17,C,0.08020228147506714,3.252729654312134,1.0777325630187988
G_pos_17,17,G,0.08020228147506714,3.252729654312134,1.0777325630187988
T_pos_17,17,T,0.08020228147506714,3.252729654312134,1.0777325630187988
CTCF_pos_17,17,CTCF,0.08020228147506714,3.252729654312134,1.0777325630187988
Dnase_pos_17,17,Dnase,0.08020228147506714,3.252729654312134,1.0777325630187988
H3K4me3_pos_17,17,H3K4me3,0.08020228147506714,3.252729654312134,1.0777325630187988
RRBS_pos_17,17,RRBS,0.08020228147506714,3.252729654312134,1.0777325630187988
A_pos_0,0,A,0.04884083569049835,3.252729654312134,0.7964075207710266
C_pos_0,0,C,0.04884083569049835,3.252729654312134,0.7964075207710266
G_pos_0,0,G,0.04884083569049835,3.252729654312134,0.7964075207710266
T_pos_0,0,T,0.04884083569049835,3.252729654312134,0.7964075207710266
CTCF_pos_0,0,CTCF,0.04884083569049835,3.252729654312134,0.7964075207710266
Dnase_pos_0,0,Dnase,0.04884083569049835,3.252729654312134,0.7964075207710266
H3K4me3_pos_0,0,H3K4me3,0.04884083569049835,3.252729654312134,0.7964075207710266
RRBS_pos_0,0,RRBS,0.04884083569049835,3.252729654312134,0.7964075207710266
RRBS_pos_13,13,RRBS,0.04559745267033577,3.252729654312134,0.7105370759963989
H3K4me3_pos_13,13,H3K4me3,0.04559745267033577,3.252729654312134,0.7105370759963989
Dnase_pos_13,13,Dnase,0.04559745267033577,3.252729654312134,0.7105370759963989
CTCF_pos_13,13,CTCF,0.04559745267033577,3.252729654312134,0.7105370759963989
T_pos_13,13,T,0.04559745267033577,3.252729654312134,0.7105370759963989
G_pos_13,13,G,0.04559745267033577,3.252729654312134,0.7105370759963989
C_pos_13,13,C,0.04559745267033577,3.252729654312134,0.7105370759963989
A_pos_13,13,A,0.04559745267033577,3.252729654312134,0.7105370759963989
RRBS_pos_14,14,RRBS,0.0442206896841526,3.252729654312134,0.7124205231666565
H3K4me3_pos_14,14,H3K4me3,0.0442206896841526,3.252729654312134,0.7124205231666565
Dnase_pos_14,14,Dnase,0.0442206896841526,3.252729654312134,0.7124205231666565
CTCF_pos_14,14,CTCF,0.0442206896841526,3.252729654312134,0.7124205231666565
T_pos_14,14,T,0.0442206896841526,3.252729654312134,0.7124205231666565
G_pos_14,14,G,0.0442206896841526,3.252729654312134,0.7124205231666565
C_pos_14,14,C,0.0442206896841526,3.252729654312134,0.7124205231666565
A_pos_14,14,A,0.0442206896841526,3.252729654312134,0.7124205231666565
RRBS_pos_1,1,RRBS,0.029702454805374146,3.252729654312134,1.1103228330612183
H3K4me3_pos_1,1,H3K4me3,0.029702454805374146,3.252729654312134,1.1103228330612183
Dnase_pos_1,1,Dnase,0.029702454805374146,3.252729654312134,1.1103228330612183
CTCF_pos_1,1,CTCF,0.029702454805374146,3.252729654312134,1.1103228330612183
T_pos_1,1,T,0.029702454805374146,3.252729654312134,1.1103228330612183
G_pos_1,1,G,0.029702454805374146,3.252729654312134,1.1103228330612183
C_pos_1,1,C,0.029702454805374146,3.252729654312134,1.1103228330612183
A_pos_1,1,A,0.029702454805374146,3.252729654312134,1.1103228330612183
A_pos_10,10,A,0.025775017216801643,3.252729654312134,1.0930461883544922
C_pos_10,10,C,0.025775017216801643,3.252729654312134,1.0930461883544922
G_pos_10,10,G,0.025775017216801643,3.252729654312134,1.0930461883544922
T_pos_10,10,T,0.025775017216801643,3.252729654312134,1.0930461883544922
CTCF_pos_10,10,CTCF,0.025775017216801643,3.252729654312134,1.0930461883544922
