Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
Dnase_pos_20,20,Dnase,0.001682355417869985,0.012182468548417091,4.55012321472168
Dnase_pos_2,2,Dnase,0.0003420467837713659,0.010991740971803665,4.92397928237915
Dnase_pos_14,14,Dnase,0.0008059118990786374,0.010843440890312195,4.339779853820801
Dnase_pos_4,4,Dnase,0.0008056848309934139,0.010841990821063519,4.345992565155029
Dnase_pos_13,13,Dnase,0.0008057687664404511,0.010841913521289825,4.345369338989258
Dnase_pos_8,8,Dnase,0.0008069666218943894,0.01084089931100607,4.350155830383301
Dnase_pos_15,15,Dnase,0.000806177209597081,0.010838189162313938,4.349132537841797
Dnase_pos_12,12,Dnase,0.0008080409024842083,0.010837581939995289,4.312719345092773
Dnase_pos_10,10,Dnase,0.000807111500762403,0.010835783556103706,4.340513706207275
Dnase_pos_9,9,Dnase,0.0008084927103482187,0.010832754895091057,4.323342800140381
Dnase_pos_6,6,Dnase,0.0008087001624517143,0.010831928811967373,4.295652389526367
Dnase_pos_11,11,Dnase,0.0008099619881249964,0.010827884078025818,4.279144763946533
Dnase_pos_7,7,Dnase,0.0008073837379924953,0.01082483772188425,4.269062519073486
Dnase_pos_5,5,Dnase,0.0008087375899776816,0.010819537565112114,4.253269195556641
Dnase_pos_16,16,Dnase,0.0008053025230765343,0.010816527530550957,4.257165908813477
Dnase_pos_17,17,Dnase,0.0008057502564042807,0.01080965343862772,4.2277302742004395
Dnase_pos_18,18,Dnase,0.0008094004006125033,0.010790630243718624,4.159900188446045
RRBS_pos_2,2,RRBS,1.2592236089403741e-05,0.010318629443645477,4.206457614898682
RRBS_pos_20,20,RRBS,6.461745942942798e-05,0.009992537088692188,4.264496326446533
Dnase_pos_3,3,Dnase,0.0007845050422474742,0.008835338987410069,4.471744537353516
Dnase_pos_19,19,Dnase,0.0007495842291973531,0.008782811462879181,4.1764349937438965
Dnase_pos_22,22,Dnase,0.0026461160741746426,0.008170781657099724,6.906018257141113
RRBS_pos_5,5,RRBS,2.223098636022769e-05,0.007946973666548729,4.113774299621582
RRBS_pos_12,12,RRBS,1.9367933418834582e-05,0.007945102639496326,4.0947113037109375
RRBS_pos_9,9,RRBS,2.3597645849804394e-05,0.007942255586385727,4.069650650024414
RRBS_pos_14,14,RRBS,1.9552831872715615e-05,0.007941201329231262,4.073403835296631
RRBS_pos_11,11,RRBS,2.3418329874402843e-05,0.007939090020954609,4.052414894104004
