Feature,MLP_IG,IG_SNR
pos18_C,0.015839882,0.6667751
pos18_A,0.0124087585,0.7527648
pos20_G,0.011690142,0.64851004
pos11_H3K4me3,0.0113929305,1.86623
pos15_H3K4me3,0.01125723,1.8966786
pos4_H3K4me3,0.010963473,1.7959669
pos7_H3K4me3,0.01091088,1.8793018
pos6_H3K4me3,0.009965345,1.5928689
pos5_H3K4me3,0.00980769,1.8397667
pos23_Dnase,0.009787073,2.061967
pos23_H3K4me3,0.00907045,1.6860915
pos11_Dnase,0.008802997,2.067268
pos17_H3K4me3,0.008214187,1.4814262
pos12_H3K4me3,0.007503049,1.4003778
pos8_Dnase,0.007384928,1.5794324
pos15_A,0.0073780376,0.5891738
pos18_Dnase,0.007364849,1.7907891
pos16_G,0.0072096465,0.60389614
pos14_G,0.0070799543,0.552266
pos4_Dnase,0.007030523,1.2127192
pos9_H3K4me3,0.006867425,1.3863791
pos15_Dnase,0.0068663876,1.5941147
pos14_T,0.0068407254,0.5177476
pos12_Dnase,0.006746793,1.661855
pos1_G,0.006489076,0.5158789
pos14_Dnase,0.006479117,1.5320113
pos22_H3K4me3,0.006301371,1.4145899
pos21_G,0.0061626066,0.4532959
pos3_H3K4me3,0.0059480057,1.3496877
pos19_H3K4me3,0.005591703,1.274794
pos20_C,0.0055492357,0.6737271
pos1_Dnase,0.0055074375,1.431501
pos12_A,0.0054289126,0.5183844
pos1_C,0.005347547,0.61959356
pos18_H3K4me3,0.005310194,1.2849689
pos23_G,0.005218128,0.9667449
pos10_A,0.005152464,0.5153584
pos14_A,0.0050921864,0.5280551
pos15_C,0.0048613423,0.5613599
pos3_Dnase,0.0047839144,1.0735825
pos16_C,0.0045589,0.57145536
pos22_Dnase,0.0045139864,1.1937623
pos19_A,0.0043729604,0.6630348
pos6_Dnase,0.0042869085,0.99215794
pos20_Dnase,0.0041932235,0.9076662
pos21_H3K4me3,0.0041742213,1.0265765
pos16_H3K4me3,0.0041195797,1.0339841
pos22_G,0.004081742,1.1299316
pos17_Dnase,0.0039915214,0.8558475
pos19_Dnase,0.0039636735,0.81064034
pos8_G,0.0038943512,0.54344374
pos5_Dnase,0.0038850491,0.7916172
pos12_C,0.0038300913,0.5579443
pos2_Dnase,0.0036965853,0.9102367
pos2_H3K4me3,0.0036074286,0.9384465
pos10_Dnase,0.0036000418,0.7795038
pos20_H3K4me3,0.0035447914,0.7118239
pos16_T,0.003509194,0.49877453
pos19_C,0.0034723645,0.5647609
pos9_Dnase,0.003343686,0.8615938
pos13_H3K4me3,0.0033416175,0.79097533
pos17_G,0.0032819314,0.60355395
pos16_Dnase,0.0032508445,0.79137254
