Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.002626024778886469,0.004223271993041529,-0.6217986393519614,0.5340858754444557,1.0
pos1_C,-0.01742741391971314,0.004119943305509814,-4.230013043239347,2.3537985815558216e-05,0.0003177628085100359
pos1_G,0.022547751286109724,0.004271080146453485,5.279168386674358,1.3199397352892106e-07,2.375891523520579e-06
pos1_CTCF,-0.030093017914843496,0.03141108878989341,-0.9580380392457454,0.33806252160848804,0.9957477909195466
pos1_Dnase,-2.3538968806605002e-15,3.162277660168379e-08,-7.443675520052734e-08,0.9999999406092768,1.0
pos1_H3K4me3,-5.631015383107113e-15,3.162277660168379e-08,-1.7806834150064112e-07,0.9999998579249247,1.0
pos1_RRBS,-1.5292000129514318e-16,3.162277660168379e-08,-4.83575503888551e-09,0.9999999961417048,1.0
pos2_A,0.016047438871060863,0.004618449302450586,3.4746378752162475,0.0005133164376929233,0.00461984793923631
pos2_C,0.0118228091132431,0.004532725258072938,2.6083224638833507,0.00910978637720139,0.05676097665794712
pos2_G,0.013617717128154086,0.004534885637569904,3.0028799437269544,0.0026797871281887264,0.01973297794393517
pos2_CTCF,0.009442916186073765,0.04477061080685118,0.21091774304380786,0.8329549737917818,1.0
pos2_Dnase,-2.287228687129464e-16,3.162277660168379e-08,-7.232852181005755e-09,0.9999999942291369,1.0
pos2_H3K4me3,4.699563084532794e-16,3.162277660168379e-08,1.4861323354770054e-08,0.999999988142622,1.0
pos2_RRBS,-1.0323280637337194e-16,3.162277660168379e-08,-3.26450797391002e-09,0.9999999973953528,1.0
pos3_A,-0.009663549002052452,0.0041612170458777496,-2.3222891032866237,0.0202337116531508,0.10573746089711063
pos3_C,-0.013304123736821258,0.0042253686225374835,-3.148630314964487,0.0016443222575648342,0.012684771701214435
pos3_G,-0.0026417502135930937,0.004273512021315505,-0.6181684292489459,0.5364758336953361,1.0
pos3_CTCF,0.04701095332896447,0.047675423096473914,0.9860626351198845,0.3241218911043784,0.9864684692935735
pos3_Dnase,-7.641080993814e-17,3.162277660168379e-08,-2.416321972627521e-09,0.9999999980720933,1.0
pos3_H3K4me3,1.0074647169422752e-16,3.162277660168379e-08,3.185883167794417e-09,0.9999999974580849,1.0
pos3_RRBS,-1.0000450241775988e-16,3.162277660168379e-08,-3.162420039119368e-09,0.9999999974768055,1.0
pos4_A,0.017198965099746354,0.004374980124955394,3.9312098817641394,8.498541758727995e-05,0.0009834026892242395
pos4_C,0.0044360931638665535,0.004249013203117802,1.0440290372859933,0.2964925975493986,0.9313733283926304
pos4_G,0.010520181277999538,0.004268866818795082,2.464396694617176,0.013738064602244915,0.08242838761346949
pos4_CTCF,-0.04239214412568939,0.04848838897332424,-0.8742741308442175,0.38198615668655655,1.0
pos4_Dnase,1.7640518774131915e-16,3.162277660168379e-08,5.578421843321824e-09,0.9999999955491543,1.0
pos4_H3K4me3,2.1867418301349747e-16,3.162277660168379e-08,6.915084837991548e-09,0.9999999944826734,1.0
pos4_RRBS,3.9812555204052933e-17,3.162277660168379e-08,1.2589835391599695e-09,0.9999999989954969,1.0
pos5_A,0.009327599643028477,0.0043887322601616425,2.12535171664469,0.03357726938372152,0.1699849262550902
pos5_C,0.006593328843136639,0.0042748112021021864,1.5423672605457512,0.12301025373991803,0.5244121343649137
pos5_G,0.0024863404779935237,0.004328143131093332,0.5744589313906191,0.5656678531719468,1.0
pos5_CTCF,0.015294458726788154,0.04689888348141159,0.32611562560652696,0.7443424568500641,1.0
pos5_Dnase,1.518026009946858e-17,3.162277660168379e-08,4.800419738809492e-10,0.9999999996169897,1.0
pos5_H3K4me3,2.6704760458721187e-16,3.162277660168379e-08,8.44478674187619e-09,0.9999999932621728,1.0
pos5_RRBS,-1.0696714659656353e-16,3.162277660168379e-08,-3.3825981805426897e-09,0.9999999973011324,1.0
pos6_A,0.004043266133712753,0.004140456123689133,0.9765267431720096,0.3288228230978578,0.9864684692935735
pos6_C,0.014205583892355015,0.0041982246887743244,3.3837121510764945,0.0007173749397146878,0.005810737011688971
pos6_G,0.01600819103270086,0.004281147547656131,3.7392289928117806,0.00018542787710673636,0.0018774572557057057
pos6_CTCF,0.020474633524075164,0.04919601821951382,0.4161847699282665,0.6772821087622414,1.0
pos6_Dnase,8.17897255020094e-17,3.162277660168379e-08,2.5864182178630833e-09,0.999999997936379,1.0
pos6_H3K4me3,-1.3894637409581095e-17,3.162277660168379e-08,-4.393870147645814e-10,0.9999999996494271,1.0
pos6_RRBS,-1.7387827995377365e-16,3.162277660168379e-08,-5.498514002863218e-09,0.9999999956129104,1.0
pos7_A,0.006488765647131706,0.004357012784814223,1.4892693612806047,0.13644224653911463,0.5525910984834143
