Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.019451286900616854,0.008440173852106294,-2.3046073743804074,0.02133547541891878,0.23042313452432284
pos1_C,-0.011192596667547525,0.008322832597402819,-1.3448061746478273,0.17890737953385116,0.8280855852709682
pos1_G,0.016254288921208535,0.007829671946195734,2.075985945887061,0.03807883694655079,0.32467218870216985
pos1_CTCF,-171405310772.20337,263022910087.941,-0.6516744519133123,0.5147190152392618,1.0
pos1_Dnase,27829272410.122063,42704255673.08311,0.6516744519133046,0.5147190152392671,1.0
pos1_H3K4me3,12996349244.63137,19943008670.16377,0.6516744519133104,0.5147190152392636,1.0
pos1_RRBS,-32668217441.054955,50129658060.3112,-0.6516744519133102,0.5147190152392633,1.0
pos2_A,-0.0010240007742470954,0.007945619329465293,-0.128876143166049,0.8974743119199091,1.0
pos2_C,0.007439687905999239,0.008079448036424738,0.9208163568177856,0.3573062093524382,1.0
pos2_G,0.01074642136619023,0.0076358699936886106,1.4073604415832943,0.1595442659746562,0.8023664504979737
pos2_CTCF,343175716.586128,526606061.6287329,0.6516744519133038,0.5147190152392676,1.0
pos2_Dnase,461117788.266443,707589175.7189599,0.6516744519133086,0.5147190152392644,1.0
pos2_H3K4me3,174552686.2635903,267852584.6012605,0.6516744519133113,0.5147190152392627,1.0
pos2_RRBS,132017058.08533557,202581300.67510647,0.6516744519133105,0.5147190152392631,1.0
pos3_A,0.002355583246453643,0.007807662437146874,0.301701471524483,0.7629248093253582,1.0
pos3_C,-0.009450724443298779,0.008163644370082743,-1.1576599879745852,0.24720184360875397,1.0
pos3_G,0.011466243481534466,0.007884435918906378,1.4542883726201818,0.1460922926207724,0.7634500453085524
pos3_CTCF,6061476.633015374,9301387.548980854,0.6516744519133089,0.514719015239264,1.0
pos3_Dnase,11444289.017563177,17561359.025143486,0.6516744519133064,0.5147190152392653,1.0
pos3_H3K4me3,2569275.2742519854,3942574.8035827354,0.6516744519133051,0.5147190152392667,1.0
pos3_RRBS,1043363.8984753011,1601050.79370841,0.6516744519133119,0.5147190152392622,1.0
pos4_A,0.012686654935605212,0.008328210558723386,1.5233350365183278,0.12790253298556786,0.7144900118504135
pos4_C,0.0009255703723320672,0.008175788063180024,0.11320870418601102,0.9098814544325258,1.0
pos4_G,0.022414605015162396,0.007964745112121672,2.814227536427908,0.004958418848372226,0.0892130901096027
pos4_CTCF,-38756.47837066711,59472.146340674204,-0.6516744519133114,0.5147190152392627,1.0
pos4_Dnase,39319.45783306583,60336.04312341013,0.6516744519133051,0.5147190152392667,1.0
pos4_H3K4me3,-16256.581460679472,24945.862789235314,-0.6516744519133065,0.5147190152392656,1.0
