Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,0.0038715304924299174,0.0055660868244663255,0.6955569710864362,0.4867297830713997,0.7718473129031223
pos1_C,-0.010732872770974856,0.005443669732612572,-1.9716245287025973,0.04869243579531135,0.28172052138715853
pos1_G,0.017835566844917126,0.00539488635656659,3.3060134479399905,0.0009511767859990972,0.01712118214798375
pos1_CTCF,-10566086393.270405,12900266055.753046,-0.8190595719193184,0.41278075911147294,0.6823520053789703
pos1_Dnase,-32589839127.97916,39789339194.93872,-0.8190595719198235,0.41278075911118495,0.6823520053789703
pos1_H3K4me3,0.034077599878398326,0.055878890775200536,0.6098474648591667,0.5419829701419419,0.8303137492587813
pos1_RRBS,0.02207768274656488,0.023333888859006828,0.9461638769245678,0.34409819239714556,0.6823520053789703
pos2_A,0.013350928707499023,0.00570883482562922,2.3386433686190076,0.019382343637443178,0.14952093663170452
pos2_C,0.012926469708212941,0.005706445824406368,2.265240064652267,0.023528870647019584,0.16572508890509446
pos2_G,0.018166947488707865,0.005627184535437926,3.228425756130646,0.0012505675498650781,0.020259194307814265
pos2_CTCF,-88674473.19754496,108263765.22253762,-0.8190595719193157,0.4127807591114747,0.6823520053789703
pos2_Dnase,32589839127.939125,39789339194.93859,0.81905957191882,0.41278075911175716,0.6823520053789703
pos2_H3K4me3,0.09191573353341224,0.1066875677274491,0.8615411850819026,0.388970034162998,0.6823520053789703
pos2_RRBS,0.01237529613315862,0.022067927943596667,0.5607819712294055,0.5749644163406173,0.839137256280901
pos3_A,-0.0024555674980304876,0.005367531822267223,-0.45748541030414724,0.6473366135372587,0.8887163677375924
pos3_C,-0.013294982724150849,0.00548932889514798,-2.421968692002093,0.015462322178577681,0.14580093696044916
pos3_G,0.0027764583369134675,0.005528383712691388,0.502218818592424,0.6155296585004861,0.8664790449963814
pos3_CTCF,278303007.0119129,339783596.3991722,0.8190595719193198,0.41278075911147205,0.6823520053789703
pos3_Dnase,15660493650.850172,19120091123.698853,0.8190595719201045,0.41278075911102485,0.6823520053789703
pos3_H3K4me3,-0.11266251717777281,0.10505486600570196,-1.0724159809185605,0.28357079862273893,0.6823520053789703
pos3_RRBS,-0.004871819335670059,0.023897172459442187,-0.20386593200255868,0.8384642899946484,1.0
pos4_A,0.01390662100963898,0.005696190526425874,2.4413897226792405,0.0146558506939789,0.14580093696044916
pos4_C,0.007510898790978668,0.005594503058896685,1.3425497692836945,0.17946204096752427,0.6823520053789703
pos4_G,0.013221964713031513,0.005549314668797743,2.3826301988919374,0.017216413663364127,0.14679257965605202
pos4_CTCF,-138156204.42635328,168676625.19663775,-0.8190595719193174,0.4127807591114738,0.6823520053789703
pos4_Dnase,15814525141.897465,19308150083.422962,0.8190595719201005,0.41278075911102663,0.6823520053789703
pos4_H3K4me3,0.09958869774751655,0.07935330615255316,1.2550037619864478,0.2095199659749536,0.6823520053789703
pos4_RRBS,-0.001299024563115941,0.025346834796580966,-0.051249971585847334,0.9591278184286427,1.0
pos5_A,0.008649059890862254,0.005589117937623619,1.5474820870463974,0.12179297499127273,0.6165769358933182
pos5_C,0.020800165582075224,0.005591845912098432,3.7197315357120813,0.00020102021344814425,0.006513054915719874
pos5_G,0.011931521008424983,0.00553498683239406,2.155654813593155,0.031145152647126695,0.21022978036810516
pos5_CTCF,-71409516.7241014,87184765.51927303,-0.8190595719193124,0.41278075911147605,0.6823520053789703
pos5_Dnase,-31475018792.70219,38428241207.12168,-0.8190595719189228,0.41278075911169876,0.6823520053789703
pos5_H3K4me3,-0.04949765327262946,0.09861274055051959,-0.5019397391888898,0.6157259519843823,0.8664790449963814
pos5_RRBS,0.00017139894887093618,0.022861553325538766,0.007497257357375865,0.9940183272308518,1.0
pos6_A,-0.005268208382808509,0.005420171111044017,-0.9719634813879081,0.33110284141566515,0.6823520053789703
pos6_C,0.007771467872914864,0.0054475794661142645,1.4265910063829175,0.15374313502283998,0.6823520053789703
pos6_G,0.009915369093572891,0.005509722484848343,1.7996131603433771,0.07196548145194814,0.4020140688005379
pos6_CTCF,55299277.26670571,67515574.1567394,0.8190595719193146,0.41278075911147516,0.6823520053789703
pos6_Dnase,-9735651.936466679,11886378.344874574,-0.8190595700383968,0.4127807601844884,0.6823520053789703
pos6_H3K4me3,-0.051657199716098175,0.09877719749494478,-0.5229668488898148,0.6010141420139905,0.8664790449963814
