Feature,MLP_IG,IG_SNR
pos18_C,0.013101839,0.60570806
pos18_A,0.010226001,0.7250134
pos17_Dnase,0.009177908,2.7681692
pos12_CTCF,0.008432086,1.7706391
pos20_G,0.0069356677,0.61936855
pos15_H3K4me3,0.006605232,2.2255766
pos2_Dnase,0.0063002794,1.3906347
pos23_G,0.006061146,1.8407786
pos6_H3K4me3,0.005552338,1.5988674
pos22_CTCF,0.005497737,1.5214356
pos22_G,0.0050180936,1.8094234
pos15_Dnase,0.004833656,1.7708797
pos10_CTCF,0.004798898,1.1715261
pos2_H3K4me3,0.0046689794,1.5429858
pos1_G,0.0046083285,0.5161948
pos14_T,0.0045997733,0.5231301
pos14_Dnase,0.0045806454,1.7441561
pos8_H3K4me3,0.004579183,1.6802456
pos1_C,0.004566982,0.54367316
pos20_C,0.004560375,0.6178592
pos14_H3K4me3,0.0044821287,1.4911299
pos16_C,0.0044515817,0.52175593
pos19_G,0.0044196253,0.57873476
pos16_G,0.004353173,0.54616916
pos3_CTCF,0.0042481273,1.514517
pos9_H3K4me3,0.004190019,1.6311454
pos21_G,0.0041807974,0.44636852
pos19_CTCF,0.0041569015,1.10108
pos5_H3K4me3,0.0038954108,1.353926
pos21_Dnase,0.0038066627,1.1669713
pos10_A,0.0037496903,0.5103168
pos16_CTCF,0.0037283842,1.2722431
pos5_Dnase,0.0036642835,0.980203
pos1_Dnase,0.0036259359,1.1281182
pos4_Dnase,0.003523017,1.0123199
pos13_Dnase,0.0034801196,1.0049137
pos23_H3K4me3,0.0034762311,1.5613983
pos14_G,0.0034746572,0.5303167
pos19_H3K4me3,0.0034578675,1.3892957
pos16_Dnase,0.0033612335,1.2387171
pos14_CTCF,0.0033379227,1.3870571
pos13_H3K4me3,0.0033371423,1.134632
pos22_H3K4me3,0.0033326678,1.4513032
pos16_H3K4me3,0.0032956002,1.176024
pos6_CTCF,0.0032632935,0.990148
pos13_CTCF,0.0032554166,1.1066996
pos19_Dnase,0.0032357282,0.80720645
pos1_H3K4me3,0.0032136315,0.9813158
pos15_A,0.0031728938,0.5567026
pos19_C,0.0031459862,0.58220786
pos20_CTCF,0.0031438544,1.0108371
pos19_A,0.0031404125,0.5603502
pos7_Dnase,0.0031339393,0.93520033
pos12_A,0.003045056,0.5441368
pos20_Dnase,0.0030383687,0.9674474
pos12_Dnase,0.002995998,1.3689493
pos6_Dnase,0.0029486336,1.0193492
pos11_A,0.002895625,0.5062081
pos4_H3K4me3,0.0028917368,1.0497198
pos7_CTCF,0.0028504543,1.078205
pos3_Dnase,0.0027528852,0.95120305
pos15_CTCF,0.0027043098,0.9947411
pos10_H3K4me3,0.002677684,1.0122334
pos10_Dnase,0.0026121896,0.9954574
pos17_C,0.0026015819,0.5534801
pos6_T,0.002565199,0.44482106
pos8_C,0.002452746,0.5159572
pos18_Dnase,0.002448642,1.1922401
pos3_G,0.002424411,0.4767972
pos23_CTCF,0.0024235423,0.7749861
pos12_G,0.0023792458,0.48094127
pos8_CTCF,0.0023594175,1.0329791
pos20_H3K4me3,0.0023570303,0.96424234
pos12_H3K4me3,0.0023446272,1.3144927
pos7_H3K4me3,0.002270555,0.85170907
pos23_Dnase,0.0022286538,1.0369477
pos15_G,0.0021922644,0.46794584
pos21_A,0.002150169,0.5794963
pos2_T,0.0021464839,0.43226478
pos16_T,0.0021249438,0.48069
pos4_A,0.002121516,0.44472003
pos3_C,0.002113527,0.5331599
pos2_CTCF,0.0021106403,0.7978585
pos1_CTCF,0.0021083322,0.99296355
pos4_CTCF,0.0020782037,0.8034476
pos11_Dnase,0.0020676665,0.7852632
pos9_Dnase,0.0020017084,0.793609
pos11_H3K4me3,0.0019977968,0.7925033
pos17_H3K4me3,0.0019886785,0.88558036
pos8_Dnase,0.0019855215,0.9428312
pos4_T,0.0019798551,0.47989076
pos11_CTCF,0.0019467217,0.81848735
pos6_G,0.0018778297,0.5059996
pos21_CTCF,0.0018179237,0.92852455
pos18_G,0.0017878864,0.43243158
pos11_C,0.0017724055,0.44290486
pos3_H3K4me3,0.00176971,0.87889683
pos18_CTCF,0.0017319464,0.7645915
pos20_A,0.0017314319,0.56926435
pos7_G,0.0017265955,0.45356867
pos18_H3K4me3,0.0017199701,0.7711224
pos21_H3K4me3,0.0016830378,0.9160176
pos8_A,0.0016601288,0.4644407
pos9_A,0.0016528026,0.47757784
pos22_Dnase,0.0016236515,0.8412095
pos2_C,0.0015896858,0.46963486
pos9_CTCF,0.0015399414,0.7627705
pos14_A,0.0015175899,0.45775512
pos10_G,0.0015163469,0.45493892
pos10_C,0.0013947788,0.4828501
pos17_CTCF,0.0013387345,0.6888658
pos21_T,0.0013343422,0.58263826
pos5_G,0.0013286975,0.5097744
pos5_CTCF,0.0013041676,0.65490276
pos8_T,0.0012757243,0.4492351
pos5_C,0.0011816559,0.46732187
pos10_T,0.0011494856,0.4518476
pos15_T,0.0011431011,0.41057596
pos15_C,0.0011313923,0.39956054
pos13_C,0.0011195001,0.4704566
pos17_G,0.0010623605,0.4608526
pos2_A,0.0010490307,0.37880707
