Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,0.0010187595569102685,0.004218320445804034,0.2415083372633839,0.8091654246448203,1.0
pos1_C,-0.014779041038568575,0.004076510435947239,-3.625414744003824,0.00028973368540397004,0.0023227614717647527
pos1_G,0.026426916906652966,0.0041935723023784535,6.301767324165248,3.0493696456801445e-10,6.1749735325022925e-09
pos1_CTCF,-0.059040361557217425,0.03630198031759988,-1.6263675160606472,0.10389866188469421,0.38054462421023927
pos1_Dnase,4.112235004408453e-14,3.162277660168379e-08,1.300402888780327e-06,0.9999989624509753,1.0
pos1_H3K4me3,0.009076955906033008,0.04212248992576214,0.21548953829724907,0.8293894565850424,1.0
pos1_RRBS,-3.0171703397164515e-15,3.162277660168379e-08,-9.541130362207974e-08,0.9999999238744348,1.0
pos2_A,0.01259612434019234,0.004481411223918832,2.810749496266376,0.00495091086558852,0.02673491867417801
pos2_C,0.012857997780197238,0.004419944030901173,2.9090861083993516,0.0036317530010643306,0.020287723661117984
pos2_G,0.011401717313437048,0.004369910742702139,2.609141921829457,0.009088609101615353,0.04461680831702082
pos2_CTCF,0.05352164655375123,0.045968021404021266,1.1643234779095621,0.24431689288009228,0.6943743271328939
pos2_Dnase,-8.060248965647156e-16,3.162277660168379e-08,-2.548874523946129e-08,0.9999999796633621,1.0
pos2_H3K4me3,-0.007483419562737261,0.05686796813207352,-0.13159287747642623,0.8953086018366463,1.0
pos2_RRBS,1.4421526618157437e-15,3.162277660168379e-08,4.56048714501229e-08,0.9999999636133614,1.0
pos3_A,-0.009211548054476052,0.00412010953447948,-2.235753194760587,0.025386889705826032,0.11424100367621715
pos3_C,-0.019465514021738937,0.004193148057746224,-4.642219581485863,3.484673174680708e-06,4.704308785818956e-05
pos3_G,0.0038126985179156537,0.0041990207490537005,0.9079970654526751,0.3638986363682146,0.8940880033656202
pos3_CTCF,0.01662108075753678,0.04262680594154164,0.38992085825832024,0.6966022291204101,1.0
pos3_Dnase,2.6589006304988107e-16,3.162277660168379e-08,8.408182064434008e-09,0.9999999932913859,1.0
pos3_H3K4me3,0.009861639856283091,0.05388996750710063,0.18299583971698824,0.854804481300345,1.0
pos3_RRBS,-5.458297831217156e-16,3.162277660168379e-08,-1.7260653294203527e-08,0.999999986228288,1.0
pos4_A,0.019020402652508445,0.004335650283574074,4.386978055995112,1.1595092575644728e-05,0.00012522699981696306
pos4_C,0.010715547471723348,0.0042328371903534055,2.531528379155233,0.011369756364765005,0.05417354503211561
pos4_G,0.017079671622882632,0.004240493177737161,4.027755948895736,5.667056730240816e-05,0.0005400371707641248
pos4_CTCF,-0.03655697160504549,0.044293581110292246,-0.8253333934327327,0.4091993120147599,0.9604737640014401
pos4_Dnase,3.806509409151102e-16,3.162277660168379e-08,1.2037239667779268e-08,0.9999999903958792,1.0
pos4_H3K4me3,0.030922237626075776,0.05293302735314776,0.584176631723236,0.5591128425417886,1.0
pos4_RRBS,3.93105237470523e-16,3.162277660168379e-08,1.2431079105482207e-08,0.9999999900816476,1.0
pos5_A,0.004675038774949887,0.004323314972267496,1.0813551186852155,0.2795616594770769,0.7676099802590926
pos5_C,0.012466202513993621,0.004233743015442001,2.9444872937551585,0.0032413210504946832,0.0194479263029681
pos5_G,0.002034956306431749,0.004238404004995317,0.48012325017468394,0.6311488106855294,1.0
pos5_CTCF,0.04816124389735271,0.043455815742955296,1.10828074617746,0.26776356809306323,0.7478913453633835
pos5_Dnase,-4.0171306381853293e-17,3.162277660168379e-08,-1.2703282475111413e-09,0.9999999989864465,1.0
pos5_H3K4me3,0.04585180432558558,0.05697252301330465,0.8048055782061455,0.42094837805001384,0.9604737640014401
pos5_RRBS,-1.552089990470478e-16,3.162277660168379e-08,-4.908139503435746e-09,0.9999999960839556,1.0
pos6_A,0.011167435996228227,0.004117385493456841,2.7122638902709015,0.006692389245591235,0.034973130896315485
pos6_C,0.018320579927625612,0.0041256129818814,4.440692815367013,9.049904318603197e-06,0.00011206948570381086
pos6_G,0.0260192983193824,0.004216410258085488,6.170959827613354,7.014053782228302e-10,1.2625296808010944e-08
pos6_CTCF,-0.013058316071910636,0.04488450336116005,-0.2909315040613861,0.7711089079750564,1.0
pos6_Dnase,7.425993058415899e-17,3.162277660168379e-08,2.348305195319406e-09,0.9999999981263641,1.0
pos6_H3K4me3,-0.057130612103125034,0.056983594944856886,-1.002579990932661,0.31608446859772354,0.8258981276263099
pos6_RRBS,5.682029315068095e-17,3.162277660168379e-08,1.7968154367461676e-09,0.9999999985663794,1.0
pos7_A,0.00019524291313916423,0.004342804184662273,0.04495779796582003,0.964141721186381,1.0
pos7_C,0.0031683302047239123,0.004227797029593077,0.7494045202611966,0.45362862538895365,1.0
pos7_G,-0.00032940566406690905,0.004201722694814468,-0.07839776396320566,0.9375130044943474,1.0
