Feature,MLP_IG,IG_SNR
pos18_C,0.020869829,0.67919636
pos18_A,0.014364553,0.7634183
pos15_CTCF,0.013259458,2.6974344
pos10_CTCF,0.0131235495,2.5699043
pos6_CTCF,0.012867107,2.7671344
pos12_CTCF,0.011937315,3.0106783
pos1_Dnase,0.011020053,2.7333672
pos3_CTCF,0.010883729,2.5822327
pos20_G,0.010427769,0.62449574
pos7_CTCF,0.010156441,2.1969342
pos13_CTCF,0.009941785,2.4504497
pos12_Dnase,0.009671367,2.1432066
pos14_CTCF,0.008087311,1.9725735
pos22_CTCF,0.007912861,1.9426644
pos14_T,0.0077170674,0.5299062
pos1_G,0.007652797,0.51667935
pos16_CTCF,0.007584846,1.6993419
pos2_Dnase,0.0074548204,1.8919739
pos16_C,0.007412687,0.5324949
pos14_Dnase,0.0073347813,1.6568394
pos4_Dnase,0.007019152,1.8625517
pos17_Dnase,0.006847772,1.4226209
pos19_Dnase,0.0068243006,1.3870945
pos15_Dnase,0.0067569213,1.7316959
pos1_C,0.0067462404,0.5933163
pos3_Dnase,0.0067452467,2.049632
pos6_Dnase,0.006682802,1.347164
pos10_Dnase,0.006474398,1.3809
pos4_CTCF,0.0064382693,1.6386663
pos20_C,0.006381382,0.6786582
pos16_G,0.006324619,0.59021395
pos8_C,0.006226996,0.57431126
pos19_A,0.0060942937,0.64730316
pos19_CTCF,0.005393587,1.4735477
pos23_Dnase,0.005260596,1.2979269
pos15_A,0.0052205394,0.53285795
pos20_CTCF,0.005134613,1.1121417
pos23_CTCF,0.005027279,1.4581742
pos21_G,0.004992114,0.45324683
pos12_A,0.0048561734,0.54062676
pos14_G,0.0048288545,0.54832727
pos20_Dnase,0.0046958053,0.89687884
pos13_C,0.0046837553,0.5996536
pos17_C,0.0046261395,0.6267495
pos5_Dnase,0.004549722,1.086429
pos19_C,0.0045367377,0.5518158
pos1_CTCF,0.004349645,1.1341211
pos17_A,0.0043361904,0.6169015
pos19_G,0.004285378,0.6136791
pos8_CTCF,0.004170266,1.351513
pos5_C,0.0041432753,0.53666466
pos2_G,0.004138733,0.5663571
pos5_CTCF,0.004130186,0.990189
pos21_CTCF,0.0039915703,1.031767
pos16_T,0.00391404,0.5140501
pos17_CTCF,0.0038899588,1.184593
pos23_G,0.0037957942,0.8525978
pos7_Dnase,0.0037931267,1.0503961
pos2_A,0.0037697977,0.49852195
pos21_Dnase,0.0036395332,0.8313256
pos5_G,0.0036377632,0.5785223
pos8_G,0.0036179288,0.572886
pos11_A,0.0036099644,0.54061496
pos16_Dnase,0.003553561,0.80405945
pos18_CTCF,0.0035432288,0.8469957
pos9_Dnase,0.0035091313,0.8707828
pos10_A,0.003398824,0.4867588
pos13_Dnase,0.0033472802,0.8049249
pos17_G,0.0033354766,0.5808932
pos22_G,0.0033269462,0.82262254
pos6_C,0.0032976347,0.49821383
pos8_Dnase,0.003287569,0.80533963
pos11_CTCF,0.0031592373,0.81411904
pos21_A,0.0029965553,0.51949877
pos3_C,0.0029274696,0.51748824
pos11_Dnase,0.002879609,0.7810865
pos22_Dnase,0.0028494622,0.86074024
pos1_T,0.002841044,0.46643814
pos18_Dnase,0.002831702,0.8276481
pos9_CTCF,0.0028099418,0.84582853
pos7_G,0.0028005454,0.5131636
pos11_T,0.0027903095,0.46510008
pos7_A,0.0027672402,0.41044512
pos2_T,0.0027348364,0.4086012
pos2_CTCF,0.0027283377,0.8097025
pos4_C,0.0027082886,0.5477206
pos20_A,0.0025830036,0.49371868
pos6_T,0.0024804824,0.461715
pos5_T,0.0024317985,0.46045837
pos3_T,0.0023127608,0.4764715
pos18_G,0.0022634747,0.40701085
pos11_G,0.0022176458,0.506678
pos6_G,0.0020123895,0.44495803
pos9_A,0.0018915401,0.4588858
pos6_A,0.0018587136,0.5186497
pos21_C,0.001825401,0.35611132
pos11_C,0.0017858085,0.41986173
pos15_G,0.0017387307,0.3773552
pos8_A,0.001669431,0.42771322
pos16_A,0.0016193417,0.36384162
pos7_C,0.001600917,0.445634
pos21_T,0.0015906768,0.4442124
pos12_T,0.0015833622,0.4927419
pos4_A,0.0015619657,0.43379182
pos14_A,0.0015509278,0.45414025
pos4_G,0.0015430074,0.4369463
pos10_C,0.0015346315,0.4938326
pos1_A,0.0015293065,0.37532383
pos8_T,0.0014902045,0.38743845
pos9_C,0.0014762804,0.42962882
pos15_C,0.0014678239,0.38393557
pos10_T,0.0014577337,0.39036345
pos12_C,0.0014475434,0.44959635
pos13_T,0.0014265265,0.43028727
pos14_C,0.0013979268,0.44678792
pos5_A,0.0013626595,0.4176888
pos2_C,0.001304446,0.44967577
pos13_A,0.0012908456,0.43464896
pos4_T,0.0012822358,0.39275274
pos12_G,0.0012758086,0.4124553
pos9_T,0.0012313236,0.42944655
pos13_G,0.0011876357,0.38212022
pos10_G,0.0011629559,0.44975033
pos7_T,0.0011397221,0.41572213
pos9_G,0.0011106808,0.40012982
pos3_G,0.0010110439,0.41142508
pos3_A,0.0010059815,0.39431807
pos15_T,0.0009389248,0.40038607
pos2_RRBS,0.0,0.0
pos2_H3K4me3,0.0,0.0
pos1_RRBS,0.0,0.0
pos1_H3K4me3,0.0,0.0
pos3_H3K4me3,0.0,0.0
pos3_RRBS,0.0,0.0
pos5_H3K4me3,0.0,0.0
pos5_RRBS,0.0,0.0
pos7_RRBS,0.0,0.0
pos7_H3K4me3,0.0,0.0
pos6_H3K4me3,0.0,0.0
pos6_RRBS,0.0,0.0
pos4_RRBS,0.0,0.0
pos4_H3K4me3,0.0,0.0
pos13_H3K4me3,0.0,0.0
pos13_RRBS,0.0,0.0
pos9_RRBS,0.0,0.0
pos9_H3K4me3,0.0,0.0
pos8_H3K4me3,0.0,0.0
pos8_RRBS,0.0,0.0
pos10_RRBS,0.0,0.0
pos10_H3K4me3,0.0,0.0
pos11_H3K4me3,0.0,0.0
pos11_RRBS,0.0,0.0
pos15_RRBS,0.0,0.0
pos15_H3K4me3,0.0,0.0
pos14_H3K4me3,0.0,0.0
pos14_RRBS,0.0,0.0
pos12_RRBS,0.0,0.0
pos12_H3K4me3,0.0,0.0
pos19_T,0.0,0.0
pos19_H3K4me3,0.0,0.0
pos16_RRBS,0.0,0.0
pos17_T,0.0,0.0
pos16_H3K4me3,0.0,0.0
pos18_RRBS,0.0,0.0
pos18_H3K4me3,0.0,0.0
pos18_T,0.0,0.0
pos17_H3K4me3,0.0,0.0
pos17_RRBS,0.0,0.0
pos19_RRBS,0.0,0.0
pos21_RRBS,0.0,0.0
pos20_H3K4me3,0.0,0.0
pos20_RRBS,0.0,0.0
pos20_T,0.0,0.0
pos21_H3K4me3,0.0,0.0
pos22_T,0.0,0.0
pos22_A,0.0,0.0
pos22_RRBS,0.0,0.0
pos22_H3K4me3,0.0,0.0
pos22_C,0.0,0.0
pos23_A,0.0,0.0
pos23_T,0.0,0.0
pos23_C,0.0,0.0
pos23_H3K4me3,0.0,0.0
pos23_RRBS,0.0,0.0
