Feature,Position,Channel,Transformer_Attention,Attention_Entropy,Attention_SNR
RRBS_pos_16,16,RRBS,0.16288550198078156,3.801755428314209,2.2030653953552246
H3K4me3_pos_16,16,H3K4me3,0.16288550198078156,3.801755428314209,2.2030653953552246
Dnase_pos_16,16,Dnase,0.16288550198078156,3.801755428314209,2.2030653953552246
CTCF_pos_16,16,CTCF,0.16288550198078156,3.801755428314209,2.2030653953552246
T_pos_16,16,T,0.16288550198078156,3.801755428314209,2.2030653953552246
G_pos_16,16,G,0.16288550198078156,3.801755428314209,2.2030653953552246
C_pos_16,16,C,0.16288550198078156,3.801755428314209,2.2030653953552246
A_pos_16,16,A,0.16288550198078156,3.801755428314209,2.2030653953552246
RRBS_pos_15,15,RRBS,0.11256443709135056,3.801755428314209,1.415910243988037
H3K4me3_pos_15,15,H3K4me3,0.11256443709135056,3.801755428314209,1.415910243988037
Dnase_pos_15,15,Dnase,0.11256443709135056,3.801755428314209,1.415910243988037
CTCF_pos_15,15,CTCF,0.11256443709135056,3.801755428314209,1.415910243988037
T_pos_15,15,T,0.11256443709135056,3.801755428314209,1.415910243988037
G_pos_15,15,G,0.11256443709135056,3.801755428314209,1.415910243988037
C_pos_15,15,C,0.11256443709135056,3.801755428314209,1.415910243988037
A_pos_15,15,A,0.11256443709135056,3.801755428314209,1.415910243988037
A_pos_17,17,A,0.09456095844507217,3.801755428314209,1.3840657472610474
C_pos_17,17,C,0.09456095844507217,3.801755428314209,1.3840657472610474
G_pos_17,17,G,0.09456095844507217,3.801755428314209,1.3840657472610474
T_pos_17,17,T,0.09456095844507217,3.801755428314209,1.3840657472610474
CTCF_pos_17,17,CTCF,0.09456095844507217,3.801755428314209,1.3840657472610474
Dnase_pos_17,17,Dnase,0.09456095844507217,3.801755428314209,1.3840657472610474
H3K4me3_pos_17,17,H3K4me3,0.09456095844507217,3.801755428314209,1.3840657472610474
RRBS_pos_17,17,RRBS,0.09456095844507217,3.801755428314209,1.3840657472610474
A_pos_14,14,A,0.06467265635728836,3.801755428314209,1.2672878503799438
C_pos_14,14,C,0.06467265635728836,3.801755428314209,1.2672878503799438
G_pos_14,14,G,0.06467265635728836,3.801755428314209,1.2672878503799438
T_pos_14,14,T,0.06467265635728836,3.801755428314209,1.2672878503799438
CTCF_pos_14,14,CTCF,0.06467265635728836,3.801755428314209,1.2672878503799438
Dnase_pos_14,14,Dnase,0.06467265635728836,3.801755428314209,1.2672878503799438
H3K4me3_pos_14,14,H3K4me3,0.06467265635728836,3.801755428314209,1.2672878503799438
RRBS_pos_14,14,RRBS,0.06467265635728836,3.801755428314209,1.2672878503799438
A_pos_13,13,A,0.052320696413517,3.801755428314209,1.287092685699463
C_pos_13,13,C,0.052320696413517,3.801755428314209,1.287092685699463
G_pos_13,13,G,0.052320696413517,3.801755428314209,1.287092685699463
T_pos_13,13,T,0.052320696413517,3.801755428314209,1.287092685699463
CTCF_pos_13,13,CTCF,0.052320696413517,3.801755428314209,1.287092685699463
Dnase_pos_13,13,Dnase,0.052320696413517,3.801755428314209,1.287092685699463
H3K4me3_pos_13,13,H3K4me3,0.052320696413517,3.801755428314209,1.287092685699463
RRBS_pos_13,13,RRBS,0.052320696413517,3.801755428314209,1.287092685699463
RRBS_pos_10,10,RRBS,0.04401801526546478,3.801755428314209,0.9702232480049133
H3K4me3_pos_10,10,H3K4me3,0.04401801526546478,3.801755428314209,0.9702232480049133
Dnase_pos_10,10,Dnase,0.04401801526546478,3.801755428314209,0.9702232480049133
CTCF_pos_10,10,CTCF,0.04401801526546478,3.801755428314209,0.9702232480049133
T_pos_10,10,T,0.04401801526546478,3.801755428314209,0.9702232480049133
G_pos_10,10,G,0.04401801526546478,3.801755428314209,0.9702232480049133
C_pos_10,10,C,0.04401801526546478,3.801755428314209,0.9702232480049133
A_pos_10,10,A,0.04401801526546478,3.801755428314209,0.9702232480049133
RRBS_pos_11,11,RRBS,0.03961758315563202,3.801755428314209,1.1493895053863525
H3K4me3_pos_11,11,H3K4me3,0.03961758315563202,3.801755428314209,1.1493895053863525
Dnase_pos_11,11,Dnase,0.03961758315563202,3.801755428314209,1.1493895053863525
CTCF_pos_11,11,CTCF,0.03961758315563202,3.801755428314209,1.1493895053863525
T_pos_11,11,T,0.03961758315563202,3.801755428314209,1.1493895053863525
G_pos_11,11,G,0.03961758315563202,3.801755428314209,1.1493895053863525
C_pos_11,11,C,0.03961758315563202,3.801755428314209,1.1493895053863525
A_pos_11,11,A,0.03961758315563202,3.801755428314209,1.1493895053863525
RRBS_pos_18,18,RRBS,0.03944012150168419,3.801755428314209,1.2810267210006714
H3K4me3_pos_18,18,H3K4me3,0.03944012150168419,3.801755428314209,1.2810267210006714
Dnase_pos_18,18,Dnase,0.03944012150168419,3.801755428314209,1.2810267210006714
CTCF_pos_18,18,CTCF,0.03944012150168419,3.801755428314209,1.2810267210006714
T_pos_18,18,T,0.03944012150168419,3.801755428314209,1.2810267210006714
G_pos_18,18,G,0.03944012150168419,3.801755428314209,1.2810267210006714
C_pos_18,18,C,0.03944012150168419,3.801755428314209,1.2810267210006714
A_pos_18,18,A,0.03944012150168419,3.801755428314209,1.2810267210006714
