Feature,MLP_IG,IG_SNR
pos18_C,0.016935578,0.5933473
pos18_A,0.014062008,0.65661585
pos20_C,0.011347979,0.57052714
pos20_G,0.009820823,0.61286175
pos19_G,0.008898051,0.65324473
pos10_Dnase,0.007284403,1.8309542
pos1_G,0.0069053182,0.5569259
pos14_H3K4me3,0.006794262,1.550246
pos1_Dnase,0.006792934,1.5515845
pos20_Dnase,0.006689152,1.6773705
pos13_H3K4me3,0.006673145,1.3512222
pos16_G,0.0066224737,0.56233007
pos7_Dnase,0.0064370073,1.6253053
pos19_A,0.006308477,0.5359305
pos18_CTCF,0.0061629275,1.4964464
pos14_G,0.0058665536,0.54993165
pos23_Dnase,0.005622928,1.5410444
pos6_H3K4me3,0.0056014983,1.4465883
pos8_CTCF,0.005424961,1.170887
pos9_CTCF,0.0053917742,1.2991081
pos17_H3K4me3,0.0053007053,1.4272732
pos9_Dnase,0.005276635,1.2853444
pos11_CTCF,0.0052262135,1.1605233
pos2_H3K4me3,0.00514547,1.7100141
pos12_Dnase,0.00509367,1.502294
pos13_Dnase,0.005041357,1.7276021
pos4_Dnase,0.0049993466,1.0971637
pos13_CTCF,0.004918285,1.4002296
pos17_CTCF,0.0048452793,1.3482931
pos1_C,0.004833554,0.49751368
pos19_H3K4me3,0.004707672,1.1550728
pos22_Dnase,0.004672548,0.9431789
pos5_Dnase,0.004616435,1.2230548
pos21_Dnase,0.004486846,0.9488444
pos10_T,0.004378209,0.49260974
pos21_G,0.0043288795,0.42939407
pos17_Dnase,0.004313579,1.1855283
pos7_H3K4me3,0.0042884424,1.1848683
pos16_Dnase,0.0041506053,1.0120932
pos14_T,0.004120079,0.48194402
pos22_G,0.003957337,1.0099317
pos6_T,0.003910764,0.50081277
pos11_C,0.0038762682,0.51494086
pos2_C,0.0038609316,0.50735277
pos4_H3K4me3,0.0038363768,1.0100623
pos9_H3K4me3,0.003749735,0.97983986
pos19_CTCF,0.003749544,0.92918503
pos19_Dnase,0.0037400723,0.8601919
