Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
G_pos_19,19,G,0.008364998735487461,0.03838226571679115,1.9850726127624512
T_pos_19,19,T,0.006338097155094147,0.030381832271814346,1.7020928859710693
G_pos_18,18,G,0.007396804168820381,0.023749619722366333,1.5784227848052979
G_pos_0,0,G,0.009139222092926502,0.02282748557627201,2.3898651599884033
T_pos_20,20,T,0.009851192124187946,0.021708069369196892,1.7385671138763428
T_pos_18,18,T,0.006612809840589762,0.020059853792190552,1.5328291654586792
C_pos_18,18,C,0.004684196785092354,0.019623493775725365,1.3645234107971191
G_pos_3,3,G,0.008519290946424007,0.019442306831479073,1.3483957052230835
C_pos_17,17,C,0.004594673868268728,0.019090168178081512,1.2333687543869019
C_pos_21,21,C,0.0,0.018160047009587288,1.428429365158081
T_pos_17,17,T,0.006972937379032373,0.01813218928873539,1.4252578020095825
C_pos_16,16,C,0.004101332277059555,0.01743505895137787,1.3433433771133423
C_pos_19,19,C,0.007096936926245689,0.0171991977840662,1.4016011953353882
G_pos_2,2,G,0.0063819061033427715,0.017195016145706177,1.3379898071289062
G_pos_14,14,G,0.003623124910518527,0.017176011577248573,1.3637611865997314
C_pos_10,10,C,0.003452432807534933,0.016836853697896004,1.2559685707092285
G_pos_5,5,G,0.0038856614846736193,0.016752418130636215,1.2907546758651733
C_pos_4,4,C,0.002692339476197958,0.016660436987876892,1.251573920249939
T_pos_16,16,T,0.005574484821408987,0.01660112291574478,1.3255366086959839
G_pos_11,11,G,0.003557606367394328,0.016404422000050545,1.1986324787139893
C_pos_6,6,C,0.004013602156192064,0.015911981463432312,1.2399530410766602
C_pos_12,12,C,0.004162364639341831,0.015905549749732018,1.4353370666503906
G_pos_8,8,G,0.003896567737683654,0.015882233157753944,1.3074909448623657
C_pos_7,7,C,0.0035539392847567797,0.015715327113866806,1.2891738414764404
G_pos_9,9,G,0.006112164817750454,0.015689468011260033,1.3285093307495117
G_pos_17,17,G,0.0031507022213190794,0.015684856101870537,1.2288047075271606
A_pos_0,0,A,0.004858962260186672,0.015617772936820984,1.8754304647445679
C_pos_14,14,C,0.00432050134986639,0.015549738891422749,1.2838523387908936
C_pos_13,13,C,0.003861572127789259,0.015534229576587677,1.2500780820846558
G_pos_10,10,G,0.005795944016426802,0.015506631694734097,1.2647699117660522
G_pos_16,16,G,0.0051920367404818535,0.01542569138109684,1.34697425365448
C_pos_8,8,C,0.0038286219350993633,0.015396414324641228,1.255368709564209
C_pos_22,22,C,0.0,0.015292760916054249,1.2422969341278076
G_pos_13,13,G,0.0049508376978337765,0.015244891867041588,1.310823917388916
G_pos_12,12,G,0.005902010481804609,0.01520603895187378,1.2349823713302612
G_pos_7,7,G,0.0051084598526358604,0.015192219987511635,1.163692593574524
G_pos_4,4,G,0.005828200839459896,0.015112304128706455,1.1511017084121704
C_pos_9,9,C,0.0037477798759937286,0.015072527341544628,1.173895239830017
C_pos_15,15,C,0.003603778313845396,0.015054232440888882,1.2652587890625
C_pos_5,5,C,0.003600718919187784,0.01496230810880661,1.3051869869232178
C_pos_11,11,C,0.00399381248280406,0.014866244979202747,1.242436408996582
G_pos_15,15,G,0.005914212670177221,0.014743998646736145,1.1673119068145752
G_pos_6,6,G,0.005207915790379047,0.014262602664530277,1.2701456546783447
A_pos_7,7,A,0.0042486670427024364,0.014248661696910858,1.3202464580535889
T_pos_13,13,T,0.005236845929175615,0.014104418456554413,1.3169094324111938
T_pos_10,10,T,0.005466642789542675,0.013981885276734829,1.1681702136993408
T_pos_7,7,T,0.005613943561911583,0.013924379833042622,1.4052377939224243
A_pos_15,15,A,0.002954968949779868,0.013854465447366238,1.2100130319595337
T_pos_4,4,T,0.004970515612512827,0.013819430023431778,1.3675616979599
A_pos_16,16,A,0.0031165629625320435,0.013771758414804935,1.2677700519561768
A_pos_8,8,A,0.004347275011241436,0.013685186393558979,1.2254447937011719
A_pos_19,19,A,0.003041398711502552,0.013679349794983864,1.2765253782272339
A_pos_9,9,A,0.0032900332007557154,0.013658521696925163,1.1562944650650024
A_pos_14,14,A,0.0033494788222014904,0.013604342937469482,1.166316032409668
T_pos_9,9,T,0.004240484908223152,0.013587698340415955,1.2889909744262695
T_pos_11,11,T,0.00548713281750679,0.013571103103458881,1.374390721321106
T_pos_6,6,T,0.005910035688430071,0.013537307269871235,1.2547214031219482
A_pos_18,18,A,0.003727436065673828,0.013533961959183216,1.2976444959640503
A_pos_13,13,A,0.0032092209439724684,0.013471967540681362,1.2275238037109375
A_pos_22,22,A,0.0,0.013441085815429688,1.5141136646270752
A_pos_10,10,A,0.003606144804507494,0.013439929112792015,1.3042386770248413
T_pos_14,14,T,0.006169865373522043,0.01341322623193264,1.2939661741256714
T_pos_8,8,T,0.005263137631118298,0.013375982642173767,1.21633780002594
C_pos_20,20,C,0.004995231982320547,0.013361788354814053,1.269418478012085
A_pos_5,5,A,0.004210547544062138,0.013289322145283222,1.234999656677246
A_pos_12,12,A,0.003009599866345525,0.013058004900813103,1.1241819858551025
T_pos_5,5,T,0.006045766640454531,0.013020055368542671,1.2123626470565796
G_pos_1,1,G,0.006514878012239933,0.012922272086143494,1.2553668022155762
A_pos_17,17,A,0.004475833848118782,0.012920023873448372,1.315811038017273
T_pos_3,3,T,0.004024967085570097,0.012839161790907383,1.3191603422164917
T_pos_15,15,T,0.004419757518917322,0.012769859284162521,1.3395533561706543
T_pos_12,12,T,0.004206656478345394,0.01267821341753006,1.244566798210144
A_pos_11,11,A,0.004766428843140602,0.01267241034656763,1.2440145015716553
A_pos_4,4,A,0.004080262966454029,0.012594102881848812,1.2327735424041748
A_pos_2,2,A,0.005052248947322369,0.01251740287989378,1.1841351985931396
G_pos_20,20,G,0.0015798346139490604,0.012463673949241638,1.3229085206985474
A_pos_6,6,A,0.002655782038345933,0.012232892215251923,1.13357675075531
A_pos_20,20,A,0.003099033609032631,0.011752855964004993,1.1615021228790283
A_pos_3,3,A,0.003601018339395523,0.011697621084749699,1.2332967519760132
G_pos_21,21,G,0.008792019449174404,0.011490576900541782,1.3138141632080078
C_pos_3,3,C,0.005839346908032894,0.01148867979645729,1.2475210428237915
A_pos_21,21,A,0.0,0.011185988783836365,1.2116899490356445
T_pos_2,2,T,0.005123090464621782,0.010693099349737167,1.3372929096221924
C_pos_2,2,C,0.004088421352207661,0.010418660007417202,1.296633005142212
T_pos_21,21,T,0.0,0.010223289020359516,1.2896655797958374
C_pos_0,0,C,0.0033757751807570457,0.009958365932106972,1.1926093101501465
T_pos_0,0,T,0.002831305144354701,0.009713303297758102,1.3013794422149658
G_pos_22,22,G,0.0045948210172355175,0.009295538999140263,1.2709380388259888
T_pos_1,1,T,0.004830508027225733,0.009096585214138031,1.3708513975143433
T_pos_22,22,T,0.0,0.008905425667762756,1.279036045074463
C_pos_1,1,C,0.001641030889004469,0.008904404938220978,1.2973734140396118
A_pos_1,1,A,0.002016028156504035,0.008133544586598873,1.241207242012024
RRBS_pos_1,1,RRBS,5.912671986152418e-05,0.004246182274073362,2.2514729499816895
RRBS_pos_20,20,RRBS,0.00023978266108315438,0.00417026411741972,2.4695115089416504
RRBS_pos_21,21,RRBS,0.00020976108498871326,0.003991875797510147,2.3251798152923584
RRBS_pos_2,2,RRBS,6.012016092427075e-05,0.0038049130234867334,2.0693137645721436
RRBS_pos_3,3,RRBS,0.00010432302951812744,0.0032695347908884287,1.9767686128616333
RRBS_pos_9,9,RRBS,8.959827391663566e-05,0.0032612555660307407,2.0601980686187744
RRBS_pos_10,10,RRBS,3.917262438335456e-05,0.0032461308874189854,2.0127832889556885
RRBS_pos_18,18,RRBS,8.446940773865208e-05,0.0032445050310343504,2.060325860977173
RRBS_pos_14,14,RRBS,4.7866215027170256e-05,0.0032443003728985786,2.0532126426696777
RRBS_pos_8,8,RRBS,4.850283949053846e-05,0.003233731258660555,1.9898473024368286
RRBS_pos_17,17,RRBS,5.83826367801521e-05,0.003232849994674325,2.0870018005371094
RRBS_pos_5,5,RRBS,5.2884493925375864e-05,0.003231059992685914,2.0129642486572266
RRBS_pos_12,12,RRBS,5.61980705242604e-05,0.0032287160865962505,2.0568437576293945
RRBS_pos_16,16,RRBS,2.9043500035186298e-05,0.003222975181415677,2.0204100608825684
RRBS_pos_4,4,RRBS,8.738554606679827e-05,0.003220238722860813,2.005134105682373
RRBS_pos_11,11,RRBS,3.1662108085583895e-05,0.003219724167138338,2.0341951847076416
RRBS_pos_7,7,RRBS,5.6414071877952665e-05,0.003212021430954337,1.9952707290649414
RRBS_pos_6,6,RRBS,0.00012703330139629543,0.0032087117433547974,2.049412965774536
RRBS_pos_15,15,RRBS,0.0001820220350055024,0.0032031661830842495,2.074967861175537
RRBS_pos_13,13,RRBS,6.0909071180503815e-05,0.003202482359483838,2.0686581134796143
RRBS_pos_19,19,RRBS,5.155719554750249e-05,0.002958359196782112,1.8637477159500122
