Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
C_pos_17,17,C,0.012290452606976032,0.0508117601275444,1.70079505443573
G_pos_20,20,G,0.004649267066270113,0.03281260281801224,1.4669686555862427
C_pos_19,19,C,0.003630933118984103,0.030534453690052032,1.270569086074829
G_pos_19,19,G,0.00775477709248662,0.028851499781012535,1.1921145915985107
T_pos_16,16,T,0.0,0.026015887036919594,1.376060962677002
C_pos_18,18,C,0.005148618947714567,0.025284741073846817,1.3314234018325806
T_pos_17,17,T,0.0,0.024442216381430626,1.2855421304702759
C_pos_20,20,C,0.0020633928943425417,0.023585932329297066,1.2905794382095337
T_pos_18,18,T,0.0,0.022470271214842796,1.1921606063842773
G_pos_15,15,G,0.002782396739348769,0.022097662091255188,1.1945172548294067
A_pos_14,14,A,0.0028908683452755213,0.02205517329275608,1.255071997642517
T_pos_2,2,T,0.007154041901230812,0.022005287930369377,1.2509099245071411
A_pos_18,18,A,0.0033370896708220243,0.021984366700053215,1.224564790725708
A_pos_17,17,A,0.004024329129606485,0.021964669227600098,1.2321914434432983
G_pos_18,18,G,0.006294720806181431,0.02184804528951645,1.232831358909607
T_pos_6,6,T,0.004568274598568678,0.021835671737790108,1.2539081573486328
G_pos_13,13,G,0.002139190211892128,0.021572833880782127,1.2031859159469604
T_pos_3,3,T,0.004725539591163397,0.021474311128258705,1.252453327178955
T_pos_10,10,T,0.0037276530638337135,0.02142244204878807,1.2014827728271484
T_pos_12,12,T,0.003648086916655302,0.02136077731847763,1.2057878971099854
T_pos_7,7,T,0.0039062481373548508,0.021349767223000526,1.231451153755188
T_pos_13,13,T,0.0046006012707948685,0.021132759749889374,1.2102110385894775
G_pos_16,16,G,0.003996599931269884,0.021115802228450775,1.17002272605896
T_pos_11,11,T,0.0037766662426292896,0.02109127677977085,1.2564219236373901
C_pos_16,16,C,0.004971954505890608,0.02108955942094326,1.2007380723953247
T_pos_5,5,T,0.0037329380866140127,0.021075168624520302,1.2723796367645264
T_pos_8,8,T,0.004659978672862053,0.021022101864218712,1.2600829601287842
A_pos_22,22,A,0.0,0.020833631977438927,1.2663275003433228
G_pos_22,22,G,0.011990337632596493,0.020693598315119743,1.363541603088379
A_pos_16,16,A,0.0023269047960639,0.020688075572252274,1.1079813241958618
T_pos_4,4,T,0.003336455440148711,0.02060764655470848,1.2471294403076172
T_pos_14,14,T,0.004739302210509777,0.020590532571077347,1.2163971662521362
T_pos_9,9,T,0.003947348799556494,0.02057347260415554,1.2966777086257935
T_pos_15,15,T,0.0051729716360569,0.020500903949141502,1.2055611610412598
A_pos_15,15,A,0.0018861666321754456,0.020441051572561264,1.164808750152588
G_pos_0,0,G,0.00569858169183135,0.020366398617625237,1.333980917930603
A_pos_19,19,A,0.0028168216813355684,0.020188406109809875,1.0836880207061768
C_pos_14,14,C,0.0023478709626942873,0.019740762189030647,1.2014278173446655
G_pos_14,14,G,0.0023348506074398756,0.019632145762443542,1.2194932699203491
T_pos_1,1,T,0.0035967600997537374,0.019603919237852097,1.2563371658325195
G_pos_17,17,G,0.003159906016662717,0.019307956099510193,1.1473448276519775
C_pos_21,21,C,0.0,0.01913096196949482,1.1646597385406494
C_pos_6,6,C,0.0031920243054628372,0.01903999224305153,1.2942050695419312
G_pos_12,12,G,0.0027368073351681232,0.018763061612844467,1.1849309206008911
C_pos_8,8,C,0.0023434085305780172,0.01868595741689205,1.2766114473342896
C_pos_9,9,C,0.0025239449460059404,0.018633317202329636,1.2403807640075684
C_pos_12,12,C,0.0028865071944892406,0.018622320145368576,1.227942705154419
A_pos_6,6,A,0.0018242747755721211,0.018500087782740593,1.2368180751800537
A_pos_10,10,A,0.002059845719486475,0.018465746194124222,1.2371529340744019
C_pos_11,11,C,0.0027324226684868336,0.018459586426615715,1.3124134540557861
C_pos_7,7,C,0.0024972930550575256,0.01818663626909256,1.1678829193115234
T_pos_0,0,T,0.004818354733288288,0.018138432875275612,1.2618345022201538
A_pos_11,11,A,0.0018603280186653137,0.018119221553206444,1.1514195203781128
C_pos_5,5,C,0.0033985418267548084,0.01809508726000786,1.1908783912658691
A_pos_21,21,A,0.0,0.018040794879198074,1.1842926740646362
C_pos_15,15,C,0.0025994402822107077,0.017985347658395767,1.2804878950119019
A_pos_13,13,A,0.0019429799867793918,0.017981484532356262,1.2682914733886719
G_pos_10,10,G,0.0025931335985660553,0.017901655286550522,1.221450924873352
C_pos_10,10,C,0.0023887373972684145,0.017891857773065567,1.1936473846435547
C_pos_2,2,C,0.0018763855332508683,0.01779012568295002,1.2108055353164673
T_pos_19,19,T,0.0,0.017755452543497086,1.1731460094451904
A_pos_9,9,A,0.0020398665219545364,0.01772632636129856,1.2250893115997314
C_pos_3,3,C,0.0024379051756113768,0.017667818814516068,1.2145912647247314
A_pos_7,7,A,0.0023066012654453516,0.0175937470048666,1.2011598348617554
G_pos_7,7,G,0.002861930290237069,0.01755344122648239,1.2435061931610107
G_pos_9,9,G,0.0025401569437235594,0.017476091161370277,1.1774824857711792
C_pos_13,13,C,0.002925947541370988,0.017404945567250252,1.2581703662872314
G_pos_21,21,G,0.010170509107410908,0.017311863601207733,1.3298267126083374
A_pos_12,12,A,0.0018219389021396637,0.017043381929397583,1.1506595611572266
C_pos_4,4,C,0.0027870580088347197,0.017004001885652542,1.2047960758209229
C_pos_0,0,C,0.0019674969371408224,0.016982020810246468,1.226204752922058
T_pos_20,20,T,0.005525024142116308,0.01689980737864971,1.152501106262207
G_pos_8,8,G,0.002218052512034774,0.01685347408056259,1.2244666814804077
G_pos_11,11,G,0.0023453279864042997,0.01681915670633316,1.2379870414733887
A_pos_8,8,A,0.002250544959679246,0.016631975769996643,1.1647601127624512
G_pos_6,6,G,0.0026137663517147303,0.016542794182896614,1.200472354888916
G_pos_5,5,G,0.00242486665956676,0.01628904417157173,1.1741342544555664
A_pos_4,4,A,0.002127933083102107,0.016257567331194878,1.1818546056747437
Dnase_pos_21,21,Dnase,0.008658054284751415,0.016204485669732094,2.712557554244995
A_pos_5,5,A,0.002378614619374275,0.015956418588757515,1.18477201461792
A_pos_1,1,A,0.0027739810757339,0.01586318388581276,1.216740608215332
G_pos_4,4,G,0.002458541188389063,0.015786757692694664,1.1405632495880127
A_pos_20,20,A,0.002785887336358428,0.015659134835004807,1.1727076768875122
G_pos_3,3,G,0.002299468731507659,0.015184122137725353,1.212082862854004
G_pos_2,2,G,0.0019206567667424679,0.015011457726359367,1.1800607442855835
T_pos_21,21,T,0.0,0.014983875676989555,1.1758708953857422
A_pos_3,3,A,0.0018224925734102726,0.014494450762867928,1.1969797611236572
C_pos_1,1,C,0.002194344997406006,0.013785106129944324,1.1701462268829346
A_pos_2,2,A,0.0017767443787306547,0.013759502209722996,1.2901291847229004
C_pos_22,22,C,0.0,0.013115732930600643,1.3211946487426758
G_pos_1,1,G,0.0029965273570269346,0.01288569625467062,1.1728730201721191
Dnase_pos_1,1,Dnase,0.005070729646831751,0.011690597049891949,2.9407081604003906
T_pos_22,22,T,0.0,0.010579915717244148,1.2165817022323608
Dnase_pos_0,0,Dnase,0.0010178756201639771,0.010119974613189697,2.928942918777466
A_pos_0,0,A,0.0012458593118935823,0.009761531837284565,1.2254300117492676
Dnase_pos_19,19,Dnase,0.0005054521025158465,0.008911743760108948,2.1098716259002686
Dnase_pos_3,3,Dnase,0.0009761913679540157,0.008880184032022953,2.20479679107666
Dnase_pos_2,2,Dnase,0.0006193960434757173,0.008492314256727695,2.08664608001709
Dnase_pos_22,22,Dnase,0.0009560117614455521,0.008476750925183296,2.594245672225952
Dnase_pos_20,20,Dnase,0.0009948286460712552,0.008040583692491055,1.8843846321105957
Dnase_pos_17,17,Dnase,0.0009682341478765011,0.004751410335302353,1.189915418624878
Dnase_pos_18,18,Dnase,0.0009826024761423469,0.004750796128064394,1.1695191860198975
Dnase_pos_16,16,Dnase,0.0009691199520602822,0.004738135728985071,1.215712070465088
Dnase_pos_15,15,Dnase,0.0009691199520602822,0.004710151813924313,1.2231862545013428
Dnase_pos_4,4,Dnase,0.0009869758505374193,0.00470470916479826,1.2248274087905884
Dnase_pos_12,12,Dnase,0.0009879451245069504,0.004704530816525221,1.2431542873382568
Dnase_pos_13,13,Dnase,0.0009956962894648314,0.004698357544839382,1.2336456775665283
Dnase_pos_7,7,Dnase,0.0009750556782819331,0.004695522598922253,1.242096185684204
Dnase_pos_11,11,Dnase,0.0009773257188498974,0.004695041570812464,1.2427899837493896
Dnase_pos_8,8,Dnase,0.0009736109641380608,0.004693122580647469,1.2533226013183594
Dnase_pos_14,14,Dnase,0.0009801096748560667,0.004691451787948608,1.2227420806884766
Dnase_pos_5,5,Dnase,0.000979689066298306,0.004689288325607777,1.221444010734558
Dnase_pos_6,6,Dnase,0.0009745944407768548,0.004686197265982628,1.2269296646118164
Dnase_pos_9,9,Dnase,0.0009869526838883758,0.004683518782258034,1.2486062049865723
Dnase_pos_10,10,Dnase,0.0010006508091464639,0.004676302894949913,1.2418876886367798
