Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.019755446230341044,0.008468948867385744,-2.3326916409213485,0.019808938764243056,0.058346328723770456
pos1_C,-0.011789134279519844,0.008384402166309562,-1.4060792941077267,0.15992800488929793,0.3408991683166614
pos1_G,0.015986615728412288,0.007874517752739582,2.0301707647875284,0.0425326254578946,0.1167844970199818
pos1_CTCF,-0.03241378516403119,0.052412769797945874,-0.6184329751888352,0.5363930691852912,0.8582303601769324
pos1_Dnase,-387481298991.7733,147830047910.2066,-2.621126790320282,0.008861253595853436,0.028710461650614052
pos1_H3K4me3,183536006177.2628,70021796295.79697,2.62112679032028,0.008861253595853436,0.028710461650614052
pos1_RRBS,-26735792794.410244,10200114276.480059,-2.62112679032028,0.008861253595853436,0.028710461650614052
pos2_A,0.0005224182154830394,0.0080207201110822,0.0651335800586304,0.9480771745812628,1.0
pos2_C,0.009464625557650055,0.008131842828787761,1.163896764475584,0.24466909893082045,0.4718618336522966
pos2_G,0.011655937753563736,0.007685086396899161,1.516695733995491,0.12957489422327195,0.2968323204716115
pos2_CTCF,0.061024918350352106,0.06757204231879822,0.9031089820023874,0.3666272822425021,0.6544763205342641
pos2_Dnase,-3292650433.078943,1256196550.7500706,-2.621126790320283,0.008861253595853436,0.028710461650614052
pos2_H3K4me3,17988508233.189384,6862891295.308667,2.6211267903202784,0.008861253595853436,0.028710461650614052
pos2_RRBS,3243709306.1186724,1237524761.5252974,2.6211267903202797,0.008861253595853436,0.028710461650614052
pos3_A,0.005141664027357954,0.00788989120281908,0.6516774306749404,0.51471890878596,0.8338446322332552
pos3_C,-0.007243791459819081,0.008244440824442121,-0.8786273822650972,0.3797578650013631,0.6544763205342641
pos3_G,0.012020745137451494,0.007954645152300273,1.5111604486814114,0.13097886341844345,0.2968323204716115
pos3_CTCF,-0.04462377827551811,0.06018977117812899,-0.7413847469772895,0.45858762517340157,0.7658886111143407
pos3_Dnase,3276412377.977177,1250001484.1238656,2.6211267903202824,0.008861253595853436,0.028710461650614052
pos3_H3K4me3,-3390640918.7717643,1293581421.277775,-2.621126790320283,0.008861253595853436,0.028710461650614052
pos3_RRBS,-14974170234.478107,5712875199.237643,-2.6211267903202824,0.008861253595853436,0.028710461650614052
pos4_A,0.013172342648825703,0.00838599875122673,1.5707541867805324,0.11647134484338917,0.2734544618062181
pos4_C,0.0008708597582826981,0.008210335228718064,0.10606872119382041,0.9155434017066226,1.0
pos4_G,0.023301540509530063,0.007991978715132644,2.915615936940508,0.0036077864582768626,0.028710461650614052
pos4_CTCF,0.08448281410111912,0.05793911946654584,1.458130791060773,0.14503436380415669,0.3175076613009917
pos4_Dnase,5523286778.731806,2107218467.6945372,2.6211267903202824,0.008861253595853436,0.028710461650614052
pos4_H3K4me3,-3719511888.2700157,1419050731.1611285,-2.62112679032028,0.008861253595853436,0.028710461650614052
pos4_RRBS,-2112757614.1409051,806049376.1474029,-2.621126790320279,0.008861253595853436,0.028710461650614052
pos5_A,0.007432447281067906,0.008335330987952612,0.8916799215064548,0.37272155486845104,0.6544763205342641
pos5_C,0.01133485987199419,0.008242513041457249,1.3751703897808119,0.1693041138821294,0.3561982655701943
pos5_G,0.005606191359676502,0.007900289178083214,0.7096185004504719,0.47806185041485816,0.790265507828643
pos5_CTCF,-0.06872976383023062,0.05784048409559606,-1.1882639798905774,0.2349359731281102,0.45854973068378135
pos5_Dnase,1020130057.4499402,389195235.1245428,2.621126790320282,0.008861253595853436,0.028710461650614052
pos5_H3K4me3,-1373397421.315187,523972142.96808916,-2.621126790320281,0.008861253595853436,0.028710461650614052
pos5_RRBS,-6532598154.494145,2492286210.121073,-2.621126790320281,0.008861253595853436,0.028710461650614052
pos6_A,-0.01703636891095746,0.007909896669750716,-2.1538042306049956,0.03143002839116216,0.08778732067876327
pos6_C,0.01169701781274341,0.007759451093183989,1.5074542866850769,0.13192547576516067,0.2968323204716115
pos6_G,0.01003566099049209,0.007990653942571835,1.2559248670531284,0.20935797716916915,0.4239499037675675
pos6_CTCF,-0.03410793149815755,0.08523229788489892,-0.4001761344533766,0.6890893620439034,1.0
pos6_Dnase,-262005395.48205242,99959069.68317153,-2.6211267903202784,0.008861253595853436,0.028710461650614052
pos6_H3K4me3,2191048292.647888,835918468.6293476,2.6211267903202833,0.008861253595853436,0.028710461650614052
pos6_RRBS,224136220.50818273,85511399.65296952,2.62112679032028,0.008861253595853436,0.028710461650614052
pos7_A,0.02315945107809121,0.008811750251403065,2.628246422940052,0.008678835600666845,0.028710461650614052
pos7_C,0.019963776614820752,0.008298791621631007,2.405624520416282,0.016277073651057572,0.04975256474474201
pos7_G,0.015386361496179352,0.008209478956733494,1.8742190067445523,0.06111354060101171,0.15843997857875403
pos7_CTCF,-0.07465837419150702,0.09543130807650556,-0.7823257974380352,0.434158718493292,0.7326428374574303
pos7_Dnase,1639062849.4840257,625327571.1564283,2.62112679032028,0.008861253595853436,0.028710461650614052
pos7_H3K4me3,-2171839078.9196506,828589859.4986583,-2.6211267903202806,0.008861253595853436,0.028710461650614052
pos7_RRBS,1141952945.6088853,435672532.06753373,2.6211267903202833,0.008861253595853436,0.028710461650614052
pos8_A,0.003616041819811847,0.008242180364428696,0.4387239371050201,0.6609309594106985,0.9823010589406711
pos8_C,0.010310899249531984,0.008381980724306511,1.230126814731498,0.21886142365308747,0.4323847638024411
pos8_G,-0.000987788240741485,0.008372676648492398,-0.11797759333263494,0.906102756613798,1.0
pos8_CTCF,0.10261847342993771,0.07193304454142739,1.4265832078167926,0.15392857792514336,0.33248572831830964
pos8_Dnase,191402923.15927145,73023145.56705733,2.6211267903202784,0.008861253595853436,0.028710461650614052
pos8_H3K4me3,72660527.66551515,27721103.73822726,2.6211267903202806,0.008861253595853436,0.028710461650614052
pos8_RRBS,-164690016.71322933,62831762.78286995,-2.6211267903202833,0.008861253595853436,0.028710461650614052
pos9_A,-0.0020043362168675493,0.00817475778933159,-0.24518600654851136,0.8063492393195821,1.0
pos9_C,-0.007088505920638517,0.00800942733316496,-0.8850203174060713,0.3763014284009083,0.6544763205342641
pos9_G,0.004531795262718396,0.007842389608591642,0.5778589803487496,0.5634545710526768,0.886210102044016
