Feature,MLP_IG,IG_SNR
pos18_C,0.012845328,0.6081798
pos20_G,0.007441513,0.6173473
pos18_A,0.0073095863,0.6700358
pos11_CTCF,0.00524718,1.3849694
pos14_H3K4me3,0.005127081,1.5322896
pos20_C,0.005125363,0.57365847
pos3_CTCF,0.0050547672,1.2455007
pos1_G,0.004997693,0.56002194
pos8_CTCF,0.0045361696,1.2392981
pos13_H3K4me3,0.004437848,1.3276651
pos19_G,0.004389857,0.62479913
pos16_G,0.0043764072,0.54720926
pos8_H3K4me3,0.0041743657,1.4659739
pos10_H3K4me3,0.003778293,1.1481804
pos14_T,0.003701361,0.5248884
pos16_H3K4me3,0.0035589968,1.2796676
pos16_C,0.0035230676,0.5571409
pos7_H3K4me3,0.0035217952,1.2176615
pos21_A,0.003433642,0.65740854
pos12_CTCF,0.0033794884,1.2224685
pos14_G,0.0032763183,0.54083353
pos17_G,0.0031605538,0.63193583
pos9_H3K4me3,0.0031532515,0.971565
pos17_H3K4me3,0.0031227567,1.222846
pos1_H3K4me3,0.002980088,1.0210878
pos20_H3K4me3,0.0029453498,0.99341285
pos12_H3K4me3,0.0029058282,1.135954
pos21_G,0.0029001764,0.42941305
pos11_C,0.002859006,0.5357371
pos1_C,0.0028161546,0.5195224
pos21_H3K4me3,0.0028080195,0.8308958
pos22_H3K4me3,0.0027795576,1.1527288
pos19_H3K4me3,0.0026742364,0.7298611
pos2_H3K4me3,0.0026207664,0.8147449
pos12_A,0.0026137675,0.5263935
pos3_C,0.0025542455,0.48546466
pos23_CTCF,0.0025247107,0.91271216
pos6_H3K4me3,0.0024268653,0.9208988
pos17_CTCF,0.002418283,0.98725086
pos14_CTCF,0.0024066772,0.88540703
pos21_T,0.0023931875,0.55197996
pos23_G,0.0023710001,0.8431359
pos11_H3K4me3,0.0023617267,0.83613497
pos6_G,0.0022915667,0.5078583
pos19_A,0.0022577955,0.52508783
pos18_H3K4me3,0.0022499494,0.8611133
pos4_H3K4me3,0.002241124,0.896747
pos11_A,0.002221899,0.45199788
pos6_T,0.0022213254,0.47093457
pos22_G,0.0021458098,0.79706585
pos16_CTCF,0.0021325834,0.7558966
pos16_T,0.0021258185,0.47247797
pos5_CTCF,0.0021043585,0.7526747
pos15_A,0.0021041005,0.48604247
pos10_T,0.002058271,0.46531275
pos19_CTCF,0.0020519907,0.9162321
pos13_CTCF,0.002027392,0.87709564
pos6_CTCF,0.0020248978,0.9666172
pos9_CTCF,0.0020178433,0.7396121
pos3_H3K4me3,0.0020176661,0.81413615
pos18_G,0.0020147208,0.45588297
pos10_CTCF,0.0020039373,0.71920806
pos15_G,0.001980852,0.4608559
pos20_CTCF,0.001977562,0.73731035
pos22_CTCF,0.0019734488,0.70881134
pos19_C,0.0019704073,0.4788517
pos18_CTCF,0.0019616918,0.77723545
pos15_H3K4me3,0.0019507426,0.8493022
pos15_CTCF,0.0019464893,0.7623458
pos21_CTCF,0.0018874507,0.7591428
pos23_H3K4me3,0.0018579161,0.7749355
pos4_CTCF,0.0018559146,0.71342725
pos9_A,0.0018089525,0.49556097
pos1_CTCF,0.0017833144,0.6988051
pos6_A,0.0017404903,0.4697607
pos2_CTCF,0.001726735,0.67281735
pos5_C,0.0016895038,0.5323328
pos7_C,0.0016301718,0.5031448
pos2_T,0.0016054796,0.39355487
pos17_A,0.0016004413,0.36114722
pos7_CTCF,0.0015818614,0.7058622
pos2_C,0.001552946,0.47386608
pos3_G,0.0015525836,0.47704777
pos12_G,0.001550561,0.40900046
pos10_A,0.0015401974,0.43783548
pos8_T,0.0015107951,0.40469193
pos15_C,0.0014960517,0.45435616
pos5_H3K4me3,0.0014539867,0.7267569
pos17_C,0.0014356647,0.39436498
pos12_T,0.0013870249,0.4770216
pos7_G,0.0013624335,0.43036857
pos9_T,0.0013614877,0.34731576
pos4_A,0.0013258812,0.4283046
pos9_C,0.001318667,0.4274012
pos3_T,0.0013101674,0.46362743
pos13_C,0.001294845,0.45302302
pos4_T,0.0012809942,0.43637636
pos10_G,0.0012145112,0.43400604
pos5_G,0.0011824851,0.40471813
pos20_A,0.0011672389,0.432804
pos11_G,0.0011564988,0.36080763
pos4_G,0.0011197397,0.41749415
pos11_T,0.0011106149,0.3422702
pos3_A,0.001097301,0.3967557
pos14_C,0.0010514756,0.408428
pos1_T,0.001044492,0.37969244
pos2_G,0.0010367759,0.3873513
pos7_A,0.0010037256,0.38176295
pos6_C,0.001002438,0.37401932
pos8_G,0.0010020083,0.42447585
pos10_C,0.00095541123,0.414068
pos5_A,0.0009456723,0.3517947
pos4_C,0.000932296,0.40373492
pos1_A,0.0009183214,0.3507517
pos13_T,0.0009108207,0.38472658
pos5_T,0.0009002456,0.385617
pos7_T,0.00086846907,0.36465463
pos8_A,0.00082398317,0.35528582
pos14_A,0.0008197681,0.35530117
pos15_T,0.00081698433,0.378692
pos13_G,0.0007878627,0.3767131
pos8_C,0.0007645455,0.3973095
pos9_G,0.0007561077,0.31544423
pos12_C,0.00075393595,0.39706677
pos21_C,0.00074661075,0.28779376
pos2_A,0.00073482207,0.33570874
pos13_A,0.0007259109,0.3393417
pos16_A,0.0006426509,0.3520704
pos17_T,0.0006129722,0.18597044
pos19_T,0.0006093712,0.20445733
pos20_T,0.00054512743,0.1942892
pos18_T,0.00035177515,0.18990295
pos3_Dnase,0.0,0.0
pos3_RRBS,0.0,0.0
pos1_RRBS,0.0,0.0
pos1_Dnase,0.0,0.0
pos7_RRBS,0.0,0.0
pos7_Dnase,0.0,0.0
pos6_Dnase,0.0,0.0
pos6_RRBS,0.0,0.0
pos4_RRBS,0.0,0.0
pos4_Dnase,0.0,0.0
pos5_Dnase,0.0,0.0
pos5_RRBS,0.0,0.0
pos2_RRBS,0.0,0.0
pos2_Dnase,0.0,0.0
pos8_Dnase,0.0,0.0
pos8_RRBS,0.0,0.0
pos10_RRBS,0.0,0.0
pos10_Dnase,0.0,0.0
pos11_Dnase,0.0,0.0
pos11_RRBS,0.0,0.0
pos15_RRBS,0.0,0.0
pos15_Dnase,0.0,0.0
pos14_Dnase,0.0,0.0
pos14_RRBS,0.0,0.0
pos12_RRBS,0.0,0.0
pos12_Dnase,0.0,0.0
pos13_Dnase,0.0,0.0
pos13_RRBS,0.0,0.0
pos9_RRBS,0.0,0.0
pos9_Dnase,0.0,0.0
pos18_Dnase,0.0,0.0
pos18_RRBS,0.0,0.0
pos16_RRBS,0.0,0.0
pos16_Dnase,0.0,0.0
pos17_Dnase,0.0,0.0
pos17_RRBS,0.0,0.0
pos19_RRBS,0.0,0.0
pos19_Dnase,0.0,0.0
pos20_Dnase,0.0,0.0
pos20_RRBS,0.0,0.0
pos21_RRBS,0.0,0.0
pos21_Dnase,0.0,0.0
pos22_T,0.0,0.0
pos22_A,0.0,0.0
pos22_RRBS,0.0,0.0
pos22_Dnase,0.0,0.0
pos22_C,0.0,0.0
pos23_A,0.0,0.0
pos23_T,0.0,0.0
pos23_C,0.0,0.0
pos23_Dnase,0.0,0.0
pos23_RRBS,0.0,0.0
