Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
C_pos_17,17,C,0.017185913398861885,0.0631251111626625,1.555412769317627
G_pos_15,15,G,0.0039877332746982574,0.03376706689596176,1.289327621459961
T_pos_21,21,T,0.0,0.03202462196350098,1.1316405534744263
T_pos_19,19,T,0.0,0.031019562855362892,1.1572816371917725
G_pos_13,13,G,0.003532745409756899,0.029424430802464485,1.1676081418991089
C_pos_19,19,C,0.006380047649145126,0.028633778914809227,1.2655450105667114
G_pos_17,17,G,0.0036560401786118746,0.02830655500292778,1.0604428052902222
T_pos_20,20,T,0.004884482827037573,0.02823651395738125,1.2907875776290894
G_pos_14,14,G,0.002482769312337041,0.027822211384773254,1.2386212348937988
A_pos_17,17,A,0.008061119355261326,0.027308641001582146,1.221300482749939
C_pos_18,18,C,0.006854440551251173,0.026748735457658768,1.0901750326156616
G_pos_12,12,G,0.003081004833802581,0.025117646902799606,1.1121946573257446
C_pos_16,16,C,0.0071617909707129,0.02485337108373642,1.0986078977584839
A_pos_19,19,A,0.0042943693697452545,0.02454865537583828,1.1008663177490234
A_pos_21,21,A,0.0,0.024450039491057396,1.137001872062683
T_pos_5,5,T,0.003280044300481677,0.02332233265042305,1.1566804647445679
G_pos_10,10,G,0.0029451779555529356,0.023231521248817444,1.1743947267532349
G_pos_21,21,G,0.01670895703136921,0.02321934513747692,1.2732728719711304
A_pos_18,18,A,0.004724142141640186,0.022965699434280396,1.1960936784744263
T_pos_4,4,T,0.0027677551843225956,0.02293391525745392,1.1991360187530518
G_pos_11,11,G,0.0030047628097236156,0.022893356159329414,1.1221305131912231
A_pos_22,22,A,0.0,0.022841906175017357,1.1824750900268555
T_pos_3,3,T,0.00307540618814528,0.02266063168644905,1.1411584615707397
G_pos_9,9,G,0.003212768817320466,0.022610189393162727,1.1427786350250244
G_pos_19,19,G,0.005361138377338648,0.022511448711156845,1.0212897062301636
G_pos_16,16,G,0.006385078188031912,0.022162538021802902,0.9612150192260742
C_pos_21,21,C,0.0,0.021663591265678406,1.0503512620925903
G_pos_8,8,G,0.002927489811554551,0.02151297964155674,1.0937833786010742
G_pos_18,18,G,0.004447687417268753,0.021498365327715874,1.048129916191101
T_pos_16,16,T,0.0,0.02091110125184059,1.160344123840332
G_pos_6,6,G,0.0033715416211634874,0.020847968757152557,1.0768659114837646
G_pos_4,4,G,0.0030939567368477583,0.020831378176808357,1.099990963935852
T_pos_17,17,T,0.0,0.020529165863990784,1.140644907951355
CTCF_pos_18,18,CTCF,0.001957925036549568,0.020477117970585823,1.4178318977355957
CTCF_pos_14,14,CTCF,0.001955934800207615,0.02047497220337391,1.4174124002456665
CTCF_pos_15,15,CTCF,0.001959489891305566,0.020473837852478027,1.4171898365020752
CTCF_pos_16,16,CTCF,0.0019605266861617565,0.02047359198331833,1.4171416759490967
CTCF_pos_13,13,CTCF,0.001955934800207615,0.020473552867770195,1.4171289205551147
CTCF_pos_11,11,CTCF,0.001956002786755562,0.02047286182641983,1.4169971942901611
CTCF_pos_17,17,CTCF,0.001959695480763912,0.020472347736358643,1.4168940782546997
CTCF_pos_8,8,CTCF,0.001956740627065301,0.020472194999456406,1.4168636798858643
CTCF_pos_7,7,CTCF,0.001956740627065301,0.020472194999456406,1.4168634414672852
CTCF_pos_6,6,CTCF,0.001956740627065301,0.02047218382358551,1.416861891746521
CTCF_pos_12,12,CTCF,0.0019565559923648834,0.020472079515457153,1.4168388843536377
CTCF_pos_9,9,CTCF,0.0019566314294934273,0.020472029224038124,1.4168299436569214
CTCF_pos_10,10,CTCF,0.0019560258369892836,0.02047179639339447,1.4167827367782593
CTCF_pos_5,5,CTCF,0.0019563212990760803,0.020469941198825836,1.416434645652771
CTCF_pos_4,4,CTCF,0.0019565431866794825,0.020466960966587067,1.4161263704299927
C_pos_15,15,C,0.00437719002366066,0.020409371703863144,1.0595107078552246
T_pos_11,11,T,0.003256357042118907,0.020397217944264412,1.1404502391815186
A_pos_14,14,A,0.0027717514894902706,0.020382110029459,1.061290979385376
C_pos_2,2,C,0.0024396725930273533,0.020291564986109734,1.1827107667922974
C_pos_20,20,C,0.002547147450968623,0.02026299200952053,1.1493085622787476
T_pos_9,9,T,0.0028474044520407915,0.020131854340434074,1.0633567571640015
G_pos_7,7,G,0.003361080540344119,0.01990927942097187,1.1005420684814453
T_pos_18,18,T,0.0,0.019870545715093613,1.0670294761657715
T_pos_12,12,T,0.0027337856590747833,0.019764626398682594,1.101171851158142
C_pos_14,14,C,0.0037796725519001484,0.019749755039811134,1.0567718744277954
C_pos_13,13,C,0.0028927968814969063,0.019674355164170265,1.1320003271102905
C_pos_0,0,C,0.0020323607604950666,0.019556647166609764,1.1832555532455444
T_pos_1,1,T,0.0016082094516605139,0.019556479528546333,1.1491498947143555
T_pos_7,7,T,0.002710577566176653,0.0193107258528471,1.0956181287765503
T_pos_10,10,T,0.0024823041167110205,0.019269419834017754,1.0991473197937012
T_pos_6,6,T,0.002790203783661127,0.0188152976334095,1.0641071796417236
