Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
C_pos_17,17,C,0.01254513394087553,0.0243905670940876,1.332128882408142
G_pos_19,19,G,0.011257288977503777,0.02008698508143425,1.1977932453155518
C_pos_16,16,C,0.011547957547008991,0.01886129006743431,1.1100225448608398
G_pos_20,20,G,0.009965937584638596,0.01738104037940502,1.2011288404464722
G_pos_18,18,G,0.012063739821314812,0.01677849143743515,1.1575603485107422
C_pos_18,18,C,0.009003307670354843,0.016077058389782906,1.1617400646209717
T_pos_19,19,T,0.004235600586980581,0.015950679779052734,1.3226590156555176
A_pos_14,14,A,0.0038405894301831722,0.014849103055894375,1.3027420043945312
A_pos_7,7,A,0.003419738495722413,0.014333038590848446,1.3122941255569458
C_pos_20,20,C,0.003187606343999505,0.014238854870200157,1.2407680749893188
A_pos_10,10,A,0.0040311552584171295,0.014235587790608406,1.2864190340042114
A_pos_16,16,A,0.003984727431088686,0.014211700297892094,1.168980598449707
G_pos_17,17,G,0.00986960344016552,0.014135846868157387,1.1331827640533447
G_pos_16,16,G,0.010228827595710754,0.013738163746893406,1.1209492683410645
A_pos_17,17,A,0.0036745157558470964,0.013673982582986355,1.2902270555496216
A_pos_15,15,A,0.00441371975466609,0.013659246265888214,1.2692362070083618
T_pos_18,18,T,0.004254957661032677,0.013629060238599777,0.9929230809211731
A_pos_8,8,A,0.0028243756387382746,0.013479684479534626,1.181143879890442
A_pos_12,12,A,0.0032372346613556147,0.013479169458150864,1.19442617893219
A_pos_11,11,A,0.00380751583725214,0.013426591642200947,1.2200614213943481
A_pos_13,13,A,0.00337449973449111,0.013299553655087948,1.2525534629821777
A_pos_6,6,A,0.004141693469136953,0.01329298410564661,1.1684727668762207
A_pos_18,18,A,0.003965218085795641,0.01318119466304779,1.2583204507827759
T_pos_16,16,T,0.002634939271956682,0.01286180131137371,1.0926880836486816
T_pos_17,17,T,0.003620036644861102,0.012705864384770393,1.1272107362747192
C_pos_10,10,C,0.0074684955179691315,0.012692573480308056,1.0953103303909302
C_pos_15,15,C,0.007411967497318983,0.012684979476034641,1.076048493385315
A_pos_9,9,A,0.0030745838303118944,0.012644547037780285,1.2674123048782349
T_pos_20,20,T,0.006832447834312916,0.012613535858690739,1.2156503200531006
A_pos_5,5,A,0.0035034145694226027,0.012522120028734207,1.2152239084243774
C_pos_12,12,C,0.009122762829065323,0.012481959536671638,1.0707788467407227
C_pos_7,7,C,0.008948637172579765,0.012439320795238018,1.1713135242462158
C_pos_9,9,C,0.009240301325917244,0.012347390875220299,1.0547733306884766
C_pos_11,11,C,0.007758565247058868,0.012316331267356873,1.0754419565200806
C_pos_8,8,C,0.009698866866528988,0.012166989035904408,1.0787585973739624
C_pos_6,6,C,0.008443896658718586,0.012066798284649849,1.1080167293548584
G_pos_13,13,G,0.009461931884288788,0.012005968950688839,1.1240633726119995
C_pos_14,14,C,0.00654092850163579,0.011981232091784477,1.133633017539978
C_pos_21,21,C,0.0,0.011934219859540462,1.2303993701934814
G_pos_11,11,G,0.009291878901422024,0.011924073100090027,1.1241406202316284
T_pos_10,10,T,0.0029226283077150583,0.011914781294763088,1.1601320505142212
T_pos_14,14,T,0.0030972540844231844,0.011831195093691349,1.0998601913452148
T_pos_15,15,T,0.0022802932653576136,0.01178942434489727,1.1252713203430176
C_pos_13,13,C,0.008041284047067165,0.011755861341953278,1.0682132244110107
T_pos_9,9,T,0.0031313947401940823,0.011745819821953773,1.1668460369110107
G_pos_12,12,G,0.009004848077893257,0.011744565330445766,1.057479739189148
G_pos_10,10,G,0.00849754549562931,0.01170855201780796,1.0510759353637695
G_pos_15,15,G,0.01097662653774023,0.011682658456265926,1.139283299446106
T_pos_7,7,T,0.003101370297372341,0.011629831045866013,1.1849440336227417
T_pos_5,5,T,0.0030755512416362762,0.011495335027575493,1.2492175102233887
T_pos_12,12,T,0.0026514544151723385,0.011491784825921059,1.2085102796554565
A_pos_4,4,A,0.002511902479454875,0.011452601291239262,1.1933925151824951
G_pos_9,9,G,0.007784311659634113,0.011181777343153954,1.0554263591766357
A_pos_19,19,A,0.002448365790769458,0.011165516451001167,1.2743630409240723
G_pos_8,8,G,0.008463479578495026,0.011144605465233326,1.1007963418960571
G_pos_7,7,G,0.0067256055772304535,0.011137471534311771,1.0470035076141357
T_pos_4,4,T,0.001993210054934025,0.011127165518701077,1.2030937671661377
T_pos_6,6,T,0.0030024927109479904,0.011054370552301407,1.1143471002578735
T_pos_8,8,T,0.003063852433115244,0.011029115878045559,1.1014139652252197
C_pos_19,19,C,0.007920300588011742,0.010900083929300308,1.1376676559448242
G_pos_6,6,G,0.009286805056035519,0.010803698562085629,1.121031403541565
T_pos_3,3,T,0.0025507414247840643,0.01080238725990057,1.2150055170059204
T_pos_11,11,T,0.0030383446719497442,0.010794691741466522,1.1775206327438354
T_pos_13,13,T,0.0030000286642462015,0.010793499648571014,1.0593757629394531
G_pos_14,14,G,0.008639032952487469,0.010600864887237549,1.1031532287597656
C_pos_4,4,C,0.006945939268916845,0.010589678771793842,1.109460711479187
C_pos_5,5,C,0.007289842236787081,0.010577091947197914,1.0388590097427368
A_pos_21,21,A,0.0,0.010502105578780174,1.1826157569885254
G_pos_5,5,G,0.006887661758810282,0.010249922052025795,1.234588623046875
A_pos_1,1,A,0.0029913648031651974,0.010168277658522129,1.1948206424713135
A_pos_2,2,A,0.0036572583485394716,0.010138047859072685,1.237935185432434
T_pos_2,2,T,0.0016879139002412558,0.010055778548121452,1.1785438060760498
A_pos_0,0,A,0.0035396008752286434,0.009935618378221989,1.223310112953186
C_pos_3,3,C,0.005097328219562769,0.009627081453800201,1.2126624584197998
A_pos_3,3,A,0.0024167641531676054,0.009525409899652004,1.2309694290161133
G_pos_21,21,G,0.023029176518321037,0.009384983219206333,1.044638752937317
G_pos_3,3,G,0.006346560083329678,0.00881151296198368,1.2079161405563354
T_pos_1,1,T,0.002071503782644868,0.008808015845716,1.1897224187850952
A_pos_20,20,A,0.001964649884030223,0.008640493266284466,1.2986980676651
C_pos_2,2,C,0.00555218243971467,0.008449307642877102,1.1674116849899292
G_pos_4,4,G,0.007124637719243765,0.008316940627992153,1.1206042766571045
G_pos_22,22,G,0.019637031480669975,0.008146361447870731,1.070578932762146
G_pos_2,2,G,0.005496780853718519,0.007644618395715952,1.3038944005966187
C_pos_1,1,C,0.002625533379614353,0.007620708085596561,1.185646891593933
T_pos_21,21,T,0.0,0.007572900038212538,1.2211333513259888
G_pos_1,1,G,0.005890822969377041,0.007251421920955181,1.1469662189483643
T_pos_22,22,T,0.0,0.007247153203934431,0.9991443157196045
T_pos_0,0,T,0.00135071633849293,0.006957711186259985,1.366176724433899
C_pos_0,0,C,0.0027838540263473988,0.006864633876830339,1.1224262714385986
C_pos_22,22,C,0.0,0.0059574260376393795,1.233918309211731
A_pos_22,22,A,0.0,0.005743697751313448,1.2390539646148682
G_pos_0,0,G,0.0031398374121636152,0.005417637526988983,1.1898882389068604
CTCF_pos_4,4,CTCF,0.0008201667806133628,0.0041362992487847805,1.3813776969909668
CTCF_pos_5,5,CTCF,0.0008252831175923347,0.004120587836951017,1.376432180404663
CTCF_pos_14,14,CTCF,0.000834068632684648,0.00411985581740737,1.3811134099960327
CTCF_pos_10,10,CTCF,0.0008394048199988902,0.004114837851375341,1.3545112609863281
CTCF_pos_13,13,CTCF,0.0008436370990239084,0.004114197567105293,1.370254635810852
CTCF_pos_8,8,CTCF,0.000839377986267209,0.004113403148949146,1.3626912832260132
CTCF_pos_6,6,CTCF,0.0008299400215037167,0.004110130947083235,1.3600274324417114
CTCF_pos_11,11,CTCF,0.0008332010474987328,0.0041099959053099155,1.3586275577545166
CTCF_pos_15,15,CTCF,0.0008303580107167363,0.004109569825232029,1.3763153553009033
CTCF_pos_16,16,CTCF,0.0008347638067789376,0.004108925350010395,1.377727746963501
CTCF_pos_7,7,CTCF,0.0008289159159176052,0.004106953740119934,1.3602937459945679
CTCF_pos_17,17,CTCF,0.0008420023950748146,0.004102271981537342,1.37418532371521
CTCF_pos_9,9,CTCF,0.000830595032311976,0.0041015478782355785,1.3524904251098633
CTCF_pos_18,18,CTCF,0.0008309956174343824,0.004100433085113764,1.3746100664138794
CTCF_pos_12,12,CTCF,0.0008330147829838097,0.004088628571480513,1.3555296659469604
CTCF_pos_3,3,CTCF,0.0006785794976167381,0.003905755700543523,1.4372973442077637
CTCF_pos_19,19,CTCF,0.0006313242483884096,0.003834279254078865,1.4205479621887207
CTCF_pos_20,20,CTCF,0.0011011998867616057,0.0037097688764333725,1.4817918539047241
CTCF_pos_2,2,CTCF,0.000876554986461997,0.003639646340161562,1.4229143857955933
H3K4me3_pos_2,2,H3K4me3,0.0006901738815940917,0.003200625069439411,1.6315031051635742
H3K4me3_pos_10,10,H3K4me3,0.000765927426982671,0.002944567473605275,1.6091930866241455
H3K4me3_pos_9,9,H3K4me3,0.0007552248425781727,0.002942402847111225,1.5919673442840576
