Feature,MLP_IG,IG_SNR
pos18_C,0.02177066,0.68993455
pos18_A,0.013536533,0.7738354
pos15_H3K4me3,0.013192963,2.7822905
pos17_H3K4me3,0.012218794,2.4440746
pos10_H3K4me3,0.01218979,2.7139692
pos20_G,0.011349972,0.63639873
pos16_G,0.009923909,0.6123072
pos3_Dnase,0.0097964415,2.2652318
pos1_Dnase,0.009162401,2.4315045
pos7_H3K4me3,0.0086393915,2.1533284
pos12_Dnase,0.008314777,1.9417887
pos18_H3K4me3,0.007604853,2.009579
pos23_H3K4me3,0.0075967414,1.8128574
pos1_G,0.007299891,0.5162846
pos20_H3K4me3,0.00691729,1.7981702
pos2_Dnase,0.0068256883,1.92769
pos16_C,0.006748929,0.541256
pos14_G,0.006617637,0.5867295
pos20_C,0.006572975,0.72074723
pos6_Dnase,0.0064432984,1.4803534
pos14_H3K4me3,0.0064011435,1.4893156
pos2_H3K4me3,0.0063279406,1.387718
pos14_T,0.0062657082,0.5252538
pos21_G,0.006191191,0.45760456
pos4_H3K4me3,0.00616855,1.5233935
pos17_Dnase,0.0060032574,1.0203838
pos8_Dnase,0.005983816,1.5333886
pos21_H3K4me3,0.0059626703,1.500088
pos16_T,0.0058964454,0.53757316
pos14_Dnase,0.0057981075,1.1678565
pos13_C,0.0055762003,0.6105656
pos8_C,0.0055571524,0.5709752
pos11_A,0.0055130366,0.5483102
pos19_Dnase,0.005396655,1.1449673
pos15_Dnase,0.005270962,1.1727775
pos6_H3K4me3,0.0052201054,1.2251041
pos12_A,0.00515669,0.5396078
pos23_G,0.0050316355,1.1714319
pos1_C,0.004908032,0.5665256
pos16_H3K4me3,0.004815845,1.067438
pos20_Dnase,0.004797047,0.99528
pos1_H3K4me3,0.004779531,1.0450503
pos13_H3K4me3,0.0046991124,0.95529425
pos17_C,0.0045811734,0.6085107
pos18_Dnase,0.0044931215,1.3246797
pos10_C,0.0044321804,0.6156151
pos3_H3K4me3,0.0044257073,1.2188145
pos21_Dnase,0.004395506,0.86396986
pos5_Dnase,0.0041908873,0.9345075
pos10_A,0.004149777,0.49025473
pos2_A,0.0040694745,0.5319419
pos13_T,0.0040632347,0.51764053
pos19_A,0.004014011,0.5878048
pos2_G,0.00395409,0.55983037
pos19_G,0.0039213696,0.63795096
pos9_Dnase,0.0038881507,1.0115926
pos22_H3K4me3,0.0037677865,0.9135617
pos19_H3K4me3,0.0037508453,0.80114156
pos4_Dnase,0.0037389146,0.91345274
pos12_H3K4me3,0.0037387104,0.97795075
pos13_Dnase,0.003710165,0.82393825
pos15_A,0.003699041,0.5426506
pos6_C,0.0036087574,0.49140337
pos10_G,0.0035846103,0.5557057
pos22_Dnase,0.0035492491,1.0570132
pos11_Dnase,0.0035407008,0.86716354
pos23_Dnase,0.0034880983,1.0040985
pos2_T,0.0033884624,0.4180353
