Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
C_pos_21,21,C,0.0,0.018810201436281204,1.1579574346542358
C_pos_22,22,C,0.0,0.018027707934379578,1.1189435720443726
G_pos_19,19,G,0.0022781090810894966,0.015787504613399506,1.163033127784729
G_pos_0,0,G,0.002464071149006486,0.014851185493171215,1.1863325834274292
C_pos_17,17,C,0.0010104971006512642,0.013970902189612389,0.9368143677711487
G_pos_2,2,G,0.0017395168542861938,0.012923100031912327,1.1205273866653442
C_pos_18,18,C,0.0009279801743105054,0.012680676765739918,0.929019570350647
G_pos_20,20,G,0.0010628756135702133,0.012440311722457409,1.1571085453033447
G_pos_21,21,G,0.004300439264625311,0.01136875431984663,0.9219430685043335
T_pos_1,1,T,0.0004802258627023548,0.011329134926199913,0.9533124566078186
T_pos_19,19,T,0.0001711630029603839,0.011254515498876572,0.9305806756019592
A_pos_1,1,A,0.001112164813093841,0.011096448637545109,0.8991525769233704
A_pos_17,17,A,0.001217010896652937,0.010905157774686813,0.9458922147750854
T_pos_20,20,T,0.001068783923983574,0.010849304497241974,0.8999354839324951
G_pos_4,4,G,0.0016203596023842692,0.010696434415876865,0.9683659076690674
T_pos_18,18,T,0.00016398102161474526,0.010648992843925953,0.8832640647888184
G_pos_18,18,G,0.0017373696900904179,0.010640639811754227,0.9340380430221558
G_pos_5,5,G,0.0013385000638663769,0.010635141283273697,0.9216952919960022
G_pos_3,3,G,0.0017759915208444,0.010603837668895721,1.0174814462661743
G_pos_7,7,G,0.0017862983513623476,0.010590317659080029,0.9672881960868835
C_pos_14,14,C,0.0007345268386416137,0.010542334988713264,0.8721545338630676
G_pos_6,6,G,0.0016076411120593548,0.01053137518465519,0.9736669659614563
T_pos_21,21,T,0.0,0.010514811612665653,1.0622484683990479
C_pos_12,12,C,0.0008187703206203878,0.010488055646419525,0.924489438533783
C_pos_0,0,C,0.0013486729003489017,0.010459908284246922,1.126326560974121
G_pos_16,16,G,0.001995246624574065,0.010434230789542198,0.9182277321815491
G_pos_12,12,G,0.001816504169255495,0.01041829027235508,0.9387005567550659
G_pos_11,11,G,0.0013205354334786534,0.010413888841867447,0.9617210626602173
G_pos_8,8,G,0.0014214920811355114,0.010362906381487846,0.9012013077735901
H3K4me3_pos_2,2,H3K4me3,0.0003038436407223344,0.010349411517381668,1.4431064128875732
C_pos_13,13,C,0.0007939938805066049,0.01032847911119461,0.9009336829185486
H3K4me3_pos_20,20,H3K4me3,0.0005118471453897655,0.01031643245369196,1.4441636800765991
A_pos_11,11,A,0.0009675603359937668,0.010315650142729282,0.8646482229232788
C_pos_15,15,C,0.0006448367494158447,0.010276960209012032,0.9109201431274414
A_pos_10,10,A,0.0009304044069722295,0.010265500284731388,0.896378755569458
A_pos_13,13,A,0.0009268013527616858,0.010262424126267433,0.8865811824798584
G_pos_10,10,G,0.001550289336591959,0.010202601552009583,0.9531251192092896
A_pos_9,9,A,0.0008512398926541209,0.010151431895792484,0.9042761921882629
G_pos_15,15,G,0.0015741236275061965,0.010108704678714275,0.9685885310173035
A_pos_7,7,A,0.0008520981064066291,0.010088933631777763,0.8757320642471313
H3K4me3_pos_18,18,H3K4me3,0.000248585274675861,0.0100840013474226,1.4252914190292358
H3K4me3_pos_17,17,H3K4me3,0.0002527294564060867,0.010077007114887238,1.4255000352859497
H3K4me3_pos_16,16,H3K4me3,0.00024966278579086065,0.010071893222630024,1.4241341352462769
A_pos_14,14,A,0.0009101359755732119,0.01007065549492836,0.8791552186012268
H3K4me3_pos_19,19,H3K4me3,0.00037839592550881207,0.010069725103676319,1.4292839765548706
H3K4me3_pos_4,4,H3K4me3,0.0002491583290975541,0.010068659670650959,1.4234238862991333
H3K4me3_pos_3,3,H3K4me3,0.00024750016746111214,0.010067285969853401,1.4236366748809814
H3K4me3_pos_8,8,H3K4me3,0.0002526606258470565,0.010066869668662548,1.4215400218963623
H3K4me3_pos_7,7,H3K4me3,0.0002499930269550532,0.010060940869152546,1.4218342304229736
H3K4me3_pos_15,15,H3K4me3,0.00024971499806270003,0.01005973108112812,1.4219787120819092
C_pos_10,10,C,0.0008539962000213563,0.010057920590043068,0.9012405276298523
H3K4me3_pos_13,13,H3K4me3,0.00024873361689969897,0.010057665407657623,1.4216339588165283
H3K4me3_pos_9,9,H3K4me3,0.0002495436347089708,0.010056697763502598,1.4205574989318848
H3K4me3_pos_14,14,H3K4me3,0.00025107519468292594,0.010054569691419601,1.4226770401000977
H3K4me3_pos_12,12,H3K4me3,0.0002477147208992392,0.010053995996713638,1.4217023849487305
H3K4me3_pos_5,5,H3K4me3,0.0002511765342205763,0.01004853192716837,1.4216842651367188
H3K4me3_pos_6,6,H3K4me3,0.0002576503611635417,0.010047185234725475,1.4206805229187012
H3K4me3_pos_11,11,H3K4me3,0.00024746477720327675,0.010045405477285385,1.4174948930740356
G_pos_13,13,G,0.0015151691623032093,0.010043698363006115,0.96713787317276
H3K4me3_pos_10,10,H3K4me3,0.00024820174439810216,0.010043124668300152,1.4176863431930542
C_pos_7,7,C,0.0007630301988683641,0.010034873150289059,0.8885750770568848
A_pos_4,4,A,0.000840193941257894,0.010032029822468758,0.8921184539794922
C_pos_16,16,C,0.0008998291450552642,0.01001597847789526,0.8625071048736572
A_pos_6,6,A,0.0007975175976753235,0.010010470636188984,0.9029095768928528
C_pos_6,6,C,0.0008643231703899801,0.010007627308368683,0.9159940481185913
T_pos_4,4,T,0.0005940469563938677,0.010000345297157764,0.8615493774414062
A_pos_16,16,A,0.0010623809648677707,0.009979587979614735,0.8649337291717529
C_pos_19,19,C,0.0014077406376600266,0.009978320449590683,0.9054597020149231
A_pos_3,3,A,0.0007440936751663685,0.009973844513297081,0.9236140251159668
A_pos_12,12,A,0.0007366635836660862,0.009943865239620209,0.8786308169364929
C_pos_4,4,C,0.0007703735027462244,0.009921897202730179,0.888270378112793
C_pos_9,9,C,0.0007653824286535382,0.009906378574669361,0.8519316911697388
G_pos_9,9,G,0.0016184187261387706,0.009883753024041653,0.947176456451416
A_pos_5,5,A,0.0009391217026859522,0.009876132011413574,0.8703261017799377
C_pos_8,8,C,0.0007734576356597245,0.0098447035998106,0.886967658996582
G_pos_17,17,G,0.0011258755112066865,0.009835079312324524,0.9022987484931946
C_pos_11,11,C,0.0007517311605624855,0.009832879528403282,0.9037114381790161
C_pos_5,5,C,0.0007102559902705252,0.009758568368852139,0.9186099171638489
T_pos_12,12,T,0.0005803493550047278,0.0097581772133708,0.8875652551651001
A_pos_8,8,A,0.0007817921577952802,0.009732426144182682,0.8726226687431335
A_pos_15,15,A,0.0008065833826549351,0.009722075425088406,0.8467127680778503
T_pos_3,3,T,0.0006214393652044237,0.00969541072845459,0.9086000919342041
T_pos_10,10,T,0.000555943523067981,0.009692495688796043,0.9146369099617004
T_pos_7,7,T,0.0005565138999372721,0.009664681740105152,0.9070190191268921
T_pos_5,5,T,0.0006533831474371254,0.009613626636564732,0.9019268155097961
T_pos_13,13,T,0.0005838359356857836,0.00961160846054554,0.8987617492675781
T_pos_9,9,T,0.000537369167432189,0.009534922428429127,0.9350681900978088
G_pos_14,14,G,0.0013939570635557175,0.009531230665743351,0.8988692164421082
T_pos_11,11,T,0.0006287136930041015,0.009484164416790009,0.9165902137756348
A_pos_19,19,A,0.0009634769521653652,0.009417086839675903,0.9599047899246216
T_pos_15,15,T,0.0007054907619021833,0.009405108168721199,0.8788672685623169
T_pos_2,2,T,0.0006702707032673061,0.009383675642311573,0.8578471541404724
T_pos_6,6,T,0.0005434968625195324,0.009367424063384533,0.8797615766525269
T_pos_8,8,T,0.0007230261107906699,0.009315703995525837,0.9194523692131042
A_pos_18,18,A,0.0008907284936867654,0.009217162616550922,0.899363100528717
A_pos_20,20,A,0.0014405341353267431,0.00918766763061285,1.1204808950424194
T_pos_16,16,T,0.00011892811744473875,0.009156867861747742,0.8895033597946167
T_pos_17,17,T,0.0001674512604949996,0.009155969135463238,0.8589673042297363
T_pos_22,22,T,0.0,0.009090746752917767,0.8090843558311462
C_pos_20,20,C,0.0008113689254969358,0.009012357331812382,0.9271959066390991
T_pos_14,14,T,0.0006504229386337101,0.008978568017482758,0.8727855086326599
A_pos_2,2,A,0.0008245929493568838,0.008973724208772182,0.9105010628700256
G_pos_1,1,G,0.0017474734922870994,0.008962097577750683,0.9865363836288452
C_pos_3,3,C,0.0006645798566751182,0.008564876392483711,0.8881633281707764
G_pos_22,22,G,0.0017288138624280691,0.008564595133066177,0.8625016808509827
C_pos_2,2,C,0.0006270877784118056,0.008160845376551151,0.934479832649231
C_pos_1,1,C,0.0005258701858110726,0.008145629428327084,0.8965128064155579
A_pos_22,22,A,0.0,0.007856650277972221,0.9730331897735596
T_pos_0,0,T,0.0006108329980634153,0.007634742651134729,0.950721025466919
A_pos_21,21,A,0.0,0.007554065901786089,0.8018423318862915
A_pos_0,0,A,0.0004997643991373479,0.006614131852984428,0.8434097170829773
H3K4me3_pos_22,22,H3K4me3,0.00048074364895001054,0.006403943058103323,1.3839837312698364
H3K4me3_pos_1,1,H3K4me3,0.000407772051403299,0.005759081803262234,1.3112149238586426
H3K4me3_pos_21,21,H3K4me3,0.0003862053854390979,0.005653898697346449,1.3410016298294067
H3K4me3_pos_0,0,H3K4me3,0.0010081682121381164,0.003908109851181507,1.0586144924163818
