Feature,MLP_IG,IG_SNR
pos18_C,0.016011808,0.6050611
pos18_A,0.0120833805,0.6593507
pos3_H3K4me3,0.008375762,1.8054259
pos10_Dnase,0.008113277,1.643507
pos20_G,0.007317281,0.54940885
pos10_H3K4me3,0.0066404142,1.8659666
pos6_Dnase,0.0065803095,1.5498638
pos16_G,0.0062301313,0.5524411
pos16_H3K4me3,0.005890152,1.2584412
pos16_Dnase,0.005620605,1.3588729
pos20_C,0.0056104427,0.587797
pos5_H3K4me3,0.0055858437,1.1540135
pos21_H3K4me3,0.005527987,1.1726873
pos14_Dnase,0.0054354197,0.7883974
pos15_H3K4me3,0.0053542005,1.2648953
pos14_G,0.0051976126,0.53064036
pos1_G,0.0051658493,0.51743984
pos21_Dnase,0.0051483237,0.99997133
pos19_G,0.0050288527,0.6288358
pos23_G,0.0048705875,0.99200433
pos20_Dnase,0.004713777,1.1175064
pos19_A,0.0047041513,0.567541
pos14_T,0.0046557053,0.4757724
pos8_H3K4me3,0.004626656,1.1377348
pos17_H3K4me3,0.0046022558,1.0078241
pos18_Dnase,0.0045176935,0.89904594
pos13_Dnase,0.0043807407,0.7778486
pos7_Dnase,0.0043737884,0.9728634
pos4_H3K4me3,0.004345475,1.1242126
pos1_C,0.0043135756,0.5450723
pos21_A,0.004274344,0.61138797
pos18_H3K4me3,0.004232038,0.9987147
pos1_H3K4me3,0.0042057536,0.95422345
pos1_Dnase,0.004151629,0.80039936
pos21_T,0.0040514907,0.51955706
pos2_H3K4me3,0.003879998,1.0963205
pos15_G,0.0037644405,0.5043039
pos22_Dnase,0.0037565075,0.8176992
pos5_Dnase,0.0037428206,0.78383
pos14_H3K4me3,0.0037103968,0.9963224
pos11_A,0.003603535,0.5009122
pos8_Dnase,0.0035913219,0.79556155
pos17_C,0.0035362344,0.48238203
pos23_Dnase,0.0035142982,0.7961622
pos15_Dnase,0.0034332376,0.92106587
pos9_Dnase,0.0034291525,0.9042425
pos22_H3K4me3,0.0033956412,0.77693516
pos22_G,0.0033479694,0.9499945
pos7_H3K4me3,0.0033174574,0.7847763
pos12_Dnase,0.0033157673,1.0036362
pos2_Dnase,0.0032265817,1.0292375
pos6_H3K4me3,0.003224645,0.77817893
pos19_Dnase,0.0031970318,0.95946395
pos20_H3K4me3,0.0031932755,0.8009996
pos17_A,0.0031655175,0.44503638
pos23_H3K4me3,0.0031501781,0.94908506
pos11_Dnase,0.0031023554,0.8212483
pos11_H3K4me3,0.0030880354,0.80679977
pos16_C,0.0030640566,0.46774834
pos9_H3K4me3,0.002888211,0.7666394
pos4_Dnase,0.0028840776,0.9360174
pos19_H3K4me3,0.0028544546,0.8489829
pos6_G,0.002789049,0.43327233
pos13_H3K4me3,0.00275167,0.7910641
pos16_T,0.0027268566,0.42186373
pos9_A,0.0027252426,0.45396996
pos15_A,0.002624663,0.4762185
pos5_G,0.0025564847,0.47401655
pos12_H3K4me3,0.0025524977,0.7688721
pos3_C,0.0025431537,0.43565097
pos21_G,0.002542013,0.40147144
pos11_T,0.0025339944,0.43927622
pos17_Dnase,0.002532183,0.77055806
pos6_A,0.002466675,0.502438
pos3_Dnase,0.0024540396,0.80385983
pos10_A,0.0024498738,0.44682062
pos8_C,0.0024072374,0.51082236
pos8_A,0.0023242806,0.49074113
pos12_A,0.0023229083,0.49253234
pos7_T,0.0023093577,0.43057925
pos6_T,0.0023088679,0.46376845
pos9_C,0.0023025477,0.4376235
pos7_G,0.002295808,0.47169682
pos18_G,0.0022883199,0.45060143
pos12_T,0.0022612258,0.5009478
pos8_G,0.002126709,0.46422714
pos15_T,0.0020457876,0.42098027
pos2_A,0.002008824,0.4168635
pos11_C,0.002006221,0.43690547
pos12_G,0.0019885278,0.4053735
pos17_G,0.0019119581,0.43873838
pos15_C,0.0018510078,0.39949822
pos5_C,0.0018179301,0.46264368
pos20_A,0.0018016222,0.44662803
pos4_G,0.0017433281,0.4194333
pos3_T,0.0017302816,0.4134777
pos2_C,0.0016710357,0.42262906
pos19_C,0.0016344972,0.4333334
pos16_A,0.0016322583,0.37905863
pos7_A,0.0015979928,0.40838537
pos4_A,0.0015847705,0.40694556
pos3_G,0.0015678615,0.4067572
pos14_C,0.0015653312,0.46473804
pos13_G,0.001552785,0.487312
pos10_G,0.001514006,0.40606323
pos10_T,0.0014950099,0.40189716
pos13_T,0.0014733275,0.40906972
pos4_C,0.0014469097,0.4486499
pos2_G,0.0014311455,0.455754
pos1_A,0.001426598,0.37030372
pos4_T,0.0013974312,0.35829732
pos14_A,0.001390353,0.39202762
pos12_C,0.001370226,0.41139776
pos7_C,0.0013677444,0.4208019
pos9_T,0.0013444611,0.42039725
pos3_A,0.0012813451,0.38806695
pos6_C,0.0012812624,0.3900936
pos9_G,0.0012660444,0.3478405
pos2_T,0.0012625154,0.36488956
pos13_C,0.0012555062,0.4167711
pos5_A,0.0011945954,0.39578974
pos18_T,0.0011540595,0.23442374
pos10_C,0.0011537952,0.37796146
pos11_G,0.0011288658,0.3828043
pos13_A,0.0011162692,0.375555
pos1_T,0.0010826625,0.36268067
pos17_T,0.0010087753,0.20462309
pos8_T,0.00092938205,0.33698383
pos19_T,0.0009214359,0.18586828
pos21_C,0.0009099961,0.2945131
pos5_T,0.0008968838,0.36691424
pos20_T,0.00084565085,0.18387356
pos3_CTCF,0.0,0.0
pos3_RRBS,0.0,0.0
pos1_RRBS,0.0,0.0
pos1_CTCF,0.0,0.0
pos7_RRBS,0.0,0.0
pos7_CTCF,0.0,0.0
pos6_CTCF,0.0,0.0
pos6_RRBS,0.0,0.0
pos4_RRBS,0.0,0.0
pos4_CTCF,0.0,0.0
pos5_CTCF,0.0,0.0
pos5_RRBS,0.0,0.0
pos2_RRBS,0.0,0.0
pos2_CTCF,0.0,0.0
pos8_CTCF,0.0,0.0
pos8_RRBS,0.0,0.0
pos10_RRBS,0.0,0.0
pos10_CTCF,0.0,0.0
pos11_CTCF,0.0,0.0
pos11_RRBS,0.0,0.0
pos15_RRBS,0.0,0.0
pos15_CTCF,0.0,0.0
pos14_CTCF,0.0,0.0
pos14_RRBS,0.0,0.0
pos12_RRBS,0.0,0.0
pos12_CTCF,0.0,0.0
pos13_CTCF,0.0,0.0
pos13_RRBS,0.0,0.0
pos9_RRBS,0.0,0.0
pos9_CTCF,0.0,0.0
pos18_CTCF,0.0,0.0
pos18_RRBS,0.0,0.0
pos16_RRBS,0.0,0.0
pos16_CTCF,0.0,0.0
pos17_CTCF,0.0,0.0
pos17_RRBS,0.0,0.0
pos19_RRBS,0.0,0.0
pos19_CTCF,0.0,0.0
pos20_CTCF,0.0,0.0
pos20_RRBS,0.0,0.0
pos21_RRBS,0.0,0.0
pos21_CTCF,0.0,0.0
pos22_T,0.0,0.0
pos22_A,0.0,0.0
pos22_RRBS,0.0,0.0
pos22_CTCF,0.0,0.0
pos22_C,0.0,0.0
pos23_A,0.0,0.0
pos23_T,0.0,0.0
pos23_C,0.0,0.0
pos23_CTCF,0.0,0.0
pos23_RRBS,0.0,0.0
