Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
C_pos_17,17,C,0.007625314872711897,0.040746573358774185,1.2717475891113281
A_pos_17,17,A,0.012188824824988842,0.024264829233288765,1.0350751876831055
G_pos_19,19,G,0.0045938859693706036,0.01786878891289234,1.0872142314910889
T_pos_18,18,T,0.0017566484166309237,0.017820389941334724,0.8899744749069214
G_pos_0,0,G,0.0068610962480306625,0.017587967216968536,1.0646631717681885
C_pos_18,18,C,0.0031698569655418396,0.01661016047000885,0.9043697118759155
G_pos_18,18,G,0.0037320416886359453,0.014694313518702984,0.9734909534454346
G_pos_15,15,G,0.0028999231290072203,0.014123626053333282,0.8633396029472351
A_pos_18,18,A,0.0064940061420202255,0.013841412961483002,0.8644116520881653
G_pos_17,17,G,0.0026770965196192265,0.013696359470486641,0.891817033290863
T_pos_19,19,T,0.0014334634179249406,0.012840851210057735,0.8937027454376221
T_pos_15,15,T,0.004937369842082262,0.012251452542841434,0.8645385503768921
C_pos_19,19,C,0.0037563738878816366,0.012205328792333603,0.8855613470077515
C_pos_20,20,C,0.0012757604708895087,0.012185412459075451,0.910466194152832
G_pos_21,21,G,0.010975918732583523,0.012183762155473232,1.0258811712265015
T_pos_14,14,T,0.004953460302203894,0.012088543735444546,0.8541876673698425
T_pos_17,17,T,0.0018154710996896029,0.012005388736724854,0.8029349446296692
C_pos_16,16,C,0.00265502673573792,0.011988467536866665,0.8197132349014282
G_pos_20,20,G,0.0014551350614055991,0.011923517100512981,0.9640370011329651
G_pos_14,14,G,0.0023414462339133024,0.011804633773863316,0.8418731689453125
T_pos_13,13,T,0.004381708335131407,0.01178117748349905,0.8952853679656982
T_pos_16,16,T,0.0010585491545498371,0.01153998076915741,0.8793871402740479
G_pos_16,16,G,0.0034268407616764307,0.011519894003868103,0.8951858878135681
A_pos_16,16,A,0.005820361897349358,0.011290336027741432,0.8905205130577087
C_pos_15,15,C,0.002089036162942648,0.011278342455625534,0.8497403264045715
A_pos_19,19,A,0.003814579453319311,0.010915817692875862,0.9149878621101379
A_pos_15,15,A,0.00487347599118948,0.010766332037746906,0.8793926239013672
A_pos_22,22,A,0.0,0.010690703988075256,1.0169388055801392
T_pos_10,10,T,0.00434602377936244,0.010395636782050133,0.8437299132347107
C_pos_21,21,C,0.0,0.010371471755206585,0.9479395747184753
A_pos_14,14,A,0.0044961897656321526,0.010304602794349194,0.8620466589927673
T_pos_20,20,T,0.008868384175002575,0.010160715319216251,0.9157708883285522
A_pos_21,21,A,0.0,0.010152828879654408,0.8642695546150208
A_pos_9,9,A,0.004025285132229328,0.010149023495614529,0.8503420352935791
C_pos_5,5,C,0.002155935624614358,0.01012477558106184,0.8598609566688538
G_pos_13,13,G,0.0024596683215349913,0.010101618245244026,0.8629590272903442
A_pos_10,10,A,0.004164813086390495,0.010044705122709274,0.8529541492462158
A_pos_12,12,A,0.0036360532976686954,0.009715738706290722,0.8687965273857117
T_pos_12,12,T,0.004516813904047012,0.009695983491837978,0.8585585355758667
A_pos_11,11,A,0.004556965548545122,0.00969056785106659,0.8526452779769897
A_pos_20,20,A,0.004859003238379955,0.009645020589232445,0.9342864155769348
C_pos_0,0,C,0.0032700744923204184,0.009626565501093864,0.9681254625320435
C_pos_14,14,C,0.0023886787239462137,0.009562158957123756,0.8709920644760132
A_pos_8,8,A,0.0041651735082268715,0.009538152255117893,0.893597424030304
A_pos_13,13,A,0.004326273687183857,0.009523537941277027,0.8831215500831604
C_pos_7,7,C,0.002269669668748975,0.009455462917685509,0.838590145111084
C_pos_12,12,C,0.0024724926333874464,0.009451222606003284,0.8351754546165466
A_pos_7,7,A,0.0039655547589063644,0.00944193173199892,0.8681818246841431
C_pos_4,4,C,0.0020567933097481728,0.009382113814353943,0.8706632256507874
G_pos_5,5,G,0.002234246116131544,0.00936027429997921,0.9013063311576843
C_pos_13,13,C,0.002284551737830043,0.009359666146337986,0.8630803227424622
C_pos_8,8,C,0.0023937621153891087,0.009347521699965,0.8502488136291504
T_pos_8,8,T,0.0051843756809830666,0.009308639913797379,0.8571236729621887
T_pos_5,5,T,0.005599598865956068,0.009291552007198334,0.842784583568573
T_pos_6,6,T,0.004472541157156229,0.009270853362977505,0.8568850755691528
C_pos_9,9,C,0.0023669512011110783,0.009259244427084923,0.8215860724449158
C_pos_6,6,C,0.002438124967738986,0.00925520621240139,0.8667774200439453
A_pos_6,6,A,0.0038708033971488476,0.009226316586136818,0.8840237259864807
C_pos_11,11,C,0.002365287858992815,0.009194651618599892,0.8607876896858215
T_pos_7,7,T,0.004202158655971289,0.009101524949073792,0.8581505417823792
T_pos_22,22,T,0.0,0.009090988896787167,0.9477514624595642
T_pos_9,9,T,0.004643056076020002,0.009068774059414864,0.8626433610916138
T_pos_11,11,T,0.005236370023339987,0.008995884098112583,0.8677701354026794
T_pos_4,4,T,0.004333727527409792,0.008963866159319878,0.8467496633529663
G_pos_22,22,G,0.009515377692878246,0.00886108260601759,0.9209052324295044
C_pos_10,10,C,0.002207150449976325,0.0088389553129673,0.8303139209747314
T_pos_2,2,T,0.002047705464065075,0.00878879614174366,0.8901646733283997
C_pos_2,2,C,0.002361492719501257,0.00868247915059328,0.8517490029335022
A_pos_5,5,A,0.005678226239979267,0.008625502698123455,0.8673027157783508
G_pos_12,12,G,0.0025083639193326235,0.008614921942353249,0.8657479882240295
G_pos_4,4,G,0.0022624328266829252,0.008604234084486961,0.8373479247093201
G_pos_3,3,G,0.0021827558521181345,0.008549709804356098,0.8759940266609192
T_pos_3,3,T,0.005190153606235981,0.008535239845514297,0.8233082294464111
G_pos_6,6,G,0.0024833176285028458,0.008473741821944714,0.8440545797348022
G_pos_10,10,G,0.002290351316332817,0.008463826961815357,0.8424162864685059
G_pos_8,8,G,0.0020013884641230106,0.0084602739661932,0.8618293404579163
G_pos_7,7,G,0.0024936634581536055,0.008457725867629051,0.8765532970428467
G_pos_11,11,G,0.0021176356822252274,0.008417351171374321,0.9105867147445679
A_pos_4,4,A,0.003967663273215294,0.008362306281924248,0.8114219903945923
A_pos_2,2,A,0.004598894622176886,0.008328371681272984,0.8396090865135193
A_pos_3,3,A,0.003450396005064249,0.008272789418697357,0.8297597169876099
C_pos_1,1,C,0.0015819740947335958,0.008250913582742214,0.8379807472229004
G_pos_2,2,G,0.00201956438831985,0.008215303532779217,0.8675430417060852
T_pos_21,21,T,0.0,0.008125550113618374,0.8698679208755493
G_pos_1,1,G,0.0041971937753260136,0.008057555183768272,0.8696816563606262
C_pos_3,3,C,0.0027389340102672577,0.007985955104231834,0.8480813503265381
T_pos_1,1,T,0.0023262344766408205,0.007978521287441254,0.8660541772842407
A_pos_1,1,A,0.0017642515012994409,0.007975268177688122,0.8673228621482849
G_pos_9,9,G,0.0023142772261053324,0.00791898462921381,0.8411639928817749
C_pos_22,22,C,0.0,0.007748943753540516,0.9407051801681519
A_pos_0,0,A,0.0015346058644354343,0.006539287976920605,0.8587976098060608
T_pos_0,0,T,0.0010938984341919422,0.006214487366378307,0.869768500328064
CTCF_pos_0,0,CTCF,0.0011144434101879597,0.0030091751832515,1.0192300081253052
CTCF_pos_1,1,CTCF,0.0017542911227792501,0.0019809678196907043,1.1752650737762451
CTCF_pos_20,20,CTCF,0.003501784522086382,0.0017131379572674632,1.106689214706421
CTCF_pos_22,22,CTCF,0.003154848935082555,0.001703789341263473,0.923778235912323
CTCF_pos_4,4,CTCF,0.002950382651761174,0.0017018611542880535,1.2092206478118896
CTCF_pos_5,5,CTCF,0.002961399033665657,0.0016984118847176433,1.2173744440078735
CTCF_pos_18,18,CTCF,0.002956689102575183,0.0016945024253800511,1.2248798608779907
CTCF_pos_17,17,CTCF,0.0029503600671887398,0.0016888173995539546,1.2324718236923218
CTCF_pos_6,6,CTCF,0.002955092815682292,0.00168763124383986,1.2303284406661987
CTCF_pos_16,16,CTCF,0.0029551147017627954,0.0016838116571307182,1.2353432178497314
CTCF_pos_7,7,CTCF,0.0029621722642332315,0.0016812245594337583,1.251450777053833
