Feature,MLP_IG,IG_SNR
pos18_C,0.011243316,0.60669744
pos1_G,0.008969747,0.6635672
pos20_G,0.007061745,0.58735174
pos15_H3K4me3,0.0069591436,1.6050261
pos16_C,0.006634487,0.585336
pos14_T,0.0059181303,0.49463186
pos7_H3K4me3,0.0058547985,1.6087466
pos23_G,0.005852863,1.3626144
pos17_Dnase,0.005369144,1.6656593
pos4_H3K4me3,0.005314509,1.4502314
pos15_Dnase,0.0051198127,1.5412208
pos17_H3K4me3,0.005021214,1.2789876
pos16_Dnase,0.0047913026,1.6373942
pos19_C,0.0046882373,0.6122927
pos3_Dnase,0.004683108,1.4877418
pos5_H3K4me3,0.004635179,1.5291711
pos18_Dnase,0.004629846,1.9622065
pos21_H3K4me3,0.004485818,1.3720814
pos18_A,0.0042366725,0.50263286
pos14_G,0.004203536,0.54598904
pos20_Dnase,0.003974306,1.0504458
pos8_G,0.003965689,0.5704267
pos16_G,0.0037111077,0.5732537
pos11_H3K4me3,0.0035471038,1.112135
pos23_H3K4me3,0.0034531548,1.1208904
pos5_Dnase,0.0034524745,0.8735225
pos23_Dnase,0.0034490593,1.3213348
pos10_A,0.0033482362,0.5012543
pos22_G,0.0033085123,0.88065195
pos20_C,0.0033073144,0.5924844
pos14_Dnase,0.0032526483,0.91589725
pos16_H3K4me3,0.003244348,1.0587474
pos1_C,0.0031618865,0.5176271
pos2_G,0.0031583793,0.5520446
pos12_Dnase,0.003007164,0.9304573
pos11_Dnase,0.002982739,0.9898087
pos12_H3K4me3,0.0029446285,1.1477233
pos8_Dnase,0.0029248456,0.9167743
pos12_A,0.002887958,0.5411432
pos18_H3K4me3,0.002801054,1.1691487
pos15_A,0.00277327,0.50844455
pos16_T,0.002763625,0.4568967
pos2_T,0.0027546948,0.49055552
pos17_G,0.0026667488,0.6225953
pos21_G,0.0026525534,0.36547506
pos9_Dnase,0.0025867082,1.0011691
pos3_H3K4me3,0.0025696487,0.89464587
pos21_Dnase,0.0025597536,0.8493163
pos10_Dnase,0.002488705,0.9424715
pos13_H3K4me3,0.002445329,0.71768445
pos22_Dnase,0.0024338064,0.8750724
pos1_Dnase,0.0024080938,0.857619
pos13_Dnase,0.0024019468,0.77326787
pos20_H3K4me3,0.0023665826,1.0795954
pos7_Dnase,0.002345228,0.8756238
pos4_Dnase,0.0023451843,0.88430434
pos8_C,0.002313944,0.5264936
pos14_H3K4me3,0.0022935895,0.90991706
pos1_H3K4me3,0.0022128145,0.8180399
pos2_Dnase,0.0021984973,0.766994
pos6_Dnase,0.0021492755,0.82291543
pos8_H3K4me3,0.0021372186,1.0653211
pos2_H3K4me3,0.002069282,0.7816676
pos3_T,0.0020467492,0.4831596
pos22_H3K4me3,0.0020092314,0.80559623
pos4_G,0.0019681645,0.5866133
pos19_H3K4me3,0.0019467175,0.73521245
pos4_A,0.0019464256,0.48307303
pos11_A,0.0019254065,0.49237105
pos6_H3K4me3,0.0018733188,0.7707273
pos18_G,0.0018715373,0.50089115
pos9_H3K4me3,0.0018511368,0.7614617
pos19_Dnase,0.0018451689,0.7916368
pos21_C,0.0018099914,0.46687844
pos19_T,0.0017156495,0.33161992
pos10_H3K4me3,0.0017007672,0.7612311
pos4_C,0.0016996773,0.47409326
pos19_A,0.0016726691,0.42469063
pos17_T,0.0016641829,0.33908284
pos3_A,0.0016629045,0.49126005
pos11_C,0.0016588947,0.44720837
pos3_C,0.001652654,0.4919978
pos15_C,0.0016292741,0.49637762
pos9_T,0.0016201402,0.42578942
pos15_G,0.0015510339,0.4000308
pos21_A,0.0015224161,0.46758702
