Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.0012442673359609202,0.004224626065294355,-0.29452721181234875,0.7683601001896987,1.0
pos1_C,-0.016125434507038097,0.004124495877952448,-3.9096740508911254,9.2922463029943e-05,0.0006021375604340307
pos1_G,0.027811591447264913,0.004217827185708377,6.5938195717219745,4.4638515106498744e-11,1.205239907875466e-09
pos1_CTCF,-1.8922472500289786e-14,3.162277660168379e-08,-5.983811206281689e-07,0.9999995225707572,1.0
pos1_Dnase,3.704111824158395e-15,3.162277660168379e-08,1.1713430072301636e-07,0.9999999065422713,1.0
pos1_H3K4me3,0.03982806464909617,0.0444066460000382,0.8968942317567039,0.36979311267689097,0.8227503894905087
pos1_RRBS,0.004810702539891167,0.01730287478392255,0.27802909053940367,0.7809947543432887,1.0
pos2_A,0.01617924207418898,0.004589661076610157,3.5251496361336305,0.00042480013854451215,0.002457772230150392
pos2_C,0.010932878492775081,0.0045354866260804315,2.410519398273097,0.015944564956572593,0.06981133845850702
pos2_G,0.014856550469289168,0.0045162303670450215,3.2895909335576783,0.0010061839741171141,0.005433393460232416
pos2_CTCF,-2.480890860970033e-15,3.162277660168379e-08,-7.845265746961432e-08,0.9999999374051225,1.0
pos2_Dnase,1.6825295315822866e-15,3.162277660168379e-08,5.3206255502962326e-08,0.9999999575484229,1.0
pos2_H3K4me3,-0.03225649971133853,0.06121466830715515,-0.5269406925393434,0.5982443858020594,1.0
pos2_RRBS,0.0013445248085667942,0.015833199587995492,0.08491807363978371,0.9323279208518751,1.0
pos3_A,-0.007348473098551333,0.004117845759099369,-1.7845430665568562,0.07436038442995119,0.24092764555304186
pos3_C,-0.018393970051001112,0.004234404983609715,-4.343932647491066,1.410888949160416e-05,0.00014285250610249212
pos3_G,0.0008057841932148866,0.004253108904030043,0.18945769116125008,0.8497372739237774,1.0
pos3_CTCF,-1.880872554725077e-15,3.162277660168379e-08,-5.9478412614309385e-08,0.9999999525440684,1.0
pos3_Dnase,-7.857014503904941e-16,3.162277660168379e-08,-2.484606144131754e-08,0.9999999801761188,1.0
pos3_H3K4me3,-0.004377548747679028,0.058060955106933966,-0.07539574124498405,0.9399010877292342,1.0
pos3_RRBS,-0.006442573790472496,0.017400576556979946,-0.3702505930982021,0.7112022310099677,1.0
pos4_A,0.018442620500019866,0.0043758817424552334,4.214606697682836,2.5202081527675446e-05,0.0002171450448560959
pos4_C,0.0030806925151486138,0.004264622882703256,0.7223833384291711,0.4700727185075566,0.9639465873192934
pos4_G,0.014759988035799483,0.004257176408089327,3.467083959159669,0.0005279560734683386,0.0029492718586852018
pos4_CTCF,-8.524689731708348e-16,3.162277660168379e-08,-2.6957435898448086e-08,0.9999999784915201,1.0
pos4_Dnase,2.693073949083523e-16,3.162277660168379e-08,8.516247586368262e-09,0.9999999932051573,1.0
pos4_H3K4me3,0.031079833565712384,0.056593869351478164,0.5491731511180127,0.582896711191562,1.0
pos4_RRBS,0.0020071505061757225,0.018120565622437995,0.11076643786937565,0.9118033881092729,1.0
pos5_A,0.007186429344626733,0.004355176929688564,1.6500889540532697,0.09895056843367533,0.298998422282613
pos5_C,0.008765590641214176,0.004288209007501696,2.0441146002631516,0.040963720458534025,0.15800292176863126
pos5_G,-0.004366090549260679,0.004287373397855536,-1.0183602276033423,0.3085270547166028,0.7264527629230229
