Feature,MLP_IG,IG_SNR
pos18_C,0.013022668,0.63314486
pos23_G,0.010713578,3.7895184
pos1_Dnase,0.008363656,3.1480002
pos1_G,0.00825609,0.68007785
pos20_G,0.007315687,0.60268503
pos16_C,0.0061630136,0.61247915
pos18_A,0.0060768947,0.5482553
pos3_Dnase,0.005971757,2.342152
pos12_Dnase,0.0059422227,2.2036364
pos14_T,0.0051060207,0.5190769
pos4_G,0.0049075475,0.6614466
pos19_Dnase,0.0047422987,2.1871185
pos19_C,0.0047420436,0.6367206
pos14_G,0.0046311654,0.59006536
pos8_G,0.0046272655,0.5961584
pos6_Dnase,0.0040300107,1.4970295
pos10_A,0.0039129867,0.5175539
pos13_C,0.003887352,0.61460495
pos23_Dnase,0.0038472703,1.603205
pos17_Dnase,0.0036859924,1.3922215
pos5_Dnase,0.003676334,1.2964803
pos21_G,0.0036714077,0.3763609
pos11_A,0.0036016507,0.5577416
pos16_T,0.0034832035,0.48119304
pos19_G,0.0034595306,0.6087577
pos8_C,0.0032577754,0.580744
pos11_Dnase,0.0032403986,1.1830407
pos2_Dnase,0.0032388535,1.2994242
pos15_A,0.0031389599,0.5375368
pos14_Dnase,0.003073892,1.0905553
pos8_Dnase,0.002915102,1.072568
pos14_A,0.002740631,0.55896366
pos17_C,0.0026890652,0.5739647
pos1_C,0.0026497296,0.5474586
pos16_G,0.0026203946,0.61214197
pos12_A,0.0025665353,0.57807523
pos20_A,0.0025380016,0.53323424
pos22_G,0.0025115123,0.95048255
pos2_G,0.0025003043,0.5817289
pos22_Dnase,0.0024640337,1.1810007
pos9_A,0.0024477397,0.5184454
pos15_Dnase,0.0023681489,0.84655267
pos21_Dnase,0.0023481161,0.8647313
pos6_C,0.0022965828,0.57084405
pos4_C,0.0022740196,0.5394323
pos2_T,0.0022650806,0.53666294
pos9_Dnase,0.0021836576,0.8658505
pos20_Dnase,0.0021689057,0.78687537
pos16_Dnase,0.0020966034,0.86809766
pos6_G,0.002042923,0.5206427
pos4_A,0.0020063494,0.50098157
pos10_Dnase,0.0020039692,0.8517231
pos4_Dnase,0.00199577,0.94777983
pos14_C,0.0019850933,0.5366353
pos13_Dnase,0.0019621432,0.8024578
pos9_T,0.001957514,0.5043182
pos18_Dnase,0.0019198627,1.0349636
pos7_Dnase,0.0018274117,0.8064966
pos20_C,0.0017746319,0.5759313
pos5_C,0.0017053131,0.52342385
pos17_G,0.0016932725,0.58917594
pos2_A,0.0015534865,0.5168655
pos15_C,0.0015378925,0.5460388
pos10_C,0.0015147029,0.5836711
pos12_G,0.001503528,0.4791148
pos3_G,0.0014774806,0.5506543
pos19_A,0.00147206,0.4602929
pos7_C,0.0014526473,0.55279577
pos13_G,0.0014391993,0.5591868
pos18_G,0.0014386403,0.49242115
pos3_T,0.0013254475,0.5086609
pos7_G,0.0012644132,0.52742726
pos8_A,0.0012444579,0.4774931
pos21_T,0.001222745,0.5593966
pos12_T,0.0011280108,0.50415695
pos5_T,0.0010905197,0.44019765
pos19_T,0.00097215764,0.37560567
pos5_A,0.0009415061,0.46179882
pos15_T,0.00092885364,0.43012342
pos11_G,0.0009044147,0.5245641
pos4_T,0.00089699397,0.39123145
pos2_C,0.00087627827,0.48693064
pos12_C,0.0008758271,0.4449418
pos21_C,0.000872742,0.41860577
pos21_A,0.0008525641,0.46163106
pos16_A,0.0008088755,0.44024423
pos6_T,0.0007909869,0.4501433
pos9_G,0.00078329234,0.4490212
pos1_T,0.00077097514,0.3773335
pos17_A,0.0007570365,0.40601215
pos11_C,0.0007516351,0.42641887
pos13_A,0.0007513968,0.45008487
pos10_G,0.0007158609,0.45431593
pos7_A,0.00071165164,0.41792682
pos5_G,0.000710953,0.43450466
pos3_A,0.0006826291,0.4001474
pos17_T,0.00066136394,0.37099987
pos15_G,0.00065936404,0.40309435
pos18_T,0.0006157595,0.38744658
pos10_T,0.0006067478,0.3410002
pos11_T,0.000586846,0.3687354
pos20_T,0.0005807195,0.36063078
pos3_C,0.00052245863,0.40409693
pos7_T,0.00051529595,0.34381104
pos1_A,0.00048826024,0.37668267
pos9_C,0.00048163347,0.41347176
pos6_A,0.00045280973,0.3824328
pos8_T,0.0004396121,0.35293645
pos13_T,0.00036650404,0.33510756
pos1_CTCF,0.0,0.0
pos2_CTCF,0.0,0.0
pos2_H3K4me3,0.0,0.0
pos1_RRBS,0.0,0.0
pos1_H3K4me3,0.0,0.0
pos4_CTCF,0.0,0.0
pos4_H3K4me3,0.0,0.0
pos2_RRBS,0.0,0.0
pos3_CTCF,0.0,0.0
pos3_H3K4me3,0.0,0.0
pos3_RRBS,0.0,0.0
pos7_RRBS,0.0,0.0
pos7_H3K4me3,0.0,0.0
pos7_CTCF,0.0,0.0
pos6_RRBS,0.0,0.0
pos6_H3K4me3,0.0,0.0
pos6_CTCF,0.0,0.0
pos5_H3K4me3,0.0,0.0
pos5_RRBS,0.0,0.0
pos4_RRBS,0.0,0.0
pos5_CTCF,0.0,0.0
pos15_CTCF,0.0,0.0
pos14_RRBS,0.0,0.0
pos14_H3K4me3,0.0,0.0
pos14_CTCF,0.0,0.0
pos13_H3K4me3,0.0,0.0
pos13_RRBS,0.0,0.0
pos9_RRBS,0.0,0.0
pos9_H3K4me3,0.0,0.0
pos10_CTCF,0.0,0.0
pos10_H3K4me3,0.0,0.0
pos8_H3K4me3,0.0,0.0
pos8_CTCF,0.0,0.0
pos9_CTCF,0.0,0.0
pos8_RRBS,0.0,0.0
pos12_RRBS,0.0,0.0
pos13_CTCF,0.0,0.0
pos12_CTCF,0.0,0.0
pos12_H3K4me3,0.0,0.0
pos10_RRBS,0.0,0.0
pos11_CTCF,0.0,0.0
pos11_H3K4me3,0.0,0.0
pos11_RRBS,0.0,0.0
pos15_RRBS,0.0,0.0
pos15_H3K4me3,0.0,0.0
pos19_CTCF,0.0,0.0
pos18_RRBS,0.0,0.0
pos19_RRBS,0.0,0.0
pos19_H3K4me3,0.0,0.0
pos17_H3K4me3,0.0,0.0
pos17_RRBS,0.0,0.0
pos16_RRBS,0.0,0.0
pos17_CTCF,0.0,0.0
pos16_CTCF,0.0,0.0
pos16_H3K4me3,0.0,0.0
pos18_H3K4me3,0.0,0.0
pos18_CTCF,0.0,0.0
pos20_CTCF,0.0,0.0
pos20_H3K4me3,0.0,0.0
pos21_RRBS,0.0,0.0
pos21_H3K4me3,0.0,0.0
pos21_CTCF,0.0,0.0
pos20_RRBS,0.0,0.0
pos22_T,0.0,0.0
pos22_CTCF,0.0,0.0
pos22_C,0.0,0.0
pos22_A,0.0,0.0
pos22_RRBS,0.0,0.0
pos22_H3K4me3,0.0,0.0
pos23_C,0.0,0.0
pos23_A,0.0,0.0
pos23_T,0.0,0.0
pos23_CTCF,0.0,0.0
pos23_H3K4me3,0.0,0.0
pos23_RRBS,0.0,0.0
