Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
T_pos_19,19,T,0.004005777649581432,0.043282173573970795,2.421841621398926
T_pos_18,18,T,0.004599665757268667,0.0411938801407814,2.532168388366699
G_pos_19,19,G,0.0053270962089300156,0.029028555378317833,1.830405354499817
T_pos_20,20,T,0.004362150095403194,0.02576037310063839,2.1472737789154053
T_pos_17,17,T,0.004014554899185896,0.025578895583748817,1.9353389739990234
T_pos_21,21,T,0.0,0.023165008053183556,2.0589046478271484
T_pos_16,16,T,0.002894447185099125,0.02196449600160122,1.6202834844589233
G_pos_21,21,G,0.01062069647014141,0.02115807496011257,1.6489641666412354
T_pos_6,6,T,0.002587093273177743,0.020441213622689247,1.7278788089752197
T_pos_9,9,T,0.0019293725490570068,0.02010299451649189,1.6471315622329712
G_pos_22,22,G,0.012022590264678001,0.019841143861413002,1.7199136018753052
T_pos_5,5,T,0.0025718610268086195,0.018723560497164726,1.6493194103240967
T_pos_12,12,T,0.001927452627569437,0.01866319589316845,1.5418064594268799
T_pos_8,8,T,0.0023801145143806934,0.018501056358218193,1.6284453868865967
T_pos_7,7,T,0.002610490657389164,0.018461545929312706,1.6470321416854858
T_pos_10,10,T,0.002346532652154565,0.01837736740708351,1.5440549850463867
C_pos_17,17,C,0.001925987540744245,0.018364623188972473,1.3530211448669434
T_pos_15,15,T,0.0018043405143544078,0.018268419429659843,1.4254432916641235
T_pos_11,11,T,0.0024698711931705475,0.017874259501695633,1.5377336740493774
G_pos_0,0,G,0.005587741732597351,0.01728280447423458,2.1864724159240723
C_pos_19,19,C,0.004130200948566198,0.016257179901003838,1.3432310819625854
T_pos_4,4,T,0.0017473684856668115,0.01610505022108555,1.507018804550171
T_pos_13,13,T,0.0021095327101647854,0.016060156747698784,1.4573912620544434
T_pos_3,3,T,0.0015152952400967479,0.01586013101041317,1.4748066663742065
T_pos_14,14,T,0.0022889908868819475,0.014855554327368736,1.4086616039276123
G_pos_18,18,G,0.004042256623506546,0.014205246232450008,1.3192880153656006
Dnase_pos_1,1,Dnase,0.0018930693622678518,0.01353047601878643,2.3875789642333984
Dnase_pos_3,3,Dnase,0.0015602848725393414,0.01352520752698183,2.192492961883545
H3K4me3_pos_3,3,H3K4me3,0.0014652584213763475,0.013269846327602863,1.9649068117141724
C_pos_16,16,C,0.0017611453076824546,0.013166301883757114,1.2506258487701416
C_pos_21,21,C,0.0,0.012972412630915642,1.2990243434906006
Dnase_pos_19,19,Dnase,0.0019306668546050787,0.012606543488800526,2.20025897026062
A_pos_18,18,A,0.002105570398271084,0.012593138962984085,1.324004888534546
C_pos_18,18,C,0.003079487243667245,0.01243350375443697,1.2260479927062988
C_pos_10,10,C,0.0016712578944861889,0.01228926982730627,1.2811660766601562
Dnase_pos_13,13,Dnase,0.0015317914076149464,0.012287892401218414,2.12595534324646
Dnase_pos_15,15,Dnase,0.0015390291810035706,0.012286985293030739,2.1227993965148926
Dnase_pos_17,17,Dnase,0.0015317501965910196,0.012286326847970486,2.122222900390625
Dnase_pos_10,10,Dnase,0.0015251670265570283,0.012285490520298481,2.125437021255493
Dnase_pos_11,11,Dnase,0.0015340956160798669,0.01228149514645338,2.1215767860412598
Dnase_pos_14,14,Dnase,0.00153111363761127,0.012281162664294243,2.119140863418579
Dnase_pos_12,12,Dnase,0.0015351315960288048,0.012279091402888298,2.1167399883270264
Dnase_pos_7,7,Dnase,0.001530499430373311,0.01227612141519785,2.1178741455078125
Dnase_pos_8,8,Dnase,0.0015296528581529856,0.012275822460651398,2.1174912452697754
Dnase_pos_9,9,Dnase,0.0015304386615753174,0.01227521151304245,2.1170926094055176
Dnase_pos_16,16,Dnase,0.0015327110886573792,0.012273581698536873,2.116621494293213
Dnase_pos_4,4,Dnase,0.0015322848921641707,0.012273015454411507,2.115804672241211
H3K4me3_pos_19,19,H3K4me3,0.001343758194707334,0.012272661551833153,1.970908284187317
Dnase_pos_18,18,Dnase,0.001532654045149684,0.012272555381059647,2.1161372661590576
Dnase_pos_5,5,Dnase,0.0015326527645811439,0.012271403335034847,2.1143863201141357
Dnase_pos_6,6,Dnase,0.0015332940965890884,0.012269250117242336,2.1124210357666016
C_pos_15,15,C,0.001815673429518938,0.012255159206688404,1.2016140222549438
C_pos_7,7,C,0.0016023622592911124,0.012205016799271107,1.2234643697738647
C_pos_6,6,C,0.0017956396332010627,0.012067217379808426,1.2393686771392822
G_pos_15,15,G,0.002249012002721429,0.012018116191029549,1.2502576112747192
C_pos_8,8,C,0.0017573150107637048,0.011954867281019688,1.2389875650405884
C_pos_13,13,C,0.0020478698424994946,0.011926538310945034,1.294870138168335
C_pos_9,9,C,0.001930349855683744,0.011912009678781033,1.2238273620605469
C_pos_11,11,C,0.0017849300056695938,0.011883401311933994,1.20042085647583
G_pos_8,8,G,0.0017814288148656487,0.011773507110774517,1.2671623229980469
G_pos_16,16,G,0.0025636255741119385,0.011615140363574028,1.2801836729049683
H3K4me3_pos_10,10,H3K4me3,0.0011903926497325301,0.011542691849172115,1.9645711183547974
H3K4me3_pos_13,13,H3K4me3,0.0011865402339026332,0.011539267376065254,1.963004469871521
H3K4me3_pos_12,12,H3K4me3,0.0011875387281179428,0.01153902243822813,1.9615533351898193
H3K4me3_pos_9,9,H3K4me3,0.0011933227069675922,0.011536667123436928,1.960340142250061
H3K4me3_pos_11,11,H3K4me3,0.001189605100080371,0.011536489240825176,1.9600903987884521
H3K4me3_pos_8,8,H3K4me3,0.0011882423423230648,0.011532085947692394,1.9567126035690308
H3K4me3_pos_6,6,H3K4me3,0.0011895278003066778,0.011531123891472816,1.9561703205108643
H3K4me3_pos_4,4,H3K4me3,0.0011895278003066778,0.011531004682183266,1.9560790061950684
H3K4me3_pos_5,5,H3K4me3,0.0011895278003066778,0.011529853567481041,1.9551737308502197
H3K4me3_pos_17,17,H3K4me3,0.0011865111300721765,0.011529340408742428,1.9562098979949951
H3K4me3_pos_16,16,H3K4me3,0.0011848779395222664,0.011528625153005123,1.9555561542510986
H3K4me3_pos_7,7,H3K4me3,0.0011895049829035997,0.011528408154845238,1.9541137218475342
H3K4me3_pos_14,14,H3K4me3,0.0011888326844200492,0.011528323404490948,1.9553097486495972
H3K4me3_pos_18,18,H3K4me3,0.001185910776257515,0.011526009999215603,1.9541279077529907
H3K4me3_pos_15,15,H3K4me3,0.0011902549304068089,0.011524612084031105,1.9531381130218506
G_pos_14,14,G,0.0011943950084969401,0.011497409082949162,1.2300180196762085
C_pos_14,14,C,0.002034808276221156,0.011489801108837128,1.2624479532241821
A_pos_7,7,A,0.0025822962634265423,0.011463997885584831,1.40464448928833
G_pos_10,10,G,0.002465070690959692,0.011304227635264397,1.2775392532348633
C_pos_12,12,C,0.0020734358113259077,0.011279171332716942,1.1838700771331787
C_pos_5,5,C,0.0014800584176555276,0.011274637654423714,1.2542250156402588
G_pos_11,11,G,0.001110205426812172,0.011197871528565884,1.2472845315933228
G_pos_5,5,G,0.0018999112071469426,0.011086717247962952,1.3054291009902954
Dnase_pos_2,2,Dnase,0.0012557965237647295,0.011028928682208061,2.276679039001465
G_pos_12,12,G,0.0020924408454447985,0.011003203690052032,1.2794488668441772
T_pos_22,22,T,0.0,0.010988639667630196,1.5629099607467651
A_pos_0,0,A,0.0015798097010701895,0.010888961143791676,1.672414779663086
G_pos_1,1,G,0.004507387988269329,0.010867285542190075,1.4358649253845215
A_pos_17,17,A,0.002072299364954233,0.010864891111850739,1.3522329330444336
G_pos_17,17,G,0.0015938016586005688,0.010824304074048996,1.242522954940796
G_pos_9,9,G,0.002040555002167821,0.010787075385451317,1.2306947708129883
H3K4me3_pos_2,2,H3K4me3,0.001195936230942607,0.010697993449866772,1.885642170906067
A_pos_6,6,A,0.0017559200059622526,0.010614960454404354,1.2089848518371582
G_pos_20,20,G,0.0005193629185669124,0.010592794045805931,1.1774115562438965
A_pos_5,5,A,0.0024452172219753265,0.010536412708461285,1.2598872184753418
G_pos_7,7,G,0.0014883080730214715,0.010486840270459652,1.2665176391601562
Dnase_pos_21,21,Dnase,0.0016894653672352433,0.010440683923661709,2.1496427059173584
C_pos_4,4,C,0.0012109935050830245,0.01041183527559042,1.229052186012268
T_pos_2,2,T,0.0012592048151418567,0.010410304181277752,1.4300256967544556
A_pos_4,4,A,0.002300406340509653,0.010399426333606243,1.2666614055633545
A_pos_12,12,A,0.0016212058253586292,0.010392601601779461,1.2137682437896729
Dnase_pos_20,20,Dnase,0.001563902129419148,0.010379384271800518,2.018449544906616
G_pos_3,3,G,0.004097213037312031,0.010342624969780445,1.2197191715240479
G_pos_2,2,G,0.003837643191218376,0.010317888110876083,1.2554516792297363
A_pos_3,3,A,0.0016689231852069497,0.010282588191330433,1.3660671710968018
G_pos_6,6,G,0.002098841592669487,0.010242311283946037,1.1689342260360718
