Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
C_pos_17,17,C,0.0019660841207951307,0.024908337742090225,1.2763197422027588
G_pos_19,19,G,0.002861402463167906,0.020991817116737366,1.4570770263671875
C_pos_18,18,C,0.002703312784433365,0.018015766516327858,1.0166712999343872
A_pos_17,17,A,0.006364490836858749,0.016809549182653427,1.1917225122451782
T_pos_18,18,T,0.0,0.015276545658707619,1.1126431226730347
T_pos_17,17,T,0.0,0.014852714724838734,1.103585124015808
C_pos_16,16,C,0.0023740867618471384,0.014293142594397068,1.0104564428329468
T_pos_19,19,T,0.0,0.014078070409595966,1.08186936378479
T_pos_1,1,T,0.0022195116616785526,0.013582227751612663,1.330464243888855
A_pos_18,18,A,0.004670292604714632,0.013311304152011871,1.0694948434829712
G_pos_0,0,G,0.0023181098513305187,0.012642571702599525,1.1403931379318237
C_pos_19,19,C,0.0050431485287845135,0.011607903055846691,1.0711209774017334
C_pos_2,2,C,0.0034345106687396765,0.011518817394971848,1.0065410137176514
C_pos_15,15,C,0.002048847731202841,0.011429211124777794,0.9468954205513
T_pos_16,16,T,0.0,0.010816160589456558,1.0307109355926514
G_pos_1,1,G,0.002677947748452425,0.010682852007448673,1.1022684574127197
G_pos_22,22,G,0.005517302080988884,0.010614417493343353,1.0896732807159424
C_pos_21,21,C,0.0,0.010591454803943634,0.9814066290855408
A_pos_16,16,A,0.003382872324436903,0.010328753851354122,0.9554096460342407
C_pos_14,14,C,0.002067280001938343,0.010087125934660435,0.9361855983734131
G_pos_18,18,G,0.001547107007354498,0.009875139221549034,1.0184937715530396
A_pos_9,9,A,0.002087945118546486,0.009852114133536816,0.9534690976142883
G_pos_21,21,G,0.004225421696901321,0.009832349605858326,1.1197150945663452
A_pos_11,11,A,0.0024353323969990015,0.009790722280740738,0.9459196329116821
A_pos_10,10,A,0.0021952216047793627,0.009768621064722538,0.9487277865409851
A_pos_7,7,A,0.0022556588519364595,0.009753103367984295,0.9505781531333923
A_pos_8,8,A,0.002294311299920082,0.009738996624946594,0.9487521648406982
C_pos_20,20,C,0.001797458273358643,0.009733368642628193,0.9773727655410767
A_pos_13,13,A,0.002068429486826062,0.00964748952537775,0.941586434841156
C_pos_13,13,C,0.002363968174904585,0.009606476873159409,0.9239693284034729
A_pos_12,12,A,0.0020963046699762344,0.009484807029366493,0.9295364022254944
A_pos_6,6,A,0.0021391671616584063,0.00948281679302454,0.9551653265953064
A_pos_3,3,A,0.0019888547249138355,0.009456903673708439,0.9414849281311035
C_pos_0,0,C,0.0024333002511411905,0.0094369575381279,1.074703574180603
C_pos_12,12,C,0.0022398093715310097,0.009434131905436516,0.9442121982574463
C_pos_9,9,C,0.0023641400039196014,0.009426935575902462,0.9317754507064819
A_pos_14,14,A,0.002533795079216361,0.00941880326718092,0.9168524742126465
A_pos_15,15,A,0.0022444056812673807,0.009416681714355946,0.9153352379798889
T_pos_4,4,T,0.002689947374165058,0.009396876208484173,1.110633134841919
A_pos_1,1,A,0.001271671848371625,0.009382774122059345,0.95365971326828
T_pos_3,3,T,0.0026182965375483036,0.009273950010538101,1.1013143062591553
C_pos_8,8,C,0.0022374456748366356,0.009207934141159058,0.9501168131828308
C_pos_11,11,C,0.0023068846203386784,0.009163913317024708,0.9574778079986572
T_pos_20,20,T,0.0028831749223172665,0.009037497453391552,0.9726499319076538
C_pos_7,7,C,0.002417400013655424,0.009013239294290543,0.9586272239685059
C_pos_6,6,C,0.002590953605249524,0.008959474042057991,0.957679271697998
A_pos_22,22,A,0.0,0.008931427262723446,0.983641505241394
T_pos_0,0,T,0.0028569952119141817,0.008926652371883392,1.0862630605697632
A_pos_5,5,A,0.002624338958412409,0.008889344520866871,0.9717540740966797
C_pos_10,10,C,0.002403169870376587,0.008838558569550514,0.9419736862182617
G_pos_15,15,G,0.0009116156725212932,0.008799806237220764,0.9457188844680786
C_pos_5,5,C,0.0024021186400204897,0.008794121444225311,0.9726856350898743
G_pos_17,17,G,0.0011236245045438409,0.008773217909038067,0.9514737725257874
C_pos_4,4,C,0.0026168411131948233,0.00876183994114399,0.949339747428894
T_pos_5,5,T,0.003057746449485421,0.008746315725147724,1.0732916593551636
G_pos_20,20,G,0.0006548636010847986,0.008614903315901756,0.9452542066574097
T_pos_6,6,T,0.002608566777780652,0.008612493053078651,1.0615525245666504
A_pos_4,4,A,0.002418956719338894,0.008608320727944374,0.944714367389679
T_pos_7,7,T,0.002588351024314761,0.00857538916170597,1.029536485671997
A_pos_2,2,A,0.00244199950248003,0.008472651243209839,0.9916919469833374
T_pos_9,9,T,0.0025701147969812155,0.008461199700832367,1.062204360961914
G_pos_3,3,G,0.0013156257336959243,0.008460033684968948,1.0030714273452759
T_pos_10,10,T,0.0024613970890641212,0.0084536699578166,1.0640813112258911
T_pos_8,8,T,0.0030503305606544018,0.008435486815869808,1.0557751655578613
C_pos_22,22,C,0.0,0.008326801471412182,0.8887714147567749
G_pos_2,2,G,0.0009757172665558755,0.008320941589772701,1.0435640811920166
T_pos_11,11,T,0.002895795041695237,0.008281324990093708,1.0537751913070679
A_pos_19,19,A,0.0027240386698395014,0.008223479613661766,0.9895462989807129
G_pos_4,4,G,0.0011389158898964524,0.008212001994252205,0.9609116315841675
G_pos_16,16,G,0.0013312386581674218,0.008094671182334423,0.9490547776222229
C_pos_3,3,C,0.0030263597145676613,0.008080008439719677,0.945502519607544
T_pos_12,12,T,0.002403394551947713,0.008006446063518524,1.0580896139144897
T_pos_15,15,T,0.002469063038006425,0.007951227016746998,0.9990316033363342
G_pos_6,6,G,0.0010603078408166766,0.007950564846396446,0.9604077339172363
G_pos_5,5,G,0.0009420524584129453,0.007947523146867752,0.957159698009491
G_pos_7,7,G,0.0011214339174330235,0.007938822731375694,0.9246990084648132
T_pos_21,21,T,0.0,0.007882639765739441,1.0513519048690796
G_pos_14,14,G,0.0007874640286900103,0.007830088026821613,0.9329266548156738
G_pos_8,8,G,0.0009587602689862251,0.007827380672097206,0.9422081112861633
G_pos_11,11,G,0.0009324380080215633,0.007813263684511185,0.9519630074501038
G_pos_13,13,G,0.000987495994195342,0.007724133785814047,0.9336540699005127
G_pos_12,12,G,0.0011133847292512655,0.007709795609116554,0.9493558406829834
G_pos_10,10,G,0.0011052307672798634,0.007700266316533089,0.9446156620979309
G_pos_9,9,G,0.0011098393006250262,0.007690978702157736,0.9320903420448303
A_pos_21,21,A,0.0,0.00755960401147604,1.0472620725631714
H3K4me3_pos_20,20,H3K4me3,0.001437567756511271,0.007535886950790882,1.251578688621521
T_pos_14,14,T,0.002600288251414895,0.007532783783972263,1.016860008239746
A_pos_0,0,A,0.0011346497340127826,0.007354878820478916,0.9164999723434448
T_pos_13,13,T,0.002414631424471736,0.007274137809872627,1.033413290977478
T_pos_2,2,T,0.0025727231986820698,0.007003805600106716,1.05745267868042
A_pos_20,20,A,0.0032614164520055056,0.006971868220716715,1.0529751777648926
H3K4me3_pos_19,19,H3K4me3,0.0013970169238746166,0.006958411540836096,1.1797009706497192
T_pos_22,22,T,0.0,0.006833583582192659,0.9768937230110168
C_pos_1,1,C,0.001815753523260355,0.006455683149397373,0.9636428356170654
H3K4me3_pos_3,3,H3K4me3,0.001453326316550374,0.006423641461879015,1.1825214624404907
CTCF_pos_20,20,CTCF,0.0019632051698863506,0.005932297557592392,1.0564541816711426
CTCF_pos_2,2,CTCF,0.002255820669233799,0.005841027945280075,1.0925382375717163
H3K4me3_pos_0,0,H3K4me3,0.0013785669580101967,0.005825251340866089,1.424394130706787
H3K4me3_pos_18,18,H3K4me3,0.0012274859473109245,0.005814123898744583,1.1758009195327759
H3K4me3_pos_17,17,H3K4me3,0.0012279569637030363,0.005809976253658533,1.1770983934402466
H3K4me3_pos_16,16,H3K4me3,0.0012288944562897086,0.005805424880236387,1.1776843070983887
H3K4me3_pos_15,15,H3K4me3,0.0012279056245461106,0.005798280239105225,1.1780411005020142
H3K4me3_pos_14,14,H3K4me3,0.0012298345100134611,0.005793795455247164,1.1786658763885498
H3K4me3_pos_13,13,H3K4me3,0.0012270581210032105,0.0057870764285326,1.1784131526947021
H3K4me3_pos_12,12,H3K4me3,0.001228357432410121,0.005782807245850563,1.1769506931304932
H3K4me3_pos_7,7,H3K4me3,0.0012260382063686848,0.005781183950603008,1.1758826971054077
H3K4me3_pos_11,11,H3K4me3,0.0012270663864910603,0.005780108738690615,1.176803469657898
H3K4me3_pos_6,6,H3K4me3,0.0012279350776225328,0.005779104307293892,1.1745764017105103
H3K4me3_pos_5,5,H3K4me3,0.001226896420121193,0.005778701975941658,1.1748244762420654
H3K4me3_pos_4,4,H3K4me3,0.0012273879256099463,0.005777848418802023,1.173208475112915
H3K4me3_pos_9,9,H3K4me3,0.001228012959472835,0.005777797196060419,1.1754601001739502
H3K4me3_pos_10,10,H3K4me3,0.0012265988625586033,0.005775385070592165,1.1750596761703491
H3K4me3_pos_8,8,H3K4me3,0.001226880238391459,0.005775292403995991,1.1746833324432373
H3K4me3_pos_2,2,H3K4me3,0.0011536075035110116,0.005670395214110613,1.127048134803772
CTCF_pos_3,3,CTCF,0.0019345429027453065,0.005596356466412544,1.0310850143432617
CTCF_pos_21,21,CTCF,0.001784949447028339,0.0054917423985898495,1.0867464542388916
CTCF_pos_19,19,CTCF,0.0018057342385873199,0.005403049290180206,1.0177638530731201
H3K4me3_pos_21,21,H3K4me3,0.00045451888581737876,0.004564812872558832,1.1506232023239136
CTCF_pos_18,18,CTCF,0.0016031652921810746,0.004414572846144438,0.989628791809082
CTCF_pos_17,17,CTCF,0.0016040796181187034,0.004401529673486948,0.9874507188796997
CTCF_pos_4,4,CTCF,0.0016114257741719484,0.004399479366838932,0.9862280488014221
CTCF_pos_5,5,CTCF,0.0016119545325636864,0.0043926904909312725,0.9858613610267639
CTCF_pos_16,16,CTCF,0.0016066626412793994,0.004390159621834755,0.9854688048362732
CTCF_pos_6,6,CTCF,0.0016138602513819933,0.004387272521853447,0.984736442565918
CTCF_pos_15,15,CTCF,0.0016066288808360696,0.00438448553904891,0.9853047728538513
CTCF_pos_7,7,CTCF,0.001613384927622974,0.004382493440061808,0.9839968681335449
CTCF_pos_8,8,CTCF,0.0016125102993100882,0.004378915298730135,0.9839316010475159
CTCF_pos_9,9,CTCF,0.001614718814380467,0.004377414472401142,0.9838466048240662
CTCF_pos_14,14,CTCF,0.0016104633687064052,0.004377157427370548,0.9834779500961304
CTCF_pos_13,13,CTCF,0.0016124804969877005,0.004377149511128664,0.9839320182800293
CTCF_pos_11,11,CTCF,0.0016146075213328004,0.0043745459988713264,0.983299970626831
CTCF_pos_10,10,CTCF,0.001615850254893303,0.004374444484710693,0.9832031726837158
CTCF_pos_12,12,CTCF,0.001614267472177744,0.004372290335595608,0.9826959371566772
CTCF_pos_22,22,CTCF,0.000994635745882988,0.004118132870644331,1.1742089986801147
H3K4me3_pos_1,1,H3K4me3,0.0005776584148406982,0.004049242474138737,1.3175053596496582
H3K4me3_pos_22,22,H3K4me3,0.00031966835376806557,0.0032865116372704506,1.114794373512268
CTCF_pos_0,0,CTCF,0.0012520942836999893,0.003191824536770582,1.2154674530029297
CTCF_pos_1,1,CTCF,0.001489479560405016,0.0030734294559806585,1.039629578590393
