Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.0009604042479397933,0.004241838578832139,-0.2264122573481359,0.8208847899212284,1.0
pos1_C,-0.01639618739757075,0.004158727400375794,-3.942597294568801,8.10781243760772e-05,0.000938189724923179
pos1_G,0.023403102469650938,0.004255260836257542,5.499804446825339,3.882801657972834e-08,1.0483564476526652e-06
pos1_CTCF,-0.10478228362706064,0.034650913534395845,-3.0239400044402776,0.0025005216150548737,0.01620338006555558
pos1_Dnase,-193562051.61715028,12635313481.114344,-0.01531913330891728,0.9877778418947436,1.0
pos1_H3K4me3,-72145608.85650492,4709509826.8067,-0.015319133308916676,0.987777841894744,1.0
pos1_RRBS,0.006708351850511099,0.01783878773462635,0.37605424484589345,0.7068834551036662,1.0
pos2_A,0.00962834588473348,0.004559283355940437,2.111811250377408,0.034723992982484075,0.14423812469647232
pos2_C,0.012126714850207134,0.004508270677473601,2.689881712471366,0.007157976940000976,0.03865307547600527
pos2_G,0.012913176880575493,0.004449600128326329,2.902098280330788,0.0037137078861366746,0.023139256829005434
pos2_CTCF,0.08689697488633304,0.04609437803332828,1.8851968199571467,0.05942827376828608,0.22922334167767486
pos2_Dnase,-11085950.668461781,723666962.4129072,-0.015319133308916209,0.9877778418947445,1.0
pos2_H3K4me3,6665602.841457029,435116184.9069255,0.015319133308918053,0.9877778418947429,1.0
pos2_RRBS,-0.009430982951183844,0.016736154303791374,-0.563509560200898,0.5730988586091039,1.0
pos3_A,-0.006914890139774736,0.004150225223218408,-1.6661481649452248,0.09571094193208429,0.3445593909555035
pos3_C,-0.021698899433607984,0.004246661114742966,-5.109637629966934,3.279166072012174e-07,7.5889271952281745e-06
pos3_G,0.0030158343480806934,0.004282124289742324,0.7042846363205797,0.48126968859447006,1.0
pos3_CTCF,0.05880178490888015,0.044854282961093735,1.3109513969911049,0.18990016935707899,0.569700508071237
pos3_Dnase,19685009.0030817,1284994954.095888,0.015319133308917867,0.9877778418947432,1.0
pos3_H3K4me3,-8165654.171234729,533036302.1569384,-0.015319133308917801,0.9877778418947432,1.0
pos3_RRBS,-0.005411010320795459,0.017917364002182638,-0.3019981242852635,0.7626589139005726,1.0
pos4_A,0.015002315031015085,0.004392368874939451,3.4155407840653846,0.0006387393029407828,0.006086809828023931
pos4_C,0.005123988736210171,0.004285295652871187,1.1957141703343273,0.2318325932048959,0.6706585731998774
