Feature,Position,Channel,Transformer_Attention,Attention_Entropy,Attention_SNR
RRBS_pos_19,19,RRBS,0.10572469234466553,4.009357929229736,1.622062087059021
H3K4me3_pos_19,19,H3K4me3,0.10572469234466553,4.009357929229736,1.622062087059021
Dnase_pos_19,19,Dnase,0.10572469234466553,4.009357929229736,1.622062087059021
CTCF_pos_19,19,CTCF,0.10572469234466553,4.009357929229736,1.622062087059021
T_pos_19,19,T,0.10572469234466553,4.009357929229736,1.622062087059021
G_pos_19,19,G,0.10572469234466553,4.009357929229736,1.622062087059021
C_pos_19,19,C,0.10572469234466553,4.009357929229736,1.622062087059021
A_pos_19,19,A,0.10572469234466553,4.009357929229736,1.622062087059021
A_pos_18,18,A,0.08651161938905716,4.009357929229736,1.7739787101745605
C_pos_18,18,C,0.08651161938905716,4.009357929229736,1.7739787101745605
G_pos_18,18,G,0.08651161938905716,4.009357929229736,1.7739787101745605
T_pos_18,18,T,0.08651161938905716,4.009357929229736,1.7739787101745605
CTCF_pos_18,18,CTCF,0.08651161938905716,4.009357929229736,1.7739787101745605
Dnase_pos_18,18,Dnase,0.08651161938905716,4.009357929229736,1.7739787101745605
H3K4me3_pos_18,18,H3K4me3,0.08651161938905716,4.009357929229736,1.7739787101745605
RRBS_pos_18,18,RRBS,0.08651161938905716,4.009357929229736,1.7739787101745605
RRBS_pos_1,1,RRBS,0.07387927174568176,4.009357929229736,1.6412122249603271
H3K4me3_pos_1,1,H3K4me3,0.07387927174568176,4.009357929229736,1.6412122249603271
Dnase_pos_1,1,Dnase,0.07387927174568176,4.009357929229736,1.6412122249603271
CTCF_pos_1,1,CTCF,0.07387927174568176,4.009357929229736,1.6412122249603271
T_pos_1,1,T,0.07387927174568176,4.009357929229736,1.6412122249603271
G_pos_1,1,G,0.07387927174568176,4.009357929229736,1.6412122249603271
C_pos_1,1,C,0.07387927174568176,4.009357929229736,1.6412122249603271
A_pos_1,1,A,0.07387927174568176,4.009357929229736,1.6412122249603271
A_pos_2,2,A,0.06702783703804016,4.009357929229736,1.6050106287002563
C_pos_2,2,C,0.06702783703804016,4.009357929229736,1.6050106287002563
G_pos_2,2,G,0.06702783703804016,4.009357929229736,1.6050106287002563
T_pos_2,2,T,0.06702783703804016,4.009357929229736,1.6050106287002563
CTCF_pos_2,2,CTCF,0.06702783703804016,4.009357929229736,1.6050106287002563
Dnase_pos_2,2,Dnase,0.06702783703804016,4.009357929229736,1.6050106287002563
H3K4me3_pos_2,2,H3K4me3,0.06702783703804016,4.009357929229736,1.6050106287002563
RRBS_pos_2,2,RRBS,0.06702783703804016,4.009357929229736,1.6050106287002563
A_pos_14,14,A,0.06540782749652863,4.009357929229736,1.4205904006958008
C_pos_14,14,C,0.06540782749652863,4.009357929229736,1.4205904006958008
G_pos_14,14,G,0.06540782749652863,4.009357929229736,1.4205904006958008
T_pos_14,14,T,0.06540782749652863,4.009357929229736,1.4205904006958008
CTCF_pos_14,14,CTCF,0.06540782749652863,4.009357929229736,1.4205904006958008
Dnase_pos_14,14,Dnase,0.06540782749652863,4.009357929229736,1.4205904006958008
H3K4me3_pos_14,14,H3K4me3,0.06540782749652863,4.009357929229736,1.4205904006958008
RRBS_pos_14,14,RRBS,0.06540782749652863,4.009357929229736,1.4205904006958008
