Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.019752841630352944,0.00854398813752684,-2.311899468070966,0.0209334556793217,0.17161747941052727
pos1_C,-0.013144886522148852,0.00849825974383873,-1.5467739182341353,0.12215266897046928,0.5337389017599273
pos1_G,0.014427204342072442,0.007936647359305351,1.8177958133867715,0.06931740615386306,0.4156146069388439
pos1_CTCF,-0.03174568901772669,0.052336152053904766,-0.6065728520703915,0.544236634894466,1.0
pos1_Dnase,7.352781597211854e-15,3.162277660168379e-08,2.325153698496022e-07,0.9999998145140052,1.0
pos1_H3K4me3,0.011236156823857403,0.06008198939733794,0.18701372801672317,0.851678032478254,1.0
pos1_RRBS,-2.4212507182249845e-16,3.162277660168379e-08,-7.656667055909512e-09,0.9999999938919975,1.0
pos2_A,0.001579989673228088,0.008072624587787618,0.1957219310827756,0.8448573379841917,1.0
pos2_C,0.009507238798473417,0.008163857401928648,1.1645522858137387,0.24440647386730974,0.7332194216019293
pos2_G,0.011782492577387014,0.0077216086050561576,1.5259116565001447,0.1272666206200601,0.5337389017599273
pos2_CTCF,0.06071893871618243,0.06748839511661467,0.8996945120900394,0.3684436534626059,0.9182749517068024
pos2_Dnase,-3.2787701745406967e-16,3.162277660168379e-08,-1.0368381675776424e-08,0.9999999917287636,1.0
pos2_H3K4me3,-0.015250075039847157,0.09509159812454629,-0.16037247601910487,0.8726117160416853,1.0
pos2_RRBS,-1.995068055590701e-16,3.162277660168379e-08,-6.3089591427100405e-09,0.9999999949671132,1.0
pos3_A,0.00486844482403153,0.007942359408416977,0.6129721124017831,0.5399982562375079,1.0
pos3_C,-0.009118077389187587,0.008277296493591036,-1.1015767522943696,0.2708425147916125,0.7835087035043076
pos3_G,0.011366133750098383,0.008006600781789367,1.4195954138178233,0.15595687760841814,0.5712751464046633
pos3_CTCF,-0.046151410803391066,0.06010636644702919,-0.7678289926918738,0.4427233632492662,1.0
pos3_Dnase,-1.1703732539141822e-16,3.162277660168379e-08,-3.7010451949113928e-09,0.9999999970475411,1.0
pos3_H3K4me3,0.0190747700404666,0.06368182380575346,0.29953240815856236,0.7645800593008234,1.0
pos3_RRBS,1.552908805333882e-16,3.162277660168379e-08,4.910728823386102e-09,0.9999999960825325,1.0
