Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.002779923289044594,0.004226653863570307,-0.6577125496376366,0.5107352393210598,1.0
pos1_C,-0.01699575581527015,0.004121089173596268,-4.124093194624761,3.746594600251285e-05,0.0005057902710339235
pos1_G,0.02304512083663644,0.004271485345023734,5.3951070822434,6.975931499120236e-08,1.4126261285718478e-06
pos1_CTCF,7.264083865248865e-15,3.162277660168379e-08,2.2971050128666057e-07,0.9999998167212854,1.0
pos1_Dnase,-2.586466274107544e-15,3.162277660168379e-08,-8.179124517389231e-08,0.9999999347413626,1.0
pos1_H3K4me3,0.02755476513478419,0.041939778923968024,0.6570078775269129,0.5111882182961831,1.0
pos1_RRBS,-2.7285539584043885e-16,3.162277660168379e-08,-8.628445227226199e-09,0.9999999931156376,1.0
pos2_A,0.01610536085725982,0.00461802355068505,3.487500806458795,0.0004892708122101741,0.004403437309891567
pos2_C,0.012222930210239865,0.0045280324440020265,2.699391040457482,0.006956201765127457,0.04334248792117877
pos2_G,0.014154394482536033,0.004532367424126443,3.1229583036869775,0.001794610971219468,0.013844141777978753
pos2_CTCF,4.264684266474617e-18,3.162277660168379e-08,1.3486115783544255e-10,0.9999999998923985,1.0
pos2_Dnase,-3.2166108212847086e-16,3.162277660168379e-08,-1.0171816541604498e-08,0.9999999918842306,1.0
pos2_H3K4me3,-0.005335850672421214,0.05765660076808886,-0.09254535649584188,0.9262662728576403,1.0
pos2_RRBS,9.816387410765517e-18,3.162277660168379e-08,3.1042142612621916e-10,0.9999999997523246,1.0
pos3_A,-0.009428728159230657,0.004163632733525152,-2.26454367199861,0.023558130497800978,0.11926303564511745
pos3_C,-0.01262162629481758,0.004226252755800381,-2.986481647955118,0.0028276714976942507,0.020821944664839484
pos3_G,-0.0021113205771577867,0.004272440272151568,-0.49417205219221044,0.6211935539719691,1.0
pos3_CTCF,-2.810451023074562e-17,3.162277660168379e-08,-8.887426485266055e-10,0.9999999992909006,1.0
pos3_Dnase,1.2250977655210156e-16,3.162277660168379e-08,3.8740992954293075e-09,0.9999999969089792,1.0
pos3_H3K4me3,-0.013050891045249858,0.05258104271779933,-0.24820525365564824,0.8039797702655083,1.0
pos3_RRBS,-8.285745561580847e-17,3.162277660168379e-08,-2.6201828087226415e-09,0.9999999979094394,1.0
pos4_A,0.01722235913427772,0.004377168538829295,3.9345889886350967,8.380014979736394e-05,0.0010442787897825352
pos4_C,0.004928374736321399,0.004247431218661738,1.1603189039690227,0.24594164756827008,0.7746865912235148
pos4_G,0.011216711785748908,0.004270374822268011,2.626634019866123,0.008634156176281937,0.04995476073420264
pos4_CTCF,1.0754125747533147e-16,3.162277660168379e-08,3.4007531606065644e-09,0.9999999972866469,1.0
pos4_Dnase,-1.9318133233147416e-16,3.162277660168379e-08,-6.108930115933842e-09,0.9999999951258787,1.0
pos4_H3K4me3,0.05777383696903494,0.05334222546498346,1.0830788641722608,0.27879477904338446,0.8363843371301534
pos4_RRBS,9.116044344450377e-17,3.162277660168379e-08,2.8827463379559726e-09,0.9999999976999481,1.0
pos5_A,0.009295890012211441,0.0043890588979489595,2.117968846705493,0.0341978297436627,0.15828709767066737
pos5_C,0.007086612556313951,0.004275188975290726,1.6576138732749326,0.0974210835495326,0.4046721932057508
pos5_G,0.002816308307794341,0.004326232739621162,0.6509840032418039,0.5150690475627546,1.0
pos5_CTCF,-7.302595189681773e-17,3.162277660168379e-08,-2.309283362958374e-09,0.9999999981574963,1.0
pos5_Dnase,-1.554313195011602e-16,3.162277660168379e-08,-4.9151698934901275e-09,0.9999999960783421,1.0
pos5_H3K4me3,0.05794564340835579,0.05832080950864183,0.993567200053517,0.32045328265761497,0.9438805780097023
pos5_RRBS,-3.622736069159019e-16,3.162277660168379e-08,-1.1456097340187776e-08,0.9999999908595436,1.0
pos6_A,0.003852433138545362,0.0041385152436244806,0.9308732508549201,0.3519375128849993,1.0
pos6_C,0.01427993254631886,0.004195372907439849,3.4037337946754613,0.0006668485959306913,0.0054014736270386
pos6_G,0.01586529222649641,0.004280833915927625,3.7061218767368413,0.00021138586102220636,0.0021402818428498394
pos6_CTCF,8.047043820832909e-18,3.162277660168379e-08,2.544698690501591e-10,0.9999999997969664,1.0
pos6_Dnase,1.5553254266238987e-16,3.162277660168379e-08,4.918370850904609e-09,0.9999999960757879,1.0
pos6_H3K4me3,-0.13956108525252017,0.05674512017494396,-2.459437654238046,0.013929231326879066,0.07781156810187616
pos6_RRBS,-3.3767851064177653e-16,3.162277660168379e-08,-1.0678332105214202e-08,0.9999999914800979,1.0
pos7_A,0.006518305376267898,0.00435811846894117,1.4956696158495109,0.13476558300100216,0.5198101058610083
pos7_C,0.0049108596140495725,0.004256789297042662,1.1536534395680134,0.24866483175075782,0.7746865912235148
pos7_G,0.005208942750219976,0.004247578480761055,1.2263323147090315,0.22009726361917314,0.713115134126121
pos7_CTCF,-3.8905506054046385e-16,3.162277660168379e-08,-1.2303001265225653e-08,0.9999999901838261,1.0
pos7_Dnase,-1.9196960951324764e-17,3.162277660168379e-08,-6.070612075949902e-10,0.999999999515645,1.0
pos7_H3K4me3,0.04767517950728299,0.05016054128233516,0.9504518549538176,0.3419014940138718,0.9890721791115578
pos7_RRBS,-2.0987110668041956e-16,3.162277660168379e-08,-6.636707121703056e-09,0.9999999947047822,1.0
pos8_A,0.0022709025974681743,0.00434616696783947,0.5225069847229238,0.6013268519620136,1.0
pos8_C,0.012386276413671692,0.004306032449147184,2.8764939790745916,0.00402815212142027,0.028372201898699292
pos8_G,0.01484346592375861,0.004274541957987199,3.472527833309213,0.0005173645317442244,0.004411213375924439
pos8_CTCF,-6.145439900277033e-17,3.162277660168379e-08,-1.9433587308553454e-09,0.9999999984494559,1.0
pos8_Dnase,6.002064633417288e-17,3.162277660168379e-08,1.8980194905142206e-09,0.9999999984856305,1.0
pos8_H3K4me3,0.019266712083125376,0.05422540386774718,0.3553078577361239,0.722365098753798,1.0
pos8_RRBS,-4.3261453828811336e-17,3.162277660168379e-08,-1.368047289892559e-09,0.9999999989084785,1.0
pos9_A,0.0026258029104885804,0.004101281235846163,0.6402396615814699,0.5220287995559887,1.0
pos9_C,-0.006977783877430181,0.004191954546550985,-1.6645657294092782,0.09602505201108014,0.4046721932057508
pos9_G,-0.004778083269039803,0.004237982994921064,-1.1274427657605075,0.25957745216728556,0.7934254198320804
pos9_CTCF,1.7065791151516924e-16,3.162277660168379e-08,5.396677011154117e-09,0.9999999956941628,1.0
pos9_Dnase,-1.6816003729999026e-16,3.162277660168379e-08,-5.317687292868406e-09,0.9999999957571861,1.0
pos9_H3K4me3,-0.10116005499544568,0.05936495733274017,-1.7040365148153696,0.08839967629559364,0.38704723134827484
pos9_RRBS,5.742868917693384e-16,3.162277660168379e-08,1.8160546083697146e-08,0.9999999855102768,1.0
pos10_A,0.023152700427335006,0.0043593958752483645,5.310988285966561,1.1094390828247924e-07,1.9969903490846264e-06
pos10_C,0.0063875506485534615,0.004268734491453295,1.496356979180219,0.1345864668938732,0.5198101058610083
pos10_G,0.0028484905027046105,0.0042463680790106005,0.670806310169962,0.5023565988143521,1.0
pos10_CTCF,1.2593295541323548e-16,3.162277660168379e-08,3.982349715822552e-09,0.9999999968226096,1.0
pos10_Dnase,5.203582347479255e-17,3.162277660168379e-08,1.6455172210280184e-09,0.9999999986870942,1.0
pos10_H3K4me3,0.0737063537688874,0.05733712306010914,1.28549096702354,0.19864511996340606,0.7049230161032881
pos10_RRBS,1.424239433610247e-16,3.162277660168379e-08,4.50384054363655e-09,0.9999999964065287,1.0
pos11_A,0.01664056903542375,0.004387856951249493,3.792413750107591,0.00014990811429171913,0.0016190076343505666
pos11_C,-0.005334367371454709,0.004293744629048778,-1.2423578559762802,0.21412838636303322,0.713115134126121
pos11_G,0.002469607820962194,0.004302610031704123,0.5739790040846586,0.5659925681692919,1.0
pos11_CTCF,-1.231127910846809e-16,3.162277660168379e-08,-3.893168289280632e-09,0.9999999968937647,1.0
pos11_Dnase,2.81539415838085e-17,3.162277660168379e-08,8.903058051616318e-10,0.9999999992896531,1.0
pos11_H3K4me3,0.013309003009482241,0.057379793284787026,0.23194581659482602,0.8165839802004344,1.0
pos11_RRBS,2.709789809438575e-17,3.162277660168379e-08,8.569107778139536e-10,0.999999999316298,1.0
pos12_A,0.009807948128848469,0.004121778942024287,2.379542490464467,0.017349393283933257,0.09066457135474798
pos12_C,0.0026366182901137627,0.004209766663218611,0.6263098411487527,0.53112342552794,1.0
pos12_G,-0.0019836726613509446,0.004321713186741941,-0.45900145975360257,0.6462412777275803,1.0
pos12_CTCF,2.6844011929911567e-17,3.162277660168379e-08,8.488821923525281e-10,0.999999999322704,1.0
pos12_Dnase,-2.967542990920198e-17,3.162277660168379e-08,-9.384194905776198e-10,0.9999999992512649,1.0
pos12_H3K4me3,-0.019060790688597472,0.056578556305495645,-0.33689072209051824,0.7362050622190093,1.0
pos12_RRBS,3.628056733162336e-18,3.162277660168379e-08,1.1472922757102727e-10,0.9999999999084612,1.0
pos13_A,0.00019705693158898356,0.004374587766163674,0.045045828800868715,0.9640715155794051,1.0
pos13_C,0.010308024477619556,0.004258420716438059,2.420621437855879,0.015508475104605957,0.08374576556487216
pos13_G,0.002604977797936389,0.0042554931344769,0.6121447539960846,0.5404533734494656,1.0
pos13_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos13_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos13_H3K4me3,-0.02585195642299065,0.05494556860337966,-0.4705012083795328,0.6380053643214567,1.0
pos13_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos14_A,-0.018583890404087505,0.004374605041866529,-4.248129882865551,2.1715838787628172e-05,0.00031981508032688765
pos14_C,-0.020446848731807014,0.0043123251693304426,-4.741490478785419,2.145466696079623e-06,3.4756560476489896e-05
pos14_G,-0.04016934200098733,0.004320992024015685,-9.29632403340014,0.0,0.0
pos14_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos14_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos14_H3K4me3,-0.03839008281356282,0.05490534937262066,-0.6992047815418616,0.48443736414173655,1.0
pos14_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos15_A,0.005286059724349239,0.004126009221468908,1.2811555768814638,0.2001633255601929,0.7049230161032881
pos15_C,-0.01514237421744297,0.004265825408958038,-3.549693849552464,0.00038712728049672407,0.0036890952612040765
pos15_G,-0.012080251087638487,0.0042854089049798455,-2.8189261177855562,0.004826204781905208,0.03257688227786015
pos15_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos15_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos15_H3K4me3,0.016464504877655592,0.05654389569384828,0.2911809431525754,0.7709178761187738,1.0
pos15_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos16_A,-0.011504990217571908,0.004341262291905562,-2.6501486074737692,0.008055994708355385,0.04833596825013231
pos16_C,0.005306307541416173,0.004301695678481136,1.233538571303526,0.21739860926957233,0.713115134126121
pos16_G,-0.030208861544548788,0.004212110587823187,-7.171906082399581,7.822631431508853e-13,2.5345325838088683e-11
pos16_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos16_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos16_H3K4me3,0.020710736681380598,0.0605936974912446,0.34179687886472293,0.7325096331584158,1.0
pos16_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos17_A,-0.00022975496677982995,0.008745056560241733,-0.026272553550354513,0.9790403752349712,1.0
pos17_C,0.007300949624211127,0.008758583797044788,0.8335764997389786,0.40453595752963745,1.0
pos17_G,0.004432607471232787,0.008726714855319949,0.5079354080797767,0.6115078054633021,1.0
pos17_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos17_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos17_H3K4me3,0.05313916954990902,0.0664889886450176,0.7992175942638744,0.42417977781057425,1.0
pos17_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos18_A,-0.031217134241176114,0.008096671885265867,-3.85555135289406,0.00011606057215063359,0.0013429866206001886
pos18_C,0.04881444288326223,0.008163475945974679,5.979614958911234,2.2990991332960675e-09,5.320772279913756e-08
pos18_G,-0.012044217399480911,0.008199354853020964,-1.4689225695657444,0.14187952084037736,0.5345228459567705
pos18_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos18_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos18_H3K4me3,0.0049087598036398955,0.062167983308210925,0.0789596114016387,0.9370660403877451,1.0
pos18_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos19_A,-0.005742518066798163,0.008586086128557201,-0.6688167321893765,0.5036250196439567,1.0
pos19_C,0.018979663048524806,0.00856276900079565,2.216533348822235,0.026673331110431242,0.12709057764381945
pos19_G,0.019157125561296645,0.008537030918627338,2.2440033009013516,0.024850009613909263,0.12199095628646367
pos19_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos19_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos19_H3K4me3,-0.10171425806758408,0.059147853777949094,-1.7196610116985203,0.0855193877669731,0.38483724495137894
pos19_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos20_A,0.00551042288694943,0.008719666009061306,0.6319534350539465,0.5274291214882647,1.0
pos20_C,-0.012075951198003058,0.008676490629043807,-1.3918013300884402,0.16400788608501493,0.6038472169493732
pos20_G,0.023664808258491273,0.00875208828648576,2.703904197930965,0.00686248412648105,0.04334248792117877
pos20_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos20_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos20_H3K4me3,-0.0056798331913917735,0.05843407575170877,-0.09720070213013816,0.922568603750934,1.0
pos20_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos21_A,-0.00048245746314484197,0.003534991387836632,-0.1364805200954392,0.8914436703112998,1.0
pos21_C,0.007735838427525492,0.004853459769128228,1.593881230196123,0.11098848873533629,0.4495033793781119
pos21_G,0.02780292664054947,0.004369427634205905,6.363059184890779,2.0483614804334138e-10,5.530575997170217e-09
