Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
T_pos_19,19,T,0.001293848385103047,0.013496162369847298,1.1880180835723877
T_pos_6,6,T,0.0012081052409484982,0.01267341710627079,1.0524177551269531
T_pos_18,18,T,0.0012081048917025328,0.012599030509591103,1.1024502515792847
T_pos_12,12,T,0.001000613672658801,0.01173140574246645,1.0734049081802368
T_pos_4,4,T,0.0008984662126749754,0.011645469814538956,1.0754117965698242
T_pos_10,10,T,0.0010271106148138642,0.011512327939271927,1.156297206878662
T_pos_17,17,T,0.0009539626189507544,0.011485861614346504,1.0885251760482788
T_pos_20,20,T,0.002047105459496379,0.011454829014837742,1.2427133321762085
T_pos_9,9,T,0.0010839329333975911,0.01143021509051323,1.0839122533798218
T_pos_7,7,T,0.001309746876358986,0.011393670924007893,1.1072930097579956
T_pos_2,2,T,0.0008276219014078379,0.011215808801352978,1.1580754518508911
T_pos_8,8,T,0.0013188276207074523,0.01110694371163845,1.093727469444275
T_pos_14,14,T,0.0011566021712496877,0.010921460576355457,1.050235390663147
T_pos_15,15,T,0.0009723750408738852,0.010916804894804955,1.0412743091583252
T_pos_16,16,T,0.0009362368728034198,0.01088604424148798,1.051378607749939
T_pos_5,5,T,0.001052719890139997,0.010740325786173344,1.0661334991455078
T_pos_13,13,T,0.0010477916803210974,0.010670115239918232,1.0931196212768555
T_pos_21,21,T,0.0,0.010506869293749332,1.22113835811615
T_pos_11,11,T,0.0010418546153232455,0.010456221178174019,1.0904927253723145
C_pos_19,19,C,0.0016873931745067239,0.010181442834436893,1.1434862613677979
T_pos_3,3,T,0.0010011160047724843,0.010133999399840832,1.0204132795333862
T_pos_1,1,T,0.0012225575046613812,0.008871493861079216,1.1307798624038696
C_pos_13,13,C,0.001163697219453752,0.008570583537220955,1.109592080116272
C_pos_16,16,C,0.0010880260961130261,0.008468610234558582,1.0832666158676147
H3K4me3_pos_8,8,H3K4me3,0.0005944316508248448,0.008381953462958336,2.8243162631988525
H3K4me3_pos_12,12,H3K4me3,0.0005981228896416724,0.008377994410693645,2.841245651245117
H3K4me3_pos_7,7,H3K4me3,0.0005914800567552447,0.008373989723622799,2.8024208545684814
H3K4me3_pos_11,11,H3K4me3,0.0006004901370033622,0.008369812741875648,2.804826259613037
H3K4me3_pos_9,9,H3K4me3,0.000601025007199496,0.008367317728698254,2.793351411819458
H3K4me3_pos_14,14,H3K4me3,0.0005946321180090308,0.008366983383893967,2.8334829807281494
H3K4me3_pos_13,13,H3K4me3,0.0005980709102004766,0.008365899324417114,2.8307793140411377
H3K4me3_pos_10,10,H3K4me3,0.0006152331479825079,0.008363276720046997,2.7841081619262695
