Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,0.0018210431465792063,0.004278235224836643,0.42565288042308136,0.6703686928438168,0.8901617068909699
pos1_C,-0.009970722427373454,0.004183027122823724,-2.3836140992178856,0.017159548512531764,0.0842377836069741
pos1_G,0.024736152336426447,0.004225654763058198,5.853803427737755,4.9345543207124365e-09,1.5987955999108293e-07
pos1_CTCF,6699717989.661178,8333942313.691258,0.8039074111005873,0.4214669117567851,0.6502632504728327
pos1_Dnase,-0.13184476542413373,0.09165585935413606,-1.4384761252929554,0.15032596681219212,0.4775060122269632
pos1_H3K4me3,0.03795346964276037,0.04078793994303909,0.93050714735196,0.35212791579187064,0.6502632504728327
pos1_RRBS,-0.015002279294514044,0.01839399633343528,-0.8156073874628312,0.41474145755461134,0.6502632504728327
pos2_A,0.012160398246061079,0.0045839715831266946,2.6528083836345595,0.007993379522316602,0.05179709930461158
pos2_C,0.01154508649346135,0.004526187263204745,2.550731072776451,0.010762444198310073,0.0660745351791547
pos2_G,0.01356713637765442,0.004517347118694851,3.003341567777113,0.002676016101102796,0.019705209471756954
pos2_CTCF,61874468.92585673,76967158.24667875,0.8039074111005873,0.4214669117567851,0.6502632504728327
pos2_Dnase,-0.013249205398294401,0.12083531408092338,-0.10964679902616392,0.9126913894972748,1.0
pos2_H3K4me3,-0.018454831904206156,0.059227513253625845,-0.31159221264580733,0.7553560490333759,0.9200577439353902
pos2_RRBS,0.01520664538316146,0.016901419901381002,0.8997259089408777,0.36828479575550954,0.6502632504728327
pos3_A,-0.007540324429311736,0.004158540485914199,-1.8132141444461847,0.06982461456892453,0.257081535458313
pos3_C,-0.016485988652689444,0.004276524346826232,-3.854997029287185,0.00011635514235686095,0.0015707944218176229
pos3_G,-3.623478324180153e-05,0.004281997156732141,-0.008462122209687442,0.9932484293325059,1.0
pos3_CTCF,62400907.54471982,77622008.06096567,0.8039074111005872,0.4214669117567851,0.6502632504728327
pos3_Dnase,0.18146912418243924,0.17658479625543153,1.0276599573155918,0.304131222901185,0.6502632504728327
pos3_H3K4me3,0.042192922293199916,0.05687196091745601,0.7418932214143054,0.4581670432404148,0.6686762252697945
pos3_RRBS,0.004389459889803233,0.018763661327154003,0.2339340821213281,0.8150402789168467,0.9542648414190381
pos4_A,0.015251137540366819,0.004430402007968692,3.4423823194679706,0.0005786478354123936,0.006609809091782904
pos4_C,0.005965375568285111,0.0043301872078785695,1.3776253270138976,0.16834555587832445,0.509528379281033
pos4_G,0.010321536653204545,0.004290179061992951,2.4058521810065896,0.01615032775085501,0.08176103423870348
pos4_CTCF,22276886.863353964,27710761.905846633,0.803907411100588,0.42146691175678463,0.6502632504728327
pos4_Dnase,-32774148198.420856,40768560839.042534,-0.8039074111008175,0.4214669117566525,0.6502632504728327
pos4_H3K4me3,-0.04335039664972192,0.05749361454169462,-0.7540036749347883,0.4508623092555446,0.6686762252697945
pos4_RRBS,0.036325718636350895,0.019069632378959568,1.9048987371372081,0.05681792476593994,0.2191548526686255
pos5_A,0.005011940427539156,0.0043668831523101985,1.1477157168466268,0.25110959359003804,0.6502632504728327
pos5_C,0.008681533261136395,0.004329731858636075,2.0050972079992033,0.0449758295385807,0.1777093752500018
pos5_G,0.0008104179017914186,0.004348428204610297,0.18637030753599568,0.8521576323563589,0.9715306327431327
pos5_CTCF,24730702.83025913,30763123.325858656,0.8039074111005876,0.4214669117567851,0.6502632504728327
pos5_Dnase,32774148198.402424,40768560839.04283,0.8039074111003596,0.42146691175691675,0.6502632504728327
pos5_H3K4me3,0.06655003909376926,0.058979802160353124,1.1283530404668758,0.2591941712502983,0.6502632504728327
pos5_RRBS,0.010877874022185907,0.017912958023626763,0.6072628545122615,0.5436883634300811,0.7726097796111678
pos6_A,0.009508724820043208,0.004138448107028099,2.2976547184184968,0.021599149747719038,0.09997320740372811
pos6_C,0.017121529454510155,0.004220679168738147,4.056581599787639,5.0121929841662194e-05,0.0007381593303953886
pos6_G,0.02137585742957034,0.004332287992565423,4.934080436539109,8.164647624653298e-07,1.8895327359911918e-05
pos6_CTCF,37593447.29247911,46763404.30922505,0.8039074111005863,0.42146691175678597,0.6502632504728327
pos6_Dnase,-0.13725597605583043,0.10197638589797327,-1.3459584279948318,0.1783422093378384,0.5252988711405422
pos6_H3K4me3,-0.0930080770325021,0.055009405563596965,-1.6907668075957387,0.09090819545063344,0.3272695036222804
pos6_RRBS,-0.001197189707918914,0.016682058299030553,-0.07176510754602065,0.9427900776953577,1.0
pos7_A,0.0021806659195407257,0.00438147266420616,0.4977015918312984,0.6187038137364262,0.8430781299614379
pos7_C,0.004460553045795892,0.004307038476104667,1.0356427207564827,0.30039042758882006,0.6502632504728327
pos7_G,0.0020415035146357074,0.004287805188197108,0.47611853268317395,0.6339988952244475,0.8558985085530042
pos7_CTCF,-16505351.181180758,20531408.161275905,-0.8039074111005862,0.42146691175678597,0.6502632504728327
pos7_Dnase,4491770.602947834,5587422.687824767,0.8039074281485082,0.4214669019108084,0.6502632504728327
pos7_H3K4me3,0.050295990674876535,0.05502978908399331,0.9139775294815057,0.3607476365049824,0.6502632504728327
pos7_RRBS,-0.006503617882355351,0.01717052392354449,-0.3787664203674932,0.7048682525194727,0.9082223780550018
pos8_A,0.0015924234974769335,0.004344313879290508,0.3665535091900404,0.7139587728879757,0.9082223780550018
pos8_C,0.01353219031905205,0.004311756621125977,3.138440201552526,0.001702748985392244,0.015324740868530196
pos8_G,0.009682836949841362,0.004329053761251488,2.2367097947617416,0.0253242271229992,0.11395902205349638
pos8_CTCF,1005138.5712224911,1250316.3390998081,0.8039074111005876,0.4214669117567851,0.6502632504728327
pos8_Dnase,-4491770.412477176,5587422.687871061,-0.8039073940526674,0.421466921602762,0.6502632504728327
pos8_H3K4me3,-0.018070331171977098,0.05681772400064059,-0.31804039126546785,0.7504600196504774,0.9200577439353902
pos8_RRBS,-0.006862945180900019,0.01897589110653593,-0.3616665558613051,0.7176078048829644,0.9082223780550018
pos9_A,0.004576691338147391,0.004122416391189168,1.1101962790389501,0.266937452753194,0.6502632504728327
pos9_C,-0.006437737445738943,0.004229245444761897,-1.5221952780518706,0.1279873971606691,0.4177802829139654
pos9_G,-0.005559518807679546,0.004246156875420188,-1.3093060314992229,0.19045662273375075,0.550963801479779
pos9_CTCF,-2459312.8406446096,3059199.1150793023,-0.8039074111005873,0.4214669117567851,0.6502632504728327
pos9_Dnase,-0.00819502698894792,0.12056741915568217,-0.06797049357394078,0.94581029334018,1.0
pos9_H3K4me3,-0.02260429386440563,0.0559436235986439,-0.4040548754327306,0.6861798101974919,0.9037490183088918
pos9_RRBS,0.02135493555496854,0.018300334518902842,1.1669150382420894,0.24326865329741376,0.6460577349865743
pos10_A,0.022204740855289652,0.004404343881669205,5.041554758633938,4.6872960379751305e-07,1.2655699302532852e-05
pos10_C,0.006632129888555188,0.004310271084708732,1.5386804584248919,0.12390958197671176,0.4177802829139654
pos10_G,0.0010565570652098966,0.004286254856741974,0.24649889017868534,0.8053004221434032,0.9542648414190381
pos10_CTCF,4047866.3667359264,5035239.519927058,0.8039074111005875,0.4214669117567851,0.6502632504728327
pos10_Dnase,-0.10701496058355421,0.12061175877637141,-0.8872680547008084,0.3749529827315401,0.6502632504728327
pos10_H3K4me3,0.16950733178042438,0.06297109118667034,2.691827767092998,0.007116351876082172,0.04803537516355466
pos10_RRBS,-0.005544545287163125,0.017351822913542845,-0.3195367607651003,0.749325270476543,0.9200577439353902
pos11_A,0.015059343848140132,0.00439410294608096,3.427171377851162,0.0006120193603502688,0.006609809091782904
pos11_C,-0.010664231164989301,0.004329396554065773,-2.4632142220777697,0.013784164429553547,0.07203337540605402
pos11_G,-0.0021762321760566807,0.00432542769717799,-0.5031253157870389,0.6148857149457927,0.8430781299614379
pos11_CTCF,2350604.286855639,2923973.898483593,0.803907411100588,0.42146691175678463,0.6502632504728327
pos11_Dnase,0.01877790241165437,0.10627074481650288,0.17669869957228654,0.8597481450404785,0.9715306327431327
pos11_H3K4me3,-0.15760778529104638,0.06383861146697957,-2.4688473271786116,0.013569196176129505,0.07203337540605402
pos11_RRBS,0.01412066057330138,0.01871890970937652,0.7543527263357745,0.4506527521275596,0.6686762252697945
pos12_A,0.013568216962100556,0.004089783295674904,3.3175882390760028,0.0009107732525330814,0.008679133347668188
pos12_C,0.0021804704876122933,0.0042437572872640284,0.5138065963753675,0.6073969955577159,0.8430781299614379
pos12_G,-0.005151256228458277,0.00435285485811331,-1.1834201682274847,0.23666690293540227,0.639000637925586
pos12_CTCF,-544347.2117687231,677126.7489915099,-0.803907411100589,0.4214669117567844,0.6502632504728327
pos12_Dnase,-0.12335333775166815,0.1157111741748022,-1.066045164880283,0.28642539772364595,0.6502632504728327
pos12_H3K4me3,0.026482991821229884,0.060567253409337454,0.43724934400190396,0.6619386619646779,0.8862319275890729
pos12_RRBS,0.029361676158070164,0.01886083600997463,1.5567536954640886,0.11955623640093638,0.41208745312663175
pos13_A,0.003092410445635034,0.004414577286037515,0.7004997863364522,0.48362927831156743,0.6995352061292314
pos13_C,0.0061548647144720635,0.004323249372933041,1.4236663637786853,0.15456995260191042,0.48154485233672095
pos13_G,0.004550785468603444,0.004297231254584889,1.0590040886787342,0.2896199531641319,0.6502632504728327
pos13_CTCF,-778988.9686631912,969003.3428062537,-0.8039074111005882,0.42146691175678463,0.6502632504728327
pos13_Dnase,0.027674668837194334,0.12078889772383716,0.22911599789963857,0.8187827960323846,0.9542648414190381
pos13_H3K4me3,-0.054126509033961274,0.06047712509180323,-0.8949914360478969,0.37081022315288603,0.6502632504728327
pos13_RRBS,-0.016923954637625267,0.01818923266527127,-0.9304380755950303,0.3521636612151773,0.6502632504728327
pos14_A,-0.011126252096644937,0.004386795923584237,-2.5363049228773376,0.01121590683924123,0.0660745351791547
pos14_C,-0.015991018090984944,0.004331018851819363,-3.6922069928805503,0.00022333534948471012,0.002783102047424849
pos14_G,-0.03442276677817999,0.004336390394288231,-7.938115263681211,2.220446049250313e-15,1.7985612998927536e-13
pos14_CTCF,-127049.27240356809,158039.6829898999,-0.803907411100588,0.42146691175678463,0.6502632504728327
pos14_Dnase,0.06042079566081747,0.12160559951572429,0.49685866359307507,0.6192981325025377,0.8430781299614379
