Feature,MLP_IG,IG_SNR
pos23_G,0.009745004,2.0104477
pos22_CTCF,0.009542734,1.3714871
pos15_H3K4me3,0.009147766,1.6495992
pos3_CTCF,0.008523431,1.3394206
pos14_CTCF,0.007477646,1.3462883
pos22_G,0.0073216665,1.8885441
pos23_H3K4me3,0.006469011,1.4215246
pos21_T,0.006451854,0.6876603
pos16_G,0.006425812,0.6723571
pos3_H3K4me3,0.0062335357,1.3785826
pos4_H3K4me3,0.005895905,1.526872
pos23_CTCF,0.0057028406,1.3185364
pos9_H3K4me3,0.005350911,1.3457639
pos18_T,0.0051760837,0.57992274
pos12_CTCF,0.0049965587,1.3295591
pos20_T,0.0047723306,0.5074839
pos21_H3K4me3,0.004750739,1.392567
pos10_H3K4me3,0.0045952676,1.3947159
pos11_H3K4me3,0.004539372,1.2380352
pos21_A,0.0044133705,0.6173302
pos7_H3K4me3,0.0043265945,1.4449723
pos8_H3K4me3,0.0042304294,1.3662475
pos6_T,0.004127238,0.5516849
pos8_T,0.004100692,0.63613
pos10_CTCF,0.0041004913,1.1672256
pos12_G,0.004100314,0.5964236
pos17_T,0.0039741048,0.5053849
pos17_H3K4me3,0.003947052,1.21012
pos5_H3K4me3,0.003903514,1.2519164
pos16_CTCF,0.0037996008,0.9685139
pos19_T,0.0037834537,0.52256286
pos15_G,0.0037745782,0.5954145
pos1_H3K4me3,0.0036614991,1.1835753
pos14_G,0.0035800184,0.58258086
pos20_CTCF,0.0035530906,0.87866277
pos1_C,0.0035076672,0.52120596
pos2_T,0.003464172,0.55032766
pos20_H3K4me3,0.0033665781,1.096164
pos19_CTCF,0.0033596696,0.9626813
pos2_C,0.0033548614,0.54708475
pos20_C,0.0033351753,0.6099531
pos5_G,0.003091114,0.5166751
pos8_C,0.0030766064,0.53898036
pos10_C,0.0030615856,0.5264683
pos2_CTCF,0.0029613564,1.0491266
pos18_C,0.002944448,0.50453186
pos18_H3K4me3,0.0029030163,1.0396718
pos6_H3K4me3,0.002897406,0.92970085
pos4_A,0.0028780804,0.55803907
pos20_A,0.002708267,0.52592486
pos9_C,0.002702018,0.54660547
pos16_H3K4me3,0.0026911946,0.6497745
pos8_G,0.0026317013,0.49571604
pos16_C,0.002598094,0.48173907
pos11_T,0.0024858115,0.5246888
pos11_CTCF,0.0024830946,0.86667216
pos10_G,0.0023810095,0.51489526
pos14_C,0.0023615249,0.41294572
pos11_C,0.0023596596,0.46952677
pos9_T,0.0022062648,0.53725386
pos7_T,0.0022018915,0.49516773
pos9_G,0.002179748,0.53197736
