Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.001354431929872552,0.004248753650542101,-0.3187833518424254,0.7498965504582378,0.9203275846532918
pos1_C,-0.01671314327684571,0.0041632401757795414,-4.014455705456934,5.9958508707547153e-05,0.0006475518940415092
pos1_G,0.022772332190895098,0.00425831719844804,5.347730366163084,9.075752638310064e-08,2.4504532123437173e-06
pos1_CTCF,56103590211.58014,76639321825.16306,0.7320470598574582,0.4641546531559362,0.7292618769029177
pos1_Dnase,-3935137649.611356,5375525516.59398,-0.7320470598574561,0.46415465315593707,0.7292618769029177
pos1_H3K4me3,0.013632528897727914,0.04578580825894819,0.29774572986955256,0.7659025770907122,0.9326561388230933
pos1_RRBS,0.007527436867614259,0.01783982827282513,0.42194559008623284,0.673072561770105,0.8742518373138147
pos2_A,0.009951475759869122,0.004560296197751796,2.18219942923338,0.029114836071783,0.13476009838939562
pos2_C,0.01269885786777571,0.004508960891385767,2.816360171150851,0.004865329282844888,0.02814940513645971
pos2_G,0.013532412004552978,0.004453647614917771,3.0385008367580135,0.0023828820209286228,0.015441075495617476
pos2_CTCF,283843642.2268545,387739611.0055051,0.7320470598574581,0.4641546531559362,0.7292618769029177
pos2_Dnase,-1041013628.7541903,1422058342.7476587,-0.7320470598574562,0.46415465315593707,0.7292618769029177
pos2_H3K4me3,0.04193645785174715,0.061398573074984815,0.6830200728041516,0.4946078170070014,0.7488454799545254
pos2_RRBS,-0.010461032010243829,0.016735195288765332,-0.6250917201585646,0.5319231735988326,0.7693888760983114
pos3_A,-0.006831425632795797,0.004155461317925521,-1.643963235399858,0.10021093085908306,0.3529167565037273
pos3_C,-0.02122297983120522,0.004248368240474501,-4.995560325729866,5.9520820649972e-07,1.3774818493279234e-05
pos3_G,0.003029336186002394,0.004285107079848036,0.7069452710408871,0.4796147080380537,0.7399086525666039
pos3_CTCF,-428770276.6923116,585714088.8945042,-0.732047059857458,0.46415465315593596,0.7292618769029177
pos3_Dnase,323113555.5566818,441383584.84712416,0.7320470598574573,0.4641546531559364,0.7292618769029177
pos3_H3K4me3,-0.02562016814189613,0.056113816721370655,-0.45657504049513037,0.6479850823502753,0.8675502755433437
pos3_RRBS,-0.00763922293582994,0.01792418217635769,-0.4261964568685431,0.669972617354091,0.8742518373138147
pos4_A,0.015514630702537679,0.004396846565878822,3.5285813298414888,0.0004194123620964163,0.00391371141285668
pos4_C,0.0057761629373872915,0.004286978027339113,1.347374047767747,0.17788614533420422,0.5613189886895918
pos4_G,0.012853022825230976,0.004303478915710727,2.9866587189049296,0.0028263451484331625,0.017610304386391242
pos4_CTCF,242152105.65700924,330787621.36434305,0.7320470598574575,0.4641546531559364,0.7292618769029177
pos4_Dnase,-137637517.24815068,188017307.62357175,-0.7320470598574567,0.4641546531559366,0.7292618769029177
pos4_H3K4me3,0.04203009087724739,0.05512404639806904,0.76246381794497,0.4457987532994778,0.7292618769029177
pos4_RRBS,0.013406307109090014,0.019160474861963997,0.699685535231867,0.48413776032135813,0.7399086525666039
pos5_A,0.010740525600799218,0.004389256724130682,2.4470032800203643,0.014419703130411854,0.06870564432725648
pos5_C,0.015091668086594633,0.004316805294433069,3.496027051777567,0.00047400832550192895,0.0040415446700690786
pos5_G,0.007244121364931646,0.004323758944711588,1.6754221170891055,0.09387842702823002,0.33796233730162806
pos5_CTCF,457403166.60008544,624827544.1324092,0.7320470598574567,0.4641546531559366,0.7292618769029177
pos5_Dnase,-463728458.411433,633468097.6681037,-0.732047059857459,0.46415465315593574,0.7292618769029177
pos5_H3K4me3,0.011454632150576743,0.056854162700026085,0.20147393975378144,0.8403315419225033,1.0
pos5_RRBS,0.011348514926646874,0.019171212004759026,0.5919560497181785,0.5538915710065537,0.7940746416200151
pos6_A,0.002631179216949321,0.004137293049687499,0.6359663638397722,0.5248109088223645,0.7693888760983114
pos6_C,0.018288429373240163,0.0042301563941565,4.323345916596284,1.549647710286095e-05,0.00020920244088862283
pos6_G,0.021073603533928415,0.004343094046308918,4.852209809234576,1.236841114859999e-06,2.5046032575914978e-05
pos6_CTCF,265332867.8624758,362453293.5275241,0.7320470598574568,0.4641546531559366,0.7292618769029177
pos6_Dnase,67862553.34569287,92702446.42319427,0.7320470598574578,0.46415465315593596,0.7292618769029177
pos6_H3K4me3,-0.09853573559478705,0.05780626882496846,-1.7045856374702768,0.08829854487694977,0.33796233730162806
pos6_RRBS,-0.005959902467148021,0.018575376113480674,-0.3208496253716635,0.7483301376280074,0.9203275846532918
pos7_A,0.0022593963299113533,0.004406135402126381,0.5127841347819176,0.6081121056983765,0.8348657722299745
pos7_C,0.007237633724797002,0.004302214822945626,1.6823041207044058,0.09253683152584036,0.33796233730162806
pos7_G,0.008139079800463762,0.004291633599065303,1.896499226363689,0.05791891513404024,0.24058626286447485
pos7_CTCF,-167789262.06497008,229205567.87379465,-0.7320470598574566,0.4641546531559366,0.7292618769029177
pos7_Dnase,16711232.54859044,22828085.05759782,0.7320470598574574,0.4641546531559364,0.7292618769029177
pos7_H3K4me3,0.07027519644383191,0.05536343415715458,1.2693431596809697,0.20434419836139517,0.6018865479008366
pos7_RRBS,0.0028620250155966588,0.01756806782267766,0.1629106310656558,0.8705916417340664,1.0
pos8_A,-0.00041030200848433593,0.004377336742651911,-0.09373325211342175,0.9253226761148554,1.0
pos8_C,0.009375532216396974,0.004361302462673648,2.1497092431992,0.03159886222629793,0.14219488001834069
pos8_G,0.01381560219328741,0.004370535350900158,3.161077782025477,0.0015759147201361845,0.01109992107226356
pos8_CTCF,-19936384.7240955,27233747.415060353,-0.7320470598574552,0.4641546531559375,0.7292618769029177
pos8_Dnase,-2195649.1336460817,2999327.849323809,-0.7320470598574561,0.46415465315593707,0.7292618769029177
pos8_H3K4me3,-0.0005752678057069885,0.056440280035160134,-0.010192504455127059,0.9918678743688105,1.0
pos8_RRBS,-0.027591459690712434,0.017754031605152463,-1.554095447408408,0.12018896695995074,0.40563776348983377
pos9_A,0.004853542525489325,0.004147562407632552,1.1702156709101212,0.24193826022535347,0.6757585889052976
pos9_C,-0.011407964740056604,0.004232865174577787,-2.6950928672549814,0.00704705487381263,0.03805409631858821
pos9_G,-0.004277249744700645,0.004283681961322967,-0.9984984374002558,0.31805857653020486,0.7292618769029177
pos9_CTCF,48435136.81359155,66163966.04751433,0.7320470598574581,0.4641546531559362,0.7292618769029177
pos9_Dnase,49080573.2515463,67045653.13205841,0.7320470598574575,0.4641546531559364,0.7292618769029177
pos9_H3K4me3,-0.08016954317792517,0.05785635620888782,-1.3856652653422654,0.16587581320395905,0.5374376347808273
pos9_RRBS,0.01899846707201608,0.0192688979066169,0.985965422832618,0.3241706716839745,0.7292618769029177
pos10_A,0.019963465333135793,0.004394999557187683,4.542313388971128,5.620224172497856e-06,0.00010116403510496141
pos10_C,0.009143793077131897,0.004317781326494061,2.117706383374548,0.034221183892538365,0.1498332916376004
pos10_G,0.00014858914604446048,0.004304832060011421,0.03451682759584035,0.9724656185224587,1.0
pos10_CTCF,-5625155.861439264,7684145.145715887,-0.7320470598574569,0.4641546531559366,0.7292618769029177
pos10_Dnase,-6851813.38677966,9359799.065532504,-0.7320470598574589,0.46415465315593574,0.7292618769029177
pos10_H3K4me3,0.027657826191811927,0.06586995620521245,0.4198852980203332,0.6745770349643632,0.8742518373138147
pos10_RRBS,-0.0046322317257562855,0.015946966234888182,-0.2904773019222967,0.7714563123598426,0.9326561388230933
pos11_A,0.0197085191972696,0.004408645548611165,4.4704249819943636,7.880593910325473e-06,0.00011605965577024787
pos11_C,-0.004039527233073453,0.004319615441800597,-0.9351589944751214,0.34972585905293907,0.7292618769029177
pos11_G,0.0014963003969700264,0.004350144909873172,0.3439656443568109,0.7308783658332754,0.9178472501162063
pos11_CTCF,-10827580.670100303,14790825.9780575,-0.732047059857458,0.46415465315593596,0.7292618769029177
pos11_Dnase,-2189123.4449076545,2990413.5470934287,-0.7320470598574573,0.4641546531559364,0.7292618769029177
pos11_H3K4me3,0.021795689485166386,0.06518133377339308,0.3343854478483126,0.7380947721037434,0.9197796390831264
pos11_RRBS,-0.0197115217872098,0.018560639562366765,-1.0620066038659866,0.2882548249362218,0.7292618769029177
pos12_A,0.008450642297612892,0.004109902804200089,2.0561659728246644,0.03978887344657811,0.16962624995646455
pos12_C,-0.00032667801234042583,0.004269936851271782,-0.07650652075641967,0.9390174474863779,1.0
pos12_G,-0.0022506377396428173,0.0043521317342802455,-0.5171345623376511,0.6050721008070559,0.8348657722299745
pos12_CTCF,209204.51501694997,285780.1451421515,0.7320470598574592,0.4641546531559353,0.7292618769029177
