Feature,MLP_IG,IG_SNR
pos23_G,0.016771503,3.8757489
pos20_G,0.010883235,0.56315255
pos1_G,0.0089507885,0.6266889
pos18_C,0.008373616,0.68790823
pos3_CTCF,0.00818276,0.8078162
pos19_G,0.007949831,0.6392902
pos4_G,0.0063431324,0.68453056
pos17_G,0.005415511,0.6185062
pos10_A,0.0053858072,0.5437724
pos14_CTCF,0.004786854,0.752265
pos11_A,0.0046933778,0.53107184
pos8_C,0.0046000113,0.53201777
pos22_CTCF,0.004561012,0.71838146
pos17_A,0.0044746306,0.5345922
pos12_CTCF,0.0044116527,0.75821126
pos14_T,0.0044048256,0.5059274
pos2_G,0.0040227384,0.60106933
pos10_G,0.0039584814,0.5976733
pos10_CTCF,0.003901338,0.7686069
pos20_T,0.0038812284,0.4985209
pos22_G,0.0038693494,0.94805694
pos15_A,0.00382228,0.5169188
pos3_G,0.0036774988,0.59307486
pos16_A,0.0034770959,0.49844202
pos7_C,0.0034717345,0.59955794
pos12_A,0.0034154619,0.6077469
pos11_CTCF,0.0033986783,0.72681135
pos15_CTCF,0.0033390701,0.72706634
pos21_C,0.0032795556,0.54780895
pos11_G,0.0032516588,0.6322097
pos7_A,0.003243732,0.46086583
pos17_T,0.0032223272,0.49274158
pos6_C,0.0031511998,0.5924597
pos8_G,0.0031388227,0.56078523
pos20_A,0.0030093833,0.5103569
pos16_C,0.0030031241,0.5574438
pos14_A,0.0028991578,0.5303419
pos1_T,0.0028858322,0.5404391
pos5_A,0.0028480839,0.5089595
pos21_A,0.0028260057,0.52364516
pos5_CTCF,0.0028160005,0.72782093
pos8_A,0.0027167858,0.5578042
pos19_T,0.0026613309,0.47027946
pos6_A,0.0026156139,0.5053484
pos20_CTCF,0.0025924225,0.6589873
pos8_CTCF,0.002538939,0.6846906
pos14_G,0.0025034936,0.5413473
pos11_C,0.0024485136,0.48806858
pos9_G,0.0022464462,0.4754553
pos2_C,0.0022129398,0.46470726
pos13_C,0.0020559253,0.50504225
pos6_G,0.0020554787,0.49678478
pos9_A,0.0020393287,0.5373602
pos21_T,0.0020374965,0.5893175
pos16_T,0.0019864435,0.40760404
pos15_C,0.0019762877,0.5029485
pos6_CTCF,0.0019656706,0.6491387
pos13_A,0.0019537741,0.42801777
pos1_A,0.0019513806,0.46741086
pos19_CTCF,0.0019031671,0.60093105
pos13_T,0.0018119034,0.41660416
pos12_G,0.001811393,0.43064636
pos15_G,0.0017515883,0.47976494
pos20_C,0.0017344236,0.47744954
pos9_CTCF,0.0016939021,0.61202323
pos6_T,0.0016935816,0.41327313
pos14_C,0.0016393723,0.4948966
pos9_T,0.0016244457,0.45178926
pos4_A,0.0016232497,0.45064726
pos12_T,0.0016031623,0.4655777
pos1_C,0.0015764419,0.5074102
pos7_T,0.0015672351,0.43854126
pos19_C,0.0015453434,0.52601373
pos21_G,0.001533243,0.38197622
pos9_C,0.001530614,0.4753385
pos3_T,0.0015130845,0.47248638
pos21_CTCF,0.0014633017,0.5473782
pos17_CTCF,0.0014445353,0.5714304
pos23_CTCF,0.0014037263,0.5349879
pos15_T,0.0013537388,0.46481884
pos18_CTCF,0.0013496847,0.5541187
pos12_C,0.0013412301,0.47726
pos2_CTCF,0.0013316106,0.58783996
pos1_CTCF,0.0013018105,0.55496407
pos8_T,0.0012957909,0.43683782
pos13_CTCF,0.0012376995,0.5593149
pos5_G,0.0012365604,0.452415
pos18_T,0.0012314202,0.42326242
pos7_G,0.0012202921,0.47045606
pos10_C,0.0011966141,0.48108953
pos13_G,0.0011663897,0.47778437
pos3_C,0.001121502,0.41951123
pos16_G,0.0011116407,0.49052018
pos2_T,0.0011015212,0.44621432
pos4_CTCF,0.0010883278,0.53357625
pos7_CTCF,0.0010862342,0.5255062
pos18_A,0.0010328257,0.3626653
pos18_G,0.0010311602,0.417747
pos19_A,0.00096602645,0.39662927
pos4_C,0.0009492326,0.44108272
pos11_T,0.0009076464,0.3651671
pos10_T,0.0008880767,0.37854555
pos5_C,0.0008369748,0.3845797
pos4_T,0.0007812336,0.35106292
pos16_CTCF,0.00069981505,0.47135496
pos3_A,0.00069448364,0.3948254
pos17_C,0.0006918992,0.41508502
pos2_A,0.00061898585,0.4083649
pos5_T,0.00046050767,0.35622653
pos1_Dnase,0.0,0.0
pos2_Dnase,0.0,0.0
pos2_H3K4me3,0.0,0.0
pos1_RRBS,0.0,0.0
pos1_H3K4me3,0.0,0.0
pos4_Dnase,0.0,0.0
pos4_H3K4me3,0.0,0.0
pos2_RRBS,0.0,0.0
pos3_Dnase,0.0,0.0
pos3_H3K4me3,0.0,0.0
pos3_RRBS,0.0,0.0
pos7_RRBS,0.0,0.0
pos7_H3K4me3,0.0,0.0
pos7_Dnase,0.0,0.0
pos6_RRBS,0.0,0.0
pos6_H3K4me3,0.0,0.0
pos6_Dnase,0.0,0.0
pos5_H3K4me3,0.0,0.0
pos5_RRBS,0.0,0.0
pos4_RRBS,0.0,0.0
pos5_Dnase,0.0,0.0
pos15_Dnase,0.0,0.0
pos14_RRBS,0.0,0.0
pos14_H3K4me3,0.0,0.0
pos14_Dnase,0.0,0.0
pos13_H3K4me3,0.0,0.0
pos13_RRBS,0.0,0.0
pos9_RRBS,0.0,0.0
pos9_H3K4me3,0.0,0.0
pos10_Dnase,0.0,0.0
pos10_H3K4me3,0.0,0.0
pos8_H3K4me3,0.0,0.0
pos8_Dnase,0.0,0.0
pos9_Dnase,0.0,0.0
pos8_RRBS,0.0,0.0
pos12_RRBS,0.0,0.0
pos13_Dnase,0.0,0.0
pos12_Dnase,0.0,0.0
pos12_H3K4me3,0.0,0.0
pos10_RRBS,0.0,0.0
pos11_Dnase,0.0,0.0
pos11_H3K4me3,0.0,0.0
pos11_RRBS,0.0,0.0
pos15_RRBS,0.0,0.0
pos15_H3K4me3,0.0,0.0
pos19_Dnase,0.0,0.0
pos18_RRBS,0.0,0.0
pos19_RRBS,0.0,0.0
pos19_H3K4me3,0.0,0.0
pos17_H3K4me3,0.0,0.0
pos17_RRBS,0.0,0.0
pos16_RRBS,0.0,0.0
pos17_Dnase,0.0,0.0
pos16_Dnase,0.0,0.0
pos16_H3K4me3,0.0,0.0
pos18_H3K4me3,0.0,0.0
pos18_Dnase,0.0,0.0
pos20_Dnase,0.0,0.0
pos20_H3K4me3,0.0,0.0
pos21_RRBS,0.0,0.0
pos21_H3K4me3,0.0,0.0
pos21_Dnase,0.0,0.0
pos20_RRBS,0.0,0.0
pos22_T,0.0,0.0
pos22_Dnase,0.0,0.0
pos22_C,0.0,0.0
pos22_A,0.0,0.0
pos22_RRBS,0.0,0.0
pos22_H3K4me3,0.0,0.0
pos23_C,0.0,0.0
pos23_A,0.0,0.0
pos23_T,0.0,0.0
pos23_Dnase,0.0,0.0
pos23_H3K4me3,0.0,0.0
pos23_RRBS,0.0,0.0
